age,unit,sex,geotime,date,value
Y_LT25,PC_ACT,F,EE,2012-01-01,18.5
Y_LT25,PC_ACT,F,EE,2013-01-01,19.8
Y_LT25,PC_ACT,F,EE,2014-01-01,10.0
Y_LT25,PC_ACT,F,EE,2015-01-01,12.2
Y_LT25,PC_ACT,F,EE,2016-01-01,10.6
Y_LT25,PC_ACT,F,EE,2017-01-01,10.0
Y_LT25,PC_ACT,F,EL,2005-01-01,34.2
Y_LT25,PC_ACT,F,EL,2006-01-01,34.2
Y_LT25,PC_ACT,F,EL,2007-01-01,31.7
Y_LT25,PC_ACT,F,EL,2008-01-01,28.3
Y_LT25,PC_ACT,F,EL,2009-01-01,33.3
Y_LT25,PC_ACT,F,EL,2010-01-01,40.3
Y_LT25,PC_ACT,F,EL,2011-01-01,51.6
Y_LT25,PC_ACT,F,EL,2012-01-01,63.1
Y_LT25,PC_ACT,F,EL,2013-01-01,63.8
Y_LT25,PC_ACT,F,EL,2014-01-01,58.1
Y_LT25,PC_ACT,F,EL,2015-01-01,55.0
Y_LT25,PC_ACT,F,EL,2016-01-01,50.7
Y_LT25,PC_ACT,F,EL,2017-01-01,48.2
Y_LT25,PC_ACT,F,ES,2005-01-01,23.4
Y_LT25,PC_ACT,F,ES,2006-01-01,21.5
Y_LT25,PC_ACT,F,ES,2007-01-01,21.7
Y_LT25,PC_ACT,F,ES,2008-01-01,25.5
Y_LT25,PC_ACT,F,ES,2009-01-01,36.1
Y_LT25,PC_ACT,F,ES,2010-01-01,39.6
Y_LT25,PC_ACT,F,ES,2011-01-01,44.0
Y_LT25,PC_ACT,F,ES,2012-01-01,51.4
Y_LT25,PC_ACT,F,ES,2013-01-01,54.6
Y_LT25,PC_ACT,F,ES,2014-01-01,52.9
Y_LT25,PC_ACT,F,ES,2015-01-01,48.0
Y_LT25,PC_ACT,F,ES,2016-01-01,44.9
Y_LT25,PC_ACT,F,ES,2017-01-01,37.4
Y_LT25,PC_ACT,F,EU27,2005-01-01,19.0
Y_LT25,PC_ACT,F,EU27,2006-01-01,18.0
Y_LT25,PC_ACT,F,EU27,2007-01-01,16.1
Y_LT25,PC_ACT,F,EU27,2008-01-01,15.8
Y_LT25,PC_ACT,F,EU27,2009-01-01,18.9
Y_LT25,PC_ACT,F,EU27,2010-01-01,20.4
Y_LT25,PC_ACT,F,EU27,2011-01-01,20.9
Y_LT25,PC_ACT,F,EU27,2012-01-01,22.3
Y_LT25,PC_ACT,F,EU27,2013-01-01,22.8
Y_LT25,PC_ACT,F,EU27,2014-01-01,21.3
Y_LT25,PC_ACT,F,EU27,2015-01-01,19.3
Y_LT25,PC_ACT,F,EU27,2016-01-01,17.8
Y_LT25,PC_ACT,F,EU27,2017-01-01,16.0
Y_LT25,PC_ACT,F,EU28,2005-01-01,19.1
Y_LT25,PC_ACT,F,EU28,2006-01-01,18.1
Y_LT25,PC_ACT,F,EU28,2007-01-01,16.2
Y_LT25,PC_ACT,F,EU28,2008-01-01,15.8
Y_LT25,PC_ACT,F,EU28,2009-01-01,19.0
Y_LT25,PC_ACT,F,EU28,2010-01-01,20.4
Y_LT25,PC_ACT,F,EU28,2011-01-01,21.0
Y_LT25,PC_ACT,F,EU28,2012-01-01,22.4
Y_LT25,PC_ACT,F,EU28,2013-01-01,23.0
Y_LT25,PC_ACT,F,EU28,2014-01-01,21.4
Y_LT25,PC_ACT,F,EU28,2015-01-01,19.5
Y_LT25,PC_ACT,F,EU28,2016-01-01,17.9
Y_LT25,PC_ACT,F,EU28,2017-01-01,16.1
Y_LT25,PC_ACT,F,FI,2005-01-01,19.5
Y_LT25,PC_ACT,F,FI,2006-01-01,18.4
Y_LT25,PC_ACT,F,FI,2007-01-01,16.6
Y_LT25,PC_ACT,F,FI,2008-01-01,15.8
Y_LT25,PC_ACT,F,FI,2009-01-01,19.0
Y_LT25,PC_ACT,F,FI,2010-01-01,19.0
Y_LT25,PC_ACT,F,FI,2011-01-01,18.4
Y_LT25,PC_ACT,F,FI,2012-01-01,18.0
Y_LT25,PC_ACT,F,FI,2013-01-01,17.1
Y_LT25,PC_ACT,F,FI,2014-01-01,18.4
Y_LT25,PC_ACT,F,FI,2015-01-01,19.7
Y_LT25,PC_ACT,F,FI,2016-01-01,18.6
Y_LT25,PC_ACT,F,FI,2017-01-01,19.3
Y_LT25,PC_ACT,F,FR,2005-01-01,22.0
Y_LT25,PC_ACT,F,FR,2006-01-01,23.2
Y_LT25,PC_ACT,F,FR,2007-01-01,20.1
Y_LT25,PC_ACT,F,FR,2008-01-01,18.8
Y_LT25,PC_ACT,F,FR,2009-01-01,22.3
Y_LT25,PC_ACT,F,FR,2010-01-01,23.7
Y_LT25,PC_ACT,F,FR,2011-01-01,23.3
Y_LT25,PC_ACT,F,FR,2012-01-01,23.8
Y_LT25,PC_ACT,F,FR,2013-01-01,25.2
Y_LT25,PC_ACT,F,FR,2014-01-01,23.1
Y_LT25,PC_ACT,F,FR,2015-01-01,23.3
Y_LT25,PC_ACT,F,FR,2016-01-01,24.1
Y_LT25,PC_ACT,F,FR,2017-01-01,21.3
Y_LT25,PC_ACT,F,HR,2005-01-01,35.1
Y_LT25,PC_ACT,F,HR,2006-01-01,32.1
Y_LT25,PC_ACT,F,HR,2007-01-01,29.2
Y_LT25,PC_ACT,F,HR,2008-01-01,28.0
Y_LT25,PC_ACT,F,HR,2009-01-01,27.8
Y_LT25,PC_ACT,F,HR,2010-01-01,33.1
Y_LT25,PC_ACT,F,HR,2011-01-01,36.3
Y_LT25,PC_ACT,F,HR,2012-01-01,42.3
Y_LT25,PC_ACT,F,HR,2013-01-01,50.4
Y_LT25,PC_ACT,F,HR,2014-01-01,45.4
Y_LT25,PC_ACT,F,HR,2015-01-01,43.5
Y_LT25,PC_ACT,F,HR,2016-01-01,32.2
Y_LT25,PC_ACT,F,HR,2017-01-01,28.2
Y_LT25,PC_ACT,F,HU,2005-01-01,19.1
Y_LT25,PC_ACT,F,HU,2006-01-01,19.8
Y_LT25,PC_ACT,F,HU,2007-01-01,18.6
Y_LT25,PC_ACT,F,HU,2008-01-01,20.4
Y_LT25,PC_ACT,F,HU,2009-01-01,24.5
Y_LT25,PC_ACT,F,HU,2010-01-01,24.7
Y_LT25,PC_ACT,F,HU,2011-01-01,24.7
Y_LT25,PC_ACT,F,HU,2012-01-01,27.1
Y_LT25,PC_ACT,F,HU,2013-01-01,27.9
Y_LT25,PC_ACT,F,HU,2014-01-01,20.9
Y_LT25,PC_ACT,F,HU,2015-01-01,16.0
Y_LT25,PC_ACT,F,HU,2016-01-01,12.9
Y_LT25,PC_ACT,F,HU,2017-01-01,12.1
Y_LT25,PC_ACT,F,IE,2005-01-01,7.8
Y_LT25,PC_ACT,F,IE,2006-01-01,8.1
Y_LT25,PC_ACT,F,IE,2007-01-01,7.9
Y_LT25,PC_ACT,F,IE,2008-01-01,10.1
Y_LT25,PC_ACT,F,IE,2009-01-01,16.8
Y_LT25,PC_ACT,F,IE,2010-01-01,20.9
Y_LT25,PC_ACT,F,IE,2011-01-01,22.3
Y_LT25,PC_ACT,F,IE,2012-01-01,23.6
Y_LT25,PC_ACT,F,IE,2013-01-01,22.8
Y_LT25,PC_ACT,F,IE,2014-01-01,19.8
Y_LT25,PC_ACT,F,IE,2015-01-01,16.3
Y_LT25,PC_ACT,F,IE,2016-01-01,13.6
Y_LT25,PC_ACT,F,IE,2017-01-01,12.6
Y_LT25,PC_ACT,F,IS,2005-01-01,5.9
Y_LT25,PC_ACT,F,IS,2006-01-01,7.6
Y_LT25,PC_ACT,F,IS,2007-01-01,6.2
Y_LT25,PC_ACT,F,IS,2008-01-01,7.5
Y_LT25,PC_ACT,F,IS,2009-01-01,12.0
Y_LT25,PC_ACT,F,IS,2010-01-01,14.0
Y_LT25,PC_ACT,F,IS,2011-01-01,10.7
Y_LT25,PC_ACT,F,IS,2012-01-01,12.4
Y_LT25,PC_ACT,F,IS,2013-01-01,7.8
Y_LT25,PC_ACT,F,IS,2014-01-01,6.9
Y_LT25,PC_ACT,F,IS,2015-01-01,6.7
Y_LT25,PC_ACT,F,IS,2016-01-01,6.4
Y_LT25,PC_ACT,F,IS,2017-01-01,7.7
Y_LT25,PC_ACT,F,IT,2005-01-01,27.6
Y_LT25,PC_ACT,F,IT,2006-01-01,25.4
Y_LT25,PC_ACT,F,IT,2007-01-01,23.3
Y_LT25,PC_ACT,F,IT,2008-01-01,24.7
Y_LT25,PC_ACT,F,IT,2009-01-01,28.5
Y_LT25,PC_ACT,F,IT,2010-01-01,29.4
Y_LT25,PC_ACT,F,IT,2011-01-01,32.1
Y_LT25,PC_ACT,F,IT,2012-01-01,37.6
Y_LT25,PC_ACT,F,IT,2013-01-01,41.5
Y_LT25,PC_ACT,F,IT,2014-01-01,44.7
Y_LT25,PC_ACT,F,IT,2015-01-01,42.5
Y_LT25,PC_ACT,F,IT,2016-01-01,39.6
Y_LT25,PC_ACT,F,IT,2017-01-01,37.3
Y_LT25,PC_ACT,F,JP,2005-01-01,7.4
Y_LT25,PC_ACT,F,JP,2006-01-01,7.1
Y_LT25,PC_ACT,F,JP,2007-01-01,7.2
Y_LT25,PC_ACT,F,JP,2008-01-01,6.8
Y_LT25,PC_ACT,F,JP,2009-01-01,8.4
Y_LT25,PC_ACT,F,JP,2010-01-01,8.2
Y_LT25,PC_ACT,F,JP,2011-01-01,7.1
Y_LT25,PC_ACT,F,JP,2012-01-01,7.4
Y_LT25,PC_ACT,F,JP,2013-01-01,6.0
Y_LT25,PC_ACT,F,JP,2014-01-01,5.5
Y_LT25,PC_ACT,F,JP,2015-01-01,5.2
Y_LT25,PC_ACT,F,JP,2016-01-01,4.5
Y_LT25,PC_ACT,F,JP,2017-01-01,4.5
Y_LT25,PC_ACT,F,LT,2005-01-01,15.5
Y_LT25,PC_ACT,F,LT,2006-01-01,10.0
Y_LT25,PC_ACT,F,LT,2007-01-01,10.4
Y_LT25,PC_ACT,F,LT,2008-01-01,13.9
Y_LT25,PC_ACT,F,LT,2009-01-01,22.4
Y_LT25,PC_ACT,F,LT,2010-01-01,31.6
Y_LT25,PC_ACT,F,LT,2011-01-01,29.4
Y_LT25,PC_ACT,F,LT,2012-01-01,22.7
Y_LT25,PC_ACT,F,LT,2013-01-01,20.4
Y_LT25,PC_ACT,F,LT,2014-01-01,18.7
Y_LT25,PC_ACT,F,LT,2015-01-01,16.6
Y_LT25,PC_ACT,F,LT,2016-01-01,12.6
Y_LT25,PC_ACT,F,LT,2017-01-01,11.7
Y_LT25,PC_ACT,F,LU,2005-01-01,17.2
Y_LT25,PC_ACT,F,LU,2006-01-01,14.9
Y_LT25,PC_ACT,F,LU,2007-01-01,18.2
Y_LT25,PC_ACT,F,LU,2008-01-01,22.0
Y_LT25,PC_ACT,F,LU,2009-01-01,18.2
Y_LT25,PC_ACT,F,LU,2010-01-01,14.3
Y_LT25,PC_ACT,F,LU,2011-01-01,17.9
Y_LT25,PC_ACT,F,LU,2012-01-01,17.3
Y_LT25,PC_ACT,F,LU,2013-01-01,14.2
Y_LT25,PC_ACT,F,LU,2014-01-01,18.7
Y_LT25,PC_ACT,F,LU,2015-01-01,15.2
Y_LT25,PC_ACT,F,LU,2016-01-01,16.8
Y_LT25,PC_ACT,F,LU,2017-01-01,13.4
Y_LT25,PC_ACT,F,LV,2005-01-01,18.4
Y_LT25,PC_ACT,F,LV,2006-01-01,16.0
Y_LT25,PC_ACT,F,LV,2007-01-01,10.0
Y_LT25,PC_ACT,F,LV,2008-01-01,13.1
Y_LT25,PC_ACT,F,LV,2009-01-01,29.2
Y_LT25,PC_ACT,F,LV,2010-01-01,34.8
Y_LT25,PC_ACT,F,LV,2011-01-01,30.6
Y_LT25,PC_ACT,F,LV,2012-01-01,29.5
Y_LT25,PC_ACT,F,LV,2013-01-01,24.9
Y_LT25,PC_ACT,F,LV,2014-01-01,20.0
Y_LT25,PC_ACT,F,LV,2015-01-01,14.2
Y_LT25,PC_ACT,F,LV,2016-01-01,12.1
Y_LT25,PC_ACT,F,LV,2017-01-01,15.4
Y_LT25,PC_ACT,F,MT,2005-01-01,15.8
Y_LT25,PC_ACT,F,MT,2006-01-01,14.2
Y_LT25,PC_ACT,F,MT,2007-01-01,11.8
Y_LT25,PC_ACT,F,MT,2008-01-01,10.0
Y_LT25,PC_ACT,F,MT,2009-01-01,12.5
Y_LT25,PC_ACT,F,MT,2010-01-01,11.8
Y_LT25,PC_ACT,F,MT,2011-01-01,12.8
Y_LT25,PC_ACT,F,MT,2012-01-01,14.5
Y_LT25,PC_ACT,F,MT,2013-01-01,10.4
Y_LT25,PC_ACT,F,MT,2014-01-01,9.7
Y_LT25,PC_ACT,F,MT,2015-01-01,9.5
Y_LT25,PC_ACT,F,MT,2016-01-01,10.9
Y_LT25,PC_ACT,F,MT,2017-01-01,10.2
Y_LT25,PC_ACT,F,NL,2005-01-01,11.0
Y_LT25,PC_ACT,F,NL,2006-01-01,10.1
Y_LT25,PC_ACT,F,NL,2007-01-01,9.3
Y_LT25,PC_ACT,F,NL,2008-01-01,7.8
Y_LT25,PC_ACT,F,NL,2009-01-01,9.0
Y_LT25,PC_ACT,F,NL,2010-01-01,10.1
Y_LT25,PC_ACT,F,NL,2011-01-01,9.5
Y_LT25,PC_ACT,F,NL,2012-01-01,11.6
Y_LT25,PC_ACT,F,NL,2013-01-01,12.9
Y_LT25,PC_ACT,F,NL,2014-01-01,13.1
Y_LT25,PC_ACT,F,NL,2015-01-01,11.2
Y_LT25,PC_ACT,F,NL,2016-01-01,10.3
Y_LT25,PC_ACT,F,NL,2017-01-01,8.8
Y_LT25,PC_ACT,F,NO,2005-01-01,10.9
Y_LT25,PC_ACT,F,NO,2006-01-01,9.2
Y_LT25,PC_ACT,F,NO,2007-01-01,6.6
Y_LT25,PC_ACT,F,NO,2008-01-01,7.2
Y_LT25,PC_ACT,F,NO,2009-01-01,8.4
Y_LT25,PC_ACT,F,NO,2010-01-01,8.0
Y_LT25,PC_ACT,F,NO,2011-01-01,7.9
Y_LT25,PC_ACT,F,NO,2012-01-01,7.7
Y_LT25,PC_ACT,F,NO,2013-01-01,8.0
Y_LT25,PC_ACT,F,NO,2014-01-01,7.1
Y_LT25,PC_ACT,F,NO,2015-01-01,9.4
Y_LT25,PC_ACT,F,NO,2016-01-01,9.7
Y_LT25,PC_ACT,F,NO,2017-01-01,9.3
Y_LT25,PC_ACT,F,PL,2005-01-01,38.4
Y_LT25,PC_ACT,F,PL,2006-01-01,31.6
Y_LT25,PC_ACT,F,PL,2007-01-01,23.7
Y_LT25,PC_ACT,F,PL,2008-01-01,19.7
Y_LT25,PC_ACT,F,PL,2009-01-01,21.1
Y_LT25,PC_ACT,F,PL,2010-01-01,25.4
Y_LT25,PC_ACT,F,PL,2011-01-01,28.8
Y_LT25,PC_ACT,F,PL,2012-01-01,30.0
Y_LT25,PC_ACT,F,PL,2013-01-01,30.1
Y_LT25,PC_ACT,F,PL,2014-01-01,25.5
Y_LT25,PC_ACT,F,PL,2015-01-01,20.9
Y_LT25,PC_ACT,F,PL,2016-01-01,18.0
Y_LT25,PC_ACT,F,PL,2017-01-01,15.1
Y_LT25,PC_ACT,F,PT,2005-01-01,23.5
Y_LT25,PC_ACT,F,PT,2006-01-01,22.8
Y_LT25,PC_ACT,F,PT,2007-01-01,24.6
Y_LT25,PC_ACT,F,PT,2008-01-01,24.6
Y_LT25,PC_ACT,F,PT,2009-01-01,26.1
Y_LT25,PC_ACT,F,PT,2010-01-01,29.2
Y_LT25,PC_ACT,F,PT,2011-01-01,31.5
Y_LT25,PC_ACT,F,PT,2012-01-01,39.4
Y_LT25,PC_ACT,F,PT,2013-01-01,39.7
Y_LT25,PC_ACT,F,PT,2014-01-01,35.5
Y_LT25,PC_ACT,F,PT,2015-01-01,34.4
Y_LT25,PC_ACT,F,PT,2016-01-01,29.1
Y_LT25,PC_ACT,F,PT,2017-01-01,25.3
Y_LT25,PC_ACT,F,RO,2005-01-01,17.8
Y_LT25,PC_ACT,F,RO,2006-01-01,19.7
Y_LT25,PC_ACT,F,RO,2007-01-01,17.6
Y_LT25,PC_ACT,F,RO,2008-01-01,17.3
Y_LT25,PC_ACT,F,RO,2009-01-01,19.2
Y_LT25,PC_ACT,F,RO,2010-01-01,22.1
Y_LT25,PC_ACT,F,RO,2011-01-01,23.7
Y_LT25,PC_ACT,F,RO,2012-01-01,23.0
Y_LT25,PC_ACT,F,RO,2013-01-01,24.6
Y_LT25,PC_ACT,F,RO,2014-01-01,24.7
Y_LT25,PC_ACT,F,RO,2015-01-01,23.4
Y_LT25,PC_ACT,F,RO,2016-01-01,21.8
Y_LT25,PC_ACT,F,RO,2017-01-01,18.6
Y_LT25,PC_ACT,F,SE,2005-01-01,22.5
Y_LT25,PC_ACT,F,SE,2006-01-01,22.0
Y_LT25,PC_ACT,F,SE,2007-01-01,19.8
Y_LT25,PC_ACT,F,SE,2008-01-01,20.8
Y_LT25,PC_ACT,F,SE,2009-01-01,23.7
Y_LT25,PC_ACT,F,SE,2010-01-01,23.6
Y_LT25,PC_ACT,F,SE,2011-01-01,22.2
Y_LT25,PC_ACT,F,SE,2012-01-01,22.3
Y_LT25,PC_ACT,F,SE,2013-01-01,22.3
Y_LT25,PC_ACT,F,SE,2014-01-01,21.5
Y_LT25,PC_ACT,F,SE,2015-01-01,19.5
Y_LT25,PC_ACT,F,SE,2016-01-01,17.2
Y_LT25,PC_ACT,F,SE,2017-01-01,16.8
Y_LT25,PC_ACT,F,SI,2005-01-01,17.8
Y_LT25,PC_ACT,F,SI,2006-01-01,16.8
Y_LT25,PC_ACT,F,SI,2007-01-01,11.2
Y_LT25,PC_ACT,F,SI,2008-01-01,11.3
Y_LT25,PC_ACT,F,SI,2009-01-01,13.4
Y_LT25,PC_ACT,F,SI,2010-01-01,13.8
Y_LT25,PC_ACT,F,SI,2011-01-01,16.8
Y_LT25,PC_ACT,F,SI,2012-01-01,21.0
Y_LT25,PC_ACT,F,SI,2013-01-01,23.7
Y_LT25,PC_ACT,F,SI,2014-01-01,21.3
Y_LT25,PC_ACT,F,SI,2015-01-01,14.6
Y_LT25,PC_ACT,F,SI,2016-01-01,14.7
Y_LT25,PC_ACT,F,SI,2017-01-01,13.0
Y_LT25,PC_ACT,F,SK,2005-01-01,29.4
Y_LT25,PC_ACT,F,SK,2006-01-01,27.5
Y_LT25,PC_ACT,F,SK,2007-01-01,20.7
Y_LT25,PC_ACT,F,SK,2008-01-01,20.3
Y_LT25,PC_ACT,F,SK,2009-01-01,27.1
