na_item,unit,geotime,date,value
B1GQ,EUR_M3_CLV10,CY,2008-01-01,121
B1GQ,EUR_M3_CLV10,CY,2009-01-01,103
B1GQ,EUR_M3_CLV10,CY,2010-01-01,96
B1GQ,EUR_M3_CLV10,CY,2011-01-01,87
B1GQ,EUR_M3_CLV10,CY,2012-01-01,73
B1GQ,EUR_M3_CLV10,CY,2013-01-01,69
B1GQ,EUR_M3_CLV10,CY,2014-01-01,80
B1GQ,EUR_M3_CLV10,CY,2015-01-01,76
B1GQ,EUR_M3_CLV10,CZ,1990-01-01,
B1GQ,EUR_M3_CLV10,CZ,1991-01-01,
B1GQ,EUR_M3_CLV10,CZ,1992-01-01,
B1GQ,EUR_M3_CLV10,CZ,1993-01-01,
B1GQ,EUR_M3_CLV10,CZ,1994-01-01,
B1GQ,EUR_M3_CLV10,CZ,1995-01-01,38
B1GQ,EUR_M3_CLV10,CZ,1996-01-01,42
B1GQ,EUR_M3_CLV10,CZ,1997-01-01,43
B1GQ,EUR_M3_CLV10,CZ,1998-01-01,47
B1GQ,EUR_M3_CLV10,CZ,1999-01-01,55
B1GQ,EUR_M3_CLV10,CZ,2000-01-01,59
B1GQ,EUR_M3_CLV10,CZ,2001-01-01,64
B1GQ,EUR_M3_CLV10,CZ,2002-01-01,62
B1GQ,EUR_M3_CLV10,CZ,2003-01-01,58
B1GQ,EUR_M3_CLV10,CZ,2004-01-01,64
B1GQ,EUR_M3_CLV10,CZ,2005-01-01,71
B1GQ,EUR_M3_CLV10,CZ,2006-01-01,76
B1GQ,EUR_M3_CLV10,CZ,2007-01-01,79
B1GQ,EUR_M3_CLV10,CZ,2008-01-01,81
B1GQ,EUR_M3_CLV10,CZ,2009-01-01,78
B1GQ,EUR_M3_CLV10,CZ,2010-01-01,80
B1GQ,EUR_M3_CLV10,CZ,2011-01-01,84
B1GQ,EUR_M3_CLV10,CZ,2012-01-01,86
B1GQ,EUR_M3_CLV10,CZ,2013-01-01,95
B1GQ,EUR_M3_CLV10,CZ,2014-01-01,98
B1GQ,EUR_M3_CLV10,CZ,2015-01-01,106
B1GQ,EUR_M3_CLV10,DE,1990-01-01,
B1GQ,EUR_M3_CLV10,DE,1991-01-01,44
B1GQ,EUR_M3_CLV10,DE,1992-01-01,
B1GQ,EUR_M3_CLV10,DE,1993-01-01,
B1GQ,EUR_M3_CLV10,DE,1994-01-01,
B1GQ,EUR_M3_CLV10,DE,1995-01-01,49
B1GQ,EUR_M3_CLV10,DE,1996-01-01,
B1GQ,EUR_M3_CLV10,DE,1997-01-01,
B1GQ,EUR_M3_CLV10,DE,1998-01-01,55
B1GQ,EUR_M3_CLV10,DE,1999-01-01,
B1GQ,EUR_M3_CLV10,DE,2000-01-01,
B1GQ,EUR_M3_CLV10,DE,2001-01-01,63
B1GQ,EUR_M3_CLV10,DE,2002-01-01,
B1GQ,EUR_M3_CLV10,DE,2003-01-01,
B1GQ,EUR_M3_CLV10,DE,2004-01-01,67
B1GQ,EUR_M3_CLV10,DE,2005-01-01,
B1GQ,EUR_M3_CLV10,DE,2006-01-01,
B1GQ,EUR_M3_CLV10,DE,2007-01-01,80
B1GQ,EUR_M3_CLV10,DE,2008-01-01,
B1GQ,EUR_M3_CLV10,DE,2009-01-01,
B1GQ,EUR_M3_CLV10,DE,2010-01-01,78
B1GQ,EUR_M3_CLV10,DE,2011-01-01,
B1GQ,EUR_M3_CLV10,DE,2012-01-01,
B1GQ,EUR_M3_CLV10,DE,2013-01-01,
B1GQ,EUR_M3_CLV10,DE,2014-01-01,
B1GQ,EUR_M3_CLV10,DE,2015-01-01,
B1GQ,EUR_M3_CLV10,DK,1990-01-01,137
B1GQ,EUR_M3_CLV10,DK,1991-01-01,193
B1GQ,EUR_M3_CLV10,DK,1992-01-01,
B1GQ,EUR_M3_CLV10,DK,1993-01-01,
B1GQ,EUR_M3_CLV10,DK,1994-01-01,
B1GQ,EUR_M3_CLV10,DK,1995-01-01,218
B1GQ,EUR_M3_CLV10,DK,1996-01-01,207
B1GQ,EUR_M3_CLV10,DK,1997-01-01,221
B1GQ,EUR_M3_CLV10,DK,1998-01-01,279
B1GQ,EUR_M3_CLV10,DK,1999-01-01,309
B1GQ,EUR_M3_CLV10,DK,2000-01-01,310
B1GQ,EUR_M3_CLV10,DK,2001-01-01,320
B1GQ,EUR_M3_CLV10,DK,2002-01-01,341
B1GQ,EUR_M3_CLV10,DK,2003-01-01,351
B1GQ,EUR_M3_CLV10,DK,2004-01-01,347
B1GQ,EUR_M3_CLV10,DK,2005-01-01,373
B1GQ,EUR_M3_CLV10,DK,2006-01-01,370
B1GQ,EUR_M3_CLV10,DK,2007-01-01,442
B1GQ,EUR_M3_CLV10,DK,2008-01-01,360
B1GQ,EUR_M3_CLV10,DK,2009-01-01,361
B1GQ,EUR_M3_CLV10,DK,2010-01-01,371
B1GQ,EUR_M3_CLV10,DK,2011-01-01,253
B1GQ,EUR_M3_CLV10,DK,2012-01-01,378
B1GQ,EUR_M3_CLV10,DK,2013-01-01,327
B1GQ,EUR_M3_CLV10,DK,2014-01-01,339
B1GQ,EUR_M3_CLV10,DK,2015-01-01,
B1GQ,EUR_M3_CLV10,EE,1990-01-01,
B1GQ,EUR_M3_CLV10,EE,1991-01-01,
B1GQ,EUR_M3_CLV10,EE,1992-01-01,
B1GQ,EUR_M3_CLV10,EE,1993-01-01,
B1GQ,EUR_M3_CLV10,EE,1994-01-01,
B1GQ,EUR_M3_CLV10,EE,1995-01-01,4
B1GQ,EUR_M3_CLV10,EE,1996-01-01,5
B1GQ,EUR_M3_CLV10,EE,1997-01-01,5
B1GQ,EUR_M3_CLV10,EE,1998-01-01,6
B1GQ,EUR_M3_CLV10,EE,1999-01-01,6
B1GQ,EUR_M3_CLV10,EE,2000-01-01,7
B1GQ,EUR_M3_CLV10,EE,2001-01-01,7
B1GQ,EUR_M3_CLV10,EE,2002-01-01,8
B1GQ,EUR_M3_CLV10,EE,2003-01-01,7
B1GQ,EUR_M3_CLV10,EE,2004-01-01,7
B1GQ,EUR_M3_CLV10,EE,2005-01-01,9
B1GQ,EUR_M3_CLV10,EE,2006-01-01,10
B1GQ,EUR_M3_CLV10,EE,2007-01-01,9
B1GQ,EUR_M3_CLV10,EE,2008-01-01,10
B1GQ,EUR_M3_CLV10,EE,2009-01-01,10
B1GQ,EUR_M3_CLV10,EE,2010-01-01,8
B1GQ,EUR_M3_CLV10,EE,2011-01-01,8
B1GQ,EUR_M3_CLV10,EE,2012-01-01,10
B1GQ,EUR_M3_CLV10,EE,2013-01-01,9
B1GQ,EUR_M3_CLV10,EE,2014-01-01,10
B1GQ,EUR_M3_CLV10,EE,2015-01-01,
B1GQ,EUR_M3_CLV10,EL,1990-01-01,
B1GQ,EUR_M3_CLV10,EL,1991-01-01,
B1GQ,EUR_M3_CLV10,EL,1992-01-01,
B1GQ,EUR_M3_CLV10,EL,1993-01-01,
B1GQ,EUR_M3_CLV10,EL,1994-01-01,
B1GQ,EUR_M3_CLV10,EL,1995-01-01,20
B1GQ,EUR_M3_CLV10,EL,1996-01-01,21
B1GQ,EUR_M3_CLV10,EL,1997-01-01,19
B1GQ,EUR_M3_CLV10,EL,1998-01-01,
B1GQ,EUR_M3_CLV10,EL,1999-01-01,
B1GQ,EUR_M3_CLV10,EL,2000-01-01,19
B1GQ,EUR_M3_CLV10,EL,2001-01-01,20
B1GQ,EUR_M3_CLV10,EL,2002-01-01,22
B1GQ,EUR_M3_CLV10,EL,2003-01-01,23
B1GQ,EUR_M3_CLV10,EL,2004-01-01,23
B1GQ,EUR_M3_CLV10,EL,2005-01-01,23
B1GQ,EUR_M3_CLV10,EL,2006-01-01,25
B1GQ,EUR_M3_CLV10,EL,2007-01-01,26
B1GQ,EUR_M3_CLV10,EL,2008-01-01,
B1GQ,EUR_M3_CLV10,EL,2009-01-01,
B1GQ,EUR_M3_CLV10,EL,2010-01-01,
B1GQ,EUR_M3_CLV10,EL,2011-01-01,20
B1GQ,EUR_M3_CLV10,EL,2012-01-01,19
B1GQ,EUR_M3_CLV10,EL,2013-01-01,18
B1GQ,EUR_M3_CLV10,EL,2014-01-01,18
B1GQ,EUR_M3_CLV10,EL,2015-01-01,18
