na_item,unit,geo\time,date,value
P6,CLV_PCH_PRE,DK,2008-01-01,0.9
P6,CLV_PCH_PRE,DK,2009-01-01,0.8
P6,CLV_PCH_PRE,DK,2010-01-01,-9.8
P6,CLV_PCH_PRE,DK,2011-01-01,0.1 
P6,CLV_PCH_PRE,DK,2012-01-01,-1.9 
P6,CLV_PCH_PRE,DK,2013-01-01,-2.2 
P6,CLV_PCH_PRE,DK,2014-01-01,-0.6 
P6,CLV_PCH_PRE,DK,2015-01-01,-0.7 
P6,CLV_PCH_PRE,DK,2016-01-01,0.6 
P6,CLV_PCH_PRE,DK,2017-01-01,-0.9 
P6,CLV_PCH_PRE,EE,1995-01-01,: 
P6,CLV_PCH_PRE,EE,1996-01-01,-3.6 
P6,CLV_PCH_PRE,EE,1997-01-01,15.2 
P6,CLV_PCH_PRE,EE,1998-01-01,8.9 
P6,CLV_PCH_PRE,EE,1999-01-01,-4.1 
P6,CLV_PCH_PRE,EE,2000-01-01,-19.2 
P6,CLV_PCH_PRE,EE,2001-01-01,5.8
P6,CLV_PCH_PRE,EE,2002-01-01,-1.1
P6,CLV_PCH_PRE,EE,2003-01-01,4.5
P6,CLV_PCH_PRE,EE,2004-01-01,6.1
P6,CLV_PCH_PRE,EE,2005-01-01,12.1
P6,CLV_PCH_PRE,EE,2006-01-01,-0.1
P6,CLV_PCH_PRE,EE,2007-01-01,4.7
P6,CLV_PCH_PRE,EE,2008-01-01,-2.1
P6,CLV_PCH_PRE,EE,2009-01-01,-10.3
P6,CLV_PCH_PRE,EE,2010-01-01,11.3
P6,CLV_PCH_PRE,EE,2011-01-01,17.1 
P6,CLV_PCH_PRE,EE,2012-01-01,1.7 
P6,CLV_PCH_PRE,EE,2013-01-01,-1.0 
P6,CLV_PCH_PRE,EE,2014-01-01,-0.9 
P6,CLV_PCH_PRE,EE,2015-01-01,-4.4 
P6,CLV_PCH_PRE,EE,2016-01-01,3.0 
P6,CLV_PCH_PRE,EE,2017-01-01,-1.8 
P6,CLV_PCH_PRE,EL,1995-01-01,: 
P6,CLV_PCH_PRE,EL,1996-01-01,-2.1 
P6,CLV_PCH_PRE,EL,1997-01-01,12.9 
P6,CLV_PCH_PRE,EL,1998-01-01,0.2 
P6,CLV_PCH_PRE,EL,1999-01-01,19.8 
P6,CLV_PCH_PRE,EL,2000-01-01,10.0 
P6,CLV_PCH_PRE,EL,2001-01-01,-0.4
P6,CLV_PCH_PRE,EL,2002-01-01,-11.2
P6,CLV_PCH_PRE,EL,2003-01-01,-6.4
P6,CLV_PCH_PRE,EL,2004-01-01,7.4
P6,CLV_PCH_PRE,EL,2005-01-01,-4.5
P6,CLV_PCH_PRE,EL,2006-01-01,-4.4
P6,CLV_PCH_PRE,EL,2007-01-01,2.7
P6,CLV_PCH_PRE,EL,2008-01-01,0.5
P6,CLV_PCH_PRE,EL,2009-01-01,-8.5
P6,CLV_PCH_PRE,EL,2010-01-01,-7.8
P6,CLV_PCH_PRE,EL,2011-01-01,-7.1 p
P6,CLV_PCH_PRE,EL,2012-01-01,-1.9 p
P6,CLV_PCH_PRE,EL,2013-01-01,-2.3 p
P6,CLV_PCH_PRE,EL,2014-01-01,4.0 p
P6,CLV_PCH_PRE,EL,2015-01-01,0.2 p
P6,CLV_PCH_PRE,EL,2016-01-01,-4.0 p
P6,CLV_PCH_PRE,EL,2017-01-01,1.5 p
P6,CLV_PCH_PRE,ES,1995-01-01,: 
P6,CLV_PCH_PRE,ES,1996-01-01,3.7 
P6,CLV_PCH_PRE,ES,1997-01-01,4.4 
P6,CLV_PCH_PRE,ES,1998-01-01,3.7 
P6,CLV_PCH_PRE,ES,1999-01-01,3.4 
P6,CLV_PCH_PRE,ES,2000-01-01,-1.7 
P6,CLV_PCH_PRE,ES,2001-01-01,3.2
P6,CLV_PCH_PRE,ES,2002-01-01,-2.5
P6,CLV_PCH_PRE,ES,2003-01-01,-2.3
P6,CLV_PCH_PRE,ES,2004-01-01,-6.9
P6,CLV_PCH_PRE,ES,2005-01-01,-6.0
P6,CLV_PCH_PRE,ES,2006-01-01,-4.7
P6,CLV_PCH_PRE,ES,2007-01-01,0.4
P6,CLV_PCH_PRE,ES,2008-01-01,-3.8
P6,CLV_PCH_PRE,ES,2009-01-01,-1.0
P6,CLV_PCH_PRE,ES,2010-01-01,-3.3
P6,CLV_PCH_PRE,ES,2011-01-01,0.3 
P6,CLV_PCH_PRE,ES,2012-01-01,-2.0 
P6,CLV_PCH_PRE,ES,2013-01-01,0.5 
P6,CLV_PCH_PRE,ES,2014-01-01,0.6 
P6,CLV_PCH_PRE,ES,2015-01-01,1.3 
P6,CLV_PCH_PRE,ES,2016-01-01,3.0 p
P6,CLV_PCH_PRE,ES,2017-01-01,-0.1 p
P6,CLV_PCH_PRE,FI,1995-01-01,-0.8 
P6,CLV_PCH_PRE,FI,1996-01-01,-0.4 
P6,CLV_PCH_PRE,FI,1997-01-01,3.8 
P6,CLV_PCH_PRE,FI,1998-01-01,4.6 
P6,CLV_PCH_PRE,FI,1999-01-01,6.7 
P6,CLV_PCH_PRE,FI,2000-01-01,3.9 
P6,CLV_PCH_PRE,FI,2001-01-01,0.8
P6,CLV_PCH_PRE,FI,2002-01-01,-0.2
P6,CLV_PCH_PRE,FI,2003-01-01,-6.9
P6,CLV_PCH_PRE,FI,2004-01-01,-2.5
P6,CLV_PCH_PRE,FI,2005-01-01,-0.9
P6,CLV_PCH_PRE,FI,2006-01-01,0.5
P6,CLV_PCH_PRE,FI,2007-01-01,1.2
P6,CLV_PCH_PRE,FI,2008-01-01,3.6
P6,CLV_PCH_PRE,FI,2009-01-01,-10.1
P6,CLV_PCH_PRE,FI,2010-01-01,-6.5
P6,CLV_PCH_PRE,FI,2011-01-01,-5.1 
P6,CLV_PCH_PRE,FI,2012-01-01,-1.9 
P6,CLV_PCH_PRE,FI,2013-01-01,-2.7 
P6,CLV_PCH_PRE,FI,2014-01-01,-6.4 
P6,CLV_PCH_PRE,FI,2015-01-01,-2.1 
P6,CLV_PCH_PRE,FI,2016-01-01,1.8 
P6,CLV_PCH_PRE,FI,2017-01-01,2.2 
P6,CLV_PCH_PRE,FR,1995-01-01,-0.7 
P6,CLV_PCH_PRE,FR,1996-01-01,-1.9 
P6,CLV_PCH_PRE,FR,1997-01-01,2.8 
P6,CLV_PCH_PRE,FR,1998-01-01,4.5 
P6,CLV_PCH_PRE,FR,1999-01-01,0.5 
P6,CLV_PCH_PRE,FR,2000-01-01,0.7 
P6,CLV_PCH_PRE,FR,2001-01-01,2.6
P6,CLV_PCH_PRE,FR,2002-01-01,-1.9
P6,CLV_PCH_PRE,FR,2003-01-01,-6.7
P6,CLV_PCH_PRE,FR,2004-01-01,-5.8
P6,CLV_PCH_PRE,FR,2005-01-01,-3.8
P6,CLV_PCH_PRE,FR,2006-01-01,-3.6
P6,CLV_PCH_PRE,FR,2007-01-01,-5.1
P6,CLV_PCH_PRE,FR,2008-01-01,-2.6
P6,CLV_PCH_PRE,FR,2009-01-01,-0.9
P6,CLV_PCH_PRE,FR,2010-01-01,-4.0
P6,CLV_PCH_PRE,FR,2011-01-01,-0.7 
P6,CLV_PCH_PRE,FR,2012-01-01,-0.3 
P6,CLV_PCH_PRE,FR,2013-01-01,-1.7 
P6,CLV_PCH_PRE,FR,2014-01-01,-0.4 
