sex,age,unit,isced11,geotime,date,value
T,Y20-29,PC,TOTAL,ES,2005-01-01,67
T,Y20-29,PC,TOTAL,ES,2006-01-01,69
T,Y20-29,PC,TOTAL,ES,2007-01-01,69
T,Y20-29,PC,TOTAL,ES,2008-01-01,66
T,Y20-29,PC,TOTAL,ES,2009-01-01,57
T,Y20-29,PC,TOTAL,ES,2010-01-01,54
T,Y20-29,PC,TOTAL,ES,2011-01-01,51
T,Y20-29,PC,TOTAL,ES,2012-01-01,
T,Y20-29,PC,TOTAL,ES,2013-01-01,
T,Y20-29,PC,TOTAL,ES,2014-01-01,45
T,Y20-29,PC,TOTAL,ES,2015-01-01,47
T,Y20-29,PC,TOTAL,ES,2016-01-01,48
T,Y20-29,PC,TOTAL,ES,2017-01-01,51
T,Y20-29,PC,TOTAL,EU27,2005-01-01,63
T,Y20-29,PC,TOTAL,EU27,2006-01-01,64
T,Y20-29,PC,TOTAL,EU27,2007-01-01,65
T,Y20-29,PC,TOTAL,EU27,2008-01-01,65
T,Y20-29,PC,TOTAL,EU27,2009-01-01,62
T,Y20-29,PC,TOTAL,EU27,2010-01-01,61
T,Y20-29,PC,TOTAL,EU27,2011-01-01,61
T,Y20-29,PC,TOTAL,EU27,2012-01-01,
T,Y20-29,PC,TOTAL,EU27,2013-01-01,
T,Y20-29,PC,TOTAL,EU27,2014-01-01,60
T,Y20-29,PC,TOTAL,EU27,2015-01-01,61
T,Y20-29,PC,TOTAL,EU27,2016-01-01,62
T,Y20-29,PC,TOTAL,EU27,2017-01-01,64
T,Y20-29,PC,TOTAL,EU28,2005-01-01,63
T,Y20-29,PC,TOTAL,EU28,2006-01-01,64
T,Y20-29,PC,TOTAL,EU28,2007-01-01,65
T,Y20-29,PC,TOTAL,EU28,2008-01-01,65
T,Y20-29,PC,TOTAL,EU28,2009-01-01,62
T,Y20-29,PC,TOTAL,EU28,2010-01-01,61
T,Y20-29,PC,TOTAL,EU28,2011-01-01,61
T,Y20-29,PC,TOTAL,EU28,2012-01-01,
T,Y20-29,PC,TOTAL,EU28,2013-01-01,
T,Y20-29,PC,TOTAL,EU28,2014-01-01,60
T,Y20-29,PC,TOTAL,EU28,2015-01-01,61
T,Y20-29,PC,TOTAL,EU28,2016-01-01,62
T,Y20-29,PC,TOTAL,EU28,2017-01-01,63
T,Y20-29,PC,TOTAL,FI,2005-01-01,67
T,Y20-29,PC,TOTAL,FI,2006-01-01,69
T,Y20-29,PC,TOTAL,FI,2007-01-01,71
T,Y20-29,PC,TOTAL,FI,2008-01-01,72
T,Y20-29,PC,TOTAL,FI,2009-01-01,67
T,Y20-29,PC,TOTAL,FI,2010-01-01,67
T,Y20-29,PC,TOTAL,FI,2011-01-01,67
T,Y20-29,PC,TOTAL,FI,2012-01-01,
T,Y20-29,PC,TOTAL,FI,2013-01-01,
T,Y20-29,PC,TOTAL,FI,2014-01-01,65
T,Y20-29,PC,TOTAL,FI,2015-01-01,64
T,Y20-29,PC,TOTAL,FI,2016-01-01,65
T,Y20-29,PC,TOTAL,FI,2017-01-01,66
T,Y20-29,PC,TOTAL,FR,2005-01-01,63
T,Y20-29,PC,TOTAL,FR,2006-01-01,63
T,Y20-29,PC,TOTAL,FR,2007-01-01,64
T,Y20-29,PC,TOTAL,FR,2008-01-01,65
T,Y20-29,PC,TOTAL,FR,2009-01-01,63
T,Y20-29,PC,TOTAL,FR,2010-01-01,63
T,Y20-29,PC,TOTAL,FR,2011-01-01,62
T,Y20-29,PC,TOTAL,FR,2012-01-01,
T,Y20-29,PC,TOTAL,FR,2013-01-01,
T,Y20-29,PC,TOTAL,FR,2014-01-01,60
T,Y20-29,PC,TOTAL,FR,2015-01-01,60
T,Y20-29,PC,TOTAL,FR,2016-01-01,61
T,Y20-29,PC,TOTAL,FR,2017-01-01,62
T,Y20-29,PC,TOTAL,HR,2005-01-01,55
T,Y20-29,PC,TOTAL,HR,2006-01-01,55
T,Y20-29,PC,TOTAL,HR,2007-01-01,60
T,Y20-29,PC,TOTAL,HR,2008-01-01,61
