n_item,unit,age,sex,geotime,date,value
GE3,PC,TOTAL,F,CH,2015-01-01,4.9
GE3,PC,TOTAL,F,CH,2016-01-01,5.5
GE3,PC,TOTAL,F,CH,2017-01-01,
GE3,PC,TOTAL,F,CY,2006-01-01,31.0
GE3,PC,TOTAL,F,CY,2007-01-01,31.9
GE3,PC,TOTAL,F,CY,2008-01-01,25.3
GE3,PC,TOTAL,F,CY,2009-01-01,25.3
GE3,PC,TOTAL,F,CY,2010-01-01,28.6
GE3,PC,TOTAL,F,CY,2011-01-01,29.8
GE3,PC,TOTAL,F,CY,2012-01-01,32.1
GE3,PC,TOTAL,F,CY,2013-01-01,36.1
GE3,PC,TOTAL,F,CY,2014-01-01,36.7
GE3,PC,TOTAL,F,CY,2015-01-01,34.0
GE3,PC,TOTAL,F,CY,2016-01-01,29.9
GE3,PC,TOTAL,F,CY,2017-01-01,28.8
GE3,PC,TOTAL,F,CZ,2006-01-01,20.6
GE3,PC,TOTAL,F,CZ,2007-01-01,17.3
GE3,PC,TOTAL,F,CZ,2008-01-01,17.3
GE3,PC,TOTAL,F,CZ,2009-01-01,16.7
GE3,PC,TOTAL,F,CZ,2010-01-01,16.2
GE3,PC,TOTAL,F,CZ,2011-01-01,17.4
GE3,PC,TOTAL,F,CZ,2012-01-01,18.4
GE3,PC,TOTAL,F,CZ,2013-01-01,17.2
GE3,PC,TOTAL,F,CZ,2014-01-01,17.9
GE3,PC,TOTAL,F,CZ,2015-01-01,14.5
GE3,PC,TOTAL,F,CZ,2016-01-01,12.8
GE3,PC,TOTAL,F,CZ,2017-01-01,10.6
GE3,PC,TOTAL,F,DE,2006-01-01,14.1
GE3,PC,TOTAL,F,DE,2007-01-01,13.1
GE3,PC,TOTAL,F,DE,2008-01-01,13.7
GE3,PC,TOTAL,F,DE,2009-01-01,13.1
GE3,PC,TOTAL,F,DE,2010-01-01,11.5
GE3,PC,TOTAL,F,DE,2011-01-01,13.3
GE3,PC,TOTAL,F,DE,2012-01-01,12.2
GE3,PC,TOTAL,F,DE,2013-01-01,12.5
GE3,PC,TOTAL,F,DE,2014-01-01,12.1
GE3,PC,TOTAL,F,DE,2015-01-01,11.2
GE3,PC,TOTAL,F,DE,2016-01-01,10.4
GE3,PC,TOTAL,F,DE,2017-01-01,9.9
GE3,PC,TOTAL,F,DK,2006-01-01,8.5
GE3,PC,TOTAL,F,DK,2007-01-01,7.9
GE3,PC,TOTAL,F,DK,2008-01-01,6.3
GE3,PC,TOTAL,F,DK,2009-01-01,6.3
GE3,PC,TOTAL,F,DK,2010-01-01,6.1
GE3,PC,TOTAL,F,DK,2011-01-01,7.3
GE3,PC,TOTAL,F,DK,2012-01-01,7.6
GE3,PC,TOTAL,F,DK,2013-01-01,9.7
GE3,PC,TOTAL,F,DK,2014-01-01,8.2
GE3,PC,TOTAL,F,DK,2015-01-01,8.3
GE3,PC,TOTAL,F,DK,2016-01-01,6.6
GE3,PC,TOTAL,F,DK,2017-01-01,6.6
GE3,PC,TOTAL,F,EA18,2006-01-01,14.8
GE3,PC,TOTAL,F,EA18,2007-01-01,14.1
GE3,PC,TOTAL,F,EA18,2008-01-01,14.6
GE3,PC,TOTAL,F,EA18,2009-01-01,14.7
GE3,PC,TOTAL,F,EA18,2010-01-01,14.7
GE3,PC,TOTAL,F,EA18,2011-01-01,16.0
GE3,PC,TOTAL,F,EA18,2012-01-01,16.9
GE3,PC,TOTAL,F,EA18,2013-01-01,16.9
GE3,PC,TOTAL,F,EA18,2014-01-01,16.8
GE3,PC,TOTAL,F,EA18,2015-01-01,15.8
GE3,PC,TOTAL,F,EA18,2016-01-01,14.8
GE3,PC,TOTAL,F,EA18,2017-01-01,13.4
GE3,PC,TOTAL,F,EA19,2006-01-01,15.1
GE3,PC,TOTAL,F,EA19,2007-01-01,14.3
GE3,PC,TOTAL,F,EA19,2008-01-01,14.7
GE3,PC,TOTAL,F,EA19,2009-01-01,14.8
GE3,PC,TOTAL,F,EA19,2010-01-01,14.9
GE3,PC,TOTAL,F,EA19,2011-01-01,16.2
GE3,PC,TOTAL,F,EA19,2012-01-01,17.0
GE3,PC,TOTAL,F,EA19,2013-01-01,17.0
GE3,PC,TOTAL,F,EA19,2014-01-01,16.9
GE3,PC,TOTAL,F,EA19,2015-01-01,15.9
GE3,PC,TOTAL,F,EA19,2016-01-01,14.9
GE3,PC,TOTAL,F,EA19,2017-01-01,13.5
GE3,PC,TOTAL,F,EE,2006-01-01,19.0
GE3,PC,TOTAL,F,EE,2007-01-01,16.9
GE3,PC,TOTAL,F,EE,2008-01-01,13.1
GE3,PC,TOTAL,F,EE,2009-01-01,17.4
GE3,PC,TOTAL,F,EE,2010-01-01,22.5
GE3,PC,TOTAL,F,EE,2011-01-01,21.6
GE3,PC,TOTAL,F,EE,2012-01-01,22.1
GE3,PC,TOTAL,F,EE,2013-01-01,19.9
GE3,PC,TOTAL,F,EE,2014-01-01,16.3
GE3,PC,TOTAL,F,EE,2015-01-01,13.0
GE3,PC,TOTAL,F,EE,2016-01-01,12.5
GE3,PC,TOTAL,F,EE,2017-01-01,12.5
GE3,PC,TOTAL,F,EL,2006-01-01,24.7
GE3,PC,TOTAL,F,EL,2007-01-01,23.1
GE3,PC,TOTAL,F,EL,2008-01-01,23.4
GE3,PC,TOTAL,F,EL,2009-01-01,24.2
GE3,PC,TOTAL,F,EL,2010-01-01,25.2
GE3,PC,TOTAL,F,EL,2011-01-01,29.0
GE3,PC,TOTAL,F,EL,2012-01-01,33.7
GE3,PC,TOTAL,F,EL,2013-01-01,37.3
GE3,PC,TOTAL,F,EL,2014-01-01,39.8
GE3,PC,TOTAL,F,EL,2015-01-01,40.9
GE3,PC,TOTAL,F,EL,2016-01-01,39.5
GE3,PC,TOTAL,F,EL,2017-01-01,36.4
GE3,PC,TOTAL,F,ES,2006-01-01,13.4
GE3,PC,TOTAL,F,ES,2007-01-01,11.3
GE3,PC,TOTAL,F,ES,2008-01-01,10.9
GE3,PC,TOTAL,F,ES,2009-01-01,13.6
GE3,PC,TOTAL,F,ES,2010-01-01,15.7
GE3,PC,TOTAL,F,ES,2011-01-01,13.3
GE3,PC,TOTAL,F,ES,2012-01-01,16.1
GE3,PC,TOTAL,F,ES,2013-01-01,16.8
GE3,PC,TOTAL,F,ES,2014-01-01,17.9
GE3,PC,TOTAL,F,ES,2015-01-01,16.6
GE3,PC,TOTAL,F,ES,2016-01-01,15.7
GE3,PC,TOTAL,F,ES,2017-01-01,13.2
GE3,PC,TOTAL,F,EU27,2006-01-01,20.0
GE3,PC,TOTAL,F,EU27,2007-01-01,18.9
GE3,PC,TOTAL,F,EU27,2008-01-01,18.2
GE3,PC,TOTAL,F,EU27,2009-01-01,17.9
GE3,PC,TOTAL,F,EU27,2010-01-01,18.3
GE3,PC,TOTAL,F,EU27,2011-01-01,19.0
GE3,PC,TOTAL,F,EU27,2012-01-01,20.2
GE3,PC,TOTAL,F,EU27,2013-01-01,20.0
GE3,PC,TOTAL,F,EU27,2014-01-01,19.0
GE3,PC,TOTAL,F,EU27,2015-01-01,17.4
GE3,PC,TOTAL,F,EU27,2016-01-01,16.2
GE3,PC,TOTAL,F,EU27,2017-01-01,15.2
GE3,PC,TOTAL,F,EU28,2006-01-01,
GE3,PC,TOTAL,F,EU28,2007-01-01,
GE3,PC,TOTAL,F,EU28,2008-01-01,
GE3,PC,TOTAL,F,EU28,2009-01-01,
GE3,PC,TOTAL,F,EU28,2010-01-01,18.4
GE3,PC,TOTAL,F,EU28,2011-01-01,19.1
GE3,PC,TOTAL,F,EU28,2012-01-01,20.3
GE3,PC,TOTAL,F,EU28,2013-01-01,20.1
GE3,PC,TOTAL,F,EU28,2014-01-01,19.1
GE3,PC,TOTAL,F,EU28,2015-01-01,17.5
GE3,PC,TOTAL,F,EU28,2016-01-01,16.3
GE3,PC,TOTAL,F,EU28,2017-01-01,15.2
GE3,PC,TOTAL,F,FI,2006-01-01,10.8
GE3,PC,TOTAL,F,FI,2007-01-01,10.5
GE3,PC,TOTAL,F,FI,2008-01-01,10.2
GE3,PC,TOTAL,F,FI,2009-01-01,8.4
GE3,PC,TOTAL,F,FI,2010-01-01,9.0
GE3,PC,TOTAL,F,FI,2011-01-01,8.6
GE3,PC,TOTAL,F,FI,2012-01-01,9.1
GE3,PC,TOTAL,F,FI,2013-01-01,8.8
GE3,PC,TOTAL,F,FI,2014-01-01,7.9
GE3,PC,TOTAL,F,FI,2015-01-01,8.1
GE3,PC,TOTAL,F,FI,2016-01-01,8.8
GE3,PC,TOTAL,F,FI,2017-01-01,8.6
GE3,PC,TOTAL,F,FR,2006-01-01,13.5
GE3,PC,TOTAL,F,FR,2007-01-01,12.9
GE3,PC,TOTAL,F,FR,2008-01-01,14.0
GE3,PC,TOTAL,F,FR,2009-01-01,14.4
GE3,PC,TOTAL,F,FR,2010-01-01,13.1
GE3,PC,TOTAL,F,FR,2011-01-01,13.0
GE3,PC,TOTAL,F,FR,2012-01-01,13.2
GE3,PC,TOTAL,F,FR,2013-01-01,12.9
GE3,PC,TOTAL,F,FR,2014-01-01,12.9
GE3,PC,TOTAL,F,FR,2015-01-01,11.9
GE3,PC,TOTAL,F,FR,2016-01-01,11.6
GE3,PC,TOTAL,F,FR,2017-01-01,11.5
GE3,PC,TOTAL,F,HR,2006-01-01,
GE3,PC,TOTAL,F,HR,2007-01-01,
GE3,PC,TOTAL,F,HR,2008-01-01,
GE3,PC,TOTAL,F,HR,2009-01-01,
GE3,PC,TOTAL,F,HR,2010-01-01,32.7
GE3,PC,TOTAL,F,HR,2011-01-01,35.0
GE3,PC,TOTAL,F,HR,2012-01-01,36.0
GE3,PC,TOTAL,F,HR,2013-01-01,34.4
GE3,PC,TOTAL,F,HR,2014-01-01,34.1
GE3,PC,TOTAL,F,HR,2015-01-01,33.5
GE3,PC,TOTAL,F,HR,2016-01-01,30.3
GE3,PC,TOTAL,F,HR,2017-01-01,
GE3,PC,TOTAL,F,HU,2006-01-01,38.0
GE3,PC,TOTAL,F,HU,2007-01-01,39.1
GE3,PC,TOTAL,F,HU,2008-01-01,38.0
GE3,PC,TOTAL,F,HU,2009-01-01,40.9
GE3,PC,TOTAL,F,HU,2010-01-01,40.7
GE3,PC,TOTAL,F,HU,2011-01-01,43.6
GE3,PC,TOTAL,F,HU,2012-01-01,45.6
GE3,PC,TOTAL,F,HU,2013-01-01,45.9
GE3,PC,TOTAL,F,HU,2014-01-01,40.8
GE3,PC,TOTAL,F,HU,2015-01-01,35.5
GE3,PC,TOTAL,F,HU,2016-01-01,30.7
GE3,PC,TOTAL,F,HU,2017-01-01,29.5
GE3,PC,TOTAL,F,IE,2006-01-01,11.8
GE3,PC,TOTAL,F,IE,2007-01-01,11.2
GE3,PC,TOTAL,F,IE,2008-01-01,14.0
GE3,PC,TOTAL,F,IE,2009-01-01,17.8
GE3,PC,TOTAL,F,IE,2010-01-01,16.4
GE3,PC,TOTAL,F,IE,2011-01-01,23.7
GE3,PC,TOTAL,F,IE,2012-01-01,24.8
GE3,PC,TOTAL,F,IE,2013-01-01,25.3
GE3,PC,TOTAL,F,IE,2014-01-01,23.5
GE3,PC,TOTAL,F,IE,2015-01-01,19.6
GE3,PC,TOTAL,F,IE,2016-01-01,16.2
GE3,PC,TOTAL,F,IE,2017-01-01,
GE3,PC,TOTAL,F,IS,2006-01-01,7.8
GE3,PC,TOTAL,F,IS,2007-01-01,8.0
GE3,PC,TOTAL,F,IS,2008-01-01,2.6
GE3,PC,TOTAL,F,IS,2009-01-01,3.2
GE3,PC,TOTAL,F,IS,2010-01-01,7.2
GE3,PC,TOTAL,F,IS,2011-01-01,7.5
GE3,PC,TOTAL,F,IS,2012-01-01,7.2
GE3,PC,TOTAL,F,IS,2013-01-01,7.3
GE3,PC,TOTAL,F,IS,2014-01-01,5.7
GE3,PC,TOTAL,F,IS,2015-01-01,5.8
GE3,PC,TOTAL,F,IS,2016-01-01,6.8
GE3,PC,TOTAL,F,IS,2017-01-01,
GE3,PC,TOTAL,F,IT,2006-01-01,14.6
GE3,PC,TOTAL,F,IT,2007-01-01,15.9
GE3,PC,TOTAL,F,IT,2008-01-01,17.0
GE3,PC,TOTAL,F,IT,2009-01-01,16.4
GE3,PC,TOTAL,F,IT,2010-01-01,17.3
GE3,PC,TOTAL,F,IT,2011-01-01,22.7
GE3,PC,TOTAL,F,IT,2012-01-01,25.9
GE3,PC,TOTAL,F,IT,2013-01-01,23.9
GE3,PC,TOTAL,F,IT,2014-01-01,23.1
GE3,PC,TOTAL,F,IT,2015-01-01,22.8
GE3,PC,TOTAL,F,IT,2016-01-01,20.7
GE3,PC,TOTAL,F,IT,2017-01-01,17.8
GE3,PC,TOTAL,F,LT,2006-01-01,43.3
GE3,PC,TOTAL,F,LT,2007-01-01,31.4
GE3,PC,TOTAL,F,LT,2008-01-01,24.5
GE3,PC,TOTAL,F,LT,2009-01-01,28.6
GE3,PC,TOTAL,F,LT,2010-01-01,37.0
GE3,PC,TOTAL,F,LT,2011-01-01,36.7
GE3,PC,TOTAL,F,LT,2012-01-01,35.9
GE3,PC,TOTAL,F,LT,2013-01-01,33.9
GE3,PC,TOTAL,F,LT,2014-01-01,29.9
GE3,PC,TOTAL,F,LT,2015-01-01,28.8
GE3,PC,TOTAL,F,LT,2016-01-01,27.3
GE3,PC,TOTAL,F,LT,2017-01-01,26.0
GE3,PC,TOTAL,F,LU,2006-01-01,2.8
GE3,PC,TOTAL,F,LU,2007-01-01,3.4
GE3,PC,TOTAL,F,LU,2008-01-01,3.8
GE3,PC,TOTAL,F,LU,2009-01-01,4.2
GE3,PC,TOTAL,F,LU,2010-01-01,4.4
GE3,PC,TOTAL,F,LU,2011-01-01,4.8
GE3,PC,TOTAL,F,LU,2012-01-01,4.8
GE3,PC,TOTAL,F,LU,2013-01-01,6.0
GE3,PC,TOTAL,F,LU,2014-01-01,5.1
GE3,PC,TOTAL,F,LU,2015-01-01,5.0
GE3,PC,TOTAL,F,LU,2016-01-01,6.2
GE3,PC,TOTAL,F,LU,2017-01-01,4.6
GE3,PC,TOTAL,F,LV,2006-01-01,53.4
GE3,PC,TOTAL,F,LV,2007-01-01,45.4
GE3,PC,TOTAL,F,LV,2008-01-01,37.5
GE3,PC,TOTAL,F,LV,2009-01-01,41.6
GE3,PC,TOTAL,F,LV,2010-01-01,48.3
GE3,PC,TOTAL,F,LV,2011-01-01,49.9
GE3,PC,TOTAL,F,LV,2012-01-01,45.6
GE3,PC,TOTAL,F,LV,2013-01-01,41.9
GE3,PC,TOTAL,F,LV,2014-01-01,36.4
GE3,PC,TOTAL,F,LV,2015-01-01,30.6
GE3,PC,TOTAL,F,LV,2016-01-01,27.5
GE3,PC,TOTAL,F,LV,2017-01-01,24.5
GE3,PC,TOTAL,F,MK,2006-01-01,
GE3,PC,TOTAL,F,MK,2007-01-01,
GE3,PC,TOTAL,F,MK,2008-01-01,
GE3,PC,TOTAL,F,MK,2009-01-01,
GE3,PC,TOTAL,F,MK,2010-01-01,
GE3,PC,TOTAL,F,MK,2011-01-01,
GE3,PC,TOTAL,F,MK,2012-01-01,57.7
GE3,PC,TOTAL,F,MK,2013-01-01,55.8
GE3,PC,TOTAL,F,MK,2014-01-01,52.7
GE3,PC,TOTAL,F,MK,2015-01-01,51.4
GE3,PC,TOTAL,F,MK,2016-01-01,49.7
GE3,PC,TOTAL,F,MK,2017-01-01,
GE3,PC,TOTAL,F,MT,2006-01-01,13.4
GE3,PC,TOTAL,F,MT,2007-01-01,14.2
GE3,PC,TOTAL,F,MT,2008-01-01,14.0
GE3,PC,TOTAL,F,MT,2009-01-01,15.8
GE3,PC,TOTAL,F,MT,2010-01-01,15.9
GE3,PC,TOTAL,F,MT,2011-01-01,17.3
GE3,PC,TOTAL,F,MT,2012-01-01,20.4
GE3,PC,TOTAL,F,MT,2013-01-01,19.8
GE3,PC,TOTAL,F,MT,2014-01-01,20.5
GE3,PC,TOTAL,F,MT,2015-01-01,15.0
GE3,PC,TOTAL,F,MT,2016-01-01,10.0
GE3,PC,TOTAL,F,MT,2017-01-01,8.4
GE3,PC,TOTAL,F,NL,2006-01-01,7.4
GE3,PC,TOTAL,F,NL,2007-01-01,5.8
GE3,PC,TOTAL,F,NL,2008-01-01,5.4
GE3,PC,TOTAL,F,NL,2009-01-01,5.4
GE3,PC,TOTAL,F,NL,2010-01-01,7.1
GE3,PC,TOTAL,F,NL,2011-01-01,7.2
GE3,PC,TOTAL,F,NL,2012-01-01,7.1
GE3,PC,TOTAL,F,NL,2013-01-01,8.6
GE3,PC,TOTAL,F,NL,2014-01-01,9.7
GE3,PC,TOTAL,F,NL,2015-01-01,8.5
GE3,PC,TOTAL,F,NL,2016-01-01,7.5
GE3,PC,TOTAL,F,NL,2017-01-01,7.1
GE3,PC,TOTAL,F,NO,2006-01-01,6.7
GE3,PC,TOTAL,F,NO,2007-01-01,5.6
GE3,PC,TOTAL,F,NO,2008-01-01,4.7
GE3,PC,TOTAL,F,NO,2009-01-01,5.3
GE3,PC,TOTAL,F,NO,2010-01-01,5.6
GE3,PC,TOTAL,F,NO,2011-01-01,5.3
GE3,PC,TOTAL,F,NO,2012-01-01,4.7
GE3,PC,TOTAL,F,NO,2013-01-01,5.1
GE3,PC,TOTAL,F,NO,2014-01-01,3.4
GE3,PC,TOTAL,F,NO,2015-01-01,4.5
GE3,PC,TOTAL,F,NO,2016-01-01,4.1
GE3,PC,TOTAL,F,NO,2017-01-01,4.0
GE3,PC,TOTAL,F,PL,2006-01-01,44.8
GE3,PC,TOTAL,F,PL,2007-01-01,38.9
GE3,PC,TOTAL,F,PL,2008-01-01,33.0
GE3,PC,TOTAL,F,PL,2009-01-01,30.2
GE3,PC,TOTAL,F,PL,2010-01-01,29.4
GE3,PC,TOTAL,F,PL,2011-01-01,27.1
GE3,PC,TOTAL,F,PL,2012-01-01,28.5
GE3,PC,TOTAL,F,PL,2013-01-01,25.9
GE3,PC,TOTAL,F,PL,2014-01-01,22.4
GE3,PC,TOTAL,F,PL,2015-01-01,16.8
GE3,PC,TOTAL,F,PL,2016-01-01,15.3
GE3,PC,TOTAL,F,PL,2017-01-01,13.6
GE3,PC,TOTAL,F,PT,2006-01-01,20.4
GE3,PC,TOTAL,F,PT,2007-01-01,23.2
GE3,PC,TOTAL,F,PT,2008-01-01,23.6
GE3,PC,TOTAL,F,PT,2009-01-01,22.2
GE3,PC,TOTAL,F,PT,2010-01-01,22.9
GE3,PC,TOTAL,F,PT,2011-01-01,21.6
GE3,PC,TOTAL,F,PT,2012-01-01,22.2
GE3,PC,TOTAL,F,PT,2013-01-01,25.6
GE3,PC,TOTAL,F,PT,2014-01-01,26.6
GE3,PC,TOTAL,F,PT,2015-01-01,22.1
GE3,PC,TOTAL,F,PT,2016-01-01,20.3
GE3,PC,TOTAL,F,PT,2017-01-01,18.6
GE3,PC,TOTAL,F,RO,2006-01-01,
GE3,PC,TOTAL,F,RO,2007-01-01,55.0
GE3,PC,TOTAL,F,RO,2008-01-01,50.3
GE3,PC,TOTAL,F,RO,2009-01-01,49.9
GE3,PC,TOTAL,F,RO,2010-01-01,49.5
GE3,PC,TOTAL,F,RO,2011-01-01,48.7
GE3,PC,TOTAL,F,RO,2012-01-01,49.3
GE3,PC,TOTAL,F,RO,2013-01-01,46.9
GE3,PC,TOTAL,F,RO,2014-01-01,43.9
GE3,PC,TOTAL,F,RO,2015-01-01,39.7
GE3,PC,TOTAL,F,RO,2016-01-01,40.5
GE3,PC,TOTAL,F,RO,2017-01-01,37.8
GE3,PC,TOTAL,F,RS,2006-01-01,
GE3,PC,TOTAL,F,RS,2007-01-01,
GE3,PC,TOTAL,F,RS,2008-01-01,
GE3,PC,TOTAL,F,RS,2009-01-01,
GE3,PC,TOTAL,F,RS,2010-01-01,
GE3,PC,TOTAL,F,RS,2011-01-01,
GE3,PC,TOTAL,F,RS,2012-01-01,
GE3,PC,TOTAL,F,RS,2013-01-01,44.9
GE3,PC,TOTAL,F,RS,2014-01-01,44.2
GE3,PC,TOTAL,F,RS,2015-01-01,41.2
GE3,PC,TOTAL,F,RS,2016-01-01,38.0
GE3,PC,TOTAL,F,RS,2017-01-01,
GE3,PC,TOTAL,F,SE,2006-01-01,6.4
GE3,PC,TOTAL,F,SE,2007-01-01,5.9
GE3,PC,TOTAL,F,SE,2008-01-01,5.7
GE3,PC,TOTAL,F,SE,2009-01-01,6.4
GE3,PC,TOTAL,F,SE,2010-01-01,5.5
GE3,PC,TOTAL,F,SE,2011-01-01,5.5
GE3,PC,TOTAL,F,SE,2012-01-01,5.7
GE3,PC,TOTAL,F,SE,2013-01-01,5.5
GE3,PC,TOTAL,F,SE,2014-01-01,4.7
GE3,PC,TOTAL,F,SE,2015-01-01,4.1
GE3,PC,TOTAL,F,SE,2016-01-01,3.7
GE3,PC,TOTAL,F,SE,2017-01-01,4.3
GE3,PC,TOTAL,F,SI,2006-01-01,15.0
GE3,PC,TOTAL,F,SI,2007-01-01,15.0
GE3,PC,TOTAL,F,SI,2008-01-01,17.6
GE3,PC,TOTAL,F,SI,2009-01-01,16.9
GE3,PC,TOTAL,F,SI,2010-01-01,16.3
GE3,PC,TOTAL,F,SI,2011-01-01,17.6
GE3,PC,TOTAL,F,SI,2012-01-01,17.1
GE3,PC,TOTAL,F,SI,2013-01-01,17.3
GE3,PC,TOTAL,F,SI,2014-01-01,17.5
GE3,PC,TOTAL,F,SI,2015-01-01,15.4
GE3,PC,TOTAL,F,SI,2016-01-01,14.2
GE3,PC,TOTAL,F,SI,2017-01-01,12.7
GE3,PC,TOTAL,F,SK,2006-01-01,36.6
GE3,PC,TOTAL,F,SK,2007-01-01,31.9
GE3,PC,TOTAL,F,SK,2008-01-01,28.7
GE3,PC,TOTAL,F,SK,2009-01-01,25.8
GE3,PC,TOTAL,F,SK,2010-01-01,25.7
GE3,PC,TOTAL,F,SK,2011-01-01,23.1
GE3,PC,TOTAL,F,SK,2012-01-01,23.9
GE3,PC,TOTAL,F,SK,2013-01-01,24.3
GE3,PC,TOTAL,F,SK,2014-01-01,22.7
GE3,PC,TOTAL,F,SK,2015-01-01,21.2
GE3,PC,TOTAL,F,SK,2016-01-01,19.7
GE3,PC,TOTAL,F,SK,2017-01-01,16.9
GE3,PC,TOTAL,F,TR,2006-01-01,74.1
GE3,PC,TOTAL,F,TR,2007-01-01,73.7
GE3,PC,TOTAL,F,TR,2008-01-01,73.1
GE3,PC,TOTAL,F,TR,2009-01-01,71.3
GE3,PC,TOTAL,F,TR,2010-01-01,73.7
GE3,PC,TOTAL,F,TR,2011-01-01,72.6
GE3,PC,TOTAL,F,TR,2012-01-01,69.7
GE3,PC,TOTAL,F,TR,2013-01-01,59.5
GE3,PC,TOTAL,F,TR,2014-01-01,45.3
GE3,PC,TOTAL,F,TR,2015-01-01,46.3
GE3,PC,TOTAL,F,TR,2016-01-01,
GE3,PC,TOTAL,F,TR,2017-01-01,
GE3,PC,TOTAL,F,UK,2006-01-01,11.6
GE3,PC,TOTAL,F,UK,2007-01-01,10.9
GE3,PC,TOTAL,F,UK,2008-01-01,11.9
GE3,PC,TOTAL,F,UK,2009-01-01,10.4
GE3,PC,TOTAL,F,UK,2010-01-01,13.5
GE3,PC,TOTAL,F,UK,2011-01-01,13.4
GE3,PC,TOTAL,F,UK,2012-01-01,16.9
GE3,PC,TOTAL,F,UK,2013-01-01,18.2
GE3,PC,TOTAL,F,UK,2014-01-01,16.0
GE3,PC,TOTAL,F,UK,2015-01-01,14.8
GE3,PC,TOTAL,F,UK,2016-01-01,12.8
GE3,PC,TOTAL,F,UK,2017-01-01,
GE3,PC,TOTAL,M,AT,2006-01-01,9.7
GE3,PC,TOTAL,M,AT,2007-01-01,9.5
GE3,PC,TOTAL,M,AT,2008-01-01,12.0
GE3,PC,TOTAL,M,AT,2009-01-01,9.9
GE3,PC,TOTAL,M,AT,2010-01-01,9.8
GE3,PC,TOTAL,M,AT,2011-01-01,9.0
GE3,PC,TOTAL,M,AT,2012-01-01,9.3
GE3,PC,TOTAL,M,AT,2013-01-01,9.3
GE3,PC,TOTAL,M,AT,2014-01-01,8.5
GE3,PC,TOTAL,M,AT,2015-01-01,8.1
GE3,PC,TOTAL,M,AT,2016-01-01,7.9
GE3,PC,TOTAL,M,AT,2017-01-01,6.7
GE3,PC,TOTAL,M,BE,2006-01-01,11.9
GE3,PC,TOTAL,M,BE,2007-01-01,11.1
GE3,PC,TOTAL,M,BE,2008-01-01,10.8
GE3,PC,TOTAL,M,BE,2009-01-01,10.5
GE3,PC,TOTAL,M,BE,2010-01-01,12.0
GE3,PC,TOTAL,M,BE,2011-01-01,12.6
GE3,PC,TOTAL,M,BE,2012-01-01,12.3
GE3,PC,TOTAL,M,BE,2013-01-01,11.9
GE3,PC,TOTAL,M,BE,2014-01-01,11.8
GE3,PC,TOTAL,M,BE,2015-01-01,11.0
GE3,PC,TOTAL,M,BE,2016-01-01,11.3
GE3,PC,TOTAL,M,BE,2017-01-01,11.0
GE3,PC,TOTAL,M,BG,2006-01-01,71.0
GE3,PC,TOTAL,M,BG,2007-01-01,72.0
