reason,sex,age,unit,geotime,date,value
FAMRESP,M,Y20-64,PC_INAC,HR,2010-01-01,5.6
FAMRESP,M,Y20-64,PC_INAC,HR,2011-01-01,5.5
FAMRESP,M,Y20-64,PC_INAC,HR,2012-01-01,6.3
FAMRESP,M,Y20-64,PC_INAC,HR,2013-01-01,6.9
FAMRESP,M,Y20-64,PC_INAC,HR,2014-01-01,5.8
FAMRESP,M,Y20-64,PC_INAC,HR,2015-01-01,6.1
FAMRESP,M,Y20-64,PC_INAC,HR,2016-01-01,8.5
FAMRESP,M,Y20-64,PC_INAC,HR,2017-01-01,6.3
FAMRESP,M,Y20-64,PC_INAC,HU,2000-01-01,1.4
FAMRESP,M,Y20-64,PC_INAC,HU,2001-01-01,1.6
FAMRESP,M,Y20-64,PC_INAC,HU,2002-01-01,1.0
FAMRESP,M,Y20-64,PC_INAC,HU,2003-01-01,1.4
FAMRESP,M,Y20-64,PC_INAC,HU,2004-01-01,1.4
FAMRESP,M,Y20-64,PC_INAC,HU,2005-01-01,2.2
FAMRESP,M,Y20-64,PC_INAC,HU,2006-01-01,2.0
FAMRESP,M,Y20-64,PC_INAC,HU,2007-01-01,2.0
FAMRESP,M,Y20-64,PC_INAC,HU,2008-01-01,1.9
FAMRESP,M,Y20-64,PC_INAC,HU,2009-01-01,2.0
FAMRESP,M,Y20-64,PC_INAC,HU,2010-01-01,1.9
FAMRESP,M,Y20-64,PC_INAC,HU,2011-01-01,2.1
FAMRESP,M,Y20-64,PC_INAC,HU,2012-01-01,2.1
FAMRESP,M,Y20-64,PC_INAC,HU,2013-01-01,2.4
FAMRESP,M,Y20-64,PC_INAC,HU,2014-01-01,2.6
FAMRESP,M,Y20-64,PC_INAC,HU,2015-01-01,2.7
FAMRESP,M,Y20-64,PC_INAC,HU,2016-01-01,3.5
FAMRESP,M,Y20-64,PC_INAC,HU,2017-01-01,3.5
FAMRESP,M,Y20-64,PC_INAC,IE,2000-01-01,
FAMRESP,M,Y20-64,PC_INAC,IE,2001-01-01,
FAMRESP,M,Y20-64,PC_INAC,IE,2002-01-01,
FAMRESP,M,Y20-64,PC_INAC,IE,2003-01-01,
FAMRESP,M,Y20-64,PC_INAC,IE,2004-01-01,
FAMRESP,M,Y20-64,PC_INAC,IE,2005-01-01,
FAMRESP,M,Y20-64,PC_INAC,IE,2006-01-01,1.8
FAMRESP,M,Y20-64,PC_INAC,IE,2007-01-01,2.0
FAMRESP,M,Y20-64,PC_INAC,IE,2008-01-01,1.9
FAMRESP,M,Y20-64,PC_INAC,IE,2009-01-01,1.4
FAMRESP,M,Y20-64,PC_INAC,IE,2010-01-01,1.2
FAMRESP,M,Y20-64,PC_INAC,IE,2011-01-01,1.3
FAMRESP,M,Y20-64,PC_INAC,IE,2012-01-01,5.2
FAMRESP,M,Y20-64,PC_INAC,IE,2013-01-01,6.7
FAMRESP,M,Y20-64,PC_INAC,IE,2014-01-01,8.3
FAMRESP,M,Y20-64,PC_INAC,IE,2015-01-01,9.2
FAMRESP,M,Y20-64,PC_INAC,IE,2016-01-01,9.0
FAMRESP,M,Y20-64,PC_INAC,IE,2017-01-01,10.5
FAMRESP,M,Y20-64,PC_INAC,IS,2000-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2001-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2002-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2003-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2004-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2005-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2006-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2007-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2008-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2009-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2010-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2011-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2012-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2013-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2014-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2015-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2016-01-01,
FAMRESP,M,Y20-64,PC_INAC,IS,2017-01-01,
FAMRESP,M,Y20-64,PC_INAC,IT,2000-01-01,1.2
FAMRESP,M,Y20-64,PC_INAC,IT,2001-01-01,2.3
FAMRESP,M,Y20-64,PC_INAC,IT,2002-01-01,1.9
FAMRESP,M,Y20-64,PC_INAC,IT,2003-01-01,2.3
FAMRESP,M,Y20-64,PC_INAC,IT,2004-01-01,0.6
FAMRESP,M,Y20-64,PC_INAC,IT,2005-01-01,1.2
FAMRESP,M,Y20-64,PC_INAC,IT,2006-01-01,1.6
FAMRESP,M,Y20-64,PC_INAC,IT,2007-01-01,1.8
FAMRESP,M,Y20-64,PC_INAC,IT,2008-01-01,2.2
FAMRESP,M,Y20-64,PC_INAC,IT,2009-01-01,3.1
FAMRESP,M,Y20-64,PC_INAC,IT,2010-01-01,2.9
FAMRESP,M,Y20-64,PC_INAC,IT,2011-01-01,3.5
FAMRESP,M,Y20-64,PC_INAC,IT,2012-01-01,4.2
FAMRESP,M,Y20-64,PC_INAC,IT,2013-01-01,5.1
FAMRESP,M,Y20-64,PC_INAC,IT,2014-01-01,4.1
FAMRESP,M,Y20-64,PC_INAC,IT,2015-01-01,3.8
FAMRESP,M,Y20-64,PC_INAC,IT,2016-01-01,3.3
FAMRESP,M,Y20-64,PC_INAC,IT,2017-01-01,3.3
FAMRESP,M,Y20-64,PC_INAC,LT,2000-01-01,
FAMRESP,M,Y20-64,PC_INAC,LT,2001-01-01,4.0
FAMRESP,M,Y20-64,PC_INAC,LT,2002-01-01,
FAMRESP,M,Y20-64,PC_INAC,LT,2003-01-01,
FAMRESP,M,Y20-64,PC_INAC,LT,2004-01-01,
FAMRESP,M,Y20-64,PC_INAC,LT,2005-01-01,
FAMRESP,M,Y20-64,PC_INAC,LT,2006-01-01,
FAMRESP,M,Y20-64,PC_INAC,LT,2007-01-01,4.8
FAMRESP,M,Y20-64,PC_INAC,LT,2008-01-01,5.7
FAMRESP,M,Y20-64,PC_INAC,LT,2009-01-01,5.2
FAMRESP,M,Y20-64,PC_INAC,LT,2010-01-01,4.3
FAMRESP,M,Y20-64,PC_INAC,LT,2011-01-01,3.8
FAMRESP,M,Y20-64,PC_INAC,LT,2012-01-01,4.6
FAMRESP,M,Y20-64,PC_INAC,LT,2013-01-01,3.7
FAMRESP,M,Y20-64,PC_INAC,LT,2014-01-01,4.8
FAMRESP,M,Y20-64,PC_INAC,LT,2015-01-01,7.0
FAMRESP,M,Y20-64,PC_INAC,LT,2016-01-01,7.0
FAMRESP,M,Y20-64,PC_INAC,LT,2017-01-01,8.2
FAMRESP,M,Y20-64,PC_INAC,LU,2000-01-01,
FAMRESP,M,Y20-64,PC_INAC,LU,2001-01-01,
FAMRESP,M,Y20-64,PC_INAC,LU,2002-01-01,
FAMRESP,M,Y20-64,PC_INAC,LU,2003-01-01,
FAMRESP,M,Y20-64,PC_INAC,LU,2004-01-01,2.2
FAMRESP,M,Y20-64,PC_INAC,LU,2005-01-01,
FAMRESP,M,Y20-64,PC_INAC,LU,2006-01-01,2.5
FAMRESP,M,Y20-64,PC_INAC,LU,2007-01-01,3.8
FAMRESP,M,Y20-64,PC_INAC,LU,2008-01-01,3.9
FAMRESP,M,Y20-64,PC_INAC,LU,2009-01-01,
FAMRESP,M,Y20-64,PC_INAC,LU,2010-01-01,3.2
FAMRESP,M,Y20-64,PC_INAC,LU,2011-01-01,3.3
FAMRESP,M,Y20-64,PC_INAC,LU,2012-01-01,3.7
FAMRESP,M,Y20-64,PC_INAC,LU,2013-01-01,4.2
FAMRESP,M,Y20-64,PC_INAC,LU,2014-01-01,2.3
FAMRESP,M,Y20-64,PC_INAC,LU,2015-01-01,2.7
FAMRESP,M,Y20-64,PC_INAC,LU,2016-01-01,2.7
FAMRESP,M,Y20-64,PC_INAC,LU,2017-01-01,2.3
FAMRESP,M,Y20-64,PC_INAC,LV,2000-01-01,
FAMRESP,M,Y20-64,PC_INAC,LV,2001-01-01,
FAMRESP,M,Y20-64,PC_INAC,LV,2002-01-01,7.6
FAMRESP,M,Y20-64,PC_INAC,LV,2003-01-01,
FAMRESP,M,Y20-64,PC_INAC,LV,2004-01-01,
FAMRESP,M,Y20-64,PC_INAC,LV,2005-01-01,6.2
FAMRESP,M,Y20-64,PC_INAC,LV,2006-01-01,9.0
FAMRESP,M,Y20-64,PC_INAC,LV,2007-01-01,8.1
FAMRESP,M,Y20-64,PC_INAC,LV,2008-01-01,8.1
FAMRESP,M,Y20-64,PC_INAC,LV,2009-01-01,4.9
FAMRESP,M,Y20-64,PC_INAC,LV,2010-01-01,6.5
FAMRESP,M,Y20-64,PC_INAC,LV,2011-01-01,8.5
FAMRESP,M,Y20-64,PC_INAC,LV,2012-01-01,7.7
FAMRESP,M,Y20-64,PC_INAC,LV,2013-01-01,9.7
FAMRESP,M,Y20-64,PC_INAC,LV,2014-01-01,9.3
FAMRESP,M,Y20-64,PC_INAC,LV,2015-01-01,10.6
FAMRESP,M,Y20-64,PC_INAC,LV,2016-01-01,11.0
FAMRESP,M,Y20-64,PC_INAC,LV,2017-01-01,7.9
FAMRESP,M,Y20-64,PC_INAC,ME,2000-01-01,
FAMRESP,M,Y20-64,PC_INAC,ME,2001-01-01,
FAMRESP,M,Y20-64,PC_INAC,ME,2002-01-01,
FAMRESP,M,Y20-64,PC_INAC,ME,2003-01-01,
FAMRESP,M,Y20-64,PC_INAC,ME,2004-01-01,
FAMRESP,M,Y20-64,PC_INAC,ME,2005-01-01,
FAMRESP,M,Y20-64,PC_INAC,ME,2006-01-01,
FAMRESP,M,Y20-64,PC_INAC,ME,2007-01-01,
FAMRESP,M,Y20-64,PC_INAC,ME,2008-01-01,
FAMRESP,M,Y20-64,PC_INAC,ME,2009-01-01,
