typtrai,wstatus,sex,age,unit,geo\time,date,value
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2006-01-01,3.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2007-01-01,4.3 b
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2008-01-01,4.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2009-01-01,5.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2010-01-01,6.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2011-01-01,6.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2012-01-01,6.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2013-01-01,6.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2014-01-01,5.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2015-01-01,6.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2016-01-01,5.8 b
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2017-01-01,7.0 b
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2000-01-01,14.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2001-01-01,15.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2002-01-01,10.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2003-01-01,10.5 b
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2004-01-01,12.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2005-01-01,10.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2006-01-01,8.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2007-01-01,8.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2008-01-01,8.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2009-01-01,14.5 b
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2010-01-01,14.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2011-01-01,11.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2012-01-01,12.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2013-01-01,11.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2014-01-01,11.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2015-01-01,10.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2016-01-01,9.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,EE,2017-01-01,9.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2000-01-01,16.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2001-01-01,15.9 b
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2002-01-01,15.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2003-01-01,18.0 b
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2004-01-01,16.6 b
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2005-01-01,15.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2006-01-01,12.0 b
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2007-01-01,11.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2008-01-01,11.4 b
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2009-01-01,12.4 b
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2010-01-01,14.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2011-01-01,17.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2012-01-01,20.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2013-01-01,20.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2014-01-01,19.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2015-01-01,17.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2016-01-01,15.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,EL,2017-01-01,15.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2000-01-01,12.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2001-01-01,12.0 b
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2002-01-01,12.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2003-01-01,12.5 b
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2004-01-01,12.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2005-01-01,13.0 b
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2006-01-01,11.8 b
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2007-01-01,12.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2008-01-01,14.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2009-01-01,18.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2010-01-01,17.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2011-01-01,18.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2012-01-01,18.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2013-01-01,18.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2014-01-01,17.1 b
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2015-01-01,15.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2016-01-01,14.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,ES,2017-01-01,13.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2000-01-01,9.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2001-01-01,8.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2002-01-01,8.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2003-01-01,9.6 b
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2004-01-01,9.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2005-01-01,7.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2006-01-01,7.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2007-01-01,7.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2008-01-01,7.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2009-01-01,9.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2010-01-01,9.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2011-01-01,8.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2012-01-01,8.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2013-01-01,9.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2014-01-01,10.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2015-01-01,10.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2016-01-01,9.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,FI,2017-01-01,9.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2000-01-01,10.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2001-01-01,9.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2002-01-01,10.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2003-01-01,10.4 b
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2004-01-01,10.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2005-01-01,11.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2006-01-01,11.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2007-01-01,10.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2008-01-01,10.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2009-01-01,12.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2010-01-01,12.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2011-01-01,12.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2012-01-01,12.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2013-01-01,11.2 b
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2014-01-01,11.2 b
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2015-01-01,12.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2016-01-01,11.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,FR,2017-01-01,11.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2000-01-01,: 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2001-01-01,: 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2002-01-01,19.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2003-01-01,18.0 b
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2004-01-01,17.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2005-01-01,16.7 b
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2006-01-01,14.2 b
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2007-01-01,12.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2008-01-01,11.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2009-01-01,13.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2010-01-01,15.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2011-01-01,16.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2012-01-01,16.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2013-01-01,19.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2014-01-01,19.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2015-01-01,18.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2016-01-01,16.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,HR,2017-01-01,15.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2000-01-01,15.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2001-01-01,14.6 b
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2002-01-01,13.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2003-01-01,12.6 b
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2004-01-01,12.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2005-01-01,12.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2006-01-01,12.4 b
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2007-01-01,11.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2008-01-01,11.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2009-01-01,13.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2010-01-01,12.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2011-01-01,13.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2012-01-01,14.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2013-01-01,15.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2014-01-01,13.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2015-01-01,11.6 b
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2016-01-01,11.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,HU,2017-01-01,11.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2000-01-01,: 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2001-01-01,: 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2002-01-01,14.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2003-01-01,11.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2004-01-01,11.9 b
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2005-01-01,10.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2006-01-01,10.1 b
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2007-01-01,9.5 b
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2008-01-01,13.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2009-01-01,18.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2010-01-01,19.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2011-01-01,19.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2012-01-01,19.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2013-01-01,16.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2014-01-01,15.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2015-01-01,14.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2016-01-01,12.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,IE,2017-01-01,10.9 b
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2000-01-01,19.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2001-01-01,18.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2002-01-01,16.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2003-01-01,16.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2004-01-01,16.8 b
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2005-01-01,17.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2006-01-01,16.8 b
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2007-01-01,16.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2008-01-01,16.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2009-01-01,17.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2010-01-01,19.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2011-01-01,19.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2012-01-01,21.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2013-01-01,22.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2014-01-01,22.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2015-01-01,21.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2016-01-01,19.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,IT,2017-01-01,20.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2000-01-01,17.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2001-01-01,16.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2002-01-01,11.8 b
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2003-01-01,10.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2004-01-01,10.6 b
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2005-01-01,8.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2006-01-01,8.3 b
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2007-01-01,7.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2008-01-01,8.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2009-01-01,12.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2010-01-01,13.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2011-01-01,11.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2012-01-01,11.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2013-01-01,11.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2014-01-01,9.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2015-01-01,9.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2016-01-01,9.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,LT,2017-01-01,9.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2000-01-01,5.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2001-01-01,5.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,LU,2002-01-01,5.0 
