sex,geotime,date,value
F,EU28,2012-01-01,2.2
F,EU28,2013-01-01,2.0
F,EU28,2014-01-01,2.0
F,EU28,2015-01-01,1.9
F,FI,2000-01-01,3.1
F,FI,2001-01-01,
F,FI,2002-01-01,2.1
F,FI,2003-01-01,1.9
F,FI,2004-01-01,1.8
F,FI,2005-01-01,
F,FI,2006-01-01,1.4
F,FI,2007-01-01,1.0
F,FI,2008-01-01,
F,FI,2009-01-01,1.1
F,FI,2010-01-01,0.9
F,FI,2011-01-01,1.2
F,FI,2012-01-01,0.8
F,FI,2013-01-01,0.6
F,FI,2014-01-01,0.9
F,FI,2015-01-01,
F,FR,2000-01-01,
F,FR,2001-01-01,3.9
F,FR,2002-01-01,3.5
F,FR,2003-01-01,3.3
F,FR,2004-01-01,3.1
F,FR,2005-01-01,3.0
F,FR,2006-01-01,2.7
F,FR,2007-01-01,2.4
F,FR,2008-01-01,2.5
F,FR,2009-01-01,1.9
F,FR,2010-01-01,1.9
F,FR,2011-01-01,1.9
F,FR,2012-01-01,1.8
F,FR,2013-01-01,1.8
F,FR,2014-01-01,1.5
F,FR,2015-01-01,1.5
F,HR,2000-01-01,
F,HR,2001-01-01,
F,HR,2002-01-01,3.2
F,HR,2003-01-01,3.2
F,HR,2004-01-01,
F,HR,2005-01-01,
F,HR,2006-01-01,3.1
F,HR,2007-01-01,2.5
F,HR,2008-01-01,2.3
F,HR,2009-01-01,1.9
F,HR,2010-01-01,1.8
F,HR,2011-01-01,1.6
F,HR,2012-01-01,1.6
F,HR,2013-01-01,1.3
F,HR,2014-01-01,
F,HR,2015-01-01,1.5
F,HU,2000-01-01,2.5
F,HU,2001-01-01,2.3
F,HU,2002-01-01,2.0
F,HU,2003-01-01,1.8
F,HU,2004-01-01,1.6
F,HU,2005-01-01,
F,HU,2006-01-01,0.7
F,HU,2007-01-01,1.0
F,HU,2008-01-01,
F,HU,2009-01-01,
F,HU,2010-01-01,
F,HU,2011-01-01,1.2
F,HU,2012-01-01,2.5
F,HU,2013-01-01,
F,HU,2014-01-01,2.3
F,HU,2015-01-01,2.5
F,IE,2000-01-01,2.3
F,IE,2001-01-01,1.3
F,IE,2002-01-01,2.1
F,IE,2003-01-01,1.5
F,IE,2004-01-01,1.8
F,IE,2005-01-01,1.3
F,IE,2006-01-01,1.7
F,IE,2007-01-01,1.7
F,IE,2008-01-01,1.2
F,IE,2009-01-01,1.3
F,IE,2010-01-01,1.8
F,IE,2011-01-01,1.4
F,IE,2012-01-01,1.3
F,IE,2013-01-01,1.1
F,IE,2014-01-01,1.3
F,IE,2015-01-01,0.8
F,IT,2000-01-01,3.5
F,IT,2001-01-01,3.4
F,IT,2002-01-01,4.0
F,IT,2003-01-01,5.0
F,IT,2004-01-01,
F,IT,2005-01-01,
F,IT,2006-01-01,4.5
F,IT,2007-01-01,4.6
F,IT,2008-01-01,4.7
F,IT,2009-01-01,4.7
F,IT,2010-01-01,4.6
F,IT,2011-01-01,5.1
F,IT,2012-01-01,4.9
F,IT,2013-01-01,4.4
F,IT,2014-01-01,4.3
F,IT,2015-01-01,4.4
F,LT,2000-01-01,4.8
F,LT,2001-01-01,4.2
F,LT,2002-01-01,
F,LT,2003-01-01,
F,LT,2004-01-01,3.1
F,LT,2005-01-01,
F,LT,2006-01-01,
F,LT,2007-01-01,
F,LT,2008-01-01,4.9
F,LT,2009-01-01,3.5
F,LT,2010-01-01,3.1
F,LT,2011-01-01,3.0
F,LT,2012-01-01,3.7
F,LT,2013-01-01,3.1
F,LT,2014-01-01,4.0
F,LT,2015-01-01,3.1
F,LU,2000-01-01,
F,LU,2001-01-01,
F,LU,2002-01-01,
F,LU,2003-01-01,
F,LU,2004-01-01,
F,LU,2005-01-01,
F,LU,2006-01-01,
F,LU,2007-01-01,
F,LU,2008-01-01,
F,LU,2009-01-01,
F,LU,2010-01-01,
F,LU,2011-01-01,1.7
F,LU,2012-01-01,
F,LU,2013-01-01,
F,LU,2014-01-01,
F,LU,2015-01-01,
F,LV,2000-01-01,4.7
F,LV,2001-01-01,4.8
F,LV,2002-01-01,4.3
F,LV,2003-01-01,5.9
F,LV,2004-01-01,4.6
F,LV,2005-01-01,5.6
F,LV,2006-01-01,5.0
F,LV,2007-01-01,4.3
F,LV,2008-01-01,6.3
F,LV,2009-01-01,5.1
F,LV,2010-01-01,4.1
F,LV,2011-01-01,4.6
F,LV,2012-01-01,5.2
F,LV,2013-01-01,8.3
F,LV,2014-01-01,5.7
F,LV,2015-01-01,5.4
F,MK,2000-01-01,
F,MK,2001-01-01,
F,MK,2002-01-01,
F,MK,2003-01-01,
F,MK,2004-01-01,
F,MK,2005-01-01,
F,MK,2006-01-01,1.9
F,MK,2007-01-01,
F,MK,2008-01-01,3.1
F,MK,2009-01-01,
F,MK,2010-01-01,
F,MK,2011-01-01,
F,MK,2012-01-01,
F,MK,2013-01-01,
F,MK,2014-01-01,
F,MK,2015-01-01,
F,MT,2000-01-01,
F,MT,2001-01-01,
F,MT,2002-01-01,2.0
F,MT,2003-01-01,2.0
F,MT,2004-01-01,0.9
F,MT,2005-01-01,1.7
F,MT,2006-01-01,1.3
F,MT,2007-01-01,0.5
F,MT,2008-01-01,
F,MT,2009-01-01,
F,MT,2010-01-01,
F,MT,2011-01-01,4.2
F,MT,2012-01-01,
F,MT,2013-01-01,
F,MT,2014-01-01,
F,MT,2015-01-01,
F,NL,2000-01-01,1.1
F,NL,2001-01-01,1.1
F,NL,2002-01-01,0.8
F,NL,2003-01-01,1.0
F,NL,2004-01-01,0.8
F,NL,2005-01-01,0.7
F,NL,2006-01-01,0.7
F,NL,2007-01-01,0.8
F,NL,2008-01-01,0.8
F,NL,2009-01-01,0.5
F,NL,2010-01-01,0.5
F,NL,2011-01-01,0.5
F,NL,2012-01-01,0.5
F,NL,2013-01-01,0.5
F,NL,2014-01-01,0.4
F,NL,2015-01-01,0.4
F,NO,2000-01-01,1.8
F,NO,2001-01-01,1.4
F,NO,2002-01-01,0.7
F,NO,2003-01-01,1.0
F,NO,2004-01-01,1.7
F,NO,2005-01-01,1.3
F,NO,2006-01-01,
F,NO,2007-01-01,1.1
F,NO,2008-01-01,0.9
F,NO,2009-01-01,0.9
F,NO,2010-01-01,
F,NO,2011-01-01,0.7
F,NO,2012-01-01,0.6
F,NO,2013-01-01,
F,NO,2014-01-01,0.6
F,NO,2015-01-01,0.8
F,PL,2000-01-01,2.7
F,PL,2001-01-01,2.4
F,PL,2002-01-01,2.2
F,PL,2003-01-01,2.0
F,PL,2004-01-01,1.7
F,PL,2005-01-01,1.7
F,PL,2006-01-01,1.6
F,PL,2007-01-01,1.7
F,PL,2008-01-01,2.0
F,PL,2009-01-01,1.5
F,PL,2010-01-01,1.3
F,PL,2011-01-01,1.6
F,PL,2012-01-01,1.7
F,PL,2013-01-01,1.3
F,PL,2014-01-01,1.5
F,PL,2015-01-01,1.4
F,PT,2000-01-01,5.6
F,PT,2001-01-01,5.0
F,PT,2002-01-01,5.1
F,PT,2003-01-01,5.9
F,PT,2004-01-01,5.5
F,PT,2005-01-01,5.5
F,PT,2006-01-01,3.9
F,PT,2007-01-01,5.3
F,PT,2008-01-01,4.8
F,PT,2009-01-01,4.7
F,PT,2010-01-01,4.1
F,PT,2011-01-01,3.8
F,PT,2012-01-01,3.4
F,PT,2013-01-01,3.2
F,PT,2014-01-01,3.6
F,PT,2015-01-01,3.1
F,RO,2000-01-01,5.2
F,RO,2001-01-01,5.4
F,RO,2002-01-01,5.4
F,RO,2003-01-01,4.8
F,RO,2004-01-01,4.6
F,RO,2005-01-01,4.1
F,RO,2006-01-01,3.6
F,RO,2007-01-01,3.5
F,RO,2008-01-01,3.6
F,RO,2009-01-01,3.1
F,RO,2010-01-01,3.0
F,RO,2011-01-01,3.2
F,RO,2012-01-01,3.4
F,RO,2013-01-01,3.1
F,RO,2014-01-01,3.4
F,RO,2015-01-01,3.1
F,RS,2000-01-01,
F,RS,2001-01-01,
F,RS,2002-01-01,
F,RS,2003-01-01,
F,RS,2004-01-01,
F,RS,2005-01-01,
F,RS,2006-01-01,
F,RS,2007-01-01,
F,RS,2008-01-01,
F,RS,2009-01-01,
F,RS,2010-01-01,
F,RS,2011-01-01,1.5
F,RS,2012-01-01,2.0
F,RS,2013-01-01,1.5
F,RS,2014-01-01,1.5
F,RS,2015-01-01,1.3
F,SE,2000-01-01,1.0
F,SE,2001-01-01,1.4
F,SE,2002-01-01,1.7
F,SE,2003-01-01,1.0
F,SE,2004-01-01,1.0
F,SE,2005-01-01,1.3
F,SE,2006-01-01,1.2
F,SE,2007-01-01,1.2
F,SE,2008-01-01,1.3
F,SE,2009-01-01,1.2
F,SE,2010-01-01,0.7
F,SE,2011-01-01,1.0
F,SE,2012-01-01,0.5
F,SE,2013-01-01,0.8
F,SE,2014-01-01,0.8
F,SE,2015-01-01,0.9
F,SI,2000-01-01,
F,SI,2001-01-01,1.8
F,SI,2002-01-01,
F,SI,2003-01-01,
F,SI,2004-01-01,
F,SI,2005-01-01,1.8
F,SI,2006-01-01,
F,SI,2007-01-01,1.9
F,SI,2008-01-01,2.4
F,SI,2009-01-01,
F,SI,2010-01-01,
F,SI,2011-01-01,0.6
F,SI,2012-01-01,0.9
F,SI,2013-01-01,
F,SI,2014-01-01,
F,SI,2015-01-01,
F,SK,2000-01-01,
F,SK,2001-01-01,1.4
F,SK,2002-01-01,
F,SK,2003-01-01,
F,SK,2004-01-01,0.8
F,SK,2005-01-01,
F,SK,2006-01-01,
F,SK,2007-01-01,
F,SK,2008-01-01,0.6
F,SK,2009-01-01,
F,SK,2010-01-01,
F,SK,2011-01-01,0.6
F,SK,2012-01-01,0.8
F,SK,2013-01-01,
F,SK,2014-01-01,
F,SK,2015-01-01,
F,TR,2000-01-01,
F,TR,2001-01-01,
F,TR,2002-01-01,
F,TR,2003-01-01,
F,TR,2004-01-01,
F,TR,2005-01-01,
F,TR,2006-01-01,
F,TR,2007-01-01,
F,TR,2008-01-01,
F,TR,2009-01-01,
F,TR,2010-01-01,
F,TR,2011-01-01,3.2
F,TR,2012-01-01,2.6
F,TR,2013-01-01,2.8
F,TR,2014-01-01,2.5
F,TR,2015-01-01,2.5
F,UK,2000-01-01,1.2
F,UK,2001-01-01,1.2
F,UK,2002-01-01,1.1
F,UK,2003-01-01,1.2
F,UK,2004-01-01,1.3
F,UK,2005-01-01,1.1
F,UK,2006-01-01,1.2
F,UK,2007-01-01,1.1
F,UK,2008-01-01,1.2
F,UK,2009-01-01,1.1
F,UK,2010-01-01,1.0
F,UK,2011-01-01,0.9
F,UK,2012-01-01,0.9
F,UK,2013-01-01,0.9
F,UK,2014-01-01,0.9
F,UK,2015-01-01,0.9
M,AL,2000-01-01,
M,AL,2001-01-01,
M,AL,2002-01-01,
M,AL,2003-01-01,
M,AL,2004-01-01,2.3
M,AL,2005-01-01,
M,AL,2006-01-01,
M,AL,2007-01-01,
M,AL,2008-01-01,
M,AL,2009-01-01,
M,AL,2010-01-01,
M,AL,2011-01-01,
M,AL,2012-01-01,
M,AL,2013-01-01,
M,AL,2014-01-01,
M,AL,2015-01-01,
M,AT,2000-01-01,3.4
M,AT,2001-01-01,3.1
M,AT,2002-01-01,6.9
M,AT,2003-01-01,7.0
M,AT,2004-01-01,6.3
M,AT,2005-01-01,8.3
M,AT,2006-01-01,6.0
M,AT,2007-01-01,5.1
M,AT,2008-01-01,5.7
M,AT,2009-01-01,6.3
M,AT,2010-01-01,5.0
M,AT,2011-01-01,5.7
M,AT,2012-01-01,5.4
M,AT,2013-01-01,6.0
M,AT,2014-01-01,5.9
M,AT,2015-01-01,5.0
M,BE,2000-01-01,
M,BE,2001-01-01,
M,BE,2002-01-01,
M,BE,2003-01-01,4.1
M,BE,2004-01-01,3.5
M,BE,2005-01-01,3.6
M,BE,2006-01-01,3.3
M,BE,2007-01-01,2.9
M,BE,2008-01-01,3.1
M,BE,2009-01-01,2.8
M,BE,2010-01-01,2.2
M,BE,2011-01-01,2.2
M,BE,2012-01-01,2.4
M,BE,2013-01-01,2.3
M,BE,2014-01-01,1.7
M,BE,2015-01-01,1.9
M,BG,2000-01-01,8.5
M,BG,2001-01-01,8.1
M,BG,2002-01-01,7.0
M,BG,2003-01-01,6.9
M,BG,2004-01-01,7.1
M,BG,2005-01-01,7.3
M,BG,2006-01-01,7.1
M,BG,2007-01-01,7.0
M,BG,2008-01-01,6.4
M,BG,2009-01-01,5.4
M,BG,2010-01-01,5.4
M,BG,2011-01-01,4.5
M,BG,2012-01-01,4.6
M,BG,2013-01-01,3.9
M,BG,2014-01-01,3.8
M,BG,2015-01-01,3.2
M,CH,2000-01-01,5.3
M,CH,2001-01-01,5.4
M,CH,2002-01-01,4.0
M,CH,2003-01-01,4.5
M,CH,2004-01-01,3.5
M,CH,2005-01-01,3.3
M,CH,2006-01-01,3.7
M,CH,2007-01-01,3.0
M,CH,2008-01-01,2.8
M,CH,2009-01-01,2.6
M,CH,2010-01-01,2.6
M,CH,2011-01-01,3.0
M,CH,2012-01-01,2.7
M,CH,2013-01-01,2.4
M,CH,2014-01-01,2.6
M,CH,2015-01-01,2.5
M,CY,2000-01-01,
M,CY,2001-01-01,
M,CY,2002-01-01,
M,CY,2003-01-01,
M,CY,2004-01-01,
M,CY,2005-01-01,4.2
M,CY,2006-01-01,1.7
M,CY,2007-01-01,2.2
M,CY,2008-01-01,
M,CY,2009-01-01,
M,CY,2010-01-01,
M,CY,2011-01-01,1.8
M,CY,2012-01-01,2.0
M,CY,2013-01-01,
M,CY,2014-01-01,2.0
M,CY,2015-01-01,2.7
M,CZ,2000-01-01,3.0
M,CZ,2001-01-01,2.4
M,CZ,2002-01-01,
M,CZ,2003-01-01,
M,CZ,2004-01-01,
M,CZ,2005-01-01,1.9
M,CZ,2006-01-01,
M,CZ,2007-01-01,1.4
M,CZ,2008-01-01,1.8
M,CZ,2009-01-01,1.5
M,CZ,2010-01-01,1.2
M,CZ,2011-01-01,2.9
M,CZ,2012-01-01,2.6
M,CZ,2013-01-01,1.6
M,CZ,2014-01-01,1.2
M,CZ,2015-01-01,1.6
M,DE,2000-01-01,4.6
M,DE,2001-01-01,4.0
M,DE,2002-01-01,4.1
M,DE,2003-01-01,3.9
M,DE,2004-01-01,3.5
M,DE,2005-01-01,3.4
M,DE,2006-01-01,3.5
M,DE,2007-01-01,3.1
M,DE,2008-01-01,2.9
M,DE,2009-01-01,2.9
M,DE,2010-01-01,3.1
M,DE,2011-01-01,2.9
M,DE,2012-01-01,2.7
M,DE,2013-01-01,2.8
M,DE,2014-01-01,2.3
M,DE,2015-01-01,2.5
M,DK,2000-01-01,2.5
M,DK,2001-01-01,2.5
M,DK,2002-01-01,2.7
M,DK,2003-01-01,2.6
M,DK,2004-01-01,2.9
M,DK,2005-01-01,2.9
M,DK,2006-01-01,2.2
M,DK,2007-01-01,2.1
M,DK,2008-01-01,2.0
M,DK,2009-01-01,2.5
M,DK,2010-01-01,
M,DK,2011-01-01,1.4
M,DK,2012-01-01,2.0
M,DK,2013-01-01,2.0
M,DK,2014-01-01,1.4
M,DK,2015-01-01,1.2
M,EE,2000-01-01,15.9
M,EE,2001-01-01,17.0
M,EE,2002-01-01,
M,EE,2003-01-01,14.8
M,EE,2004-01-01,19.6
M,EE,2005-01-01,12.8
M,EE,2006-01-01,14.6
M,EE,2007-01-01,14.6
M,EE,2008-01-01,11.8
M,EE,2009-01-01,14.5
M,EE,2010-01-01,11.8
M,EE,2011-01-01,15.5
M,EE,2012-01-01,11.5
M,EE,2013-01-01,10.8
M,EE,2014-01-01,8.6
M,EE,2015-01-01,8.7
M,EL,2000-01-01,2.6
M,EL,2001-01-01,3.0
M,EL,2002-01-01,2.7
M,EL,2003-01-01,3.5
M,EL,2004-01-01,2.8
M,EL,2005-01-01,2.8
M,EL,2006-01-01,2.7
M,EL,2007-01-01,2.8
M,EL,2008-01-01,2.8
M,EL,2009-01-01,2.8
M,EL,2010-01-01,2.3
M,EL,2011-01-01,1.9
M,EL,2012-01-01,3.0
M,EL,2013-01-01,2.8
M,EL,2014-01-01,2.6
M,EL,2015-01-01,2.1
M,ES,2000-01-01,11.8
M,ES,2001-01-01,11.3
M,ES,2002-01-01,11.2
M,ES,2003-01-01,10.7
M,ES,2004-01-01,11.0
M,ES,2005-01-01,10.3
M,ES,2006-01-01,9.1
M,ES,2007-01-01,8.7
M,ES,2008-01-01,7.5
M,ES,2009-01-01,7.9
M,ES,2010-01-01,7.0
M,ES,2011-01-01,6.3
M,ES,2012-01-01,6.0
M,ES,2013-01-01,5.3
M,ES,2014-01-01,5.4
M,ES,2015-01-01,5.2
M,EU28,2000-01-01,
M,EU28,2001-01-01,
M,EU28,2002-01-01,7.1
M,EU28,2003-01-01,7.1
M,EU28,2004-01-01,6.6
M,EU28,2005-01-01,6.3
M,EU28,2006-01-01,5.9
M,EU28,2007-01-01,5.8
M,EU28,2008-01-01,5.5
M,EU28,2009-01-01,5.3
M,EU28,2010-01-01,4.9
M,EU28,2011-01-01,4.7
M,EU28,2012-01-01,4.6
M,EU28,2013-01-01,4.4
M,EU28,2014-01-01,4.1
M,EU28,2015-01-01,4.0
M,FI,2000-01-01,5.2
M,FI,2001-01-01,4.5
M,FI,2002-01-01,4.2
M,FI,2003-01-01,2.9
M,FI,2004-01-01,2.8
M,FI,2005-01-01,3.2
M,FI,2006-01-01,2.1
M,FI,2007-01-01,2.8
M,FI,2008-01-01,2.3
M,FI,2009-01-01,2.3
M,FI,2010-01-01,1.6
M,FI,2011-01-01,2.1
M,FI,2012-01-01,1.9
M,FI,2013-01-01,1.1
M,FI,2014-01-01,
M,FI,2015-01-01,
M,FR,2000-01-01,
M,FR,2001-01-01,8.0
M,FR,2002-01-01,7.6
M,FR,2003-01-01,7.2
M,FR,2004-01-01,6.5
M,FR,2005-01-01,6.3
M,FR,2006-01-01,5.8
M,FR,2007-01-01,5.2
M,FR,2008-01-01,5.0
M,FR,2009-01-01,4.3
M,FR,2010-01-01,4.0
M,FR,2011-01-01,3.7
M,FR,2012-01-01,3.4
M,FR,2013-01-01,3.4
M,FR,2014-01-01,3.0
M,FR,2015-01-01,2.9
M,HR,2000-01-01,
M,HR,2001-01-01,
M,HR,2002-01-01,9.7
M,HR,2003-01-01,6.9
M,HR,2004-01-01,8.1
M,HR,2005-01-01,6.2
M,HR,2006-01-01,7.6
M,HR,2007-01-01,5.7
M,HR,2008-01-01,5.0
M,HR,2009-01-01,7.0
M,HR,2010-01-01,5.6
M,HR,2011-01-01,4.1
M,HR,2012-01-01,4.2
M,HR,2013-01-01,3.7
M,HR,2014-01-01,3.5
M,HR,2015-01-01,4.2
M,HU,2000-01-01,8.2
M,HU,2001-01-01,8.6
M,HU,2002-01-01,7.4
M,HU,2003-01-01,6.0
M,HU,2004-01-01,6.5
M,HU,2005-01-01,5.4
M,HU,2006-01-01,4.1
M,HU,2007-01-01,4.8
M,HU,2008-01-01,4.2
M,HU,2009-01-01,3.6
M,HU,2010-01-01,3.6
M,HU,2011-01-01,2.6
M,HU,2012-01-01,4.1
M,HU,2013-01-01,4.4
M,HU,2014-01-01,4.0
M,HU,2015-01-01,4.1
M,IE,2000-01-01,4.6
M,IE,2001-01-01,3.1
M,IE,2002-01-01,2.9
M,IE,2003-01-01,3.2
M,IE,2004-01-01,3.0
M,IE,2005-01-01,2.3
M,IE,2006-01-01,2.8
M,IE,2007-01-01,4.3
M,IE,2008-01-01,3.2
M,IE,2009-01-01,3.1
M,IE,2010-01-01,2.8
M,IE,2011-01-01,2.3
M,IE,2012-01-01,2.3
M,IE,2013-01-01,2.4
M,IE,2014-01-01,1.8
M,IE,2015-01-01,1.9
M,IT,2000-01-01,7.2
M,IT,2001-01-01,7.2
M,IT,2002-01-01,7.9
M,IT,2003-01-01,9.3
M,IT,2004-01-01,
M,IT,2005-01-01,
M,IT,2006-01-01,8.4
M,IT,2007-01-01,8.7
M,IT,2008-01-01,8.2
M,IT,2009-01-01,8.1
M,IT,2010-01-01,8.0
M,IT,2011-01-01,7.9
M,IT,2012-01-01,8.2
M,IT,2013-01-01,7.2
M,IT,2014-01-01,6.8
M,IT,2015-01-01,6.8
M,LT,2000-01-01,24.3
M,LT,2001-01-01,23.9
M,LT,2002-01-01,22.6
M,LT,2003-01-01,23.5
M,LT,2004-01-01,22.8
M,LT,2005-01-01,23.6
M,LT,2006-01-01,23.8
M,LT,2007-01-01,22.5
M,LT,2008-01-01,21.4
M,LT,2009-01-01,17.5
M,LT,2010-01-01,16.8
M,LT,2011-01-01,17.1
M,LT,2012-01-01,18.9
M,LT,2013-01-01,17.4
M,LT,2014-01-01,17.0
M,LT,2015-01-01,14.2
M,LU,2000-01-01,
M,LU,2001-01-01,3.2
M,LU,2002-01-01,
M,LU,2003-01-01,2.2
M,LU,2004-01-01,
M,LU,2005-01-01,
M,LU,2006-01-01,
M,LU,2007-01-01,4.5
M,LU,2008-01-01,
M,LU,2009-01-01,
M,LU,2010-01-01,
M,LU,2011-01-01,
M,LU,2012-01-01,
M,LU,2013-01-01,
M,LU,2014-01-01,4.2
M,LU,2015-01-01,3.6
M,LV,2000-01-01,28.1
M,LV,2001-01-01,26.6
M,LV,2002-01-01,19.5
M,LV,2003-01-01,19.4
M,LV,2004-01-01,17.6
M,LV,2005-01-01,17.2
M,LV,2006-01-01,18.8
M,LV,2007-01-01,17.9
M,LV,2008-01-01,14.6
M,LV,2009-01-01,17.5
M,LV,2010-01-01,13.4
M,LV,2011-01-01,14.8
M,LV,2012-01-01,13.5
M,LV,2013-01-01,20.2
M,LV,2014-01-01,17.1
M,LV,2015-01-01,19.8
M,MK,2000-01-01,
M,MK,2001-01-01,13.4
M,MK,2002-01-01,
M,MK,2003-01-01,
M,MK,2004-01-01,
M,MK,2005-01-01,
M,MK,2006-01-01,8.3
M,MK,2007-01-01,7.7
M,MK,2008-01-01,
M,MK,2009-01-01,
