indic_il,sex,age,geotime,date,value
LI_GAP_MD60,T,Y16-64,EU28,2006-01-01,
LI_GAP_MD60,T,Y16-64,EU28,2007-01-01,
LI_GAP_MD60,T,Y16-64,EU28,2008-01-01,
LI_GAP_MD60,T,Y16-64,EU28,2009-01-01,
LI_GAP_MD60,T,Y16-64,EU28,2010-01-01,24.9
LI_GAP_MD60,T,Y16-64,EU28,2011-01-01,25.1
LI_GAP_MD60,T,Y16-64,EU28,2012-01-01,25.4
LI_GAP_MD60,T,Y16-64,EU28,2013-01-01,25.7
LI_GAP_MD60,T,Y16-64,EU28,2014-01-01,26.8
LI_GAP_MD60,T,Y16-64,EU28,2015-01-01,27.1
LI_GAP_MD60,T,Y16-64,EU28,2016-01-01,27.7
LI_GAP_MD60,T,Y16-64,EU28,2017-01-01,27.3
LI_GAP_MD60,T,Y16-64,FI,2006-01-01,16.6
LI_GAP_MD60,T,Y16-64,FI,2007-01-01,16.7
LI_GAP_MD60,T,Y16-64,FI,2008-01-01,19.2
LI_GAP_MD60,T,Y16-64,FI,2009-01-01,19.6
LI_GAP_MD60,T,Y16-64,FI,2010-01-01,17.3
LI_GAP_MD60,T,Y16-64,FI,2011-01-01,17.9
LI_GAP_MD60,T,Y16-64,FI,2012-01-01,18.0
LI_GAP_MD60,T,Y16-64,FI,2013-01-01,18.8
LI_GAP_MD60,T,Y16-64,FI,2014-01-01,18.2
LI_GAP_MD60,T,Y16-64,FI,2015-01-01,18.7
LI_GAP_MD60,T,Y16-64,FI,2016-01-01,16.9
LI_GAP_MD60,T,Y16-64,FI,2017-01-01,17.6
LI_GAP_MD60,T,Y16-64,FR,2006-01-01,20.0
LI_GAP_MD60,T,Y16-64,FR,2007-01-01,18.1
LI_GAP_MD60,T,Y16-64,FR,2008-01-01,18.3
LI_GAP_MD60,T,Y16-64,FR,2009-01-01,19.8
LI_GAP_MD60,T,Y16-64,FR,2010-01-01,21.2
LI_GAP_MD60,T,Y16-64,FR,2011-01-01,18.2
LI_GAP_MD60,T,Y16-64,FR,2012-01-01,17.4
LI_GAP_MD60,T,Y16-64,FR,2013-01-01,17.9
LI_GAP_MD60,T,Y16-64,FR,2014-01-01,17.9
LI_GAP_MD60,T,Y16-64,FR,2015-01-01,17.3
LI_GAP_MD60,T,Y16-64,FR,2016-01-01,19.3
LI_GAP_MD60,T,Y16-64,FR,2017-01-01,19.0
LI_GAP_MD60,T,Y16-64,HR,2006-01-01,
LI_GAP_MD60,T,Y16-64,HR,2007-01-01,
LI_GAP_MD60,T,Y16-64,HR,2008-01-01,
LI_GAP_MD60,T,Y16-64,HR,2009-01-01,
LI_GAP_MD60,T,Y16-64,HR,2010-01-01,28.1
LI_GAP_MD60,T,Y16-64,HR,2011-01-01,28.0
LI_GAP_MD60,T,Y16-64,HR,2012-01-01,32.3
LI_GAP_MD60,T,Y16-64,HR,2013-01-01,30.2
LI_GAP_MD60,T,Y16-64,HR,2014-01-01,27.9
LI_GAP_MD60,T,Y16-64,HR,2015-01-01,28.0
LI_GAP_MD60,T,Y16-64,HR,2016-01-01,30.8
LI_GAP_MD60,T,Y16-64,HR,2017-01-01,
LI_GAP_MD60,T,Y16-64,HU,2006-01-01,24.9
LI_GAP_MD60,T,Y16-64,HU,2007-01-01,20.8
LI_GAP_MD60,T,Y16-64,HU,2008-01-01,18.1
LI_GAP_MD60,T,Y16-64,HU,2009-01-01,16.6
LI_GAP_MD60,T,Y16-64,HU,2010-01-01,16.8
LI_GAP_MD60,T,Y16-64,HU,2011-01-01,19.1
LI_GAP_MD60,T,Y16-64,HU,2012-01-01,21.5
LI_GAP_MD60,T,Y16-64,HU,2013-01-01,23.1
LI_GAP_MD60,T,Y16-64,HU,2014-01-01,22.5
LI_GAP_MD60,T,Y16-64,HU,2015-01-01,22.3
LI_GAP_MD60,T,Y16-64,HU,2016-01-01,20.3
LI_GAP_MD60,T,Y16-64,HU,2017-01-01,18.8
LI_GAP_MD60,T,Y16-64,IE,2006-01-01,18.6
LI_GAP_MD60,T,Y16-64,IE,2007-01-01,19.9
LI_GAP_MD60,T,Y16-64,IE,2008-01-01,20.5
LI_GAP_MD60,T,Y16-64,IE,2009-01-01,17.3
LI_GAP_MD60,T,Y16-64,IE,2010-01-01,15.4
LI_GAP_MD60,T,Y16-64,IE,2011-01-01,18.8
LI_GAP_MD60,T,Y16-64,IE,2012-01-01,21.3
LI_GAP_MD60,T,Y16-64,IE,2013-01-01,17.9
LI_GAP_MD60,T,Y16-64,IE,2014-01-01,19.0
LI_GAP_MD60,T,Y16-64,IE,2015-01-01,19.6
LI_GAP_MD60,T,Y16-64,IE,2016-01-01,19.1
LI_GAP_MD60,T,Y16-64,IE,2017-01-01,
LI_GAP_MD60,T,Y16-64,IS,2006-01-01,21.8
LI_GAP_MD60,T,Y16-64,IS,2007-01-01,20.7
LI_GAP_MD60,T,Y16-64,IS,2008-01-01,19.5
LI_GAP_MD60,T,Y16-64,IS,2009-01-01,19.6
