sex,age,unit,geotime,date,value
T,TOTAL,PC,DK,2016-01-01,16.8
T,TOTAL,PC,DK,2017-01-01,17.2
T,TOTAL,PC,EA18,2003-01-01,
T,TOTAL,PC,EA18,2004-01-01,
T,TOTAL,PC,EA18,2005-01-01,21.8
T,TOTAL,PC,EA18,2006-01-01,22.0
T,TOTAL,PC,EA18,2007-01-01,21.8
T,TOTAL,PC,EA18,2008-01-01,21.6
T,TOTAL,PC,EA18,2009-01-01,21.6
T,TOTAL,PC,EA18,2010-01-01,21.9
T,TOTAL,PC,EA18,2011-01-01,22.8
T,TOTAL,PC,EA18,2012-01-01,23.2
T,TOTAL,PC,EA18,2013-01-01,23.1
T,TOTAL,PC,EA18,2014-01-01,23.5
T,TOTAL,PC,EA18,2015-01-01,23.0
T,TOTAL,PC,EA18,2016-01-01,23.0
T,TOTAL,PC,EA18,2017-01-01,22.1
T,TOTAL,PC,EA19,2003-01-01,
T,TOTAL,PC,EA19,2004-01-01,
T,TOTAL,PC,EA19,2005-01-01,22.0
T,TOTAL,PC,EA19,2006-01-01,22.1
T,TOTAL,PC,EA19,2007-01-01,21.9
T,TOTAL,PC,EA19,2008-01-01,21.7
T,TOTAL,PC,EA19,2009-01-01,21.6
T,TOTAL,PC,EA19,2010-01-01,22.0
T,TOTAL,PC,EA19,2011-01-01,22.9
T,TOTAL,PC,EA19,2012-01-01,23.3
T,TOTAL,PC,EA19,2013-01-01,23.1
T,TOTAL,PC,EA19,2014-01-01,23.5
T,TOTAL,PC,EA19,2015-01-01,23.1
T,TOTAL,PC,EA19,2016-01-01,23.1
T,TOTAL,PC,EA19,2017-01-01,22.1
T,TOTAL,PC,EE,2003-01-01,
T,TOTAL,PC,EE,2004-01-01,26.3
T,TOTAL,PC,EE,2005-01-01,25.9
T,TOTAL,PC,EE,2006-01-01,22.0
T,TOTAL,PC,EE,2007-01-01,22.0
T,TOTAL,PC,EE,2008-01-01,21.8
T,TOTAL,PC,EE,2009-01-01,23.4
T,TOTAL,PC,EE,2010-01-01,21.7
T,TOTAL,PC,EE,2011-01-01,23.1
T,TOTAL,PC,EE,2012-01-01,23.4
T,TOTAL,PC,EE,2013-01-01,23.5
T,TOTAL,PC,EE,2014-01-01,26.0
T,TOTAL,PC,EE,2015-01-01,24.2
T,TOTAL,PC,EE,2016-01-01,24.4
T,TOTAL,PC,EE,2017-01-01,23.4
T,TOTAL,PC,EL,2003-01-01,32.9
T,TOTAL,PC,EL,2004-01-01,30.9
T,TOTAL,PC,EL,2005-01-01,29.4
T,TOTAL,PC,EL,2006-01-01,29.3
T,TOTAL,PC,EL,2007-01-01,28.3
T,TOTAL,PC,EL,2008-01-01,28.1
T,TOTAL,PC,EL,2009-01-01,27.6
T,TOTAL,PC,EL,2010-01-01,27.7
T,TOTAL,PC,EL,2011-01-01,31.0
T,TOTAL,PC,EL,2012-01-01,34.6
T,TOTAL,PC,EL,2013-01-01,35.7
T,TOTAL,PC,EL,2014-01-01,36.0
T,TOTAL,PC,EL,2015-01-01,35.7
T,TOTAL,PC,EL,2016-01-01,35.6
T,TOTAL,PC,EL,2017-01-01,34.8
T,TOTAL,PC,ES,2003-01-01,
T,TOTAL,PC,ES,2004-01-01,25.0
T,TOTAL,PC,ES,2005-01-01,24.3
T,TOTAL,PC,ES,2006-01-01,24.0
T,TOTAL,PC,ES,2007-01-01,23.3
T,TOTAL,PC,ES,2008-01-01,23.8
T,TOTAL,PC,ES,2009-01-01,24.7
T,TOTAL,PC,ES,2010-01-01,26.1
T,TOTAL,PC,ES,2011-01-01,26.7
T,TOTAL,PC,ES,2012-01-01,27.2
T,TOTAL,PC,ES,2013-01-01,27.3
T,TOTAL,PC,ES,2014-01-01,29.2
T,TOTAL,PC,ES,2015-01-01,28.6
T,TOTAL,PC,ES,2016-01-01,27.9
T,TOTAL,PC,ES,2017-01-01,26.6
T,TOTAL,PC,EU,2003-01-01,
T,TOTAL,PC,EU,2004-01-01,
T,TOTAL,PC,EU,2005-01-01,
T,TOTAL,PC,EU,2006-01-01,
T,TOTAL,PC,EU,2007-01-01,
T,TOTAL,PC,EU,2008-01-01,23.7
T,TOTAL,PC,EU,2009-01-01,23.3
T,TOTAL,PC,EU,2010-01-01,23.8
T,TOTAL,PC,EU,2011-01-01,24.3
T,TOTAL,PC,EU,2012-01-01,24.8
T,TOTAL,PC,EU,2013-01-01,24.6
T,TOTAL,PC,EU,2014-01-01,24.4
T,TOTAL,PC,EU,2015-01-01,23.8
T,TOTAL,PC,EU,2016-01-01,23.5
T,TOTAL,PC,EU,2017-01-01,22.5
T,TOTAL,PC,EU27,2003-01-01,
T,TOTAL,PC,EU27,2004-01-01,
T,TOTAL,PC,EU27,2005-01-01,25.8
T,TOTAL,PC,EU27,2006-01-01,25.3
T,TOTAL,PC,EU27,2007-01-01,24.5
T,TOTAL,PC,EU27,2008-01-01,23.7
T,TOTAL,PC,EU27,2009-01-01,23.3
T,TOTAL,PC,EU27,2010-01-01,23.7
T,TOTAL,PC,EU27,2011-01-01,24.2
T,TOTAL,PC,EU27,2012-01-01,24.7
T,TOTAL,PC,EU27,2013-01-01,24.6
T,TOTAL,PC,EU27,2014-01-01,24.4
T,TOTAL,PC,EU27,2015-01-01,23.7
T,TOTAL,PC,EU27,2016-01-01,23.5
T,TOTAL,PC,EU27,2017-01-01,22.5
T,TOTAL,PC,EU28,2003-01-01,
T,TOTAL,PC,EU28,2004-01-01,
T,TOTAL,PC,EU28,2005-01-01,
T,TOTAL,PC,EU28,2006-01-01,
T,TOTAL,PC,EU28,2007-01-01,
T,TOTAL,PC,EU28,2008-01-01,
T,TOTAL,PC,EU28,2009-01-01,
T,TOTAL,PC,EU28,2010-01-01,23.8
T,TOTAL,PC,EU28,2011-01-01,24.3
T,TOTAL,PC,EU28,2012-01-01,24.8
T,TOTAL,PC,EU28,2013-01-01,24.6
T,TOTAL,PC,EU28,2014-01-01,24.4
T,TOTAL,PC,EU28,2015-01-01,23.8
T,TOTAL,PC,EU28,2016-01-01,23.5
T,TOTAL,PC,EU28,2017-01-01,22.5
T,TOTAL,PC,FI,2003-01-01,
T,TOTAL,PC,FI,2004-01-01,17.2
T,TOTAL,PC,FI,2005-01-01,17.2
T,TOTAL,PC,FI,2006-01-01,17.1
T,TOTAL,PC,FI,2007-01-01,17.4
T,TOTAL,PC,FI,2008-01-01,17.4
T,TOTAL,PC,FI,2009-01-01,16.9
T,TOTAL,PC,FI,2010-01-01,16.9
T,TOTAL,PC,FI,2011-01-01,17.9
T,TOTAL,PC,FI,2012-01-01,17.2
T,TOTAL,PC,FI,2013-01-01,16.0
T,TOTAL,PC,FI,2014-01-01,17.3
T,TOTAL,PC,FI,2015-01-01,16.8
T,TOTAL,PC,FI,2016-01-01,16.6
T,TOTAL,PC,FI,2017-01-01,15.7
T,TOTAL,PC,FR,2003-01-01,
T,TOTAL,PC,FR,2004-01-01,19.8
T,TOTAL,PC,FR,2005-01-01,18.9
T,TOTAL,PC,FR,2006-01-01,18.8
T,TOTAL,PC,FR,2007-01-01,19.0
T,TOTAL,PC,FR,2008-01-01,18.5
T,TOTAL,PC,FR,2009-01-01,18.5
T,TOTAL,PC,FR,2010-01-01,19.2
T,TOTAL,PC,FR,2011-01-01,19.3
T,TOTAL,PC,FR,2012-01-01,19.1
T,TOTAL,PC,FR,2013-01-01,18.1
T,TOTAL,PC,FR,2014-01-01,18.5
T,TOTAL,PC,FR,2015-01-01,17.7
T,TOTAL,PC,FR,2016-01-01,18.2
T,TOTAL,PC,FR,2017-01-01,17.1
T,TOTAL,PC,HR,2003-01-01,
T,TOTAL,PC,HR,2004-01-01,
T,TOTAL,PC,HR,2005-01-01,
T,TOTAL,PC,HR,2006-01-01,
T,TOTAL,PC,HR,2007-01-01,
T,TOTAL,PC,HR,2008-01-01,
T,TOTAL,PC,HR,2009-01-01,
T,TOTAL,PC,HR,2010-01-01,31.1
T,TOTAL,PC,HR,2011-01-01,32.6
T,TOTAL,PC,HR,2012-01-01,32.6
T,TOTAL,PC,HR,2013-01-01,29.9
T,TOTAL,PC,HR,2014-01-01,29.3
T,TOTAL,PC,HR,2015-01-01,29.1
T,TOTAL,PC,HR,2016-01-01,27.9
T,TOTAL,PC,HR,2017-01-01,
T,TOTAL,PC,HU,2003-01-01,
T,TOTAL,PC,HU,2004-01-01,
T,TOTAL,PC,HU,2005-01-01,32.1
T,TOTAL,PC,HU,2006-01-01,31.4
T,TOTAL,PC,HU,2007-01-01,29.4
T,TOTAL,PC,HU,2008-01-01,28.2
T,TOTAL,PC,HU,2009-01-01,29.6
T,TOTAL,PC,HU,2010-01-01,29.9
T,TOTAL,PC,HU,2011-01-01,31.5
T,TOTAL,PC,HU,2012-01-01,33.5
T,TOTAL,PC,HU,2013-01-01,34.8
T,TOTAL,PC,HU,2014-01-01,31.8
T,TOTAL,PC,HU,2015-01-01,28.2
T,TOTAL,PC,HU,2016-01-01,26.3
T,TOTAL,PC,HU,2017-01-01,25.6
T,TOTAL,PC,IE,2003-01-01,24.4
T,TOTAL,PC,IE,2004-01-01,24.8
T,TOTAL,PC,IE,2005-01-01,25.0
T,TOTAL,PC,IE,2006-01-01,23.3
T,TOTAL,PC,IE,2007-01-01,23.1
T,TOTAL,PC,IE,2008-01-01,23.7
T,TOTAL,PC,IE,2009-01-01,25.7
T,TOTAL,PC,IE,2010-01-01,27.3
T,TOTAL,PC,IE,2011-01-01,29.4
T,TOTAL,PC,IE,2012-01-01,30.3
T,TOTAL,PC,IE,2013-01-01,29.9
T,TOTAL,PC,IE,2014-01-01,27.7
T,TOTAL,PC,IE,2015-01-01,26.0
T,TOTAL,PC,IE,2016-01-01,24.2
T,TOTAL,PC,IE,2017-01-01,
T,TOTAL,PC,IS,2003-01-01,
T,TOTAL,PC,IS,2004-01-01,13.7
T,TOTAL,PC,IS,2005-01-01,13.3
T,TOTAL,PC,IS,2006-01-01,12.5
T,TOTAL,PC,IS,2007-01-01,13.0
T,TOTAL,PC,IS,2008-01-01,11.8
T,TOTAL,PC,IS,2009-01-01,11.6
T,TOTAL,PC,IS,2010-01-01,13.7
T,TOTAL,PC,IS,2011-01-01,13.7
T,TOTAL,PC,IS,2012-01-01,12.7
T,TOTAL,PC,IS,2013-01-01,13.0
T,TOTAL,PC,IS,2014-01-01,11.2
T,TOTAL,PC,IS,2015-01-01,12.5
T,TOTAL,PC,IS,2016-01-01,12.2
T,TOTAL,PC,IS,2017-01-01,
T,TOTAL,PC,IT,2003-01-01,
T,TOTAL,PC,IT,2004-01-01,26.2
T,TOTAL,PC,IT,2005-01-01,25.6
T,TOTAL,PC,IT,2006-01-01,25.9
T,TOTAL,PC,IT,2007-01-01,26.0
T,TOTAL,PC,IT,2008-01-01,25.5
T,TOTAL,PC,IT,2009-01-01,24.9
T,TOTAL,PC,IT,2010-01-01,25.0
T,TOTAL,PC,IT,2011-01-01,28.1
T,TOTAL,PC,IT,2012-01-01,29.9
T,TOTAL,PC,IT,2013-01-01,28.5
T,TOTAL,PC,IT,2014-01-01,28.3
T,TOTAL,PC,IT,2015-01-01,28.7
T,TOTAL,PC,IT,2016-01-01,30.0
T,TOTAL,PC,IT,2017-01-01,28.9
T,TOTAL,PC,LT,2003-01-01,
T,TOTAL,PC,LT,2004-01-01,
T,TOTAL,PC,LT,2005-01-01,41.0
T,TOTAL,PC,LT,2006-01-01,35.9
T,TOTAL,PC,LT,2007-01-01,28.7
T,TOTAL,PC,LT,2008-01-01,28.3
T,TOTAL,PC,LT,2009-01-01,29.6
T,TOTAL,PC,LT,2010-01-01,34.0
T,TOTAL,PC,LT,2011-01-01,33.1
T,TOTAL,PC,LT,2012-01-01,32.5
T,TOTAL,PC,LT,2013-01-01,30.8
T,TOTAL,PC,LT,2014-01-01,27.3
T,TOTAL,PC,LT,2015-01-01,29.3
T,TOTAL,PC,LT,2016-01-01,30.1
T,TOTAL,PC,LT,2017-01-01,29.6
T,TOTAL,PC,LU,2003-01-01,15.8
T,TOTAL,PC,LU,2004-01-01,16.1
T,TOTAL,PC,LU,2005-01-01,17.3
T,TOTAL,PC,LU,2006-01-01,16.5
T,TOTAL,PC,LU,2007-01-01,15.9
T,TOTAL,PC,LU,2008-01-01,15.5
T,TOTAL,PC,LU,2009-01-01,17.8
T,TOTAL,PC,LU,2010-01-01,17.1
T,TOTAL,PC,LU,2011-01-01,16.8
T,TOTAL,PC,LU,2012-01-01,18.4
T,TOTAL,PC,LU,2013-01-01,19.0
T,TOTAL,PC,LU,2014-01-01,19.0
T,TOTAL,PC,LU,2015-01-01,18.5
T,TOTAL,PC,LU,2016-01-01,19.8
T,TOTAL,PC,LU,2017-01-01,21.5
T,TOTAL,PC,LV,2003-01-01,
T,TOTAL,PC,LV,2004-01-01,
T,TOTAL,PC,LV,2005-01-01,46.3
T,TOTAL,PC,LV,2006-01-01,42.2
T,TOTAL,PC,LV,2007-01-01,35.1
T,TOTAL,PC,LV,2008-01-01,34.2
T,TOTAL,PC,LV,2009-01-01,37.9
T,TOTAL,PC,LV,2010-01-01,38.2
T,TOTAL,PC,LV,2011-01-01,40.1
T,TOTAL,PC,LV,2012-01-01,36.2
T,TOTAL,PC,LV,2013-01-01,35.1
T,TOTAL,PC,LV,2014-01-01,32.7
T,TOTAL,PC,LV,2015-01-01,30.9
T,TOTAL,PC,LV,2016-01-01,28.5
T,TOTAL,PC,LV,2017-01-01,28.2
T,TOTAL,PC,MK,2003-01-01,
T,TOTAL,PC,MK,2004-01-01,
T,TOTAL,PC,MK,2005-01-01,
T,TOTAL,PC,MK,2006-01-01,
T,TOTAL,PC,MK,2007-01-01,
T,TOTAL,PC,MK,2008-01-01,
T,TOTAL,PC,MK,2009-01-01,
T,TOTAL,PC,MK,2010-01-01,47.2
T,TOTAL,PC,MK,2011-01-01,50.4
T,TOTAL,PC,MK,2012-01-01,50.3
T,TOTAL,PC,MK,2013-01-01,48.1
T,TOTAL,PC,MK,2014-01-01,43.3
T,TOTAL,PC,MK,2015-01-01,41.6
T,TOTAL,PC,MK,2016-01-01,41.1
T,TOTAL,PC,MK,2017-01-01,
T,TOTAL,PC,MT,2003-01-01,
T,TOTAL,PC,MT,2004-01-01,
T,TOTAL,PC,MT,2005-01-01,20.5
T,TOTAL,PC,MT,2006-01-01,19.5
T,TOTAL,PC,MT,2007-01-01,19.7
T,TOTAL,PC,MT,2008-01-01,20.1
T,TOTAL,PC,MT,2009-01-01,20.3
T,TOTAL,PC,MT,2010-01-01,21.2
T,TOTAL,PC,MT,2011-01-01,22.1
T,TOTAL,PC,MT,2012-01-01,23.1
T,TOTAL,PC,MT,2013-01-01,24.0
T,TOTAL,PC,MT,2014-01-01,23.8
T,TOTAL,PC,MT,2015-01-01,22.4
T,TOTAL,PC,MT,2016-01-01,20.1
T,TOTAL,PC,MT,2017-01-01,19.2
T,TOTAL,PC,NL,2003-01-01,
T,TOTAL,PC,NL,2004-01-01,
T,TOTAL,PC,NL,2005-01-01,16.7
T,TOTAL,PC,NL,2006-01-01,16.0
T,TOTAL,PC,NL,2007-01-01,15.7
T,TOTAL,PC,NL,2008-01-01,14.9
T,TOTAL,PC,NL,2009-01-01,15.1
T,TOTAL,PC,NL,2010-01-01,15.1
T,TOTAL,PC,NL,2011-01-01,15.7
T,TOTAL,PC,NL,2012-01-01,15.0
T,TOTAL,PC,NL,2013-01-01,15.9
T,TOTAL,PC,NL,2014-01-01,16.5
T,TOTAL,PC,NL,2015-01-01,16.4
T,TOTAL,PC,NL,2016-01-01,16.7
T,TOTAL,PC,NL,2017-01-01,17.0
T,TOTAL,PC,NO,2003-01-01,12.9
T,TOTAL,PC,NO,2004-01-01,15.8
T,TOTAL,PC,NO,2005-01-01,16.2
T,TOTAL,PC,NO,2006-01-01,16.8
T,TOTAL,PC,NO,2007-01-01,16.5
T,TOTAL,PC,NO,2008-01-01,15.0
T,TOTAL,PC,NO,2009-01-01,15.2
T,TOTAL,PC,NO,2010-01-01,14.9
T,TOTAL,PC,NO,2011-01-01,14.5
T,TOTAL,PC,NO,2012-01-01,13.7
T,TOTAL,PC,NO,2013-01-01,14.1
T,TOTAL,PC,NO,2014-01-01,13.5
T,TOTAL,PC,NO,2015-01-01,15.0
T,TOTAL,PC,NO,2016-01-01,15.3
T,TOTAL,PC,NO,2017-01-01,16.1
T,TOTAL,PC,PL,2003-01-01,
T,TOTAL,PC,PL,2004-01-01,
T,TOTAL,PC,PL,2005-01-01,45.3
T,TOTAL,PC,PL,2006-01-01,39.5
T,TOTAL,PC,PL,2007-01-01,34.4
T,TOTAL,PC,PL,2008-01-01,30.5
T,TOTAL,PC,PL,2009-01-01,27.8
T,TOTAL,PC,PL,2010-01-01,27.8
T,TOTAL,PC,PL,2011-01-01,27.2
T,TOTAL,PC,PL,2012-01-01,26.7
T,TOTAL,PC,PL,2013-01-01,25.8
T,TOTAL,PC,PL,2014-01-01,24.7
T,TOTAL,PC,PL,2015-01-01,23.4
T,TOTAL,PC,PL,2016-01-01,21.9
T,TOTAL,PC,PL,2017-01-01,19.5
T,TOTAL,PC,PT,2003-01-01,
T,TOTAL,PC,PT,2004-01-01,27.5
T,TOTAL,PC,PT,2005-01-01,26.1
T,TOTAL,PC,PT,2006-01-01,25.0
T,TOTAL,PC,PT,2007-01-01,25.0
T,TOTAL,PC,PT,2008-01-01,26.0
T,TOTAL,PC,PT,2009-01-01,24.9
T,TOTAL,PC,PT,2010-01-01,25.3
T,TOTAL,PC,PT,2011-01-01,24.4
T,TOTAL,PC,PT,2012-01-01,25.3
T,TOTAL,PC,PT,2013-01-01,27.5
T,TOTAL,PC,PT,2014-01-01,27.5
T,TOTAL,PC,PT,2015-01-01,26.6
T,TOTAL,PC,PT,2016-01-01,25.1
T,TOTAL,PC,PT,2017-01-01,23.3
T,TOTAL,PC,RO,2003-01-01,
T,TOTAL,PC,RO,2004-01-01,
T,TOTAL,PC,RO,2005-01-01,
T,TOTAL,PC,RO,2006-01-01,
T,TOTAL,PC,RO,2007-01-01,47.0
T,TOTAL,PC,RO,2008-01-01,44.2
T,TOTAL,PC,RO,2009-01-01,43.0
T,TOTAL,PC,RO,2010-01-01,41.5
T,TOTAL,PC,RO,2011-01-01,40.9
T,TOTAL,PC,RO,2012-01-01,43.2
T,TOTAL,PC,RO,2013-01-01,41.9
T,TOTAL,PC,RO,2014-01-01,40.3
T,TOTAL,PC,RO,2015-01-01,37.4
T,TOTAL,PC,RO,2016-01-01,38.8
T,TOTAL,PC,RO,2017-01-01,35.7
T,TOTAL,PC,RS,2003-01-01,
T,TOTAL,PC,RS,2004-01-01,
T,TOTAL,PC,RS,2005-01-01,
T,TOTAL,PC,RS,2006-01-01,
T,TOTAL,PC,RS,2007-01-01,
T,TOTAL,PC,RS,2008-01-01,
T,TOTAL,PC,RS,2009-01-01,
T,TOTAL,PC,RS,2010-01-01,
T,TOTAL,PC,RS,2011-01-01,
T,TOTAL,PC,RS,2012-01-01,
T,TOTAL,PC,RS,2013-01-01,42.0
T,TOTAL,PC,RS,2014-01-01,43.1
T,TOTAL,PC,RS,2015-01-01,41.3
T,TOTAL,PC,RS,2016-01-01,38.7
T,TOTAL,PC,RS,2017-01-01,
T,TOTAL,PC,SE,2003-01-01,
T,TOTAL,PC,SE,2004-01-01,16.9
T,TOTAL,PC,SE,2005-01-01,14.4
T,TOTAL,PC,SE,2006-01-01,16.3
T,TOTAL,PC,SE,2007-01-01,13.9
T,TOTAL,PC,SE,2008-01-01,16.7
T,TOTAL,PC,SE,2009-01-01,17.8
T,TOTAL,PC,SE,2010-01-01,17.7
T,TOTAL,PC,SE,2011-01-01,18.5
T,TOTAL,PC,SE,2012-01-01,17.7
T,TOTAL,PC,SE,2013-01-01,18.3
T,TOTAL,PC,SE,2014-01-01,18.2
T,TOTAL,PC,SE,2015-01-01,18.6
T,TOTAL,PC,SE,2016-01-01,18.3
T,TOTAL,PC,SE,2017-01-01,17.7
T,TOTAL,PC,SI,2003-01-01,
T,TOTAL,PC,SI,2004-01-01,
T,TOTAL,PC,SI,2005-01-01,18.5
T,TOTAL,PC,SI,2006-01-01,17.1
T,TOTAL,PC,SI,2007-01-01,17.1
T,TOTAL,PC,SI,2008-01-01,18.5
T,TOTAL,PC,SI,2009-01-01,17.1
T,TOTAL,PC,SI,2010-01-01,18.3
T,TOTAL,PC,SI,2011-01-01,19.3
T,TOTAL,PC,SI,2012-01-01,19.6
T,TOTAL,PC,SI,2013-01-01,20.4
T,TOTAL,PC,SI,2014-01-01,20.4
T,TOTAL,PC,SI,2015-01-01,19.2
T,TOTAL,PC,SI,2016-01-01,18.4
T,TOTAL,PC,SI,2017-01-01,17.1
T,TOTAL,PC,SK,2003-01-01,
T,TOTAL,PC,SK,2004-01-01,
T,TOTAL,PC,SK,2005-01-01,32.0
T,TOTAL,PC,SK,2006-01-01,26.7
T,TOTAL,PC,SK,2007-01-01,21.4
T,TOTAL,PC,SK,2008-01-01,20.6
T,TOTAL,PC,SK,2009-01-01,19.6
T,TOTAL,PC,SK,2010-01-01,20.6
T,TOTAL,PC,SK,2011-01-01,20.6
T,TOTAL,PC,SK,2012-01-01,20.5
T,TOTAL,PC,SK,2013-01-01,19.8
T,TOTAL,PC,SK,2014-01-01,18.4
T,TOTAL,PC,SK,2015-01-01,18.4
T,TOTAL,PC,SK,2016-01-01,18.1
T,TOTAL,PC,SK,2017-01-01,16.3
T,TOTAL,PC,TR,2003-01-01,
T,TOTAL,PC,TR,2004-01-01,
T,TOTAL,PC,TR,2005-01-01,
T,TOTAL,PC,TR,2006-01-01,66.4
T,TOTAL,PC,TR,2007-01-01,64.4
T,TOTAL,PC,TR,2008-01-01,63.9
T,TOTAL,PC,TR,2009-01-01,63.9
T,TOTAL,PC,TR,2010-01-01,65.7
T,TOTAL,PC,TR,2011-01-01,63.8
T,TOTAL,PC,TR,2012-01-01,61.3
T,TOTAL,PC,TR,2013-01-01,51.2
