fieldid,unit,geotime,date,value
ANI,KCAL,HR,2013-01-01,
ANI,KCAL,HU,2000-01-01,
ANI,KCAL,HU,2001-01-01,
ANI,KCAL,HU,2002-01-01,
ANI,KCAL,HU,2003-01-01,
ANI,KCAL,HU,2004-01-01,
ANI,KCAL,HU,2005-01-01,
ANI,KCAL,HU,2006-01-01,
ANI,KCAL,HU,2007-01-01,
ANI,KCAL,HU,2008-01-01,
ANI,KCAL,HU,2009-01-01,
ANI,KCAL,HU,2010-01-01,
ANI,KCAL,HU,2011-01-01,
ANI,KCAL,HU,2012-01-01,
ANI,KCAL,HU,2013-01-01,
ANI,KCAL,IE,2000-01-01,
ANI,KCAL,IE,2001-01-01,
ANI,KCAL,IE,2002-01-01,
ANI,KCAL,IE,2003-01-01,
ANI,KCAL,IE,2004-01-01,
ANI,KCAL,IE,2005-01-01,
ANI,KCAL,IE,2006-01-01,
ANI,KCAL,IE,2007-01-01,
ANI,KCAL,IE,2008-01-01,
ANI,KCAL,IE,2009-01-01,
ANI,KCAL,IE,2010-01-01,
ANI,KCAL,IE,2011-01-01,
ANI,KCAL,IE,2012-01-01,
ANI,KCAL,IE,2013-01-01,
ANI,KCAL,IT,2000-01-01,
ANI,KCAL,IT,2001-01-01,
ANI,KCAL,IT,2002-01-01,
ANI,KCAL,IT,2003-01-01,
ANI,KCAL,IT,2004-01-01,
ANI,KCAL,IT,2005-01-01,
ANI,KCAL,IT,2006-01-01,
ANI,KCAL,IT,2007-01-01,
ANI,KCAL,IT,2008-01-01,
ANI,KCAL,IT,2009-01-01,
ANI,KCAL,IT,2010-01-01,
ANI,KCAL,IT,2011-01-01,
ANI,KCAL,IT,2012-01-01,
ANI,KCAL,IT,2013-01-01,
ANI,KCAL,LT,2000-01-01,
ANI,KCAL,LT,2001-01-01,
ANI,KCAL,LT,2002-01-01,
ANI,KCAL,LT,2003-01-01,
ANI,KCAL,LT,2004-01-01,
ANI,KCAL,LT,2005-01-01,
ANI,KCAL,LT,2006-01-01,
ANI,KCAL,LT,2007-01-01,
ANI,KCAL,LT,2008-01-01,
ANI,KCAL,LT,2009-01-01,
ANI,KCAL,LT,2010-01-01,
ANI,KCAL,LT,2011-01-01,
ANI,KCAL,LT,2012-01-01,
ANI,KCAL,LT,2013-01-01,
ANI,KCAL,LU,2000-01-01,
ANI,KCAL,LU,2001-01-01,
ANI,KCAL,LU,2002-01-01,
ANI,KCAL,LU,2003-01-01,
ANI,KCAL,LU,2004-01-01,
ANI,KCAL,LU,2005-01-01,
ANI,KCAL,LU,2006-01-01,
ANI,KCAL,LU,2007-01-01,
ANI,KCAL,LU,2008-01-01,
ANI,KCAL,LU,2009-01-01,
ANI,KCAL,LU,2010-01-01,
ANI,KCAL,LU,2011-01-01,
ANI,KCAL,LU,2012-01-01,
ANI,KCAL,LU,2013-01-01,
ANI,KCAL,LV,2000-01-01,
ANI,KCAL,LV,2001-01-01,
ANI,KCAL,LV,2002-01-01,
ANI,KCAL,LV,2003-01-01,
ANI,KCAL,LV,2004-01-01,
ANI,KCAL,LV,2005-01-01,
ANI,KCAL,LV,2006-01-01,
ANI,KCAL,LV,2007-01-01,
ANI,KCAL,LV,2008-01-01,
ANI,KCAL,LV,2009-01-01,
ANI,KCAL,LV,2010-01-01,
ANI,KCAL,LV,2011-01-01,
ANI,KCAL,LV,2012-01-01,
ANI,KCAL,LV,2013-01-01,
ANI,KCAL,MT,2000-01-01,
ANI,KCAL,MT,2001-01-01,
ANI,KCAL,MT,2002-01-01,
ANI,KCAL,MT,2003-01-01,
ANI,KCAL,MT,2004-01-01,
ANI,KCAL,MT,2005-01-01,
ANI,KCAL,MT,2006-01-01,
ANI,KCAL,MT,2007-01-01,
ANI,KCAL,MT,2008-01-01,
ANI,KCAL,MT,2009-01-01,
ANI,KCAL,MT,2010-01-01,
ANI,KCAL,MT,2011-01-01,
ANI,KCAL,MT,2012-01-01,
ANI,KCAL,MT,2013-01-01,
ANI,KCAL,NL,2000-01-01,
ANI,KCAL,NL,2001-01-01,
ANI,KCAL,NL,2002-01-01,
ANI,KCAL,NL,2003-01-01,
ANI,KCAL,NL,2004-01-01,
ANI,KCAL,NL,2005-01-01,
ANI,KCAL,NL,2006-01-01,
ANI,KCAL,NL,2007-01-01,
ANI,KCAL,NL,2008-01-01,
ANI,KCAL,NL,2009-01-01,
ANI,KCAL,NL,2010-01-01,
ANI,KCAL,NL,2011-01-01,
ANI,KCAL,NL,2012-01-01,
ANI,KCAL,NL,2013-01-01,
ANI,KCAL,PL,2000-01-01,
ANI,KCAL,PL,2001-01-01,
ANI,KCAL,PL,2002-01-01,
ANI,KCAL,PL,2003-01-01,
ANI,KCAL,PL,2004-01-01,
ANI,KCAL,PL,2005-01-01,
ANI,KCAL,PL,2006-01-01,
ANI,KCAL,PL,2007-01-01,
ANI,KCAL,PL,2008-01-01,
ANI,KCAL,PL,2009-01-01,
ANI,KCAL,PL,2010-01-01,
ANI,KCAL,PL,2011-01-01,
ANI,KCAL,PL,2012-01-01,
ANI,KCAL,PL,2013-01-01,
ANI,KCAL,PT,2000-01-01,
ANI,KCAL,PT,2001-01-01,
ANI,KCAL,PT,2002-01-01,
ANI,KCAL,PT,2003-01-01,
ANI,KCAL,PT,2004-01-01,
ANI,KCAL,PT,2005-01-01,
ANI,KCAL,PT,2006-01-01,
ANI,KCAL,PT,2007-01-01,
ANI,KCAL,PT,2008-01-01,
ANI,KCAL,PT,2009-01-01,
ANI,KCAL,PT,2010-01-01,
ANI,KCAL,PT,2011-01-01,
ANI,KCAL,PT,2012-01-01,
ANI,KCAL,PT,2013-01-01,
ANI,KCAL,RO,2000-01-01,
ANI,KCAL,RO,2001-01-01,
ANI,KCAL,RO,2002-01-01,
ANI,KCAL,RO,2003-01-01,
ANI,KCAL,RO,2004-01-01,
ANI,KCAL,RO,2005-01-01,
ANI,KCAL,RO,2006-01-01,
ANI,KCAL,RO,2007-01-01,
ANI,KCAL,RO,2008-01-01,
ANI,KCAL,RO,2009-01-01,
ANI,KCAL,RO,2010-01-01,
ANI,KCAL,RO,2011-01-01,
ANI,KCAL,RO,2012-01-01,
ANI,KCAL,RO,2013-01-01,
ANI,KCAL,SE,2000-01-01,
ANI,KCAL,SE,2001-01-01,
ANI,KCAL,SE,2002-01-01,
ANI,KCAL,SE,2003-01-01,
ANI,KCAL,SE,2004-01-01,
ANI,KCAL,SE,2005-01-01,
ANI,KCAL,SE,2006-01-01,
ANI,KCAL,SE,2007-01-01,
ANI,KCAL,SE,2008-01-01,
ANI,KCAL,SE,2009-01-01,
ANI,KCAL,SE,2010-01-01,
ANI,KCAL,SE,2011-01-01,
ANI,KCAL,SE,2012-01-01,
ANI,KCAL,SE,2013-01-01,
ANI,KCAL,SI,2000-01-01,
ANI,KCAL,SI,2001-01-01,
ANI,KCAL,SI,2002-01-01,
ANI,KCAL,SI,2003-01-01,
ANI,KCAL,SI,2004-01-01,
ANI,KCAL,SI,2005-01-01,
ANI,KCAL,SI,2006-01-01,
ANI,KCAL,SI,2007-01-01,
ANI,KCAL,SI,2008-01-01,
ANI,KCAL,SI,2009-01-01,
ANI,KCAL,SI,2010-01-01,
ANI,KCAL,SI,2011-01-01,
ANI,KCAL,SI,2012-01-01,
ANI,KCAL,SI,2013-01-01,
ANI,KCAL,SK,2000-01-01,
ANI,KCAL,SK,2001-01-01,
ANI,KCAL,SK,2002-01-01,
ANI,KCAL,SK,2003-01-01,
ANI,KCAL,SK,2004-01-01,
ANI,KCAL,SK,2005-01-01,
ANI,KCAL,SK,2006-01-01,
ANI,KCAL,SK,2007-01-01,
ANI,KCAL,SK,2008-01-01,
ANI,KCAL,SK,2009-01-01,
ANI,KCAL,SK,2010-01-01,
ANI,KCAL,SK,2011-01-01,
ANI,KCAL,SK,2012-01-01,
ANI,KCAL,SK,2013-01-01,
ANI,KCAL,UK,2000-01-01,
ANI,KCAL,UK,2001-01-01,
ANI,KCAL,UK,2002-01-01,
ANI,KCAL,UK,2003-01-01,
ANI,KCAL,UK,2004-01-01,
ANI,KCAL,UK,2005-01-01,
ANI,KCAL,UK,2006-01-01,
ANI,KCAL,UK,2007-01-01,
ANI,KCAL,UK,2008-01-01,
ANI,KCAL,UK,2009-01-01,
ANI,KCAL,UK,2010-01-01,
ANI,KCAL,UK,2011-01-01,
ANI,KCAL,UK,2012-01-01,
ANI,KCAL,UK,2013-01-01,
TOTAL,KCAL,AT,2000-01-01,
TOTAL,KCAL,AT,2001-01-01,
TOTAL,KCAL,AT,2002-01-01,
TOTAL,KCAL,AT,2003-01-01,
TOTAL,KCAL,AT,2004-01-01,
TOTAL,KCAL,AT,2005-01-01,
TOTAL,KCAL,AT,2006-01-01,
TOTAL,KCAL,AT,2007-01-01,
TOTAL,KCAL,AT,2008-01-01,
TOTAL,KCAL,AT,2009-01-01,
TOTAL,KCAL,AT,2010-01-01,
TOTAL,KCAL,AT,2011-01-01,
TOTAL,KCAL,AT,2012-01-01,
TOTAL,KCAL,AT,2013-01-01,
TOTAL,KCAL,BE,2000-01-01,
TOTAL,KCAL,BE,2001-01-01,
TOTAL,KCAL,BE,2002-01-01,
TOTAL,KCAL,BE,2003-01-01,
TOTAL,KCAL,BE,2004-01-01,
TOTAL,KCAL,BE,2005-01-01,
TOTAL,KCAL,BE,2006-01-01,
TOTAL,KCAL,BE,2007-01-01,
TOTAL,KCAL,BE,2008-01-01,
TOTAL,KCAL,BE,2009-01-01,
TOTAL,KCAL,BE,2010-01-01,
TOTAL,KCAL,BE,2011-01-01,
TOTAL,KCAL,BE,2012-01-01,
TOTAL,KCAL,BE,2013-01-01,
TOTAL,KCAL,BG,2000-01-01,
TOTAL,KCAL,BG,2001-01-01,
TOTAL,KCAL,BG,2002-01-01,
TOTAL,KCAL,BG,2003-01-01,
TOTAL,KCAL,BG,2004-01-01,
TOTAL,KCAL,BG,2005-01-01,
TOTAL,KCAL,BG,2006-01-01,
TOTAL,KCAL,BG,2007-01-01,
TOTAL,KCAL,BG,2008-01-01,
TOTAL,KCAL,BG,2009-01-01,
TOTAL,KCAL,BG,2010-01-01,
TOTAL,KCAL,BG,2011-01-01,
TOTAL,KCAL,BG,2012-01-01,
TOTAL,KCAL,BG,2013-01-01,
TOTAL,KCAL,CY,2000-01-01,
TOTAL,KCAL,CY,2001-01-01,
TOTAL,KCAL,CY,2002-01-01,
TOTAL,KCAL,CY,2003-01-01,
TOTAL,KCAL,CY,2004-01-01,
TOTAL,KCAL,CY,2005-01-01,
TOTAL,KCAL,CY,2006-01-01,
TOTAL,KCAL,CY,2007-01-01,
TOTAL,KCAL,CY,2008-01-01,
TOTAL,KCAL,CY,2009-01-01,
TOTAL,KCAL,CY,2010-01-01,
TOTAL,KCAL,CY,2011-01-01,
TOTAL,KCAL,CY,2012-01-01,
TOTAL,KCAL,CY,2013-01-01,
TOTAL,KCAL,CZ,2000-01-01,
TOTAL,KCAL,CZ,2001-01-01,
TOTAL,KCAL,CZ,2002-01-01,
TOTAL,KCAL,CZ,2003-01-01,
TOTAL,KCAL,CZ,2004-01-01,
TOTAL,KCAL,CZ,2005-01-01,
TOTAL,KCAL,CZ,2006-01-01,
TOTAL,KCAL,CZ,2007-01-01,
TOTAL,KCAL,CZ,2008-01-01,
TOTAL,KCAL,CZ,2009-01-01,
TOTAL,KCAL,CZ,2010-01-01,
TOTAL,KCAL,CZ,2011-01-01,
TOTAL,KCAL,CZ,2012-01-01,
TOTAL,KCAL,CZ,2013-01-01,
TOTAL,KCAL,DE,2000-01-01,
TOTAL,KCAL,DE,2001-01-01,
TOTAL,KCAL,DE,2002-01-01,
TOTAL,KCAL,DE,2003-01-01,
TOTAL,KCAL,DE,2004-01-01,
TOTAL,KCAL,DE,2005-01-01,
TOTAL,KCAL,DE,2006-01-01,
TOTAL,KCAL,DE,2007-01-01,
TOTAL,KCAL,DE,2008-01-01,
TOTAL,KCAL,DE,2009-01-01,
TOTAL,KCAL,DE,2010-01-01,
TOTAL,KCAL,DE,2011-01-01,
TOTAL,KCAL,DE,2012-01-01,
TOTAL,KCAL,DE,2013-01-01,
TOTAL,KCAL,DK,2000-01-01,
TOTAL,KCAL,DK,2001-01-01,
TOTAL,KCAL,DK,2002-01-01,
TOTAL,KCAL,DK,2003-01-01,
TOTAL,KCAL,DK,2004-01-01,
TOTAL,KCAL,DK,2005-01-01,
TOTAL,KCAL,DK,2006-01-01,
TOTAL,KCAL,DK,2007-01-01,
TOTAL,KCAL,DK,2008-01-01,
TOTAL,KCAL,DK,2009-01-01,
TOTAL,KCAL,DK,2010-01-01,
TOTAL,KCAL,DK,2011-01-01,
TOTAL,KCAL,DK,2012-01-01,
TOTAL,KCAL,DK,2013-01-01,
TOTAL,KCAL,EE,2000-01-01,
TOTAL,KCAL,EE,2001-01-01,
TOTAL,KCAL,EE,2002-01-01,
TOTAL,KCAL,EE,2003-01-01,
TOTAL,KCAL,EE,2004-01-01,
TOTAL,KCAL,EE,2005-01-01,
TOTAL,KCAL,EE,2006-01-01,
TOTAL,KCAL,EE,2007-01-01,
TOTAL,KCAL,EE,2008-01-01,
TOTAL,KCAL,EE,2009-01-01,
TOTAL,KCAL,EE,2010-01-01,
TOTAL,KCAL,EE,2011-01-01,
TOTAL,KCAL,EE,2012-01-01,
TOTAL,KCAL,EE,2013-01-01,
TOTAL,KCAL,EL,2000-01-01,
TOTAL,KCAL,EL,2001-01-01,
TOTAL,KCAL,EL,2002-01-01,
TOTAL,KCAL,EL,2003-01-01,
TOTAL,KCAL,EL,2004-01-01,
TOTAL,KCAL,EL,2005-01-01,
TOTAL,KCAL,EL,2006-01-01,
TOTAL,KCAL,EL,2007-01-01,
TOTAL,KCAL,EL,2008-01-01,
TOTAL,KCAL,EL,2009-01-01,
TOTAL,KCAL,EL,2010-01-01,
TOTAL,KCAL,EL,2011-01-01,
TOTAL,KCAL,EL,2012-01-01,
TOTAL,KCAL,EL,2013-01-01,
TOTAL,KCAL,ES,2000-01-01,
TOTAL,KCAL,ES,2001-01-01,
TOTAL,KCAL,ES,2002-01-01,
TOTAL,KCAL,ES,2003-01-01,
TOTAL,KCAL,ES,2004-01-01,
TOTAL,KCAL,ES,2005-01-01,
TOTAL,KCAL,ES,2006-01-01,
TOTAL,KCAL,ES,2007-01-01,
TOTAL,KCAL,ES,2008-01-01,
TOTAL,KCAL,ES,2009-01-01,
TOTAL,KCAL,ES,2010-01-01,
TOTAL,KCAL,ES,2011-01-01,
TOTAL,KCAL,ES,2012-01-01,
TOTAL,KCAL,ES,2013-01-01,
TOTAL,KCAL,EU28,2000-01-01,
TOTAL,KCAL,EU28,2001-01-01,
TOTAL,KCAL,EU28,2002-01-01,
TOTAL,KCAL,EU28,2003-01-01,
TOTAL,KCAL,EU28,2004-01-01,
TOTAL,KCAL,EU28,2005-01-01,
TOTAL,KCAL,EU28,2006-01-01,
TOTAL,KCAL,EU28,2007-01-01,
TOTAL,KCAL,EU28,2008-01-01,
TOTAL,KCAL,EU28,2009-01-01,
TOTAL,KCAL,EU28,2010-01-01,
TOTAL,KCAL,EU28,2011-01-01,
TOTAL,KCAL,EU28,2012-01-01,
TOTAL,KCAL,EU28,2013-01-01,
TOTAL,KCAL,FI,2000-01-01,
TOTAL,KCAL,FI,2001-01-01,
TOTAL,KCAL,FI,2002-01-01,
TOTAL,KCAL,FI,2003-01-01,
TOTAL,KCAL,FI,2004-01-01,
TOTAL,KCAL,FI,2005-01-01,
TOTAL,KCAL,FI,2006-01-01,
TOTAL,KCAL,FI,2007-01-01,
TOTAL,KCAL,FI,2008-01-01,
TOTAL,KCAL,FI,2009-01-01,
TOTAL,KCAL,FI,2010-01-01,
TOTAL,KCAL,FI,2011-01-01,
TOTAL,KCAL,FI,2012-01-01,
TOTAL,KCAL,FI,2013-01-01,
TOTAL,KCAL,FR,2000-01-01,
TOTAL,KCAL,FR,2001-01-01,
TOTAL,KCAL,FR,2002-01-01,
TOTAL,KCAL,FR,2003-01-01,
TOTAL,KCAL,FR,2004-01-01,
TOTAL,KCAL,FR,2005-01-01,
TOTAL,KCAL,FR,2006-01-01,
TOTAL,KCAL,FR,2007-01-01,
TOTAL,KCAL,FR,2008-01-01,
TOTAL,KCAL,FR,2009-01-01,
TOTAL,KCAL,FR,2010-01-01,
TOTAL,KCAL,FR,2011-01-01,
TOTAL,KCAL,FR,2012-01-01,
TOTAL,KCAL,FR,2013-01-01,
TOTAL,KCAL,HR,2000-01-01,
TOTAL,KCAL,HR,2001-01-01,
TOTAL,KCAL,HR,2002-01-01,
TOTAL,KCAL,HR,2003-01-01,
TOTAL,KCAL,HR,2004-01-01,
TOTAL,KCAL,HR,2005-01-01,
TOTAL,KCAL,HR,2006-01-01,
TOTAL,KCAL,HR,2007-01-01,
TOTAL,KCAL,HR,2008-01-01,
TOTAL,KCAL,HR,2009-01-01,
TOTAL,KCAL,HR,2010-01-01,
TOTAL,KCAL,HR,2011-01-01,
TOTAL,KCAL,HR,2012-01-01,
TOTAL,KCAL,HR,2013-01-01,
TOTAL,KCAL,HU,2000-01-01,
TOTAL,KCAL,HU,2001-01-01,
TOTAL,KCAL,HU,2002-01-01,
TOTAL,KCAL,HU,2003-01-01,
TOTAL,KCAL,HU,2004-01-01,
TOTAL,KCAL,HU,2005-01-01,
TOTAL,KCAL,HU,2006-01-01,
TOTAL,KCAL,HU,2007-01-01,
TOTAL,KCAL,HU,2008-01-01,
TOTAL,KCAL,HU,2009-01-01,
TOTAL,KCAL,HU,2010-01-01,
TOTAL,KCAL,HU,2011-01-01,
TOTAL,KCAL,HU,2012-01-01,
TOTAL,KCAL,HU,2013-01-01,
TOTAL,KCAL,IE,2000-01-01,
TOTAL,KCAL,IE,2001-01-01,
TOTAL,KCAL,IE,2002-01-01,
TOTAL,KCAL,IE,2003-01-01,
TOTAL,KCAL,IE,2004-01-01,
TOTAL,KCAL,IE,2005-01-01,
TOTAL,KCAL,IE,2006-01-01,
TOTAL,KCAL,IE,2007-01-01,
TOTAL,KCAL,IE,2008-01-01,
TOTAL,KCAL,IE,2009-01-01,
TOTAL,KCAL,IE,2010-01-01,
TOTAL,KCAL,IE,2011-01-01,
TOTAL,KCAL,IE,2012-01-01,
TOTAL,KCAL,IE,2013-01-01,
TOTAL,KCAL,IT,2000-01-01,
TOTAL,KCAL,IT,2001-01-01,
TOTAL,KCAL,IT,2002-01-01,
TOTAL,KCAL,IT,2003-01-01,
TOTAL,KCAL,IT,2004-01-01,
TOTAL,KCAL,IT,2005-01-01,
TOTAL,KCAL,IT,2006-01-01,
TOTAL,KCAL,IT,2007-01-01,
TOTAL,KCAL,IT,2008-01-01,
TOTAL,KCAL,IT,2009-01-01,
TOTAL,KCAL,IT,2010-01-01,
TOTAL,KCAL,IT,2011-01-01,
TOTAL,KCAL,IT,2012-01-01,
TOTAL,KCAL,IT,2013-01-01,
TOTAL,KCAL,LT,2000-01-01,
TOTAL,KCAL,LT,2001-01-01,
TOTAL,KCAL,LT,2002-01-01,
TOTAL,KCAL,LT,2003-01-01,
TOTAL,KCAL,LT,2004-01-01,
TOTAL,KCAL,LT,2005-01-01,
TOTAL,KCAL,LT,2006-01-01,
TOTAL,KCAL,LT,2007-01-01,
TOTAL,KCAL,LT,2008-01-01,
TOTAL,KCAL,LT,2009-01-01,
TOTAL,KCAL,LT,2010-01-01,
TOTAL,KCAL,LT,2011-01-01,
TOTAL,KCAL,LT,2012-01-01,
TOTAL,KCAL,LT,2013-01-01,
TOTAL,KCAL,LU,2000-01-01,
TOTAL,KCAL,LU,2001-01-01,
TOTAL,KCAL,LU,2002-01-01,
TOTAL,KCAL,LU,2003-01-01,
TOTAL,KCAL,LU,2004-01-01,
TOTAL,KCAL,LU,2005-01-01,
TOTAL,KCAL,LU,2006-01-01,
TOTAL,KCAL,LU,2007-01-01,
TOTAL,KCAL,LU,2008-01-01,
TOTAL,KCAL,LU,2009-01-01,
TOTAL,KCAL,LU,2010-01-01,
