na_item,aggreg,geo\time,date,value
EXP_PPS_EU28_HAB,00,DE,2002-01-01,25500 
EXP_PPS_EU28_HAB,00,DE,2003-01-01,25700 
EXP_PPS_EU28_HAB,00,DE,2004-01-01,26900 
EXP_PPS_EU28_HAB,00,DE,2005-01-01,27500.0
EXP_PPS_EU28_HAB,00,DE,2006-01-01,28800.0
EXP_PPS_EU28_HAB,00,DE,2007-01-01,30500.0
EXP_PPS_EU28_HAB,00,DE,2008-01-01,30600.0
EXP_PPS_EU28_HAB,00,DE,2009-01-01,28700.0
EXP_PPS_EU28_HAB,00,DE,2010-01-01,30500.0
EXP_PPS_EU28_HAB,00,DE,2011-01-01,32200.0
EXP_PPS_EU28_HAB,00,DE,2012-01-01,32900.0
EXP_PPS_EU28_HAB,00,DE,2013-01-01,33200.0
EXP_PPS_EU28_HAB,00,DE,2014-01-01,34700.0
EXP_PPS_EU28_HAB,00,DE,2015-01-01,36100.0
EXP_PPS_EU28_HAB,00,DE,2016-01-01,36000.0
EXP_PPS_EU28_HAB,00,DE,2017-01-01,36800.0
EXP_PPS_EU28_HAB,00,DK,2000-01-01,25100 
EXP_PPS_EU28_HAB,00,DK,2001-01-01,25600 
EXP_PPS_EU28_HAB,00,DK,2002-01-01,26300 
EXP_PPS_EU28_HAB,00,DK,2003-01-01,26100 
EXP_PPS_EU28_HAB,00,DK,2004-01-01,27900 
EXP_PPS_EU28_HAB,00,DK,2005-01-01,29000.0
EXP_PPS_EU28_HAB,00,DK,2006-01-01,30900.0
EXP_PPS_EU28_HAB,00,DK,2007-01-01,32100.0
EXP_PPS_EU28_HAB,00,DK,2008-01-01,32600.0
EXP_PPS_EU28_HAB,00,DK,2009-01-01,30700.0
EXP_PPS_EU28_HAB,00,DK,2010-01-01,32900.0
EXP_PPS_EU28_HAB,00,DK,2011-01-01,33500.0
EXP_PPS_EU28_HAB,00,DK,2012-01-01,33900.0
EXP_PPS_EU28_HAB,00,DK,2013-01-01,34300.0
EXP_PPS_EU28_HAB,00,DK,2014-01-01,35300.0
EXP_PPS_EU28_HAB,00,DK,2015-01-01,36800.0
EXP_PPS_EU28_HAB,00,DK,2016-01-01,36100.0
EXP_PPS_EU28_HAB,00,DK,2017-01-01,37400.0
EXP_PPS_EU28_HAB,00,EA18,2000-01-01,22400 
EXP_PPS_EU28_HAB,00,EA18,2001-01-01,23200 
EXP_PPS_EU28_HAB,00,EA18,2002-01-01,23900 
EXP_PPS_EU28_HAB,00,EA18,2003-01-01,23900 
EXP_PPS_EU28_HAB,00,EA18,2004-01-01,24800 
EXP_PPS_EU28_HAB,00,EA18,2005-01-01,25800.0
EXP_PPS_EU28_HAB,00,EA18,2006-01-01,27200.0
EXP_PPS_EU28_HAB,00,EA18,2007-01-01,28600.0
EXP_PPS_EU28_HAB,00,EA18,2008-01-01,28500.0
EXP_PPS_EU28_HAB,00,EA18,2009-01-01,26700.0
EXP_PPS_EU28_HAB,00,EA18,2010-01-01,27600.0
EXP_PPS_EU28_HAB,00,EA18,2011-01-01,28300.0
EXP_PPS_EU28_HAB,00,EA18,2012-01-01,28600.0
EXP_PPS_EU28_HAB,00,EA18,2013-01-01,28700.0
EXP_PPS_EU28_HAB,00,EA18,2014-01-01,29500.0
EXP_PPS_EU28_HAB,00,EA18,2015-01-01,31000.0
EXP_PPS_EU28_HAB,00,EA18,2016-01-01,31100.0
EXP_PPS_EU28_HAB,00,EA18,2017-01-01,31900.0
EXP_PPS_EU28_HAB,00,EA19,2000-01-01,22300 
EXP_PPS_EU28_HAB,00,EA19,2001-01-01,23100 
EXP_PPS_EU28_HAB,00,EA19,2002-01-01,23700 
EXP_PPS_EU28_HAB,00,EA19,2003-01-01,23800 
EXP_PPS_EU28_HAB,00,EA19,2004-01-01,24700 
EXP_PPS_EU28_HAB,00,EA19,2005-01-01,25700.0
EXP_PPS_EU28_HAB,00,EA19,2006-01-01,27000.0
EXP_PPS_EU28_HAB,00,EA19,2007-01-01,28500.0
EXP_PPS_EU28_HAB,00,EA19,2008-01-01,28300.0
EXP_PPS_EU28_HAB,00,EA19,2009-01-01,26600.0
EXP_PPS_EU28_HAB,00,EA19,2010-01-01,27500.0
EXP_PPS_EU28_HAB,00,EA19,2011-01-01,28200.0
