hhtyp,sex,indic_il,geotime,date,value
A1,DIFF,R_GE60_LT60,HR,2006-01-01,
A1,DIFF,R_GE60_LT60,HR,2007-01-01,
A1,DIFF,R_GE60_LT60,HR,2008-01-01,
A1,DIFF,R_GE60_LT60,HR,2009-01-01,
A1,DIFF,R_GE60_LT60,HR,2010-01-01,0.39
A1,DIFF,R_GE60_LT60,HR,2011-01-01,0.35
A1,DIFF,R_GE60_LT60,HR,2012-01-01,0.3
A1,DIFF,R_GE60_LT60,HR,2013-01-01,0.17
A1,DIFF,R_GE60_LT60,HR,2014-01-01,0.21
A1,DIFF,R_GE60_LT60,HR,2015-01-01,0.15
A1,DIFF,R_GE60_LT60,HR,2016-01-01,0.29
A1,DIFF,R_GE60_LT60,HR,2017-01-01,
A1,DIFF,R_GE60_LT60,HU,2006-01-01,0.35
A1,DIFF,R_GE60_LT60,HU,2007-01-01,0.36
A1,DIFF,R_GE60_LT60,HU,2008-01-01,0.23
A1,DIFF,R_GE60_LT60,HU,2009-01-01,0.12
A1,DIFF,R_GE60_LT60,HU,2010-01-01,0.1
A1,DIFF,R_GE60_LT60,HU,2011-01-01,0.02
A1,DIFF,R_GE60_LT60,HU,2012-01-01,0.09
A1,DIFF,R_GE60_LT60,HU,2013-01-01,0.15
A1,DIFF,R_GE60_LT60,HU,2014-01-01,-0.01
A1,DIFF,R_GE60_LT60,HU,2015-01-01,0.13
A1,DIFF,R_GE60_LT60,HU,2016-01-01,0.01
A1,DIFF,R_GE60_LT60,HU,2017-01-01,-0.1
A1,DIFF,R_GE60_LT60,IE,2006-01-01,0.02
A1,DIFF,R_GE60_LT60,IE,2007-01-01,0.05
A1,DIFF,R_GE60_LT60,IE,2008-01-01,0.15
A1,DIFF,R_GE60_LT60,IE,2009-01-01,0.19
A1,DIFF,R_GE60_LT60,IE,2010-01-01,0.3
A1,DIFF,R_GE60_LT60,IE,2011-01-01,0.28
A1,DIFF,R_GE60_LT60,IE,2012-01-01,0.3
A1,DIFF,R_GE60_LT60,IE,2013-01-01,0.23
A1,DIFF,R_GE60_LT60,IE,2014-01-01,0.09
A1,DIFF,R_GE60_LT60,IE,2015-01-01,0.18
A1,DIFF,R_GE60_LT60,IE,2016-01-01,0.17
A1,DIFF,R_GE60_LT60,IE,2017-01-01,
A1,DIFF,R_GE60_LT60,IS,2006-01-01,-0.08
A1,DIFF,R_GE60_LT60,IS,2007-01-01,-0.07
A1,DIFF,R_GE60_LT60,IS,2008-01-01,0.09
A1,DIFF,R_GE60_LT60,IS,2009-01-01,0.07
A1,DIFF,R_GE60_LT60,IS,2010-01-01,0.07
A1,DIFF,R_GE60_LT60,IS,2011-01-01,0.05
A1,DIFF,R_GE60_LT60,IS,2012-01-01,0.0
A1,DIFF,R_GE60_LT60,IS,2013-01-01,0.09
A1,DIFF,R_GE60_LT60,IS,2014-01-01,0.13
A1,DIFF,R_GE60_LT60,IS,2015-01-01,0.07
A1,DIFF,R_GE60_LT60,IS,2016-01-01,0.12
A1,DIFF,R_GE60_LT60,IS,2017-01-01,
A1,DIFF,R_GE60_LT60,IT,2006-01-01,0.07
A1,DIFF,R_GE60_LT60,IT,2007-01-01,0.08
A1,DIFF,R_GE60_LT60,IT,2008-01-01,0.07
A1,DIFF,R_GE60_LT60,IT,2009-01-01,0.11
A1,DIFF,R_GE60_LT60,IT,2010-01-01,0.12
A1,DIFF,R_GE60_LT60,IT,2011-01-01,0.13
A1,DIFF,R_GE60_LT60,IT,2012-01-01,0.1
A1,DIFF,R_GE60_LT60,IT,2013-01-01,0.11
A1,DIFF,R_GE60_LT60,IT,2014-01-01,0.03
A1,DIFF,R_GE60_LT60,IT,2015-01-01,-0.03
A1,DIFF,R_GE60_LT60,IT,2016-01-01,0.05
A1,DIFF,R_GE60_LT60,IT,2017-01-01,-0.01
A1,DIFF,R_GE60_LT60,LT,2006-01-01,-0.08
A1,DIFF,R_GE60_LT60,LT,2007-01-01,0.11
A1,DIFF,R_GE60_LT60,LT,2008-01-01,0.35
A1,DIFF,R_GE60_LT60,LT,2009-01-01,0.27
A1,DIFF,R_GE60_LT60,LT,2010-01-01,0.21
A1,DIFF,R_GE60_LT60,LT,2011-01-01,0.28
A1,DIFF,R_GE60_LT60,LT,2012-01-01,0.07
A1,DIFF,R_GE60_LT60,LT,2013-01-01,0.15
A1,DIFF,R_GE60_LT60,LT,2014-01-01,0.15
A1,DIFF,R_GE60_LT60,LT,2015-01-01,0.16
A1,DIFF,R_GE60_LT60,LT,2016-01-01,0.06
A1,DIFF,R_GE60_LT60,LT,2017-01-01,0.08
A1,DIFF,R_GE60_LT60,LU,2006-01-01,-0.08
A1,DIFF,R_GE60_LT60,LU,2007-01-01,0.02
A1,DIFF,R_GE60_LT60,LU,2008-01-01,0.01
A1,DIFF,R_GE60_LT60,LU,2009-01-01,0.17
A1,DIFF,R_GE60_LT60,LU,2010-01-01,0.15
A1,DIFF,R_GE60_LT60,LU,2011-01-01,0.1
A1,DIFF,R_GE60_LT60,LU,2012-01-01,0.18
A1,DIFF,R_GE60_LT60,LU,2013-01-01,0.28
A1,DIFF,R_GE60_LT60,LU,2014-01-01,0.15
A1,DIFF,R_GE60_LT60,LU,2015-01-01,0.27
A1,DIFF,R_GE60_LT60,LU,2016-01-01,-0.02
A1,DIFF,R_GE60_LT60,LU,2017-01-01,-0.09
A1,DIFF,R_GE60_LT60,LV,2006-01-01,0.09
A1,DIFF,R_GE60_LT60,LV,2007-01-01,0.01
A1,DIFF,R_GE60_LT60,LV,2008-01-01,0.08
A1,DIFF,R_GE60_LT60,LV,2009-01-01,0.16
A1,DIFF,R_GE60_LT60,LV,2010-01-01,0.24
A1,DIFF,R_GE60_LT60,LV,2011-01-01,0.45
A1,DIFF,R_GE60_LT60,LV,2012-01-01,0.23
A1,DIFF,R_GE60_LT60,LV,2013-01-01,0.09
A1,DIFF,R_GE60_LT60,LV,2014-01-01,0.04
A1,DIFF,R_GE60_LT60,LV,2015-01-01,0.01
A1,DIFF,R_GE60_LT60,LV,2016-01-01,-0.03
A1,DIFF,R_GE60_LT60,LV,2017-01-01,0.03
A1,DIFF,R_GE60_LT60,MK,2006-01-01,
A1,DIFF,R_GE60_LT60,MK,2007-01-01,
A1,DIFF,R_GE60_LT60,MK,2008-01-01,
A1,DIFF,R_GE60_LT60,MK,2009-01-01,
A1,DIFF,R_GE60_LT60,MK,2010-01-01,
A1,DIFF,R_GE60_LT60,MK,2011-01-01,
A1,DIFF,R_GE60_LT60,MK,2012-01-01,0.24
A1,DIFF,R_GE60_LT60,MK,2013-01-01,-0.22
A1,DIFF,R_GE60_LT60,MK,2014-01-01,0.44
A1,DIFF,R_GE60_LT60,MK,2015-01-01,0.41
A1,DIFF,R_GE60_LT60,MK,2016-01-01,0.14
A1,DIFF,R_GE60_LT60,MK,2017-01-01,
A1,DIFF,R_GE60_LT60,MT,2006-01-01,-0.14
A1,DIFF,R_GE60_LT60,MT,2007-01-01,-0.33
A1,DIFF,R_GE60_LT60,MT,2008-01-01,-0.22
