nabs07,unit,geotime,date,value
NABS08,EUR_HAB,HU,2018-01-01,
NABS08,EUR_HAB,IE,2004-01-01,17
NABS08,EUR_HAB,IE,2005-01-01,22
NABS08,EUR_HAB,IE,2006-01-01,19
NABS08,EUR_HAB,IE,2007-01-01,23
NABS08,EUR_HAB,IE,2008-01-01,23
NABS08,EUR_HAB,IE,2009-01-01,20
NABS08,EUR_HAB,IE,2010-01-01,18
NABS08,EUR_HAB,IE,2011-01-01,20
NABS08,EUR_HAB,IE,2012-01-01,19
NABS08,EUR_HAB,IE,2013-01-01,19
NABS08,EUR_HAB,IE,2014-01-01,19
NABS08,EUR_HAB,IE,2015-01-01,19
NABS08,EUR_HAB,IE,2016-01-01,20
NABS08,EUR_HAB,IE,2017-01-01,25
NABS08,EUR_HAB,IE,2018-01-01,
NABS08,EUR_HAB,IS,2004-01-01,61
NABS08,EUR_HAB,IS,2005-01-01,75
NABS08,EUR_HAB,IS,2006-01-01,73
NABS08,EUR_HAB,IS,2007-01-01,76
NABS08,EUR_HAB,IS,2008-01-01,62
NABS08,EUR_HAB,IS,2009-01-01,48
NABS08,EUR_HAB,IS,2010-01-01,50
NABS08,EUR_HAB,IS,2011-01-01,65
NABS08,EUR_HAB,IS,2012-01-01,70
NABS08,EUR_HAB,IS,2013-01-01,56
NABS08,EUR_HAB,IS,2014-01-01,5
NABS08,EUR_HAB,IS,2015-01-01,5
NABS08,EUR_HAB,IS,2016-01-01,7
NABS08,EUR_HAB,IS,2017-01-01,6
NABS08,EUR_HAB,IS,2018-01-01,
NABS08,EUR_HAB,IT,2004-01-01,
NABS08,EUR_HAB,IT,2005-01-01,5
NABS08,EUR_HAB,IT,2006-01-01,6
NABS08,EUR_HAB,IT,2007-01-01,7
NABS08,EUR_HAB,IT,2008-01-01,7
NABS08,EUR_HAB,IT,2009-01-01,5
NABS08,EUR_HAB,IT,2010-01-01,5
NABS08,EUR_HAB,IT,2011-01-01,5
NABS08,EUR_HAB,IT,2012-01-01,4
NABS08,EUR_HAB,IT,2013-01-01,4
NABS08,EUR_HAB,IT,2014-01-01,4
NABS08,EUR_HAB,IT,2015-01-01,4
NABS08,EUR_HAB,IT,2016-01-01,4
NABS08,EUR_HAB,IT,2017-01-01,3
NABS08,EUR_HAB,IT,2018-01-01,
NABS08,EUR_HAB,JP,2004-01-01,6
NABS08,EUR_HAB,JP,2005-01-01,6
NABS08,EUR_HAB,JP,2006-01-01,6
NABS08,EUR_HAB,JP,2007-01-01,6
NABS08,EUR_HAB,JP,2008-01-01,6
NABS08,EUR_HAB,JP,2009-01-01,8
NABS08,EUR_HAB,JP,2010-01-01,8
NABS08,EUR_HAB,JP,2011-01-01,8
NABS08,EUR_HAB,JP,2012-01-01,8
NABS08,EUR_HAB,JP,2013-01-01,6
NABS08,EUR_HAB,JP,2014-01-01,5
NABS08,EUR_HAB,JP,2015-01-01,6
NABS08,EUR_HAB,JP,2016-01-01,7
NABS08,EUR_HAB,JP,2017-01-01,
NABS08,EUR_HAB,JP,2018-01-01,
NABS08,EUR_HAB,KR,2004-01-01,7
NABS08,EUR_HAB,KR,2005-01-01,8
NABS08,EUR_HAB,KR,2006-01-01,9
NABS08,EUR_HAB,KR,2007-01-01,9
NABS08,EUR_HAB,KR,2008-01-01,8
NABS08,EUR_HAB,KR,2009-01-01,9
NABS08,EUR_HAB,KR,2010-01-01,9
NABS08,EUR_HAB,KR,2011-01-01,9
NABS08,EUR_HAB,KR,2012-01-01,12
NABS08,EUR_HAB,KR,2013-01-01,12
NABS08,EUR_HAB,KR,2014-01-01,13
NABS08,EUR_HAB,KR,2015-01-01,15
NABS08,EUR_HAB,KR,2016-01-01,
NABS08,EUR_HAB,KR,2017-01-01,
NABS08,EUR_HAB,KR,2018-01-01,
NABS08,EUR_HAB,LT,2004-01-01,3
NABS08,EUR_HAB,LT,2005-01-01,3
NABS08,EUR_HAB,LT,2006-01-01,2
NABS08,EUR_HAB,LT,2007-01-01,2
NABS08,EUR_HAB,LT,2008-01-01,2
NABS08,EUR_HAB,LT,2009-01-01,2
NABS08,EUR_HAB,LT,2010-01-01,1
NABS08,EUR_HAB,LT,2011-01-01,2
NABS08,EUR_HAB,LT,2012-01-01,2
NABS08,EUR_HAB,LT,2013-01-01,2
NABS08,EUR_HAB,LT,2014-01-01,2
NABS08,EUR_HAB,LT,2015-01-01,2
NABS08,EUR_HAB,LT,2016-01-01,2
NABS08,EUR_HAB,LT,2017-01-01,2
NABS08,EUR_HAB,LT,2018-01-01,
NABS08,EUR_HAB,LU,2004-01-01,0
NABS08,EUR_HAB,LU,2005-01-01,0
NABS08,EUR_HAB,LU,2006-01-01,0
NABS08,EUR_HAB,LU,2007-01-01,0
NABS08,EUR_HAB,LU,2008-01-01,0
NABS08,EUR_HAB,LU,2009-01-01,0
NABS08,EUR_HAB,LU,2010-01-01,1
NABS08,EUR_HAB,LU,2011-01-01,1
NABS08,EUR_HAB,LU,2012-01-01,1
NABS08,EUR_HAB,LU,2013-01-01,0
NABS08,EUR_HAB,LU,2014-01-01,0
NABS08,EUR_HAB,LU,2015-01-01,0
NABS08,EUR_HAB,LU,2016-01-01,0
NABS08,EUR_HAB,LU,2017-01-01,0
NABS08,EUR_HAB,LU,2018-01-01,
NABS08,EUR_HAB,LV,2004-01-01,
NABS08,EUR_HAB,LV,2005-01-01,0
NABS08,EUR_HAB,LV,2006-01-01,3
NABS08,EUR_HAB,LV,2007-01-01,4
NABS08,EUR_HAB,LV,2008-01-01,5
NABS08,EUR_HAB,LV,2009-01-01,2
NABS08,EUR_HAB,LV,2010-01-01,2
NABS08,EUR_HAB,LV,2011-01-01,1
NABS08,EUR_HAB,LV,2012-01-01,2
NABS08,EUR_HAB,LV,2013-01-01,2
NABS08,EUR_HAB,LV,2014-01-01,3
NABS08,EUR_HAB,LV,2015-01-01,4
NABS08,EUR_HAB,LV,2016-01-01,5
NABS08,EUR_HAB,LV,2017-01-01,3
NABS08,EUR_HAB,LV,2018-01-01,
NABS08,EUR_HAB,MT,2004-01-01,0
NABS08,EUR_HAB,MT,2005-01-01,1
NABS08,EUR_HAB,MT,2006-01-01,0
NABS08,EUR_HAB,MT,2007-01-01,0
NABS08,EUR_HAB,MT,2008-01-01,1
NABS08,EUR_HAB,MT,2009-01-01,1
NABS08,EUR_HAB,MT,2010-01-01,0
NABS08,EUR_HAB,MT,2011-01-01,1
NABS08,EUR_HAB,MT,2012-01-01,1
NABS08,EUR_HAB,MT,2013-01-01,1
NABS08,EUR_HAB,MT,2014-01-01,1
NABS08,EUR_HAB,MT,2015-01-01,1
NABS08,EUR_HAB,MT,2016-01-01,0
NABS08,EUR_HAB,MT,2017-01-01,0
NABS08,EUR_HAB,MT,2018-01-01,
NABS08,EUR_HAB,NL,2004-01-01,12
NABS08,EUR_HAB,NL,2005-01-01,13
NABS08,EUR_HAB,NL,2006-01-01,12
NABS08,EUR_HAB,NL,2007-01-01,12
NABS08,EUR_HAB,NL,2008-01-01,14
NABS08,EUR_HAB,NL,2009-01-01,10
NABS08,EUR_HAB,NL,2010-01-01,10
NABS08,EUR_HAB,NL,2011-01-01,9
NABS08,EUR_HAB,NL,2012-01-01,8
NABS08,EUR_HAB,NL,2013-01-01,8
NABS08,EUR_HAB,NL,2014-01-01,9
NABS08,EUR_HAB,NL,2015-01-01,5
NABS08,EUR_HAB,NL,2016-01-01,6
NABS08,EUR_HAB,NL,2017-01-01,6
NABS08,EUR_HAB,NL,2018-01-01,
NABS08,EUR_HAB,NO,2004-01-01,29
NABS08,EUR_HAB,NO,2005-01-01,31
NABS08,EUR_HAB,NO,2006-01-01,34
NABS08,EUR_HAB,NO,2007-01-01,36
NABS08,EUR_HAB,NO,2008-01-01,34
NABS08,EUR_HAB,NO,2009-01-01,36
NABS08,EUR_HAB,NO,2010-01-01,39
NABS08,EUR_HAB,NO,2011-01-01,41
NABS08,EUR_HAB,NO,2012-01-01,43
NABS08,EUR_HAB,NO,2013-01-01,47
NABS08,EUR_HAB,NO,2014-01-01,50
NABS08,EUR_HAB,NO,2015-01-01,53
NABS08,EUR_HAB,NO,2016-01-01,50
NABS08,EUR_HAB,NO,2017-01-01,65
NABS08,EUR_HAB,NO,2018-01-01,
NABS08,EUR_HAB,PL,2004-01-01,0
NABS08,EUR_HAB,PL,2005-01-01,0
NABS08,EUR_HAB,PL,2006-01-01,0
NABS08,EUR_HAB,PL,2007-01-01,0
NABS08,EUR_HAB,PL,2008-01-01,0
NABS08,EUR_HAB,PL,2009-01-01,
NABS08,EUR_HAB,PL,2010-01-01,
NABS08,EUR_HAB,PL,2011-01-01,
NABS08,EUR_HAB,PL,2012-01-01,1
NABS08,EUR_HAB,PL,2013-01-01,1
NABS08,EUR_HAB,PL,2014-01-01,1
NABS08,EUR_HAB,PL,2015-01-01,1
NABS08,EUR_HAB,PL,2016-01-01,1
NABS08,EUR_HAB,PL,2017-01-01,1
NABS08,EUR_HAB,PL,2018-01-01,
NABS08,EUR_HAB,PT,2004-01-01,1
NABS08,EUR_HAB,PT,2005-01-01,1
NABS08,EUR_HAB,PT,2006-01-01,1
NABS08,EUR_HAB,PT,2007-01-01,2
NABS08,EUR_HAB,PT,2008-01-01,2
NABS08,EUR_HAB,PT,2009-01-01,3
NABS08,EUR_HAB,PT,2010-01-01,3
NABS08,EUR_HAB,PT,2011-01-01,2
NABS08,EUR_HAB,PT,2012-01-01,0
NABS08,EUR_HAB,PT,2013-01-01,1
NABS08,EUR_HAB,PT,2014-01-01,1
NABS08,EUR_HAB,PT,2015-01-01,1
NABS08,EUR_HAB,PT,2016-01-01,1
NABS08,EUR_HAB,PT,2017-01-01,1
NABS08,EUR_HAB,PT,2018-01-01,
NABS08,EUR_HAB,RO,2004-01-01,0
NABS08,EUR_HAB,RO,2005-01-01,0
NABS08,EUR_HAB,RO,2006-01-01,1
NABS08,EUR_HAB,RO,2007-01-01,1
NABS08,EUR_HAB,RO,2008-01-01,2
NABS08,EUR_HAB,RO,2009-01-01,1
NABS08,EUR_HAB,RO,2010-01-01,2
NABS08,EUR_HAB,RO,2011-01-01,1
NABS08,EUR_HAB,RO,2012-01-01,1
NABS08,EUR_HAB,RO,2013-01-01,0
NABS08,EUR_HAB,RO,2014-01-01,0
NABS08,EUR_HAB,RO,2015-01-01,1
NABS08,EUR_HAB,RO,2016-01-01,1
NABS08,EUR_HAB,RO,2017-01-01,1
NABS08,EUR_HAB,RO,2018-01-01,
NABS08,EUR_HAB,RS,2004-01-01,
NABS08,EUR_HAB,RS,2005-01-01,
NABS08,EUR_HAB,RS,2006-01-01,
NABS08,EUR_HAB,RS,2007-01-01,
NABS08,EUR_HAB,RS,2008-01-01,
NABS08,EUR_HAB,RS,2009-01-01,
NABS08,EUR_HAB,RS,2010-01-01,
NABS08,EUR_HAB,RS,2011-01-01,
NABS08,EUR_HAB,RS,2012-01-01,
NABS08,EUR_HAB,RS,2013-01-01,1
NABS08,EUR_HAB,RS,2014-01-01,1
NABS08,EUR_HAB,RS,2015-01-01,2
NABS08,EUR_HAB,RS,2016-01-01,1
NABS08,EUR_HAB,RS,2017-01-01,1
NABS08,EUR_HAB,RS,2018-01-01,
NABS08,EUR_HAB,RU,2004-01-01,
NABS08,EUR_HAB,RU,2005-01-01,
NABS08,EUR_HAB,RU,2006-01-01,
NABS08,EUR_HAB,RU,2007-01-01,0
NABS08,EUR_HAB,RU,2008-01-01,0
NABS08,EUR_HAB,RU,2009-01-01,0
NABS08,EUR_HAB,RU,2010-01-01,
NABS08,EUR_HAB,RU,2011-01-01,
NABS08,EUR_HAB,RU,2012-01-01,
NABS08,EUR_HAB,RU,2013-01-01,
NABS08,EUR_HAB,RU,2014-01-01,
NABS08,EUR_HAB,RU,2015-01-01,
NABS08,EUR_HAB,RU,2016-01-01,
NABS08,EUR_HAB,RU,2017-01-01,
NABS08,EUR_HAB,RU,2018-01-01,
NABS08,EUR_HAB,SE,2004-01-01,7
NABS08,EUR_HAB,SE,2005-01-01,6
NABS08,EUR_HAB,SE,2006-01-01,6
NABS08,EUR_HAB,SE,2007-01-01,4
NABS08,EUR_HAB,SE,2008-01-01,4
NABS08,EUR_HAB,SE,2009-01-01,4
NABS08,EUR_HAB,SE,2010-01-01,5
NABS08,EUR_HAB,SE,2011-01-01,5
NABS08,EUR_HAB,SE,2012-01-01,6
NABS08,EUR_HAB,SE,2013-01-01,5
