sex,unit,age,geotime,date,value
T,PC,TOTAL,HU,2008-01-01,17.9
T,PC,TOTAL,HU,2009-01-01,20.3
T,PC,TOTAL,HU,2010-01-01,21.6
T,PC,TOTAL,HU,2011-01-01,23.4
T,PC,TOTAL,HU,2012-01-01,26.3
T,PC,TOTAL,HU,2013-01-01,27.8
T,PC,TOTAL,HU,2014-01-01,24.0
T,PC,TOTAL,HU,2015-01-01,19.4
T,PC,TOTAL,HU,2016-01-01,16.2
T,PC,TOTAL,HU,2017-01-01,14.5
T,PC,TOTAL,IE,2003-01-01,5.6
T,PC,TOTAL,IE,2004-01-01,4.8
T,PC,TOTAL,IE,2005-01-01,5.1
T,PC,TOTAL,IE,2006-01-01,4.8
T,PC,TOTAL,IE,2007-01-01,4.5
T,PC,TOTAL,IE,2008-01-01,5.5
T,PC,TOTAL,IE,2009-01-01,6.1
T,PC,TOTAL,IE,2010-01-01,5.7
T,PC,TOTAL,IE,2011-01-01,7.8
T,PC,TOTAL,IE,2012-01-01,9.8
T,PC,TOTAL,IE,2013-01-01,9.9
T,PC,TOTAL,IE,2014-01-01,8.4
T,PC,TOTAL,IE,2015-01-01,7.5
T,PC,TOTAL,IE,2016-01-01,6.5
T,PC,TOTAL,IE,2017-01-01,
T,PC,TOTAL,IT,2003-01-01,
T,PC,TOTAL,IT,2004-01-01,7.0
T,PC,TOTAL,IT,2005-01-01,6.8
T,PC,TOTAL,IT,2006-01-01,6.4
T,PC,TOTAL,IT,2007-01-01,7.0
T,PC,TOTAL,IT,2008-01-01,7.5
T,PC,TOTAL,IT,2009-01-01,7.3
T,PC,TOTAL,IT,2010-01-01,7.4
T,PC,TOTAL,IT,2011-01-01,11.1
T,PC,TOTAL,IT,2012-01-01,14.5
T,PC,TOTAL,IT,2013-01-01,12.3
T,PC,TOTAL,IT,2014-01-01,11.6
T,PC,TOTAL,IT,2015-01-01,11.5
T,PC,TOTAL,IT,2016-01-01,12.1
T,PC,TOTAL,IT,2017-01-01,10.1
T,PC,TOTAL,LT,2003-01-01,
T,PC,TOTAL,LT,2004-01-01,
T,PC,TOTAL,LT,2005-01-01,32.6
T,PC,TOTAL,LT,2006-01-01,25.3
T,PC,TOTAL,LT,2007-01-01,16.6
T,PC,TOTAL,LT,2008-01-01,12.5
T,PC,TOTAL,LT,2009-01-01,15.6
T,PC,TOTAL,LT,2010-01-01,19.9
T,PC,TOTAL,LT,2011-01-01,19.0
T,PC,TOTAL,LT,2012-01-01,19.8
T,PC,TOTAL,LT,2013-01-01,16.0
T,PC,TOTAL,LT,2014-01-01,13.6
T,PC,TOTAL,LT,2015-01-01,13.9
T,PC,TOTAL,LT,2016-01-01,13.5
T,PC,TOTAL,LT,2017-01-01,12.4
T,PC,TOTAL,LU,2003-01-01,1.9
T,PC,TOTAL,LU,2004-01-01,0.8
T,PC,TOTAL,LU,2005-01-01,1.8
T,PC,TOTAL,LU,2006-01-01,1.1
T,PC,TOTAL,LU,2007-01-01,0.8
T,PC,TOTAL,LU,2008-01-01,0.7
T,PC,TOTAL,LU,2009-01-01,1.1
T,PC,TOTAL,LU,2010-01-01,0.5
T,PC,TOTAL,LU,2011-01-01,1.2
T,PC,TOTAL,LU,2012-01-01,1.3
T,PC,TOTAL,LU,2013-01-01,1.8
T,PC,TOTAL,LU,2014-01-01,1.4
T,PC,TOTAL,LU,2015-01-01,2.0
T,PC,TOTAL,LU,2016-01-01,1.6
T,PC,TOTAL,LU,2017-01-01,1.2
T,PC,TOTAL,LV,2003-01-01,
T,PC,TOTAL,LV,2004-01-01,
T,PC,TOTAL,LV,2005-01-01,39.3
T,PC,TOTAL,LV,2006-01-01,31.3
T,PC,TOTAL,LV,2007-01-01,24.0
T,PC,TOTAL,LV,2008-01-01,19.3
T,PC,TOTAL,LV,2009-01-01,22.1
T,PC,TOTAL,LV,2010-01-01,27.6
T,PC,TOTAL,LV,2011-01-01,31.0
T,PC,TOTAL,LV,2012-01-01,25.6
T,PC,TOTAL,LV,2013-01-01,24.0
T,PC,TOTAL,LV,2014-01-01,19.2
T,PC,TOTAL,LV,2015-01-01,16.4
T,PC,TOTAL,LV,2016-01-01,12.8
T,PC,TOTAL,LV,2017-01-01,11.3
T,PC,TOTAL,MT,2003-01-01,
T,PC,TOTAL,MT,2004-01-01,
T,PC,TOTAL,MT,2005-01-01,5.4
T,PC,TOTAL,MT,2006-01-01,3.9
T,PC,TOTAL,MT,2007-01-01,4.4
T,PC,TOTAL,MT,2008-01-01,4.3
T,PC,TOTAL,MT,2009-01-01,5.0
T,PC,TOTAL,MT,2010-01-01,6.5
T,PC,TOTAL,MT,2011-01-01,6.6
T,PC,TOTAL,MT,2012-01-01,9.2
T,PC,TOTAL,MT,2013-01-01,9.5
T,PC,TOTAL,MT,2014-01-01,10.2
T,PC,TOTAL,MT,2015-01-01,8.1
T,PC,TOTAL,MT,2016-01-01,4.4
T,PC,TOTAL,MT,2017-01-01,3.3
T,PC,TOTAL,NL,2003-01-01,
T,PC,TOTAL,NL,2004-01-01,
T,PC,TOTAL,NL,2005-01-01,2.5
T,PC,TOTAL,NL,2006-01-01,2.3
T,PC,TOTAL,NL,2007-01-01,1.7
T,PC,TOTAL,NL,2008-01-01,1.5
T,PC,TOTAL,NL,2009-01-01,1.4
T,PC,TOTAL,NL,2010-01-01,2.2
