watpol,geotime,date,value
PO4_MG_L_RIV,DK,2013-01-01,0.046
PO4_MG_L_RIV,DK,2014-01-01,0.047
PO4_MG_L_RIV,EE,2000-01-01,0.032
PO4_MG_L_RIV,EE,2001-01-01,0.035
PO4_MG_L_RIV,EE,2002-01-01,0.034
PO4_MG_L_RIV,EE,2003-01-01,0.040999999999999995
PO4_MG_L_RIV,EE,2004-01-01,0.03
PO4_MG_L_RIV,EE,2005-01-01,0.028999999999999998
PO4_MG_L_RIV,EE,2006-01-01,0.027999999999999997
PO4_MG_L_RIV,EE,2007-01-01,0.025
PO4_MG_L_RIV,EE,2008-01-01,0.027000000000000003
PO4_MG_L_RIV,EE,2009-01-01,0.03
PO4_MG_L_RIV,EE,2010-01-01,0.025
PO4_MG_L_RIV,EE,2011-01-01,0.026000000000000002
PO4_MG_L_RIV,EE,2012-01-01,0.024
PO4_MG_L_RIV,EE,2013-01-01,0.024
PO4_MG_L_RIV,EE,2014-01-01,0.023
PO4_MG_L_RIV,EU_V,2000-01-01,0.087
PO4_MG_L_RIV,EU_V,2001-01-01,0.086
PO4_MG_L_RIV,EU_V,2002-01-01,0.087
PO4_MG_L_RIV,EU_V,2003-01-01,0.086
PO4_MG_L_RIV,EU_V,2004-01-01,0.076
PO4_MG_L_RIV,EU_V,2005-01-01,0.07400000000000001
PO4_MG_L_RIV,EU_V,2006-01-01,0.076
PO4_MG_L_RIV,EU_V,2007-01-01,0.075
PO4_MG_L_RIV,EU_V,2008-01-01,0.068
PO4_MG_L_RIV,EU_V,2009-01-01,0.067
PO4_MG_L_RIV,EU_V,2010-01-01,0.063
PO4_MG_L_RIV,EU_V,2011-01-01,0.059000000000000004
PO4_MG_L_RIV,EU_V,2012-01-01,0.067
PO4_MG_L_RIV,EU_V,2013-01-01,0.067
PO4_MG_L_RIV,EU_V,2014-01-01,0.068
PO4_MG_L_RIV,FI,2000-01-01,0.015
PO4_MG_L_RIV,FI,2001-01-01,0.016
PO4_MG_L_RIV,FI,2002-01-01,0.012
PO4_MG_L_RIV,FI,2003-01-01,0.013999999999999999
PO4_MG_L_RIV,FI,2004-01-01,0.013999999999999999
PO4_MG_L_RIV,FI,2005-01-01,0.015
PO4_MG_L_RIV,FI,2006-01-01,0.013999999999999999
PO4_MG_L_RIV,FI,2007-01-01,0.013000000000000001
PO4_MG_L_RIV,FI,2008-01-01,0.013999999999999999
PO4_MG_L_RIV,FI,2009-01-01,0.015
PO4_MG_L_RIV,FI,2010-01-01,0.013000000000000001
PO4_MG_L_RIV,FI,2011-01-01,0.013000000000000001
PO4_MG_L_RIV,FI,2012-01-01,0.013999999999999999
PO4_MG_L_RIV,FI,2013-01-01,0.01
PO4_MG_L_RIV,FI,2014-01-01,0.01
PO4_MG_L_RIV,FR,2000-01-01,0.078
PO4_MG_L_RIV,FR,2001-01-01,0.067
PO4_MG_L_RIV,FR,2002-01-01,0.081
PO4_MG_L_RIV,FR,2003-01-01,0.067
PO4_MG_L_RIV,FR,2004-01-01,0.06
PO4_MG_L_RIV,FR,2005-01-01,0.061
PO4_MG_L_RIV,FR,2006-01-01,0.059000000000000004
PO4_MG_L_RIV,FR,2007-01-01,0.059000000000000004
PO4_MG_L_RIV,FR,2008-01-01,0.049
PO4_MG_L_RIV,FR,2009-01-01,0.049
PO4_MG_L_RIV,FR,2010-01-01,0.046
PO4_MG_L_RIV,FR,2011-01-01,0.046
PO4_MG_L_RIV,FR,2012-01-01,0.042
PO4_MG_L_RIV,FR,2013-01-01,0.036000000000000004
PO4_MG_L_RIV,FR,2014-01-01,0.043
PO4_MG_L_RIV,HR,2000-01-01,0.066
PO4_MG_L_RIV,HR,2001-01-01,0.066
PO4_MG_L_RIV,HR,2002-01-01,0.066
PO4_MG_L_RIV,HR,2003-01-01,0.066
PO4_MG_L_RIV,HR,2004-01-01,0.055
PO4_MG_L_RIV,HR,2005-01-01,0.044000000000000004
PO4_MG_L_RIV,HR,2006-01-01,0.052000000000000005
PO4_MG_L_RIV,HR,2007-01-01,0.033
PO4_MG_L_RIV,HR,2008-01-01,0.037000000000000005
PO4_MG_L_RIV,HR,2009-01-01,0.032
PO4_MG_L_RIV,HR,2010-01-01,0.036000000000000004
PO4_MG_L_RIV,HR,2011-01-01,0.032
PO4_MG_L_RIV,HR,2012-01-01,0.04
PO4_MG_L_RIV,HR,2013-01-01,0.04
PO4_MG_L_RIV,HR,2014-01-01,0.04
PO4_MG_L_RIV,IE,2000-01-01,0.046
PO4_MG_L_RIV,IE,2001-01-01,0.042
PO4_MG_L_RIV,IE,2002-01-01,0.036000000000000004
PO4_MG_L_RIV,IE,2003-01-01,0.036000000000000004
PO4_MG_L_RIV,IE,2004-01-01,0.035
PO4_MG_L_RIV,IE,2005-01-01,0.035
PO4_MG_L_RIV,IE,2006-01-01,0.036000000000000004
PO4_MG_L_RIV,IE,2007-01-01,0.035
PO4_MG_L_RIV,IE,2008-01-01,0.034
PO4_MG_L_RIV,IE,2009-01-01,0.035
PO4_MG_L_RIV,IE,2010-01-01,0.037000000000000005
PO4_MG_L_RIV,IE,2011-01-01,0.034
PO4_MG_L_RIV,IE,2012-01-01,0.024
PO4_MG_L_RIV,IE,2013-01-01,0.024
PO4_MG_L_RIV,IE,2014-01-01,0.024
PO4_MG_L_RIV,IS,2000-01-01,0.006
PO4_MG_L_RIV,IS,2001-01-01,0.008
PO4_MG_L_RIV,IS,2002-01-01,0.009000000000000001
PO4_MG_L_RIV,IS,2003-01-01,0.009000000000000001
PO4_MG_L_RIV,IS,2004-01-01,0.013000000000000001
PO4_MG_L_RIV,IS,2005-01-01,0.011000000000000001
PO4_MG_L_RIV,IS,2006-01-01,0.008
PO4_MG_L_RIV,IS,2007-01-01,0.008
PO4_MG_L_RIV,IS,2008-01-01,0.006999999999999999
PO4_MG_L_RIV,IS,2009-01-01,0.002
PO4_MG_L_RIV,IS,2010-01-01,0.006
PO4_MG_L_RIV,IS,2011-01-01,0.008
PO4_MG_L_RIV,IS,2012-01-01,0.006
PO4_MG_L_RIV,IS,2013-01-01,0.006999999999999999
PO4_MG_L_RIV,IS,2014-01-01,0.01
PO4_MG_L_RIV,IT,2000-01-01,0.052000000000000005
PO4_MG_L_RIV,IT,2001-01-01,0.045
PO4_MG_L_RIV,IT,2002-01-01,0.059000000000000004
PO4_MG_L_RIV,IT,2003-01-01,0.053
PO4_MG_L_RIV,IT,2004-01-01,0.045
PO4_MG_L_RIV,IT,2005-01-01,0.055
PO4_MG_L_RIV,IT,2006-01-01,0.062
PO4_MG_L_RIV,IT,2007-01-01,0.06
PO4_MG_L_RIV,IT,2008-01-01,0.054000000000000006
PO4_MG_L_RIV,IT,2009-01-01,0.048
PO4_MG_L_RIV,IT,2010-01-01,0.052000000000000005
PO4_MG_L_RIV,IT,2011-01-01,0.043
PO4_MG_L_RIV,IT,2012-01-01,0.047
PO4_MG_L_RIV,IT,2013-01-01,0.047
PO4_MG_L_RIV,IT,2014-01-01,0.047
PO4_MG_L_RIV,LI,2000-01-01,0.015
PO4_MG_L_RIV,LI,2001-01-01,0.018000000000000002
PO4_MG_L_RIV,LI,2002-01-01,0.017
PO4_MG_L_RIV,LI,2003-01-01,0.019
PO4_MG_L_RIV,LI,2004-01-01,0.013999999999999999
PO4_MG_L_RIV,LI,2005-01-01,0.013999999999999999
PO4_MG_L_RIV,LI,2006-01-01,0.013000000000000001
PO4_MG_L_RIV,LI,2007-01-01,0.013000000000000001
PO4_MG_L_RIV,LI,2008-01-01,0.015
PO4_MG_L_RIV,LI,2009-01-01,0.013999999999999999
PO4_MG_L_RIV,LI,2010-01-01,0.015
PO4_MG_L_RIV,LI,2011-01-01,0.013000000000000001
PO4_MG_L_RIV,LI,2012-01-01,0.013000000000000001
PO4_MG_L_RIV,LI,2013-01-01,0.013000000000000001
PO4_MG_L_RIV,LI,2014-01-01,0.013000000000000001
PO4_MG_L_RIV,LT,2000-01-01,0.07
PO4_MG_L_RIV,LT,2001-01-01,0.08900000000000001
PO4_MG_L_RIV,LT,2002-01-01,0.083
PO4_MG_L_RIV,LT,2003-01-01,0.09
PO4_MG_L_RIV,LT,2004-01-01,0.068
PO4_MG_L_RIV,LT,2005-01-01,0.091
PO4_MG_L_RIV,LT,2006-01-01,0.08
PO4_MG_L_RIV,LT,2007-01-01,0.049
PO4_MG_L_RIV,LT,2008-01-01,0.077
PO4_MG_L_RIV,LT,2009-01-01,0.062
PO4_MG_L_RIV,LT,2010-01-01,0.053
PO4_MG_L_RIV,LT,2011-01-01,0.05
PO4_MG_L_RIV,LT,2012-01-01,0.043
PO4_MG_L_RIV,LT,2013-01-01,0.055
PO4_MG_L_RIV,LT,2014-01-01,0.05
PO4_MG_L_RIV,LU,2000-01-01,0.043
PO4_MG_L_RIV,LU,2001-01-01,0.047
PO4_MG_L_RIV,LU,2002-01-01,0.043
PO4_MG_L_RIV,LU,2003-01-01,0.044000000000000004
PO4_MG_L_RIV,LU,2004-01-01,0.045
PO4_MG_L_RIV,LU,2005-01-01,0.045
PO4_MG_L_RIV,LU,2006-01-01,0.03
PO4_MG_L_RIV,LU,2007-01-01,0.036000000000000004
PO4_MG_L_RIV,LU,2008-01-01,0.027000000000000003
PO4_MG_L_RIV,LU,2009-01-01,0.066
PO4_MG_L_RIV,LU,2010-01-01,0.033
PO4_MG_L_RIV,LU,2011-01-01,0.076
PO4_MG_L_RIV,LU,2012-01-01,0.136
PO4_MG_L_RIV,LU,2013-01-01,0.136
PO4_MG_L_RIV,LU,2014-01-01,0.136
PO4_MG_L_RIV,LV,2000-01-01,0.032
PO4_MG_L_RIV,LV,2001-01-01,0.039
PO4_MG_L_RIV,LV,2002-01-01,0.03
PO4_MG_L_RIV,LV,2003-01-01,0.039
PO4_MG_L_RIV,LV,2004-01-01,0.028999999999999998
PO4_MG_L_RIV,LV,2005-01-01,0.027999999999999997
PO4_MG_L_RIV,LV,2006-01-01,0.042
PO4_MG_L_RIV,LV,2007-01-01,0.03
PO4_MG_L_RIV,LV,2008-01-01,0.024
PO4_MG_L_RIV,LV,2009-01-01,0.018000000000000002
PO4_MG_L_RIV,LV,2010-01-01,0.027000000000000003
PO4_MG_L_RIV,LV,2011-01-01,0.021
PO4_MG_L_RIV,LV,2012-01-01,0.025
PO4_MG_L_RIV,LV,2013-01-01,0.048
PO4_MG_L_RIV,LV,2014-01-01,0.053
PO4_MG_L_RIV,MK,2000-01-01,0.266
PO4_MG_L_RIV,MK,2001-01-01,0.252
PO4_MG_L_RIV,MK,2002-01-01,0.313
PO4_MG_L_RIV,MK,2003-01-01,0.406
PO4_MG_L_RIV,MK,2004-01-01,0.33799999999999997
PO4_MG_L_RIV,MK,2005-01-01,0.239
PO4_MG_L_RIV,MK,2006-01-01,0.198
PO4_MG_L_RIV,MK,2007-01-01,0.239
PO4_MG_L_RIV,MK,2008-01-01,0.235
PO4_MG_L_RIV,MK,2009-01-01,0.253
PO4_MG_L_RIV,MK,2010-01-01,0.159
PO4_MG_L_RIV,MK,2011-01-01,0.191
PO4_MG_L_RIV,MK,2012-01-01,0.222
PO4_MG_L_RIV,MK,2013-01-01,0.265
PO4_MG_L_RIV,MK,2014-01-01,0.297
PO4_MG_L_RIV,RO,2000-01-01,0.13
PO4_MG_L_RIV,RO,2001-01-01,0.13
PO4_MG_L_RIV,RO,2002-01-01,0.11800000000000001
PO4_MG_L_RIV,RO,2003-01-01,0.114
PO4_MG_L_RIV,RO,2004-01-01,0.08199999999999999
PO4_MG_L_RIV,RO,2005-01-01,0.087
PO4_MG_L_RIV,RO,2006-01-01,0.073
PO4_MG_L_RIV,RO,2007-01-01,0.1
PO4_MG_L_RIV,RO,2008-01-01,0.08199999999999999
PO4_MG_L_RIV,RO,2009-01-01,0.075
PO4_MG_L_RIV,RO,2010-01-01,0.059000000000000004
PO4_MG_L_RIV,RO,2011-01-01,0.061
PO4_MG_L_RIV,RO,2012-01-01,0.069
PO4_MG_L_RIV,RO,2013-01-01,0.066
PO4_MG_L_RIV,RO,2014-01-01,0.063
PO4_MG_L_RIV,RS,2000-01-01,0.084
PO4_MG_L_RIV,RS,2001-01-01,0.084
PO4_MG_L_RIV,RS,2002-01-01,0.084
PO4_MG_L_RIV,RS,2003-01-01,0.084
PO4_MG_L_RIV,RS,2004-01-01,0.068
PO4_MG_L_RIV,RS,2005-01-01,0.08199999999999999
PO4_MG_L_RIV,RS,2006-01-01,0.085
PO4_MG_L_RIV,RS,2007-01-01,0.08
PO4_MG_L_RIV,RS,2008-01-01,0.084
PO4_MG_L_RIV,RS,2009-01-01,0.077
PO4_MG_L_RIV,RS,2010-01-01,0.078
PO4_MG_L_RIV,RS,2011-01-01,0.07200000000000001
PO4_MG_L_RIV,RS,2012-01-01,0.077
PO4_MG_L_RIV,RS,2013-01-01,0.064
PO4_MG_L_RIV,RS,2014-01-01,0.068
PO4_MG_L_RIV,SE,2000-01-01,0.009000000000000001
PO4_MG_L_RIV,SE,2001-01-01,0.011000000000000001
PO4_MG_L_RIV,SE,2002-01-01,0.012
PO4_MG_L_RIV,SE,2003-01-01,0.012
PO4_MG_L_RIV,SE,2004-01-01,0.013999999999999999
PO4_MG_L_RIV,SE,2005-01-01,0.013000000000000001
PO4_MG_L_RIV,SE,2006-01-01,0.013000000000000001
PO4_MG_L_RIV,SE,2007-01-01,0.012
PO4_MG_L_RIV,SE,2008-01-01,0.012
PO4_MG_L_RIV,SE,2009-01-01,0.011000000000000001
PO4_MG_L_RIV,SE,2010-01-01,0.013000000000000001
PO4_MG_L_RIV,SE,2011-01-01,0.013000000000000001
PO4_MG_L_RIV,SE,2012-01-01,0.011000000000000001
PO4_MG_L_RIV,SE,2013-01-01,0.011000000000000001
PO4_MG_L_RIV,SE,2014-01-01,0.011000000000000001
PO4_MG_L_RIV,SI,2000-01-01,0.039
PO4_MG_L_RIV,SI,2001-01-01,0.039
PO4_MG_L_RIV,SI,2002-01-01,0.035
PO4_MG_L_RIV,SI,2003-01-01,0.032
PO4_MG_L_RIV,SI,2004-01-01,0.025
PO4_MG_L_RIV,SI,2005-01-01,0.03
PO4_MG_L_RIV,SI,2006-01-01,0.039
PO4_MG_L_RIV,SI,2007-01-01,0.028999999999999998
PO4_MG_L_RIV,SI,2008-01-01,0.018000000000000002
PO4_MG_L_RIV,SI,2009-01-01,0.017
PO4_MG_L_RIV,SI,2010-01-01,0.013999999999999999
PO4_MG_L_RIV,SI,2011-01-01,0.016
PO4_MG_L_RIV,SI,2012-01-01,0.021
PO4_MG_L_RIV,SI,2013-01-01,0.016
PO4_MG_L_RIV,SI,2014-01-01,0.019
PO4_MG_L_RIV,SK,2000-01-01,0.156
PO4_MG_L_RIV,SK,2001-01-01,0.165
PO4_MG_L_RIV,SK,2002-01-01,0.17
PO4_MG_L_RIV,SK,2003-01-01,0.193
PO4_MG_L_RIV,SK,2004-01-01,0.162
PO4_MG_L_RIV,SK,2005-01-01,0.138
PO4_MG_L_RIV,SK,2006-01-01,0.126
PO4_MG_L_RIV,SK,2007-01-01,0.132
PO4_MG_L_RIV,SK,2008-01-01,0.124
PO4_MG_L_RIV,SK,2009-01-01,0.12
PO4_MG_L_RIV,SK,2010-01-01,0.084
PO4_MG_L_RIV,SK,2011-01-01,0.087
PO4_MG_L_RIV,SK,2012-01-01,0.10800000000000001
PO4_MG_L_RIV,SK,2013-01-01,0.08900000000000001
PO4_MG_L_RIV,SK,2014-01-01,0.10300000000000001
PO4_MG_L_RIV,UK,2000-01-01,0.221
PO4_MG_L_RIV,UK,2001-01-01,0.214
PO4_MG_L_RIV,UK,2002-01-01,0.214
PO4_MG_L_RIV,UK,2003-01-01,0.213
PO4_MG_L_RIV,UK,2004-01-01,0.17600000000000002
PO4_MG_L_RIV,UK,2005-01-01,0.2
PO4_MG_L_RIV,UK,2006-01-01,0.187
PO4_MG_L_RIV,UK,2007-01-01,0.157
PO4_MG_L_RIV,UK,2008-01-01,0.139
PO4_MG_L_RIV,UK,2009-01-01,0.141
PO4_MG_L_RIV,UK,2010-01-01,0.134
PO4_MG_L_RIV,UK,2011-01-01,0.152
PO4_MG_L_RIV,UK,2012-01-01,0.11699999999999999
PO4_MG_L_RIV,UK,2013-01-01,0.121
PO4_MG_L_RIV,UK,2014-01-01,0.12
