age,unit,indic_em,sex,geotime,date,value
Y20-64,PC_POP,EMP_LFS,F,FI,2009-01-01,72
Y20-64,PC_POP,EMP_LFS,F,FI,2010-01-01,71
Y20-64,PC_POP,EMP_LFS,F,FI,2011-01-01,71
Y20-64,PC_POP,EMP_LFS,F,FI,2012-01-01,72
Y20-64,PC_POP,EMP_LFS,F,FI,2013-01-01,71
Y20-64,PC_POP,EMP_LFS,F,FI,2014-01-01,72
Y20-64,PC_POP,EMP_LFS,F,FI,2015-01-01,71
Y20-64,PC_POP,EMP_LFS,F,FI,2016-01-01,71
Y20-64,PC_POP,EMP_LFS,F,FI,2017-01-01,72
Y20-64,PC_POP,EMP_LFS,F,FR,2005-01-01,
Y20-64,PC_POP,EMP_LFS,F,FR,2006-01-01,
Y20-64,PC_POP,EMP_LFS,F,FR,2007-01-01,
Y20-64,PC_POP,EMP_LFS,F,FR,2008-01-01,
Y20-64,PC_POP,EMP_LFS,F,FR,2009-01-01,
Y20-64,PC_POP,EMP_LFS,F,FR,2010-01-01,
Y20-64,PC_POP,EMP_LFS,F,FR,2011-01-01,
Y20-64,PC_POP,EMP_LFS,F,FR,2012-01-01,
Y20-64,PC_POP,EMP_LFS,F,FR,2013-01-01,
Y20-64,PC_POP,EMP_LFS,F,FR,2014-01-01,65
Y20-64,PC_POP,EMP_LFS,F,FR,2015-01-01,66
Y20-64,PC_POP,EMP_LFS,F,FR,2016-01-01,66
Y20-64,PC_POP,EMP_LFS,F,FR,2017-01-01,66
Y20-64,PC_POP,EMP_LFS,F,FX,2005-01-01,63
Y20-64,PC_POP,EMP_LFS,F,FX,2006-01-01,63
Y20-64,PC_POP,EMP_LFS,F,FX,2007-01-01,64
Y20-64,PC_POP,EMP_LFS,F,FX,2008-01-01,65
Y20-64,PC_POP,EMP_LFS,F,FX,2009-01-01,65
Y20-64,PC_POP,EMP_LFS,F,FX,2010-01-01,64
Y20-64,PC_POP,EMP_LFS,F,FX,2011-01-01,64
Y20-64,PC_POP,EMP_LFS,F,FX,2012-01-01,65
Y20-64,PC_POP,EMP_LFS,F,FX,2013-01-01,65
Y20-64,PC_POP,EMP_LFS,F,FX,2014-01-01,66
Y20-64,PC_POP,EMP_LFS,F,FX,2015-01-01,66
Y20-64,PC_POP,EMP_LFS,F,FX,2016-01-01,66
Y20-64,PC_POP,EMP_LFS,F,FX,2017-01-01,67
Y20-64,PC_POP,EMP_LFS,F,HR,2005-01-01,52
Y20-64,PC_POP,EMP_LFS,F,HR,2006-01-01,53
Y20-64,PC_POP,EMP_LFS,F,HR,2007-01-01,55
Y20-64,PC_POP,EMP_LFS,F,HR,2008-01-01,57
Y20-64,PC_POP,EMP_LFS,F,HR,2009-01-01,58
Y20-64,PC_POP,EMP_LFS,F,HR,2010-01-01,56
Y20-64,PC_POP,EMP_LFS,F,HR,2011-01-01,53
Y20-64,PC_POP,EMP_LFS,F,HR,2012-01-01,52
Y20-64,PC_POP,EMP_LFS,F,HR,2013-01-01,52
Y20-64,PC_POP,EMP_LFS,F,HR,2014-01-01,54
Y20-64,PC_POP,EMP_LFS,F,HR,2015-01-01,55
Y20-64,PC_POP,EMP_LFS,F,HR,2016-01-01,56
Y20-64,PC_POP,EMP_LFS,F,HR,2017-01-01,58
Y20-64,PC_POP,EMP_LFS,F,HU,2005-01-01,55
Y20-64,PC_POP,EMP_LFS,F,HU,2006-01-01,55
Y20-64,PC_POP,EMP_LFS,F,HU,2007-01-01,55
Y20-64,PC_POP,EMP_LFS,F,HU,2008-01-01,54
Y20-64,PC_POP,EMP_LFS,F,HU,2009-01-01,54
Y20-64,PC_POP,EMP_LFS,F,HU,2010-01-01,54
Y20-64,PC_POP,EMP_LFS,F,HU,2011-01-01,54
Y20-64,PC_POP,EMP_LFS,F,HU,2012-01-01,56
Y20-64,PC_POP,EMP_LFS,F,HU,2013-01-01,56
Y20-64,PC_POP,EMP_LFS,F,HU,2014-01-01,60
Y20-64,PC_POP,EMP_LFS,F,HU,2015-01-01,62
Y20-64,PC_POP,EMP_LFS,F,HU,2016-01-01,64
Y20-64,PC_POP,EMP_LFS,F,HU,2017-01-01,65
Y20-64,PC_POP,EMP_LFS,F,IE,2005-01-01,63
Y20-64,PC_POP,EMP_LFS,F,IE,2006-01-01,64
Y20-64,PC_POP,EMP_LFS,F,IE,2007-01-01,65
Y20-64,PC_POP,EMP_LFS,F,IE,2008-01-01,65
Y20-64,PC_POP,EMP_LFS,F,IE,2009-01-01,62
Y20-64,PC_POP,EMP_LFS,F,IE,2010-01-01,61
Y20-64,PC_POP,EMP_LFS,F,IE,2011-01-01,60
Y20-64,PC_POP,EMP_LFS,F,IE,2012-01-01,60
Y20-64,PC_POP,EMP_LFS,F,IE,2013-01-01,61
Y20-64,PC_POP,EMP_LFS,F,IE,2014-01-01,62
Y20-64,PC_POP,EMP_LFS,F,IE,2015-01-01,63
Y20-64,PC_POP,EMP_LFS,F,IE,2016-01-01,65
Y20-64,PC_POP,EMP_LFS,F,IE,2017-01-01,67
Y20-64,PC_POP,EMP_LFS,F,IS,2005-01-01,81
Y20-64,PC_POP,EMP_LFS,F,IS,2006-01-01,81
Y20-64,PC_POP,EMP_LFS,F,IS,2007-01-01,81
Y20-64,PC_POP,EMP_LFS,F,IS,2008-01-01,80
Y20-64,PC_POP,EMP_LFS,F,IS,2009-01-01,77
Y20-64,PC_POP,EMP_LFS,F,IS,2010-01-01,77
Y20-64,PC_POP,EMP_LFS,F,IS,2011-01-01,77
Y20-64,PC_POP,EMP_LFS,F,IS,2012-01-01,79
Y20-64,PC_POP,EMP_LFS,F,IS,2013-01-01,79
Y20-64,PC_POP,EMP_LFS,F,IS,2014-01-01,81
Y20-64,PC_POP,EMP_LFS,F,IS,2015-01-01,83
Y20-64,PC_POP,EMP_LFS,F,IS,2016-01-01,84
Y20-64,PC_POP,EMP_LFS,F,IS,2017-01-01,84
Y20-64,PC_POP,EMP_LFS,F,IT,2005-01-01,48
Y20-64,PC_POP,EMP_LFS,F,IT,2006-01-01,49
Y20-64,PC_POP,EMP_LFS,F,IT,2007-01-01,49
Y20-64,PC_POP,EMP_LFS,F,IT,2008-01-01,50
Y20-64,PC_POP,EMP_LFS,F,IT,2009-01-01,49
Y20-64,PC_POP,EMP_LFS,F,IT,2010-01-01,49
Y20-64,PC_POP,EMP_LFS,F,IT,2011-01-01,49
Y20-64,PC_POP,EMP_LFS,F,IT,2012-01-01,50
Y20-64,PC_POP,EMP_LFS,F,IT,2013-01-01,49
Y20-64,PC_POP,EMP_LFS,F,IT,2014-01-01,50
Y20-64,PC_POP,EMP_LFS,F,IT,2015-01-01,50
