indic_nrg,unit,product,geotime,date,value
B_101550,PC,0000,FI,2001-01-01,54
B_101550,PC,0000,FI,2002-01-01,52
B_101550,PC,0000,FI,2003-01-01,58
B_101550,PC,0000,FI,2004-01-01,54
B_101550,PC,0000,FI,2005-01-01,54
B_101550,PC,0000,FI,2006-01-01,53
B_101550,PC,0000,FI,2007-01-01,52
B_101550,PC,0000,FI,2008-01-01,54
B_101550,PC,0000,FI,2009-01-01,53
B_101550,PC,0000,FI,2010-01-01,47
B_101550,PC,0000,FI,2011-01-01,52
B_101550,PC,0000,FI,2012-01-01,46
B_101550,PC,0000,FI,2013-01-01,48
B_101550,PC,0000,FI,2014-01-01,48
B_101550,PC,0000,FI,2015-01-01,47
B_101550,PC,0000,FI,2016-01-01,45
B_101550,PC,0000,FR,2000-01-01,51
B_101550,PC,0000,FR,2001-01-01,50
B_101550,PC,0000,FR,2002-01-01,51
B_101550,PC,0000,FR,2003-01-01,50
B_101550,PC,0000,FR,2004-01-01,50
B_101550,PC,0000,FR,2005-01-01,51
B_101550,PC,0000,FR,2006-01-01,51
B_101550,PC,0000,FR,2007-01-01,50
B_101550,PC,0000,FR,2008-01-01,50
B_101550,PC,0000,FR,2009-01-01,50
B_101550,PC,0000,FR,2010-01-01,48
B_101550,PC,0000,FR,2011-01-01,48
B_101550,PC,0000,FR,2012-01-01,48
B_101550,PC,0000,FR,2013-01-01,47
B_101550,PC,0000,FR,2014-01-01,45
B_101550,PC,0000,FR,2015-01-01,45
B_101550,PC,0000,FR,2016-01-01,47
B_101550,PC,0000,HR,2000-01-01,48
B_101550,PC,0000,HR,2001-01-01,46
B_101550,PC,0000,HR,2002-01-01,54
B_101550,PC,0000,HR,2003-01-01,50
B_101550,PC,0000,HR,2004-01-01,51
B_101550,PC,0000,HR,2005-01-01,52
B_101550,PC,0000,HR,2006-01-01,49
B_101550,PC,0000,HR,2007-01-01,51
B_101550,PC,0000,HR,2008-01-01,54
B_101550,PC,0000,HR,2009-01-01,46
B_101550,PC,0000,HR,2010-01-01,46
B_101550,PC,0000,HR,2011-01-01,49
B_101550,PC,0000,HR,2012-01-01,49
B_101550,PC,0000,HR,2013-01-01,47
B_101550,PC,0000,HR,2014-01-01,43
B_101550,PC,0000,HR,2015-01-01,48
B_101550,PC,0000,HR,2016-01-01,47
B_101550,PC,0000,HU,2000-01-01,55
B_101550,PC,0000,HU,2001-01-01,53
B_101550,PC,0000,HU,2002-01-01,56
B_101550,PC,0000,HU,2003-01-01,62
B_101550,PC,0000,HU,2004-01-01,60
B_101550,PC,0000,HU,2005-01-01,62
B_101550,PC,0000,HU,2006-01-01,61
B_101550,PC,0000,HU,2007-01-01,60
B_101550,PC,0000,HU,2008-01-01,62
B_101550,PC,0000,HU,2009-01-01,57
B_101550,PC,0000,HU,2010-01-01,56
B_101550,PC,0000,HU,2011-01-01,49
B_101550,PC,0000,HU,2012-01-01,49
B_101550,PC,0000,HU,2013-01-01,49
B_101550,PC,0000,HU,2014-01-01,59
B_101550,PC,0000,HU,2015-01-01,53
B_101550,PC,0000,HU,2016-01-01,55
B_101550,PC,0000,IE,2000-01-01,84
B_101550,PC,0000,IE,2001-01-01,89
B_101550,PC,0000,IE,2002-01-01,88
B_101550,PC,0000,IE,2003-01-01,89
B_101550,PC,0000,IE,2004-01-01,90
B_101550,PC,0000,IE,2005-01-01,89
B_101550,PC,0000,IE,2006-01-01,90
B_101550,PC,0000,IE,2007-01-01,87
B_101550,PC,0000,IE,2008-01-01,90
B_101550,PC,0000,IE,2009-01-01,88
B_101550,PC,0000,IE,2010-01-01,86
B_101550,PC,0000,IE,2011-01-01,90
B_101550,PC,0000,IE,2012-01-01,85
B_101550,PC,0000,IE,2013-01-01,89
B_101550,PC,0000,IE,2014-01-01,85
B_101550,PC,0000,IE,2015-01-01,88
B_101550,PC,0000,IE,2016-01-01,69
B_101550,PC,0000,IS,2000-01-01,30
B_101550,PC,0000,IS,2001-01-01,29
B_101550,PC,0000,IS,2002-01-01,28
B_101550,PC,0000,IS,2003-01-01,27
B_101550,PC,0000,IS,2004-01-01,31
B_101550,PC,0000,IS,2005-01-01,31
B_101550,PC,0000,IS,2006-01-01,25
B_101550,PC,0000,IS,2007-01-01,22
B_101550,PC,0000,IS,2008-01-01,21
B_101550,PC,0000,IS,2009-01-01,20
B_101550,PC,0000,IS,2010-01-01,13
B_101550,PC,0000,IS,2011-01-01,13
B_101550,PC,0000,IS,2012-01-01,13
B_101550,PC,0000,IS,2013-01-01,13
B_101550,PC,0000,IS,2014-01-01,14
B_101550,PC,0000,IS,2015-01-01,16
B_101550,PC,0000,IS,2016-01-01,19
B_101550,PC,0000,IT,2000-01-01,86
B_101550,PC,0000,IT,2001-01-01,83
B_101550,PC,0000,IT,2002-01-01,85
B_101550,PC,0000,IT,2003-01-01,83
B_101550,PC,0000,IT,2004-01-01,84
B_101550,PC,0000,IT,2005-01-01,83
B_101550,PC,0000,IT,2006-01-01,85
B_101550,PC,0000,IT,2007-01-01,83
B_101550,PC,0000,IT,2008-01-01,82
B_101550,PC,0000,IT,2009-01-01,80
B_101550,PC,0000,IT,2010-01-01,82
B_101550,PC,0000,IT,2011-01-01,81
B_101550,PC,0000,IT,2012-01-01,79
B_101550,PC,0000,IT,2013-01-01,76
B_101550,PC,0000,IT,2014-01-01,75
