unit,indic_he,geo\time,date,value
YR,F_65_DFLE,FI,2006-01-01,7.5 
YR,F_65_DFLE,FI,2007-01-01,8.9 b
YR,F_65_DFLE,FI,2008-01-01,9.0 
YR,F_65_DFLE,FI,2009-01-01,9.0 
YR,F_65_DFLE,FI,2010-01-01,8.7 
YR,F_65_DFLE,FI,2011-01-01,8.6 
YR,F_65_DFLE,FI,2012-01-01,9.0 
YR,F_65_DFLE,FI,2013-01-01,: 
YR,F_65_DFLE,FI,2014-01-01,9.3 
YR,F_65_DFLE,FI,2015-01-01,9.0 
YR,F_65_DFLE,FI,2016-01-01,8.9 
YR,F_65_DFLE,FR,2005-01-01,9.7 
YR,F_65_DFLE,FR,2006-01-01,9.6 
YR,F_65_DFLE,FR,2007-01-01,9.9 
YR,F_65_DFLE,FR,2008-01-01,10.1 
YR,F_65_DFLE,FR,2009-01-01,9.5 
YR,F_65_DFLE,FR,2010-01-01,9.8 
YR,F_65_DFLE,FR,2011-01-01,9.9 
YR,F_65_DFLE,FR,2012-01-01,10.4 
YR,F_65_DFLE,FR,2013-01-01,10.7 
YR,F_65_DFLE,FR,2014-01-01,10.7 
YR,F_65_DFLE,FR,2015-01-01,10.7 
YR,F_65_DFLE,FR,2016-01-01,10.6 
YR,F_65_DFLE,HR,2005-01-01,: 
YR,F_65_DFLE,HR,2006-01-01,: 
YR,F_65_DFLE,HR,2007-01-01,: 
YR,F_65_DFLE,HR,2008-01-01,: 
YR,F_65_DFLE,HR,2009-01-01,: 
YR,F_65_DFLE,HR,2010-01-01,6.5 
YR,F_65_DFLE,HR,2011-01-01,7.3 
YR,F_65_DFLE,HR,2012-01-01,7.9 b
YR,F_65_DFLE,HR,2013-01-01,5.9 b
YR,F_65_DFLE,HR,2014-01-01,5.8 
YR,F_65_DFLE,HR,2015-01-01,4.5 
YR,F_65_DFLE,HR,2016-01-01,4.9 
YR,F_65_DFLE,HU,2005-01-01,5 d
YR,F_65_DFLE,HU,2006-01-01,5.6 d
YR,F_65_DFLE,HU,2007-01-01,5.9 
YR,F_65_DFLE,HU,2008-01-01,6.4 
YR,F_65_DFLE,HU,2009-01-01,5.7 
YR,F_65_DFLE,HU,2010-01-01,5.9 
YR,F_65_DFLE,HU,2011-01-01,6.0 
YR,F_65_DFLE,HU,2012-01-01,6.4 
YR,F_65_DFLE,HU,2013-01-01,6.1 
YR,F_65_DFLE,HU,2014-01-01,6.1 
YR,F_65_DFLE,HU,2015-01-01,5.9 
YR,F_65_DFLE,HU,2016-01-01,6.4 
YR,F_65_DFLE,IE,2005-01-01,9.8 
YR,F_65_DFLE,IE,2006-01-01,10.5 
YR,F_65_DFLE,IE,2007-01-01,10.5 
YR,F_65_DFLE,IE,2008-01-01,10.3 
YR,F_65_DFLE,IE,2009-01-01,10.5 
YR,F_65_DFLE,IE,2010-01-01,11.1 
YR,F_65_DFLE,IE,2011-01-01,11.8 
YR,F_65_DFLE,IE,2012-01-01,12.2 
YR,F_65_DFLE,IE,2013-01-01,12.1 
YR,F_65_DFLE,IE,2014-01-01,12.3 
YR,F_65_DFLE,IE,2015-01-01,12.0 
YR,F_65_DFLE,IE,2016-01-01,13.2 
YR,F_65_DFLE,IS,2005-01-01,12.3 
YR,F_65_DFLE,IS,2006-01-01,12.9 
YR,F_65_DFLE,IS,2007-01-01,16.3 b
YR,F_65_DFLE,IS,2008-01-01,13.9 
YR,F_65_DFLE,IS,2009-01-01,13.5 
YR,F_65_DFLE,IS,2010-01-01,14.8 
YR,F_65_DFLE,IS,2011-01-01,13.7 
YR,F_65_DFLE,IS,2012-01-01,14.3 
YR,F_65_DFLE,IS,2013-01-01,15.1 
YR,F_65_DFLE,IS,2014-01-01,15.1 
YR,F_65_DFLE,IS,2015-01-01,15.1 
YR,F_65_DFLE,IS,2016-01-01,: 
YR,F_65_DFLE,IT,2005-01-01,10.2 
YR,F_65_DFLE,IT,2006-01-01,8.8 bd
YR,F_65_DFLE,IT,2007-01-01,7.6 b
YR,F_65_DFLE,IT,2008-01-01,7.1 
YR,F_65_DFLE,IT,2009-01-01,7.2 
YR,F_65_DFLE,IT,2010-01-01,: 
YR,F_65_DFLE,IT,2011-01-01,7.0 
YR,F_65_DFLE,IT,2012-01-01,7.1 
YR,F_65_DFLE,IT,2013-01-01,7.1 
YR,F_65_DFLE,IT,2014-01-01,7.3 
