fin_source,geotime,date,value
EXPCRED_OSUP,FI,2012-01-01,
EXPCRED_OSUP,FI,2013-01-01,
EXPCRED_OSUP,FI,2014-01-01,
EXPCRED_OSUP,FI,2015-01-01,
EXPCRED_OSUP,FI,2016-01-01,
EXPCRED_OSUP,FR,2000-01-01,
EXPCRED_OSUP,FR,2001-01-01,313
EXPCRED_OSUP,FR,2002-01-01,1530
EXPCRED_OSUP,FR,2003-01-01,2902
EXPCRED_OSUP,FR,2004-01-01,18
EXPCRED_OSUP,FR,2005-01-01,732
EXPCRED_OSUP,FR,2006-01-01,2282
EXPCRED_OSUP,FR,2007-01-01,2118
EXPCRED_OSUP,FR,2008-01-01,881
EXPCRED_OSUP,FR,2009-01-01,346
EXPCRED_OSUP,FR,2010-01-01,5515
EXPCRED_OSUP,FR,2011-01-01,695
EXPCRED_OSUP,FR,2012-01-01,949
EXPCRED_OSUP,FR,2013-01-01,89
EXPCRED_OSUP,FR,2014-01-01,1
EXPCRED_OSUP,FR,2015-01-01,24
EXPCRED_OSUP,FR,2016-01-01,
EXPCRED_OSUP,IT,2000-01-01,677
EXPCRED_OSUP,IT,2001-01-01,543
EXPCRED_OSUP,IT,2002-01-01,1507
EXPCRED_OSUP,IT,2003-01-01,837
EXPCRED_OSUP,IT,2004-01-01,134
EXPCRED_OSUP,IT,2005-01-01,188
EXPCRED_OSUP,IT,2006-01-01,1183
EXPCRED_OSUP,IT,2007-01-01,1783
EXPCRED_OSUP,IT,2008-01-01,421
EXPCRED_OSUP,IT,2009-01-01,249
EXPCRED_OSUP,IT,2010-01-01,544
EXPCRED_OSUP,IT,2011-01-01,603
EXPCRED_OSUP,IT,2012-01-01,564
EXPCRED_OSUP,IT,2013-01-01,1529
EXPCRED_OSUP,IT,2014-01-01,439
EXPCRED_OSUP,IT,2015-01-01,1274
EXPCRED_OSUP,IT,2016-01-01,725
EXPCRED_OSUP,NL,2000-01-01,416
EXPCRED_OSUP,NL,2001-01-01,115
EXPCRED_OSUP,NL,2002-01-01,908
EXPCRED_OSUP,NL,2003-01-01,2166
EXPCRED_OSUP,NL,2004-01-01,2980
EXPCRED_OSUP,NL,2005-01-01,8531
EXPCRED_OSUP,NL,2006-01-01,4549
EXPCRED_OSUP,NL,2007-01-01,104
EXPCRED_OSUP,NL,2008-01-01,12
EXPCRED_OSUP,NL,2009-01-01,287
EXPCRED_OSUP,NL,2010-01-01,728
EXPCRED_OSUP,NL,2011-01-01,296
EXPCRED_OSUP,NL,2012-01-01,203
EXPCRED_OSUP,NL,2013-01-01,524
EXPCRED_OSUP,NL,2014-01-01,488
EXPCRED_OSUP,NL,2015-01-01,382
EXPCRED_OSUP,NL,2016-01-01,1940
EXPCRED_OSUP,NO,2000-01-01,33
EXPCRED_OSUP,NO,2001-01-01,67
EXPCRED_OSUP,NO,2002-01-01,115
EXPCRED_OSUP,NO,2003-01-01,57
EXPCRED_OSUP,NO,2004-01-01,39
EXPCRED_OSUP,NO,2005-01-01,6
EXPCRED_OSUP,NO,2006-01-01,4
EXPCRED_OSUP,NO,2007-01-01,0
EXPCRED_OSUP,NO,2008-01-01,0
EXPCRED_OSUP,NO,2009-01-01,2
EXPCRED_OSUP,NO,2010-01-01,
EXPCRED_OSUP,NO,2011-01-01,0
EXPCRED_OSUP,NO,2012-01-01,0
EXPCRED_OSUP,NO,2013-01-01,1
EXPCRED_OSUP,NO,2014-01-01,1
EXPCRED_OSUP,NO,2015-01-01,2
EXPCRED_OSUP,NO,2016-01-01,1
EXPCRED_OSUP,PT,2000-01-01,283
EXPCRED_OSUP,PT,2001-01-01,256
EXPCRED_OSUP,PT,2002-01-01,222
EXPCRED_OSUP,PT,2003-01-01,126
EXPCRED_OSUP,PT,2004-01-01,228
EXPCRED_OSUP,PT,2005-01-01,138
EXPCRED_OSUP,PT,2006-01-01,193
EXPCRED_OSUP,PT,2007-01-01,314
EXPCRED_OSUP,PT,2008-01-01,448
EXPCRED_OSUP,PT,2009-01-01,542
EXPCRED_OSUP,PT,2010-01-01,693
EXPCRED_OSUP,PT,2011-01-01,60
EXPCRED_OSUP,PT,2012-01-01,28
EXPCRED_OSUP,PT,2013-01-01,117
EXPCRED_OSUP,PT,2014-01-01,79
EXPCRED_OSUP,PT,2015-01-01,140
EXPCRED_OSUP,PT,2016-01-01,93
EXPCRED_OSUP,SE,2000-01-01,1359
EXPCRED_OSUP,SE,2001-01-01,991
EXPCRED_OSUP,SE,2002-01-01,103
EXPCRED_OSUP,SE,2003-01-01,745
EXPCRED_OSUP,SE,2004-01-01,263
EXPCRED_OSUP,SE,2005-01-01,241
EXPCRED_OSUP,SE,2006-01-01,151
EXPCRED_OSUP,SE,2007-01-01,171
EXPCRED_OSUP,SE,2008-01-01,966
EXPCRED_OSUP,SE,2009-01-01,1136
EXPCRED_OSUP,SE,2010-01-01,228
EXPCRED_OSUP,SE,2011-01-01,314
EXPCRED_OSUP,SE,2012-01-01,209
EXPCRED_OSUP,SE,2013-01-01,162
EXPCRED_OSUP,SE,2014-01-01,302
EXPCRED_OSUP,SE,2015-01-01,185
EXPCRED_OSUP,SE,2016-01-01,1115
EXPCRED_OSUP,TR,2000-01-01,
EXPCRED_OSUP,TR,2001-01-01,
EXPCRED_OSUP,TR,2002-01-01,
EXPCRED_OSUP,TR,2003-01-01,
EXPCRED_OSUP,TR,2004-01-01,25
EXPCRED_OSUP,TR,2005-01-01,22
EXPCRED_OSUP,TR,2006-01-01,98
EXPCRED_OSUP,TR,2007-01-01,30
EXPCRED_OSUP,TR,2008-01-01,1
EXPCRED_OSUP,TR,2009-01-01,7
EXPCRED_OSUP,TR,2010-01-01,19
EXPCRED_OSUP,TR,2011-01-01,8
EXPCRED_OSUP,TR,2012-01-01,44
EXPCRED_OSUP,TR,2013-01-01,7
EXPCRED_OSUP,TR,2014-01-01,54
EXPCRED_OSUP,TR,2015-01-01,101
EXPCRED_OSUP,TR,2016-01-01,187
EXPCRED_OSUP,UK,2000-01-01,484
EXPCRED_OSUP,UK,2001-01-01,550
EXPCRED_OSUP,UK,2002-01-01,1303
EXPCRED_OSUP,UK,2003-01-01,599
EXPCRED_OSUP,UK,2004-01-01,286
EXPCRED_OSUP,UK,2005-01-01,502
EXPCRED_OSUP,UK,2006-01-01,3837
EXPCRED_OSUP,UK,2007-01-01,158
EXPCRED_OSUP,UK,2008-01-01,2673
EXPCRED_OSUP,UK,2009-01-01,2384
EXPCRED_OSUP,UK,2010-01-01,727
EXPCRED_OSUP,UK,2011-01-01,1147
EXPCRED_OSUP,UK,2012-01-01,1151
EXPCRED_OSUP,UK,2013-01-01,309
EXPCRED_OSUP,UK,2014-01-01,224
EXPCRED_OSUP,UK,2015-01-01,
EXPCRED_OSUP,UK,2016-01-01,
FLOW_PRV,AT,2000-01-01,456
FLOW_PRV,AT,2001-01-01,309
FLOW_PRV,AT,2002-01-01,1135
FLOW_PRV,AT,2003-01-01,676
FLOW_PRV,AT,2004-01-01,742
FLOW_PRV,AT,2005-01-01,2179
FLOW_PRV,AT,2006-01-01,1475
FLOW_PRV,AT,2007-01-01,11422
FLOW_PRV,AT,2008-01-01,4801
FLOW_PRV,AT,2009-01-01,1861
FLOW_PRV,AT,2010-01-01,4303
FLOW_PRV,AT,2011-01-01,5209
FLOW_PRV,AT,2012-01-01,2996
FLOW_PRV,AT,2013-01-01,374
FLOW_PRV,AT,2014-01-01,1448
FLOW_PRV,AT,2015-01-01,2889
FLOW_PRV,AT,2016-01-01,1254
FLOW_PRV,BE,2000-01-01,1026
FLOW_PRV,BE,2001-01-01,953
FLOW_PRV,BE,2002-01-01,586
FLOW_PRV,BE,2003-01-01,0
FLOW_PRV,BE,2004-01-01,136
FLOW_PRV,BE,2005-01-01,1143
FLOW_PRV,BE,2006-01-01,2814
FLOW_PRV,BE,2007-01-01,1085
FLOW_PRV,BE,2008-01-01,1099
FLOW_PRV,BE,2009-01-01,2
FLOW_PRV,BE,2010-01-01,3613
FLOW_PRV,BE,2011-01-01,1533
FLOW_PRV,BE,2012-01-01,0
FLOW_PRV,BE,2013-01-01,4817
FLOW_PRV,BE,2014-01-01,4268
FLOW_PRV,BE,2015-01-01,1050
FLOW_PRV,BE,2016-01-01,12845
FLOW_PRV,CH,2000-01-01,224
FLOW_PRV,CH,2001-01-01,653
FLOW_PRV,CH,2002-01-01,624
FLOW_PRV,CH,2003-01-01,1407
FLOW_PRV,CH,2004-01-01,557
FLOW_PRV,CH,2005-01-01,5408
FLOW_PRV,CH,2006-01-01,8769
FLOW_PRV,CH,2007-01-01,2804
FLOW_PRV,CH,2008-01-01,7126
FLOW_PRV,CH,2009-01-01,4860
FLOW_PRV,CH,2010-01-01,15620
FLOW_PRV,CH,2011-01-01,6923
FLOW_PRV,CH,2012-01-01,8570
FLOW_PRV,CH,2013-01-01,7246
FLOW_PRV,CH,2014-01-01,6162
FLOW_PRV,CH,2015-01-01,2309
FLOW_PRV,CH,2016-01-01,957
FLOW_PRV,CZ,2000-01-01,
FLOW_PRV,CZ,2001-01-01,
FLOW_PRV,CZ,2002-01-01,
FLOW_PRV,CZ,2003-01-01,
FLOW_PRV,CZ,2004-01-01,
FLOW_PRV,CZ,2005-01-01,
FLOW_PRV,CZ,2006-01-01,
FLOW_PRV,CZ,2007-01-01,
FLOW_PRV,CZ,2008-01-01,
FLOW_PRV,CZ,2009-01-01,
FLOW_PRV,CZ,2010-01-01,
FLOW_PRV,CZ,2011-01-01,
FLOW_PRV,CZ,2012-01-01,
FLOW_PRV,CZ,2013-01-01,
FLOW_PRV,CZ,2014-01-01,130
FLOW_PRV,CZ,2015-01-01,12
FLOW_PRV,CZ,2016-01-01,
FLOW_PRV,DE,2000-01-01,5882
FLOW_PRV,DE,2001-01-01,735
FLOW_PRV,DE,2002-01-01,3106
FLOW_PRV,DE,2003-01-01,659
FLOW_PRV,DE,2004-01-01,5362
FLOW_PRV,DE,2005-01-01,9768
FLOW_PRV,DE,2006-01-01,15863
FLOW_PRV,DE,2007-01-01,16027
FLOW_PRV,DE,2008-01-01,11473
FLOW_PRV,DE,2009-01-01,10147
FLOW_PRV,DE,2010-01-01,17660
FLOW_PRV,DE,2011-01-01,21822
FLOW_PRV,DE,2012-01-01,11050
FLOW_PRV,DE,2013-01-01,24182
FLOW_PRV,DE,2014-01-01,26285
FLOW_PRV,DE,2015-01-01,22636
FLOW_PRV,DE,2016-01-01,20100
FLOW_PRV,DK,2000-01-01,522
FLOW_PRV,DK,2001-01-01,1113
FLOW_PRV,DK,2002-01-01,67
FLOW_PRV,DK,2003-01-01,94
FLOW_PRV,DK,2004-01-01,416
FLOW_PRV,DK,2005-01-01,26
FLOW_PRV,DK,2006-01-01,361
FLOW_PRV,DK,2007-01-01,1635
FLOW_PRV,DK,2008-01-01,1565
FLOW_PRV,DK,2009-01-01,429
FLOW_PRV,DK,2010-01-01,1341
FLOW_PRV,DK,2011-01-01,254
FLOW_PRV,DK,2012-01-01,188
FLOW_PRV,DK,2013-01-01,938
FLOW_PRV,DK,2014-01-01,365
FLOW_PRV,DK,2015-01-01,120
FLOW_PRV,DK,2016-01-01,630
FLOW_PRV,EL,2000-01-01,
FLOW_PRV,EL,2001-01-01,
FLOW_PRV,EL,2002-01-01,42
FLOW_PRV,EL,2003-01-01,29
FLOW_PRV,EL,2004-01-01,11
FLOW_PRV,EL,2005-01-01,260
FLOW_PRV,EL,2006-01-01,1954
FLOW_PRV,EL,2007-01-01,2101
FLOW_PRV,EL,2008-01-01,312
FLOW_PRV,EL,2009-01-01,173
FLOW_PRV,EL,2010-01-01,182
FLOW_PRV,EL,2011-01-01,43
FLOW_PRV,EL,2012-01-01,450
FLOW_PRV,EL,2013-01-01,474
FLOW_PRV,EL,2014-01-01,515
FLOW_PRV,EL,2015-01-01,291
FLOW_PRV,EL,2016-01-01,2133
FLOW_PRV,ES,2000-01-01,24129
FLOW_PRV,ES,2001-01-01,11344
FLOW_PRV,ES,2002-01-01,6915
FLOW_PRV,ES,2003-01-01,4187
FLOW_PRV,ES,2004-01-01,8443
FLOW_PRV,ES,2005-01-01,3342
FLOW_PRV,ES,2006-01-01,6059
FLOW_PRV,ES,2007-01-01,12132
FLOW_PRV,ES,2008-01-01,15864
FLOW_PRV,ES,2009-01-01,4512
FLOW_PRV,ES,2010-01-01,3548
FLOW_PRV,ES,2011-01-01,11481
FLOW_PRV,ES,2012-01-01,0
FLOW_PRV,ES,2013-01-01,4320
FLOW_PRV,ES,2014-01-01,8873
FLOW_PRV,ES,2015-01-01,18535
FLOW_PRV,ES,2016-01-01,
FLOW_PRV,EU15,2000-01-01,59029
FLOW_PRV,EU15,2001-01-01,24064
FLOW_PRV,EU15,2002-01-01,312
FLOW_PRV,EU15,2003-01-01,24387
FLOW_PRV,EU15,2004-01-01,44398
FLOW_PRV,EU15,2005-01-01,48652
FLOW_PRV,EU15,2006-01-01,72428
FLOW_PRV,EU15,2007-01-01,113099
FLOW_PRV,EU15,2008-01-01,61361
FLOW_PRV,EU15,2009-01-01,45010
FLOW_PRV,EU15,2010-01-01,61974
FLOW_PRV,EU15,2011-01-01,89396
FLOW_PRV,EU15,2012-01-01,89039
FLOW_PRV,EU15,2013-01-01,65892
FLOW_PRV,EU15,2014-01-01,112391
FLOW_PRV,EU15,2015-01-01,104006
FLOW_PRV,EU15,2016-01-01,63253
FLOW_PRV,EU28,2000-01-01,59029
FLOW_PRV,EU28,2001-01-01,24064
FLOW_PRV,EU28,2002-01-01,312
FLOW_PRV,EU28,2003-01-01,24387
FLOW_PRV,EU28,2004-01-01,44398
FLOW_PRV,EU28,2005-01-01,48652
FLOW_PRV,EU28,2006-01-01,72428
FLOW_PRV,EU28,2007-01-01,113099
FLOW_PRV,EU28,2008-01-01,61361
FLOW_PRV,EU28,2009-01-01,45010
FLOW_PRV,EU28,2010-01-01,61974
FLOW_PRV,EU28,2011-01-01,89396
FLOW_PRV,EU28,2012-01-01,89039
FLOW_PRV,EU28,2013-01-01,65892
FLOW_PRV,EU28,2014-01-01,112261
FLOW_PRV,EU28,2015-01-01,104155
FLOW_PRV,EU28,2016-01-01,63389
FLOW_PRV,FI,2000-01-01,39
FLOW_PRV,FI,2001-01-01,637
FLOW_PRV,FI,2002-01-01,744
FLOW_PRV,FI,2003-01-01,287
FLOW_PRV,FI,2004-01-01,443
FLOW_PRV,FI,2005-01-01,711
FLOW_PRV,FI,2006-01-01,429
FLOW_PRV,FI,2007-01-01,767
FLOW_PRV,FI,2008-01-01,966
FLOW_PRV,FI,2009-01-01,1248
FLOW_PRV,FI,2010-01-01,2204
FLOW_PRV,FI,2011-01-01,1075
FLOW_PRV,FI,2012-01-01,139
FLOW_PRV,FI,2013-01-01,319
FLOW_PRV,FI,2014-01-01,964
FLOW_PRV,FI,2015-01-01,1266
FLOW_PRV,FI,2016-01-01,579
FLOW_PRV,FR,2000-01-01,1557
FLOW_PRV,FR,2001-01-01,13273
FLOW_PRV,FR,2002-01-01,59
FLOW_PRV,FR,2003-01-01,688
FLOW_PRV,FR,2004-01-01,3509
FLOW_PRV,FR,2005-01-01,6445
FLOW_PRV,FR,2006-01-01,11605
FLOW_PRV,FR,2007-01-01,26458
FLOW_PRV,FR,2008-01-01,20877
FLOW_PRV,FR,2009-01-01,18449
FLOW_PRV,FR,2010-01-01,10914
FLOW_PRV,FR,2011-01-01,15311
FLOW_PRV,FR,2012-01-01,14070
FLOW_PRV,FR,2013-01-01,1119
FLOW_PRV,FR,2014-01-01,5964
FLOW_PRV,FR,2015-01-01,7389
FLOW_PRV,FR,2016-01-01,9982
FLOW_PRV,HU,2000-01-01,
FLOW_PRV,HU,2001-01-01,
FLOW_PRV,HU,2002-01-01,
FLOW_PRV,HU,2003-01-01,
FLOW_PRV,HU,2004-01-01,
FLOW_PRV,HU,2005-01-01,
FLOW_PRV,HU,2006-01-01,
FLOW_PRV,HU,2007-01-01,
FLOW_PRV,HU,2008-01-01,
FLOW_PRV,HU,2009-01-01,
FLOW_PRV,HU,2010-01-01,
FLOW_PRV,HU,2011-01-01,
FLOW_PRV,HU,2012-01-01,
FLOW_PRV,HU,2013-01-01,
FLOW_PRV,HU,2014-01-01,
FLOW_PRV,HU,2015-01-01,
FLOW_PRV,HU,2016-01-01,0
FLOW_PRV,IE,2000-01-01,450
FLOW_PRV,IE,2001-01-01,387
FLOW_PRV,IE,2002-01-01,1042
FLOW_PRV,IE,2003-01-01,1367
FLOW_PRV,IE,2004-01-01,2419
FLOW_PRV,IE,2005-01-01,3433
FLOW_PRV,IE,2006-01-01,3087
FLOW_PRV,IE,2007-01-01,3158
FLOW_PRV,IE,2008-01-01,3059
FLOW_PRV,IE,2009-01-01,2150
FLOW_PRV,IE,2010-01-01,1131
FLOW_PRV,IE,2011-01-01,718
FLOW_PRV,IE,2012-01-01,
FLOW_PRV,IE,2013-01-01,753
FLOW_PRV,IE,2014-01-01,
FLOW_PRV,IE,2015-01-01,
FLOW_PRV,IE,2016-01-01,
FLOW_PRV,IS,2000-01-01,
FLOW_PRV,IS,2001-01-01,
FLOW_PRV,IS,2002-01-01,
FLOW_PRV,IS,2003-01-01,
FLOW_PRV,IS,2004-01-01,
FLOW_PRV,IS,2005-01-01,
FLOW_PRV,IS,2006-01-01,
FLOW_PRV,IS,2007-01-01,
FLOW_PRV,IS,2008-01-01,
FLOW_PRV,IS,2009-01-01,
FLOW_PRV,IS,2010-01-01,
FLOW_PRV,IS,2011-01-01,
FLOW_PRV,IS,2012-01-01,
FLOW_PRV,IS,2013-01-01,
FLOW_PRV,IS,2014-01-01,
FLOW_PRV,IS,2015-01-01,0
FLOW_PRV,IS,2016-01-01,
FLOW_PRV,IT,2000-01-01,9425
FLOW_PRV,IT,2001-01-01,2675
FLOW_PRV,IT,2002-01-01,2761
FLOW_PRV,IT,2003-01-01,353
FLOW_PRV,IT,2004-01-01,1174
FLOW_PRV,IT,2005-01-01,1131
FLOW_PRV,IT,2006-01-01,81
FLOW_PRV,IT,2007-01-01,1600
FLOW_PRV,IT,2008-01-01,139
FLOW_PRV,IT,2009-01-01,1232
FLOW_PRV,IT,2010-01-01,4322
FLOW_PRV,IT,2011-01-01,4637
FLOW_PRV,IT,2012-01-01,5787
FLOW_PRV,IT,2013-01-01,8300
FLOW_PRV,IT,2014-01-01,2932
FLOW_PRV,IT,2015-01-01,9042
FLOW_PRV,IT,2016-01-01,12002
FLOW_PRV,NL,2000-01-01,4070
FLOW_PRV,NL,2001-01-01,7892
FLOW_PRV,NL,2002-01-01,6523
FLOW_PRV,NL,2003-01-01,6625
FLOW_PRV,NL,2004-01-01,4527
FLOW_PRV,NL,2005-01-01,5206
FLOW_PRV,NL,2006-01-01,13404
FLOW_PRV,NL,2007-01-01,8550
FLOW_PRV,NL,2008-01-01,14500
FLOW_PRV,NL,2009-01-01,949
FLOW_PRV,NL,2010-01-01,5253
FLOW_PRV,NL,2011-01-01,11411
