sex,age,indic_eu,unit,geotime,date,value
T,TOTAL,T2020_53,PC,CZ,2004-01-01,
T,TOTAL,T2020_53,PC,CZ,2005-01-01,11.8
T,TOTAL,T2020_53,PC,CZ,2006-01-01,9.6
T,TOTAL,T2020_53,PC,CZ,2007-01-01,7.4
T,TOTAL,T2020_53,PC,CZ,2008-01-01,6.8
T,TOTAL,T2020_53,PC,CZ,2009-01-01,6.1
T,TOTAL,T2020_53,PC,CZ,2010-01-01,6.2
T,TOTAL,T2020_53,PC,CZ,2011-01-01,6.1
T,TOTAL,T2020_53,PC,CZ,2012-01-01,6.6
T,TOTAL,T2020_53,PC,CZ,2013-01-01,6.6
T,TOTAL,T2020_53,PC,CZ,2014-01-01,6.7
T,TOTAL,T2020_53,PC,CZ,2015-01-01,5.6
T,TOTAL,T2020_53,PC,CZ,2016-01-01,4.8
T,TOTAL,T2020_53,PC,CZ,2017-01-01,3.7
T,TOTAL,T2020_53,PC,DE,2003-01-01,
T,TOTAL,T2020_53,PC,DE,2004-01-01,
T,TOTAL,T2020_53,PC,DE,2005-01-01,4.6
T,TOTAL,T2020_53,PC,DE,2006-01-01,5.1
T,TOTAL,T2020_53,PC,DE,2007-01-01,4.8
T,TOTAL,T2020_53,PC,DE,2008-01-01,5.5
T,TOTAL,T2020_53,PC,DE,2009-01-01,5.4
T,TOTAL,T2020_53,PC,DE,2010-01-01,4.5
T,TOTAL,T2020_53,PC,DE,2011-01-01,5.3
T,TOTAL,T2020_53,PC,DE,2012-01-01,4.9
T,TOTAL,T2020_53,PC,DE,2013-01-01,5.4
T,TOTAL,T2020_53,PC,DE,2014-01-01,5.0
T,TOTAL,T2020_53,PC,DE,2015-01-01,4.4
T,TOTAL,T2020_53,PC,DE,2016-01-01,3.7
T,TOTAL,T2020_53,PC,DE,2017-01-01,3.4
T,TOTAL,T2020_53,PC,DK,2003-01-01,2.0
T,TOTAL,T2020_53,PC,DK,2004-01-01,2.9
T,TOTAL,T2020_53,PC,DK,2005-01-01,3.2
T,TOTAL,T2020_53,PC,DK,2006-01-01,3.1
T,TOTAL,T2020_53,PC,DK,2007-01-01,3.3
T,TOTAL,T2020_53,PC,DK,2008-01-01,2.0
T,TOTAL,T2020_53,PC,DK,2009-01-01,2.3
T,TOTAL,T2020_53,PC,DK,2010-01-01,2.7
T,TOTAL,T2020_53,PC,DK,2011-01-01,2.3
T,TOTAL,T2020_53,PC,DK,2012-01-01,2.7
T,TOTAL,T2020_53,PC,DK,2013-01-01,3.6
T,TOTAL,T2020_53,PC,DK,2014-01-01,3.2
T,TOTAL,T2020_53,PC,DK,2015-01-01,3.7
T,TOTAL,T2020_53,PC,DK,2016-01-01,2.6
T,TOTAL,T2020_53,PC,DK,2017-01-01,3.1
T,TOTAL,T2020_53,PC,EA18,2003-01-01,
T,TOTAL,T2020_53,PC,EA18,2004-01-01,
T,TOTAL,T2020_53,PC,EA18,2005-01-01,6.0
T,TOTAL,T2020_53,PC,EA18,2006-01-01,5.8
T,TOTAL,T2020_53,PC,EA18,2007-01-01,5.5
T,TOTAL,T2020_53,PC,EA18,2008-01-01,5.9
T,TOTAL,T2020_53,PC,EA18,2009-01-01,5.9
T,TOTAL,T2020_53,PC,EA18,2010-01-01,5.9
T,TOTAL,T2020_53,PC,EA18,2011-01-01,6.8
T,TOTAL,T2020_53,PC,EA18,2012-01-01,7.7
T,TOTAL,T2020_53,PC,EA18,2013-01-01,7.4
T,TOTAL,T2020_53,PC,EA18,2014-01-01,7.3
T,TOTAL,T2020_53,PC,EA18,2015-01-01,7.0
T,TOTAL,T2020_53,PC,EA18,2016-01-01,6.6
T,TOTAL,T2020_53,PC,EA18,2017-01-01,5.9
T,TOTAL,T2020_53,PC,EA19,2003-01-01,
T,TOTAL,T2020_53,PC,EA19,2004-01-01,
T,TOTAL,T2020_53,PC,EA19,2005-01-01,6.3
T,TOTAL,T2020_53,PC,EA19,2006-01-01,6.0
T,TOTAL,T2020_53,PC,EA19,2007-01-01,5.6
T,TOTAL,T2020_53,PC,EA19,2008-01-01,5.9
T,TOTAL,T2020_53,PC,EA19,2009-01-01,6.0
T,TOTAL,T2020_53,PC,EA19,2010-01-01,6.1
T,TOTAL,T2020_53,PC,EA19,2011-01-01,6.9
T,TOTAL,T2020_53,PC,EA19,2012-01-01,7.8
T,TOTAL,T2020_53,PC,EA19,2013-01-01,7.5
T,TOTAL,T2020_53,PC,EA19,2014-01-01,7.4
T,TOTAL,T2020_53,PC,EA19,2015-01-01,7.0
T,TOTAL,T2020_53,PC,EA19,2016-01-01,6.6
T,TOTAL,T2020_53,PC,EA19,2017-01-01,5.9
T,TOTAL,T2020_53,PC,EE,2003-01-01,
T,TOTAL,T2020_53,PC,EE,2004-01-01,9.4
T,TOTAL,T2020_53,PC,EE,2005-01-01,12.4
T,TOTAL,T2020_53,PC,EE,2006-01-01,7.0
T,TOTAL,T2020_53,PC,EE,2007-01-01,5.6
T,TOTAL,T2020_53,PC,EE,2008-01-01,4.9
T,TOTAL,T2020_53,PC,EE,2009-01-01,6.2
T,TOTAL,T2020_53,PC,EE,2010-01-01,9.0
T,TOTAL,T2020_53,PC,EE,2011-01-01,8.7
T,TOTAL,T2020_53,PC,EE,2012-01-01,9.4
T,TOTAL,T2020_53,PC,EE,2013-01-01,7.6
T,TOTAL,T2020_53,PC,EE,2014-01-01,6.2
T,TOTAL,T2020_53,PC,EE,2015-01-01,4.5
T,TOTAL,T2020_53,PC,EE,2016-01-01,4.7
T,TOTAL,T2020_53,PC,EE,2017-01-01,4.1
T,TOTAL,T2020_53,PC,EL,2003-01-01,16.9
T,TOTAL,T2020_53,PC,EL,2004-01-01,14.1
T,TOTAL,T2020_53,PC,EL,2005-01-01,12.8
T,TOTAL,T2020_53,PC,EL,2006-01-01,11.5
T,TOTAL,T2020_53,PC,EL,2007-01-01,11.5
T,TOTAL,T2020_53,PC,EL,2008-01-01,11.2
T,TOTAL,T2020_53,PC,EL,2009-01-01,11.0
T,TOTAL,T2020_53,PC,EL,2010-01-01,11.6
T,TOTAL,T2020_53,PC,EL,2011-01-01,15.2
T,TOTAL,T2020_53,PC,EL,2012-01-01,19.5
T,TOTAL,T2020_53,PC,EL,2013-01-01,20.3
T,TOTAL,T2020_53,PC,EL,2014-01-01,21.5
T,TOTAL,T2020_53,PC,EL,2015-01-01,22.2
T,TOTAL,T2020_53,PC,EL,2016-01-01,22.4
T,TOTAL,T2020_53,PC,EL,2017-01-01,21.1
T,TOTAL,T2020_53,PC,ES,2003-01-01,
T,TOTAL,T2020_53,PC,ES,2004-01-01,4.8
T,TOTAL,T2020_53,PC,ES,2005-01-01,4.1
T,TOTAL,T2020_53,PC,ES,2006-01-01,4.1
T,TOTAL,T2020_53,PC,ES,2007-01-01,3.5
T,TOTAL,T2020_53,PC,ES,2008-01-01,3.6
T,TOTAL,T2020_53,PC,ES,2009-01-01,4.5
T,TOTAL,T2020_53,PC,ES,2010-01-01,4.9
T,TOTAL,T2020_53,PC,ES,2011-01-01,4.5
T,TOTAL,T2020_53,PC,ES,2012-01-01,5.8
T,TOTAL,T2020_53,PC,ES,2013-01-01,6.2
T,TOTAL,T2020_53,PC,ES,2014-01-01,7.1
T,TOTAL,T2020_53,PC,ES,2015-01-01,6.4
T,TOTAL,T2020_53,PC,ES,2016-01-01,5.8
T,TOTAL,T2020_53,PC,ES,2017-01-01,5.1
T,TOTAL,T2020_53,PC,EU,2003-01-01,
T,TOTAL,T2020_53,PC,EU,2004-01-01,
T,TOTAL,T2020_53,PC,EU,2005-01-01,
T,TOTAL,T2020_53,PC,EU,2006-01-01,
T,TOTAL,T2020_53,PC,EU,2007-01-01,
T,TOTAL,T2020_53,PC,EU,2008-01-01,8.5
T,TOTAL,T2020_53,PC,EU,2009-01-01,8.2
T,TOTAL,T2020_53,PC,EU,2010-01-01,8.4
T,TOTAL,T2020_53,PC,EU,2011-01-01,8.8
T,TOTAL,T2020_53,PC,EU,2012-01-01,9.9
T,TOTAL,T2020_53,PC,EU,2013-01-01,9.6
T,TOTAL,T2020_53,PC,EU,2014-01-01,8.9
T,TOTAL,T2020_53,PC,EU,2015-01-01,8.1
T,TOTAL,T2020_53,PC,EU,2016-01-01,7.5
T,TOTAL,T2020_53,PC,EU,2017-01-01,6.9
T,TOTAL,T2020_53,PC,EU27,2003-01-01,
T,TOTAL,T2020_53,PC,EU27,2004-01-01,
T,TOTAL,T2020_53,PC,EU27,2005-01-01,10.8
T,TOTAL,T2020_53,PC,EU27,2006-01-01,9.9
T,TOTAL,T2020_53,PC,EU27,2007-01-01,9.2
T,TOTAL,T2020_53,PC,EU27,2008-01-01,8.5
T,TOTAL,T2020_53,PC,EU27,2009-01-01,8.2
T,TOTAL,T2020_53,PC,EU27,2010-01-01,8.4
T,TOTAL,T2020_53,PC,EU27,2011-01-01,8.8
T,TOTAL,T2020_53,PC,EU27,2012-01-01,9.9
T,TOTAL,T2020_53,PC,EU27,2013-01-01,9.6
T,TOTAL,T2020_53,PC,EU27,2014-01-01,8.9
T,TOTAL,T2020_53,PC,EU27,2015-01-01,8.0
T,TOTAL,T2020_53,PC,EU27,2016-01-01,7.5
T,TOTAL,T2020_53,PC,EU27,2017-01-01,6.9
T,TOTAL,T2020_53,PC,EU28,2003-01-01,
T,TOTAL,T2020_53,PC,EU28,2004-01-01,
T,TOTAL,T2020_53,PC,EU28,2005-01-01,
T,TOTAL,T2020_53,PC,EU28,2006-01-01,
T,TOTAL,T2020_53,PC,EU28,2007-01-01,
T,TOTAL,T2020_53,PC,EU28,2008-01-01,
T,TOTAL,T2020_53,PC,EU28,2009-01-01,
T,TOTAL,T2020_53,PC,EU28,2010-01-01,8.4
T,TOTAL,T2020_53,PC,EU28,2011-01-01,8.8
T,TOTAL,T2020_53,PC,EU28,2012-01-01,9.9
T,TOTAL,T2020_53,PC,EU28,2013-01-01,9.6
T,TOTAL,T2020_53,PC,EU28,2014-01-01,8.9
T,TOTAL,T2020_53,PC,EU28,2015-01-01,8.1
T,TOTAL,T2020_53,PC,EU28,2016-01-01,7.5
T,TOTAL,T2020_53,PC,EU28,2017-01-01,6.9
T,TOTAL,T2020_53,PC,FI,2003-01-01,
T,TOTAL,T2020_53,PC,FI,2004-01-01,3.8
T,TOTAL,T2020_53,PC,FI,2005-01-01,3.8
T,TOTAL,T2020_53,PC,FI,2006-01-01,3.3
T,TOTAL,T2020_53,PC,FI,2007-01-01,3.6
T,TOTAL,T2020_53,PC,FI,2008-01-01,3.5
T,TOTAL,T2020_53,PC,FI,2009-01-01,2.8
T,TOTAL,T2020_53,PC,FI,2010-01-01,2.8
T,TOTAL,T2020_53,PC,FI,2011-01-01,3.2
T,TOTAL,T2020_53,PC,FI,2012-01-01,2.9
T,TOTAL,T2020_53,PC,FI,2013-01-01,2.5
T,TOTAL,T2020_53,PC,FI,2014-01-01,2.8
T,TOTAL,T2020_53,PC,FI,2015-01-01,2.2
T,TOTAL,T2020_53,PC,FI,2016-01-01,2.2
T,TOTAL,T2020_53,PC,FI,2017-01-01,2.1
T,TOTAL,T2020_53,PC,FR,2003-01-01,
T,TOTAL,T2020_53,PC,FR,2004-01-01,6.1
T,TOTAL,T2020_53,PC,FR,2005-01-01,5.3
T,TOTAL,T2020_53,PC,FR,2006-01-01,5.0
T,TOTAL,T2020_53,PC,FR,2007-01-01,4.7
T,TOTAL,T2020_53,PC,FR,2008-01-01,5.4
T,TOTAL,T2020_53,PC,FR,2009-01-01,5.6
T,TOTAL,T2020_53,PC,FR,2010-01-01,5.8
T,TOTAL,T2020_53,PC,FR,2011-01-01,5.2
T,TOTAL,T2020_53,PC,FR,2012-01-01,5.3
T,TOTAL,T2020_53,PC,FR,2013-01-01,4.9
T,TOTAL,T2020_53,PC,FR,2014-01-01,4.8
T,TOTAL,T2020_53,PC,FR,2015-01-01,4.5
T,TOTAL,T2020_53,PC,FR,2016-01-01,4.4
T,TOTAL,T2020_53,PC,FR,2017-01-01,4.1
T,TOTAL,T2020_53,PC,HR,2003-01-01,
T,TOTAL,T2020_53,PC,HR,2004-01-01,
T,TOTAL,T2020_53,PC,HR,2005-01-01,
T,TOTAL,T2020_53,PC,HR,2006-01-01,
T,TOTAL,T2020_53,PC,HR,2007-01-01,
T,TOTAL,T2020_53,PC,HR,2008-01-01,
T,TOTAL,T2020_53,PC,HR,2009-01-01,
T,TOTAL,T2020_53,PC,HR,2010-01-01,14.3
T,TOTAL,T2020_53,PC,HR,2011-01-01,15.2
T,TOTAL,T2020_53,PC,HR,2012-01-01,15.9
T,TOTAL,T2020_53,PC,HR,2013-01-01,14.7
T,TOTAL,T2020_53,PC,HR,2014-01-01,13.9
T,TOTAL,T2020_53,PC,HR,2015-01-01,13.7
T,TOTAL,T2020_53,PC,HR,2016-01-01,12.5
T,TOTAL,T2020_53,PC,HR,2017-01-01,10.3
T,TOTAL,T2020_53,PC,HU,2003-01-01,
T,TOTAL,T2020_53,PC,HU,2004-01-01,
T,TOTAL,T2020_53,PC,HU,2005-01-01,22.9
T,TOTAL,T2020_53,PC,HU,2006-01-01,20.9
T,TOTAL,T2020_53,PC,HU,2007-01-01,19.9
T,TOTAL,T2020_53,PC,HU,2008-01-01,17.9
T,TOTAL,T2020_53,PC,HU,2009-01-01,20.3
T,TOTAL,T2020_53,PC,HU,2010-01-01,21.6
T,TOTAL,T2020_53,PC,HU,2011-01-01,23.4
T,TOTAL,T2020_53,PC,HU,2012-01-01,26.3
T,TOTAL,T2020_53,PC,HU,2013-01-01,27.8
T,TOTAL,T2020_53,PC,HU,2014-01-01,24.0
T,TOTAL,T2020_53,PC,HU,2015-01-01,19.4
T,TOTAL,T2020_53,PC,HU,2016-01-01,16.2
T,TOTAL,T2020_53,PC,HU,2017-01-01,14.5
T,TOTAL,T2020_53,PC,IE,2003-01-01,5.6
T,TOTAL,T2020_53,PC,IE,2004-01-01,4.8
T,TOTAL,T2020_53,PC,IE,2005-01-01,5.1
T,TOTAL,T2020_53,PC,IE,2006-01-01,4.8
T,TOTAL,T2020_53,PC,IE,2007-01-01,4.5
T,TOTAL,T2020_53,PC,IE,2008-01-01,5.5
T,TOTAL,T2020_53,PC,IE,2009-01-01,6.1
T,TOTAL,T2020_53,PC,IE,2010-01-01,5.7
T,TOTAL,T2020_53,PC,IE,2011-01-01,7.8
T,TOTAL,T2020_53,PC,IE,2012-01-01,9.8
T,TOTAL,T2020_53,PC,IE,2013-01-01,9.9
T,TOTAL,T2020_53,PC,IE,2014-01-01,8.4
T,TOTAL,T2020_53,PC,IE,2015-01-01,7.5
T,TOTAL,T2020_53,PC,IE,2016-01-01,6.5
T,TOTAL,T2020_53,PC,IE,2017-01-01,
T,TOTAL,T2020_53,PC,IS,2003-01-01,
T,TOTAL,T2020_53,PC,IS,2004-01-01,2.5
T,TOTAL,T2020_53,PC,IS,2005-01-01,2.7
T,TOTAL,T2020_53,PC,IS,2006-01-01,2.1
T,TOTAL,T2020_53,PC,IS,2007-01-01,2.1
T,TOTAL,T2020_53,PC,IS,2008-01-01,0.8
T,TOTAL,T2020_53,PC,IS,2009-01-01,0.8
T,TOTAL,T2020_53,PC,IS,2010-01-01,1.8
T,TOTAL,T2020_53,PC,IS,2011-01-01,2.1
T,TOTAL,T2020_53,PC,IS,2012-01-01,2.4
T,TOTAL,T2020_53,PC,IS,2013-01-01,1.9
T,TOTAL,T2020_53,PC,IS,2014-01-01,1.4
T,TOTAL,T2020_53,PC,IS,2015-01-01,1.6
T,TOTAL,T2020_53,PC,IS,2016-01-01,1.9
T,TOTAL,T2020_53,PC,IS,2017-01-01,
T,TOTAL,T2020_53,PC,IT,2003-01-01,
T,TOTAL,T2020_53,PC,IT,2004-01-01,7.0
T,TOTAL,T2020_53,PC,IT,2005-01-01,6.8
T,TOTAL,T2020_53,PC,IT,2006-01-01,6.4
T,TOTAL,T2020_53,PC,IT,2007-01-01,7.0
T,TOTAL,T2020_53,PC,IT,2008-01-01,7.5
T,TOTAL,T2020_53,PC,IT,2009-01-01,7.3
T,TOTAL,T2020_53,PC,IT,2010-01-01,7.4
T,TOTAL,T2020_53,PC,IT,2011-01-01,11.1
T,TOTAL,T2020_53,PC,IT,2012-01-01,14.5
T,TOTAL,T2020_53,PC,IT,2013-01-01,12.3
T,TOTAL,T2020_53,PC,IT,2014-01-01,11.6
T,TOTAL,T2020_53,PC,IT,2015-01-01,11.5
T,TOTAL,T2020_53,PC,IT,2016-01-01,12.1
T,TOTAL,T2020_53,PC,IT,2017-01-01,10.1
T,TOTAL,T2020_53,PC,LT,2003-01-01,
T,TOTAL,T2020_53,PC,LT,2004-01-01,
T,TOTAL,T2020_53,PC,LT,2005-01-01,32.6
T,TOTAL,T2020_53,PC,LT,2006-01-01,25.3
T,TOTAL,T2020_53,PC,LT,2007-01-01,16.6
T,TOTAL,T2020_53,PC,LT,2008-01-01,12.5
T,TOTAL,T2020_53,PC,LT,2009-01-01,15.6
T,TOTAL,T2020_53,PC,LT,2010-01-01,19.9
T,TOTAL,T2020_53,PC,LT,2011-01-01,19.0
T,TOTAL,T2020_53,PC,LT,2012-01-01,19.8
T,TOTAL,T2020_53,PC,LT,2013-01-01,16.0
T,TOTAL,T2020_53,PC,LT,2014-01-01,13.6
T,TOTAL,T2020_53,PC,LT,2015-01-01,13.9
T,TOTAL,T2020_53,PC,LT,2016-01-01,13.5
T,TOTAL,T2020_53,PC,LT,2017-01-01,12.4
T,TOTAL,T2020_53,PC,LU,2003-01-01,1.9
T,TOTAL,T2020_53,PC,LU,2004-01-01,0.8
T,TOTAL,T2020_53,PC,LU,2005-01-01,1.8
T,TOTAL,T2020_53,PC,LU,2006-01-01,1.1
T,TOTAL,T2020_53,PC,LU,2007-01-01,0.8
T,TOTAL,T2020_53,PC,LU,2008-01-01,0.7
T,TOTAL,T2020_53,PC,LU,2009-01-01,1.1
T,TOTAL,T2020_53,PC,LU,2010-01-01,0.5
T,TOTAL,T2020_53,PC,LU,2011-01-01,1.2
T,TOTAL,T2020_53,PC,LU,2012-01-01,1.3
T,TOTAL,T2020_53,PC,LU,2013-01-01,1.8
T,TOTAL,T2020_53,PC,LU,2014-01-01,1.4
T,TOTAL,T2020_53,PC,LU,2015-01-01,2.0
T,TOTAL,T2020_53,PC,LU,2016-01-01,1.6
T,TOTAL,T2020_53,PC,LU,2017-01-01,1.2
T,TOTAL,T2020_53,PC,LV,2003-01-01,
T,TOTAL,T2020_53,PC,LV,2004-01-01,
T,TOTAL,T2020_53,PC,LV,2005-01-01,39.3
T,TOTAL,T2020_53,PC,LV,2006-01-01,31.3
T,TOTAL,T2020_53,PC,LV,2007-01-01,24.0
T,TOTAL,T2020_53,PC,LV,2008-01-01,19.3
T,TOTAL,T2020_53,PC,LV,2009-01-01,22.1
T,TOTAL,T2020_53,PC,LV,2010-01-01,27.6
T,TOTAL,T2020_53,PC,LV,2011-01-01,31.0
T,TOTAL,T2020_53,PC,LV,2012-01-01,25.6
T,TOTAL,T2020_53,PC,LV,2013-01-01,24.0
T,TOTAL,T2020_53,PC,LV,2014-01-01,19.2
T,TOTAL,T2020_53,PC,LV,2015-01-01,16.4
T,TOTAL,T2020_53,PC,LV,2016-01-01,12.8
T,TOTAL,T2020_53,PC,LV,2017-01-01,11.3
T,TOTAL,T2020_53,PC,MK,2003-01-01,
T,TOTAL,T2020_53,PC,MK,2004-01-01,
T,TOTAL,T2020_53,PC,MK,2005-01-01,
T,TOTAL,T2020_53,PC,MK,2006-01-01,
T,TOTAL,T2020_53,PC,MK,2007-01-01,
T,TOTAL,T2020_53,PC,MK,2008-01-01,
T,TOTAL,T2020_53,PC,MK,2009-01-01,
T,TOTAL,T2020_53,PC,MK,2010-01-01,34.7
T,TOTAL,T2020_53,PC,MK,2011-01-01,40.3
T,TOTAL,T2020_53,PC,MK,2012-01-01,40.9
T,TOTAL,T2020_53,PC,MK,2013-01-01,37.7
T,TOTAL,T2020_53,PC,MK,2014-01-01,35.7
T,TOTAL,T2020_53,PC,MK,2015-01-01,30.4
T,TOTAL,T2020_53,PC,MK,2016-01-01,30.0
T,TOTAL,T2020_53,PC,MK,2017-01-01,
T,TOTAL,T2020_53,PC,MT,2003-01-01,
T,TOTAL,T2020_53,PC,MT,2004-01-01,
T,TOTAL,T2020_53,PC,MT,2005-01-01,5.4
T,TOTAL,T2020_53,PC,MT,2006-01-01,3.9
T,TOTAL,T2020_53,PC,MT,2007-01-01,4.4
T,TOTAL,T2020_53,PC,MT,2008-01-01,4.3
T,TOTAL,T2020_53,PC,MT,2009-01-01,5.0
T,TOTAL,T2020_53,PC,MT,2010-01-01,6.5
T,TOTAL,T2020_53,PC,MT,2011-01-01,6.6
T,TOTAL,T2020_53,PC,MT,2012-01-01,9.2
T,TOTAL,T2020_53,PC,MT,2013-01-01,9.5
T,TOTAL,T2020_53,PC,MT,2014-01-01,10.2
T,TOTAL,T2020_53,PC,MT,2015-01-01,8.1
T,TOTAL,T2020_53,PC,MT,2016-01-01,4.4
T,TOTAL,T2020_53,PC,MT,2017-01-01,3.3
T,TOTAL,T2020_53,PC,NL,2003-01-01,
T,TOTAL,T2020_53,PC,NL,2004-01-01,
T,TOTAL,T2020_53,PC,NL,2005-01-01,2.5
T,TOTAL,T2020_53,PC,NL,2006-01-01,2.3
T,TOTAL,T2020_53,PC,NL,2007-01-01,1.7
T,TOTAL,T2020_53,PC,NL,2008-01-01,1.5
T,TOTAL,T2020_53,PC,NL,2009-01-01,1.4
T,TOTAL,T2020_53,PC,NL,2010-01-01,2.2
T,TOTAL,T2020_53,PC,NL,2011-01-01,2.5
T,TOTAL,T2020_53,PC,NL,2012-01-01,2.3
T,TOTAL,T2020_53,PC,NL,2013-01-01,2.5
T,TOTAL,T2020_53,PC,NL,2014-01-01,3.2
T,TOTAL,T2020_53,PC,NL,2015-01-01,2.6
T,TOTAL,T2020_53,PC,NL,2016-01-01,2.6
T,TOTAL,T2020_53,PC,NL,2017-01-01,2.6
T,TOTAL,T2020_53,PC,NO,2003-01-01,3.2
T,TOTAL,T2020_53,PC,NO,2004-01-01,2.7
T,TOTAL,T2020_53,PC,NO,2005-01-01,3.5
T,TOTAL,T2020_53,PC,NO,2006-01-01,2.8
T,TOTAL,T2020_53,PC,NO,2007-01-01,2.3
T,TOTAL,T2020_53,PC,NO,2008-01-01,2.0
T,TOTAL,T2020_53,PC,NO,2009-01-01,2.2
T,TOTAL,T2020_53,PC,NO,2010-01-01,2.0
T,TOTAL,T2020_53,PC,NO,2011-01-01,2.3
T,TOTAL,T2020_53,PC,NO,2012-01-01,1.7
T,TOTAL,T2020_53,PC,NO,2013-01-01,1.9
T,TOTAL,T2020_53,PC,NO,2014-01-01,1.2
T,TOTAL,T2020_53,PC,NO,2015-01-01,1.7
T,TOTAL,T2020_53,PC,NO,2016-01-01,2.0
T,TOTAL,T2020_53,PC,NO,2017-01-01,1.9
T,TOTAL,T2020_53,PC,PL,2003-01-01,
T,TOTAL,T2020_53,PC,PL,2004-01-01,
T,TOTAL,T2020_53,PC,PL,2005-01-01,33.8
T,TOTAL,T2020_53,PC,PL,2006-01-01,27.6
