indic_bt,nace_r2,s_adj,unit,geotime,date,value
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2017-11-01,101.4 
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2017-12-01,99.9 
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2018-01-01,105.2 
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2018-02-01,112.4 
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2018-03-01,115.0 
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2018-04-01,109.1 
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2018-05-01,108.6 
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2018-06-01,119.0 
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2018-07-01,126.7 
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2018-08-01,128.4 
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2018-09-01,124.0 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2017-10-01,97.0 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2017-11-01,99.7 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2017-12-01,99.6 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2018-01-01,101.2 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2018-02-01,98.7 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2018-03-01,98.2 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2018-04-01,102.0 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2018-05-01,107.4 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2018-06-01,106.1 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2018-07-01,107.3 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2018-08-01,107.4 
PRIN,MIG_NRG,NSA,I2015_NSA,EL,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2017-10-01,99.9 
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2017-11-01,102.0 
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2017-12-01,102.3 
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2018-01-01,102.0 
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2018-02-01,101.6 
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2018-03-01,98.0 
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2018-04-01,100.2 
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2018-05-01,104.5 
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2018-06-01,107.2 p
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2018-07-01,108.8 p
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2018-08-01,110.6 p
PRIN,MIG_NRG,NSA,I2015_NSA,ES,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2017-10-01,101.9 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2017-11-01,104.7 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2017-12-01,105.1 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2018-01-01,106.2 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2018-02-01,105.5 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2018-03-01,105.2 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2018-04-01,105.6 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2018-05-01,109.5 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2018-06-01,110.9 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2018-07-01,112.5 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2018-08-01,113.6 s
PRIN,MIG_NRG,NSA,I2015_NSA,EU28,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2017-10-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2017-11-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2017-12-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2018-01-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2018-02-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2018-03-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2018-04-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2018-05-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2018-06-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2018-07-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2018-08-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,FI,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2017-10-01,97.8 
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2017-11-01,105.1 
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2017-12-01,106.3 
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2018-01-01,105.6 
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2018-02-01,105.6 
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2018-03-01,105.6 
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2018-04-01,101.8 
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2018-05-01,103.8 
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2018-06-01,104.0 p
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2018-07-01,106.5 p
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2018-08-01,107.7 p
PRIN,MIG_NRG,NSA,I2015_NSA,FR,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2017-10-01,94.9 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2017-11-01,98.7 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2017-12-01,98.1 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2018-01-01,98.8 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2018-02-01,97.3 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2018-03-01,97.1 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2018-04-01,99.1 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2018-05-01,101.8 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2018-06-01,102.3 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2018-07-01,103.8 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2018-08-01,103.8 
PRIN,MIG_NRG,NSA,I2015_NSA,HR,2018-09-01,104.9 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2017-10-01,97.7 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2017-11-01,99.6 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2017-12-01,99.2 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2018-01-01,100.5 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2018-02-01,101.1 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2018-03-01,100.9 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2018-04-01,100.9 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2018-05-01,104.1 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2018-06-01,106.5 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2018-07-01,106.3 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2018-08-01,107.8 
PRIN,MIG_NRG,NSA,I2015_NSA,HU,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2017-10-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2017-11-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2017-12-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2018-01-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2018-02-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2018-03-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2018-04-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2018-05-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2018-06-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2018-07-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2018-08-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IE,2018-09-01,: c
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2017-10-01,98.4 
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2017-11-01,99.5 
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2017-12-01,99.4 
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2018-01-01,101.5 
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2018-02-01,102.1 
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2018-03-01,102.5 
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2018-04-01,100.4 
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2018-05-01,103.2 
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2018-06-01,103.8 
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2018-07-01,109.3 
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2018-08-01,110.6 p
PRIN,MIG_NRG,NSA,I2015_NSA,IT,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2017-10-01,98.3 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2017-11-01,101.1 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2017-12-01,100.4 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2018-01-01,101.6 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2018-02-01,101.7 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2018-03-01,100.4 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2018-04-01,102.3 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2018-05-01,105.2 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2018-06-01,106.9 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2018-07-01,108.7 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2018-08-01,109.1 
PRIN,MIG_NRG,NSA,I2015_NSA,LT,2018-09-01,111.5 p
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2017-10-01,76.6 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2017-11-01,76.6 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2017-12-01,76.6 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2018-01-01,76.9 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2018-02-01,76.9 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2018-03-01,76.9 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2018-04-01,76.9 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2018-05-01,76.9 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2018-06-01,76.9 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2018-07-01,80.5 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2018-08-01,80.5 
PRIN,MIG_NRG,NSA,I2015_NSA,LU,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2017-10-01,92.4 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2017-11-01,92.1 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2017-12-01,92.1 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2018-01-01,93.2 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2018-02-01,94.2 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2018-03-01,94.2 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2018-04-01,96.1 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2018-05-01,95.8 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2018-06-01,99.3 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2018-07-01,101.2 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2018-08-01,105.9 
PRIN,MIG_NRG,NSA,I2015_NSA,LV,2018-09-01,103.2 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2017-10-01,101.3 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2017-11-01,98.9 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2017-12-01,98.1 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2018-01-01,99.1 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2018-02-01,99.1 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2018-03-01,93.3 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2018-04-01,93.8 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2018-05-01,94.3 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2018-06-01,93.7 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2018-07-01,93.0 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2018-08-01,93.4 
PRIN,MIG_NRG,NSA,I2015_NSA,MK,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2017-10-01,96.0 
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2017-11-01,96.0 
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2017-12-01,96.0 
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2018-01-01,96.0 
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2018-02-01,96.0 
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2018-03-01,96.0 
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2018-04-01,96.0 
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2018-05-01,96.0 
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2018-06-01,96.0 p
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2018-07-01,96.0 p
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2018-08-01,96.0 p
PRIN,MIG_NRG,NSA,I2015_NSA,MT,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,NL,2017-10-01,94.4 
