age,sex,hhtyp,indic_il,workint,geotime,date,value
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2017-01-01,51.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2006-01-01,41.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2007-01-01,41.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2008-01-01,47.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2009-01-01,47.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2010-01-01,48.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2011-01-01,49.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2012-01-01,49.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2013-01-01,50.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2014-01-01,51.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2015-01-01,52.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2016-01-01,52.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18,2017-01-01,53.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2006-01-01,41.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2007-01-01,42.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2008-01-01,47.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2009-01-01,47.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2010-01-01,48.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2011-01-01,49.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2012-01-01,49.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2013-01-01,50.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2014-01-01,51.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2015-01-01,52.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19,2016-01-01,52.5
