age,indic_il,sex,wstatus,geotime,date,value
Y_GE18,LI_R_MD60,T,EMP,IS,2010-01-01,6.6
Y_GE18,LI_R_MD60,T,EMP,IS,2011-01-01,6.4
Y_GE18,LI_R_MD60,T,EMP,IS,2012-01-01,5.2
Y_GE18,LI_R_MD60,T,EMP,IS,2013-01-01,6.1
Y_GE18,LI_R_MD60,T,EMP,IS,2014-01-01,4.6
Y_GE18,LI_R_MD60,T,EMP,IS,2015-01-01,6.5
Y_GE18,LI_R_MD60,T,EMP,IS,2016-01-01,6.5
Y_GE18,LI_R_MD60,T,EMP,IS,2017-01-01,
Y_GE18,LI_R_MD60,T,EMP,IT,2006-01-01,9.0
Y_GE18,LI_R_MD60,T,EMP,IT,2007-01-01,9.3
Y_GE18,LI_R_MD60,T,EMP,IT,2008-01-01,9.0
Y_GE18,LI_R_MD60,T,EMP,IT,2009-01-01,10.2
Y_GE18,LI_R_MD60,T,EMP,IT,2010-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,IT,2011-01-01,11.0
Y_GE18,LI_R_MD60,T,EMP,IT,2012-01-01,11.0
Y_GE18,LI_R_MD60,T,EMP,IT,2013-01-01,11.0
Y_GE18,LI_R_MD60,T,EMP,IT,2014-01-01,11.0
Y_GE18,LI_R_MD60,T,EMP,IT,2015-01-01,11.5
Y_GE18,LI_R_MD60,T,EMP,IT,2016-01-01,11.7
Y_GE18,LI_R_MD60,T,EMP,IT,2017-01-01,12.2
Y_GE18,LI_R_MD60,T,EMP,LT,2006-01-01,10.0
Y_GE18,LI_R_MD60,T,EMP,LT,2007-01-01,8.0
Y_GE18,LI_R_MD60,T,EMP,LT,2008-01-01,9.4
Y_GE18,LI_R_MD60,T,EMP,LT,2009-01-01,10.3
Y_GE18,LI_R_MD60,T,EMP,LT,2010-01-01,12.6
Y_GE18,LI_R_MD60,T,EMP,LT,2011-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,LT,2012-01-01,7.6
Y_GE18,LI_R_MD60,T,EMP,LT,2013-01-01,9.1
