unit,vehicle,geotime,date,value
PC,BUS_TOT,EL,2016-01-01,17
PC,BUS_TOT,ES,2000-01-01,13
PC,BUS_TOT,ES,2001-01-01,13
PC,BUS_TOT,ES,2002-01-01,12
PC,BUS_TOT,ES,2003-01-01,11
PC,BUS_TOT,ES,2004-01-01,13
PC,BUS_TOT,ES,2005-01-01,12
PC,BUS_TOT,ES,2006-01-01,12
PC,BUS_TOT,ES,2007-01-01,14
PC,BUS_TOT,ES,2008-01-01,14
PC,BUS_TOT,ES,2009-01-01,13
PC,BUS_TOT,ES,2010-01-01,12
PC,BUS_TOT,ES,2011-01-01,13
PC,BUS_TOT,ES,2012-01-01,13
PC,BUS_TOT,ES,2013-01-01,13
PC,BUS_TOT,ES,2014-01-01,10
PC,BUS_TOT,ES,2015-01-01,11
PC,BUS_TOT,ES,2016-01-01,11
PC,BUS_TOT,EU27,2000-01-01,10
PC,BUS_TOT,EU27,2001-01-01,10
PC,BUS_TOT,EU27,2002-01-01,9
PC,BUS_TOT,EU27,2003-01-01,9
PC,BUS_TOT,EU27,2004-01-01,9
PC,BUS_TOT,EU27,2005-01-01,9
PC,BUS_TOT,EU27,2006-01-01,9
PC,BUS_TOT,EU27,2007-01-01,9
PC,BUS_TOT,EU27,2008-01-01,9
PC,BUS_TOT,EU27,2009-01-01,9
PC,BUS_TOT,EU27,2010-01-01,9
PC,BUS_TOT,EU27,2011-01-01,9
PC,BUS_TOT,EU27,2012-01-01,9
PC,BUS_TOT,EU27,2013-01-01,9
PC,BUS_TOT,EU27,2014-01-01,9
PC,BUS_TOT,EU27,2015-01-01,9
PC,BUS_TOT,EU27,2016-01-01,9
PC,BUS_TOT,EU28,2000-01-01,10
PC,BUS_TOT,EU28,2001-01-01,10
PC,BUS_TOT,EU28,2002-01-01,9
PC,BUS_TOT,EU28,2003-01-01,9
PC,BUS_TOT,EU28,2004-01-01,9
PC,BUS_TOT,EU28,2005-01-01,9
PC,BUS_TOT,EU28,2006-01-01,9
PC,BUS_TOT,EU28,2007-01-01,9
PC,BUS_TOT,EU28,2008-01-01,9
PC,BUS_TOT,EU28,2009-01-01,9
PC,BUS_TOT,EU28,2010-01-01,9
PC,BUS_TOT,EU28,2011-01-01,9
PC,BUS_TOT,EU28,2012-01-01,9
PC,BUS_TOT,EU28,2013-01-01,9
PC,BUS_TOT,EU28,2014-01-01,9
PC,BUS_TOT,EU28,2015-01-01,9
PC,BUS_TOT,EU28,2016-01-01,9
PC,BUS_TOT,FI,2000-01-01,11
PC,BUS_TOT,FI,2001-01-01,11
PC,BUS_TOT,FI,2002-01-01,11
PC,BUS_TOT,FI,2003-01-01,10
PC,BUS_TOT,FI,2004-01-01,10
PC,BUS_TOT,FI,2005-01-01,10
PC,BUS_TOT,FI,2006-01-01,10
PC,BUS_TOT,FI,2007-01-01,10
PC,BUS_TOT,FI,2008-01-01,10
PC,BUS_TOT,FI,2009-01-01,10
PC,BUS_TOT,FI,2010-01-01,9
PC,BUS_TOT,FI,2011-01-01,9
PC,BUS_TOT,FI,2012-01-01,9
PC,BUS_TOT,FI,2013-01-01,9
PC,BUS_TOT,FI,2014-01-01,9
PC,BUS_TOT,FI,2015-01-01,9
PC,BUS_TOT,FI,2016-01-01,11
PC,BUS_TOT,FR,2000-01-01,5
PC,BUS_TOT,FR,2001-01-01,4
PC,BUS_TOT,FR,2002-01-01,5
PC,BUS_TOT,FR,2003-01-01,5
PC,BUS_TOT,FR,2004-01-01,5
PC,BUS_TOT,FR,2005-01-01,5
PC,BUS_TOT,FR,2006-01-01,5
PC,BUS_TOT,FR,2007-01-01,5
PC,BUS_TOT,FR,2008-01-01,5
PC,BUS_TOT,FR,2009-01-01,5
PC,BUS_TOT,FR,2010-01-01,5
PC,BUS_TOT,FR,2011-01-01,5
PC,BUS_TOT,FR,2012-01-01,5
PC,BUS_TOT,FR,2013-01-01,8
PC,BUS_TOT,FR,2014-01-01,8
PC,BUS_TOT,FR,2015-01-01,8
PC,BUS_TOT,FR,2016-01-01,8
