sector,s_adj,na_item,unit,geo\time,date,value
S14_S15,NSA,SRG_S14_S15,PC,FR,2016-10-01,10.68 
S14_S15,NSA,SRG_S14_S15,PC,FR,2017-01-01,12.75 
S14_S15,NSA,SRG_S14_S15,PC,FR,2017-04-01,18.60 
S14_S15,NSA,SRG_S14_S15,PC,FR,2017-07-01,12.63 
S14_S15,NSA,SRG_S14_S15,PC,FR,2017-10-01,11.23 
S14_S15,NSA,SRG_S14_S15,PC,FR,2018-01-01,12.38 
S14_S15,NSA,SRG_S14_S15,PC,FR,2018-04-01,19.67 
S14_S15,NSA,SRG_S14_S15,PC,IE,2015-07-01,10.53
S14_S15,NSA,SRG_S14_S15,PC,IE,2015-10-01,-1.93
S14_S15,NSA,SRG_S14_S15,PC,IE,2016-01-01,3.70 
S14_S15,NSA,SRG_S14_S15,PC,IE,2016-04-01,10.24 
S14_S15,NSA,SRG_S14_S15,PC,IE,2016-07-01,11.95 
S14_S15,NSA,SRG_S14_S15,PC,IE,2016-10-01,1.12 
S14_S15,NSA,SRG_S14_S15,PC,IE,2017-01-01,5.19 
S14_S15,NSA,SRG_S14_S15,PC,IE,2017-04-01,14.57 
S14_S15,NSA,SRG_S14_S15,PC,IE,2017-07-01,12.97 
S14_S15,NSA,SRG_S14_S15,PC,IE,2017-10-01,1.22 
S14_S15,NSA,SRG_S14_S15,PC,IE,2018-01-01,: 
S14_S15,NSA,SRG_S14_S15,PC,IE,2018-04-01,: 
S14_S15,NSA,SRG_S14_S15,PC,IT,2015-07-01,5.39
S14_S15,NSA,SRG_S14_S15,PC,IT,2015-10-01,15.44
S14_S15,NSA,SRG_S14_S15,PC,IT,2016-01-01,7.86 
S14_S15,NSA,SRG_S14_S15,PC,IT,2016-04-01,13.26 
S14_S15,NSA,SRG_S14_S15,PC,IT,2016-07-01,5.62 
S14_S15,NSA,SRG_S14_S15,PC,IT,2016-10-01,14.80 
S14_S15,NSA,SRG_S14_S15,PC,IT,2017-01-01,7.11 
S14_S15,NSA,SRG_S14_S15,PC,IT,2017-04-01,10.75 
S14_S15,NSA,SRG_S14_S15,PC,IT,2017-07-01,5.04 
S14_S15,NSA,SRG_S14_S15,PC,IT,2017-10-01,15.00 
S14_S15,NSA,SRG_S14_S15,PC,IT,2018-01-01,6.61 
S14_S15,NSA,SRG_S14_S15,PC,IT,2018-04-01,12.13 
S14_S15,NSA,SRG_S14_S15,PC,NL,2015-07-01,10.56
S14_S15,NSA,SRG_S14_S15,PC,NL,2015-10-01,14.96
S14_S15,NSA,SRG_S14_S15,PC,NL,2016-01-01,10.27 p
S14_S15,NSA,SRG_S14_S15,PC,NL,2016-04-01,26.24 p
S14_S15,NSA,SRG_S14_S15,PC,NL,2016-07-01,10.49 p
S14_S15,NSA,SRG_S14_S15,PC,NL,2016-10-01,15.86 p
S14_S15,NSA,SRG_S14_S15,PC,NL,2017-01-01,9.82 p
S14_S15,NSA,SRG_S14_S15,PC,NL,2017-04-01,25.27 p
S14_S15,NSA,SRG_S14_S15,PC,NL,2017-07-01,8.96 p
S14_S15,NSA,SRG_S14_S15,PC,NL,2017-10-01,15.44 p
S14_S15,NSA,SRG_S14_S15,PC,NL,2018-01-01,7.83 p
S14_S15,NSA,SRG_S14_S15,PC,NL,2018-04-01,24.60 p
S14_S15,NSA,SRG_S14_S15,PC,NO,2015-07-01,12.34
S14_S15,NSA,SRG_S14_S15,PC,NO,2015-10-01,14.9
S14_S15,NSA,SRG_S14_S15,PC,NO,2016-01-01,13.88 
S14_S15,NSA,SRG_S14_S15,PC,NO,2016-04-01,16.05 
S14_S15,NSA,SRG_S14_S15,PC,NO,2016-07-01,11.60 
S14_S15,NSA,SRG_S14_S15,PC,NO,2016-10-01,10.78 
S14_S15,NSA,SRG_S14_S15,PC,NO,2017-01-01,12.80 
S14_S15,NSA,SRG_S14_S15,PC,NO,2017-04-01,16.96 
