unit,incgrp,hhtyp,n_item,geotime,date,value
PC,TOTAL,TOTAL,0,EA19,2014-01-01,79
PC,TOTAL,TOTAL,0,EA19,2015-01-01,80
PC,TOTAL,TOTAL,0,EA19,2016-01-01,80
PC,TOTAL,TOTAL,0,EA19,2017-01-01,83
PC,TOTAL,TOTAL,0,EE,2006-01-01,63
PC,TOTAL,TOTAL,0,EE,2007-01-01,64
PC,TOTAL,TOTAL,0,EE,2008-01-01,71
PC,TOTAL,TOTAL,0,EE,2009-01-01,69
PC,TOTAL,TOTAL,0,EE,2010-01-01,71
PC,TOTAL,TOTAL,0,EE,2011-01-01,72
PC,TOTAL,TOTAL,0,EE,2012-01-01,72
PC,TOTAL,TOTAL,0,EE,2013-01-01,74
PC,TOTAL,TOTAL,0,EE,2014-01-01,76
PC,TOTAL,TOTAL,0,EE,2015-01-01,78
PC,TOTAL,TOTAL,0,EE,2016-01-01,79
PC,TOTAL,TOTAL,0,EE,2017-01-01,79
PC,TOTAL,TOTAL,0,EL,2006-01-01,75
PC,TOTAL,TOTAL,0,EL,2007-01-01,76
PC,TOTAL,TOTAL,0,EL,2008-01-01,76
PC,TOTAL,TOTAL,0,EL,2009-01-01,78
PC,TOTAL,TOTAL,0,EL,2010-01-01,78
PC,TOTAL,TOTAL,0,EL,2011-01-01,80
PC,TOTAL,TOTAL,0,EL,2012-01-01,80
PC,TOTAL,TOTAL,0,EL,2013-01-01,81
PC,TOTAL,TOTAL,0,EL,2014-01-01,83
PC,TOTAL,TOTAL,0,EL,2015-01-01,82
PC,TOTAL,TOTAL,0,EL,2016-01-01,82
PC,TOTAL,TOTAL,0,EL,2017-01-01,84
PC,TOTAL,TOTAL,0,ES,2006-01-01,73
PC,TOTAL,TOTAL,0,ES,2007-01-01,73
PC,TOTAL,TOTAL,0,ES,2008-01-01,79
PC,TOTAL,TOTAL,0,ES,2009-01-01,77
PC,TOTAL,TOTAL,0,ES,2010-01-01,74
PC,TOTAL,TOTAL,0,ES,2011-01-01,81
PC,TOTAL,TOTAL,0,ES,2012-01-01,85
PC,TOTAL,TOTAL,0,ES,2013-01-01,79
PC,TOTAL,TOTAL,0,ES,2014-01-01,80
PC,TOTAL,TOTAL,0,ES,2015-01-01,82
PC,TOTAL,TOTAL,0,ES,2016-01-01,81
PC,TOTAL,TOTAL,0,ES,2017-01-01,86
PC,TOTAL,TOTAL,0,EU27,2006-01-01,
PC,TOTAL,TOTAL,0,EU27,2007-01-01,75
PC,TOTAL,TOTAL,0,EU27,2008-01-01,77
PC,TOTAL,TOTAL,0,EU27,2009-01-01,77
PC,TOTAL,TOTAL,0,EU27,2010-01-01,77
PC,TOTAL,TOTAL,0,EU27,2011-01-01,78
PC,TOTAL,TOTAL,0,EU27,2012-01-01,79
PC,TOTAL,TOTAL,0,EU27,2013-01-01,79
PC,TOTAL,TOTAL,0,EU27,2014-01-01,79
PC,TOTAL,TOTAL,0,EU27,2015-01-01,80
PC,TOTAL,TOTAL,0,EU27,2016-01-01,80
PC,TOTAL,TOTAL,0,EU27,2017-01-01,82
PC,TOTAL,TOTAL,0,EU28,2006-01-01,
PC,TOTAL,TOTAL,0,EU28,2007-01-01,
PC,TOTAL,TOTAL,0,EU28,2008-01-01,
PC,TOTAL,TOTAL,0,EU28,2009-01-01,
PC,TOTAL,TOTAL,0,EU28,2010-01-01,77
PC,TOTAL,TOTAL,0,EU28,2011-01-01,78
PC,TOTAL,TOTAL,0,EU28,2012-01-01,79
PC,TOTAL,TOTAL,0,EU28,2013-01-01,79
PC,TOTAL,TOTAL,0,EU28,2014-01-01,79
PC,TOTAL,TOTAL,0,EU28,2015-01-01,80
PC,TOTAL,TOTAL,0,EU28,2016-01-01,80
PC,TOTAL,TOTAL,0,EU28,2017-01-01,82
PC,TOTAL,TOTAL,0,FI,2006-01-01,89
PC,TOTAL,TOTAL,0,FI,2007-01-01,89
PC,TOTAL,TOTAL,0,FI,2008-01-01,89
PC,TOTAL,TOTAL,0,FI,2009-01-01,90
PC,TOTAL,TOTAL,0,FI,2010-01-01,90
PC,TOTAL,TOTAL,0,FI,2011-01-01,90
PC,TOTAL,TOTAL,0,FI,2012-01-01,89
PC,TOTAL,TOTAL,0,FI,2013-01-01,90
PC,TOTAL,TOTAL,0,FI,2014-01-01,91
PC,TOTAL,TOTAL,0,FI,2015-01-01,91
PC,TOTAL,TOTAL,0,FI,2016-01-01,90
PC,TOTAL,TOTAL,0,FI,2017-01-01,91
PC,TOTAL,TOTAL,0,FR,2006-01-01,82
PC,TOTAL,TOTAL,0,FR,2007-01-01,80
PC,TOTAL,TOTAL,0,FR,2008-01-01,81
PC,TOTAL,TOTAL,0,FR,2009-01-01,81
PC,TOTAL,TOTAL,0,FR,2010-01-01,81
PC,TOTAL,TOTAL,0,FR,2011-01-01,83
PC,TOTAL,TOTAL,0,FR,2012-01-01,82
PC,TOTAL,TOTAL,0,FR,2013-01-01,81
PC,TOTAL,TOTAL,0,FR,2014-01-01,81
