duration,isced11,age,sex,unit,geotime,date,value
Y1-3,ED3-8,Y20-34,F,PC,DE,2017-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,DK,2006-01-01,85
Y1-3,ED3-8,Y20-34,F,PC,DK,2007-01-01,87
Y1-3,ED3-8,Y20-34,F,PC,DK,2008-01-01,89
Y1-3,ED3-8,Y20-34,F,PC,DK,2009-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,DK,2010-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,DK,2011-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,DK,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,DK,2013-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,DK,2014-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,DK,2015-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,DK,2016-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,DK,2017-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,EA18,2006-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EA18,2007-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,EA18,2008-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,EA18,2009-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EA18,2010-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EA18,2011-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EA18,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,EA18,2013-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,EA18,2014-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,EA18,2015-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,EA18,2016-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,EA18,2017-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EA19,2006-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EA19,2007-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,EA19,2008-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,EA19,2009-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EA19,2010-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EA19,2011-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EA19,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,EA19,2013-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,EA19,2014-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,EA19,2015-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,EA19,2016-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,EA19,2017-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EE,2006-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,EE,2007-01-01,83
Y1-3,ED3-8,Y20-34,F,PC,EE,2008-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EE,2009-01-01,60
Y1-3,ED3-8,Y20-34,F,PC,EE,2010-01-01,57
Y1-3,ED3-8,Y20-34,F,PC,EE,2011-01-01,68
Y1-3,ED3-8,Y20-34,F,PC,EE,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,EE,2013-01-01,69
Y1-3,ED3-8,Y20-34,F,PC,EE,2014-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,EE,2015-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EE,2016-01-01,69
Y1-3,ED3-8,Y20-34,F,PC,EE,2017-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,EL,2006-01-01,63
Y1-3,ED3-8,Y20-34,F,PC,EL,2007-01-01,65
Y1-3,ED3-8,Y20-34,F,PC,EL,2008-01-01,66
Y1-3,ED3-8,Y20-34,F,PC,EL,2009-01-01,62
Y1-3,ED3-8,Y20-34,F,PC,EL,2010-01-01,57
Y1-3,ED3-8,Y20-34,F,PC,EL,2011-01-01,49
Y1-3,ED3-8,Y20-34,F,PC,EL,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,EL,2013-01-01,37
Y1-3,ED3-8,Y20-34,F,PC,EL,2014-01-01,42
Y1-3,ED3-8,Y20-34,F,PC,EL,2015-01-01,44
Y1-3,ED3-8,Y20-34,F,PC,EL,2016-01-01,46
Y1-3,ED3-8,Y20-34,F,PC,EL,2017-01-01,51
Y1-3,ED3-8,Y20-34,F,PC,ES,2006-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,ES,2007-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,ES,2008-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,ES,2009-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,ES,2010-01-01,70
Y1-3,ED3-8,Y20-34,F,PC,ES,2011-01-01,66
Y1-3,ED3-8,Y20-34,F,PC,ES,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,ES,2013-01-01,59
Y1-3,ED3-8,Y20-34,F,PC,ES,2014-01-01,66
Y1-3,ED3-8,Y20-34,F,PC,ES,2015-01-01,65
Y1-3,ED3-8,Y20-34,F,PC,ES,2016-01-01,65
Y1-3,ED3-8,Y20-34,F,PC,ES,2017-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,EU27,2006-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EU27,2007-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,EU27,2008-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,EU27,2009-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,EU27,2010-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EU27,2011-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EU27,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,EU27,2013-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,EU27,2014-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,EU27,2015-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EU27,2016-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EU27,2017-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,EU28,2006-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EU28,2007-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,EU28,2008-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,EU28,2009-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,EU28,2010-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EU28,2011-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EU28,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,EU28,2013-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,EU28,2014-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,EU28,2015-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,EU28,2016-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,EU28,2017-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,FI,2006-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,FI,2007-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,FI,2008-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,FI,2009-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,FI,2010-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,FI,2011-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,FI,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,FI,2013-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,FI,2014-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,FI,2015-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,FI,2016-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,FI,2017-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,FR,2006-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,FR,2007-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,FR,2008-01-01,83
Y1-3,ED3-8,Y20-34,F,PC,FR,2009-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,FR,2010-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,FR,2011-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,FR,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,FR,2013-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,FR,2014-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,FR,2015-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,FR,2016-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,FR,2017-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,HR,2006-01-01,69
Y1-3,ED3-8,Y20-34,F,PC,HR,2007-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,HR,2008-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,HR,2009-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,HR,2010-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,HR,2011-01-01,66
Y1-3,ED3-8,Y20-34,F,PC,HR,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,HR,2013-01-01,53
Y1-3,ED3-8,Y20-34,F,PC,HR,2014-01-01,62
Y1-3,ED3-8,Y20-34,F,PC,HR,2015-01-01,63
Y1-3,ED3-8,Y20-34,F,PC,HR,2016-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,HR,2017-01-01,63
Y1-3,ED3-8,Y20-34,F,PC,HU,2006-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,HU,2007-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,HU,2008-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,HU,2009-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,HU,2010-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,HU,2011-01-01,71
Y1-3,ED3-8,Y20-34,F,PC,HU,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,HU,2013-01-01,71
Y1-3,ED3-8,Y20-34,F,PC,HU,2014-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,HU,2015-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,HU,2016-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,HU,2017-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,IE,2006-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,IE,2007-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,IE,2008-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,IE,2009-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,IE,2010-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,IE,2011-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,IE,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,IE,2013-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,IE,2014-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,IE,2015-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,IE,2016-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,IE,2017-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,IS,2006-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,IS,2007-01-01,89
Y1-3,ED3-8,Y20-34,F,PC,IS,2008-01-01,85
Y1-3,ED3-8,Y20-34,F,PC,IS,2009-01-01,85
Y1-3,ED3-8,Y20-34,F,PC,IS,2010-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,IS,2011-01-01,87
Y1-3,ED3-8,Y20-34,F,PC,IS,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,IS,2013-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,IS,2014-01-01,89
Y1-3,ED3-8,Y20-34,F,PC,IS,2015-01-01,91
Y1-3,ED3-8,Y20-34,F,PC,IS,2016-01-01,95
Y1-3,ED3-8,Y20-34,F,PC,IS,2017-01-01,93
Y1-3,ED3-8,Y20-34,F,PC,IT,2006-01-01,61
Y1-3,ED3-8,Y20-34,F,PC,IT,2007-01-01,61
Y1-3,ED3-8,Y20-34,F,PC,IT,2008-01-01,61
Y1-3,ED3-8,Y20-34,F,PC,IT,2009-01-01,57
Y1-3,ED3-8,Y20-34,F,PC,IT,2010-01-01,55
Y1-3,ED3-8,Y20-34,F,PC,IT,2011-01-01,55
Y1-3,ED3-8,Y20-34,F,PC,IT,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,IT,2013-01-01,47
Y1-3,ED3-8,Y20-34,F,PC,IT,2014-01-01,43
Y1-3,ED3-8,Y20-34,F,PC,IT,2015-01-01,45
Y1-3,ED3-8,Y20-34,F,PC,IT,2016-01-01,50
Y1-3,ED3-8,Y20-34,F,PC,IT,2017-01-01,53
Y1-3,ED3-8,Y20-34,F,PC,LT,2006-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,LT,2007-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,LT,2008-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,LT,2009-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,LT,2010-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,LT,2011-01-01,68
Y1-3,ED3-8,Y20-34,F,PC,LT,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,LT,2013-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,LT,2014-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,LT,2015-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,LT,2016-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,LT,2017-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,LU,2006-01-01,91
Y1-3,ED3-8,Y20-34,F,PC,LU,2007-01-01,87
Y1-3,ED3-8,Y20-34,F,PC,LU,2008-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,LU,2009-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,LU,2010-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,LU,2011-01-01,83
Y1-3,ED3-8,Y20-34,F,PC,LU,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,LU,2013-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,LU,2014-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,LU,2015-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,LU,2016-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,LU,2017-01-01,83
Y1-3,ED3-8,Y20-34,F,PC,LV,2006-01-01,67
Y1-3,ED3-8,Y20-34,F,PC,LV,2007-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,LV,2008-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,LV,2009-01-01,66
Y1-3,ED3-8,Y20-34,F,PC,LV,2010-01-01,63
Y1-3,ED3-8,Y20-34,F,PC,LV,2011-01-01,71
Y1-3,ED3-8,Y20-34,F,PC,LV,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,LV,2013-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,LV,2014-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,LV,2015-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,LV,2016-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,LV,2017-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,ME,2006-01-01,
Y1-3,ED3-8,Y20-34,F,PC,ME,2007-01-01,
Y1-3,ED3-8,Y20-34,F,PC,ME,2008-01-01,
Y1-3,ED3-8,Y20-34,F,PC,ME,2009-01-01,
Y1-3,ED3-8,Y20-34,F,PC,ME,2010-01-01,
Y1-3,ED3-8,Y20-34,F,PC,ME,2011-01-01,56
Y1-3,ED3-8,Y20-34,F,PC,ME,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,ME,2013-01-01,61
Y1-3,ED3-8,Y20-34,F,PC,ME,2014-01-01,55
Y1-3,ED3-8,Y20-34,F,PC,ME,2015-01-01,64
Y1-3,ED3-8,Y20-34,F,PC,ME,2016-01-01,59
Y1-3,ED3-8,Y20-34,F,PC,ME,2017-01-01,62
Y1-3,ED3-8,Y20-34,F,PC,MK,2006-01-01,34
Y1-3,ED3-8,Y20-34,F,PC,MK,2007-01-01,40
Y1-3,ED3-8,Y20-34,F,PC,MK,2008-01-01,41
Y1-3,ED3-8,Y20-34,F,PC,MK,2009-01-01,40
Y1-3,ED3-8,Y20-34,F,PC,MK,2010-01-01,43
Y1-3,ED3-8,Y20-34,F,PC,MK,2011-01-01,42
Y1-3,ED3-8,Y20-34,F,PC,MK,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,MK,2013-01-01,40
Y1-3,ED3-8,Y20-34,F,PC,MK,2014-01-01,39
Y1-3,ED3-8,Y20-34,F,PC,MK,2015-01-01,50
Y1-3,ED3-8,Y20-34,F,PC,MK,2016-01-01,44
Y1-3,ED3-8,Y20-34,F,PC,MK,2017-01-01,45
Y1-3,ED3-8,Y20-34,F,PC,MT,2006-01-01,90
Y1-3,ED3-8,Y20-34,F,PC,MT,2007-01-01,93
Y1-3,ED3-8,Y20-34,F,PC,MT,2008-01-01,95
Y1-3,ED3-8,Y20-34,F,PC,MT,2009-01-01,93
Y1-3,ED3-8,Y20-34,F,PC,MT,2010-01-01,93
Y1-3,ED3-8,Y20-34,F,PC,MT,2011-01-01,91
Y1-3,ED3-8,Y20-34,F,PC,MT,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,MT,2013-01-01,91
Y1-3,ED3-8,Y20-34,F,PC,MT,2014-01-01,93
Y1-3,ED3-8,Y20-34,F,PC,MT,2015-01-01,94
Y1-3,ED3-8,Y20-34,F,PC,MT,2016-01-01,95
Y1-3,ED3-8,Y20-34,F,PC,MT,2017-01-01,95
Y1-3,ED3-8,Y20-34,F,PC,NL,2006-01-01,91
Y1-3,ED3-8,Y20-34,F,PC,NL,2007-01-01,93
Y1-3,ED3-8,Y20-34,F,PC,NL,2008-01-01,92
Y1-3,ED3-8,Y20-34,F,PC,NL,2009-01-01,92
Y1-3,ED3-8,Y20-34,F,PC,NL,2010-01-01,91
Y1-3,ED3-8,Y20-34,F,PC,NL,2011-01-01,90
Y1-3,ED3-8,Y20-34,F,PC,NL,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,NL,2013-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,NL,2014-01-01,85
Y1-3,ED3-8,Y20-34,F,PC,NL,2015-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,NL,2016-01-01,89
Y1-3,ED3-8,Y20-34,F,PC,NL,2017-01-01,90
Y1-3,ED3-8,Y20-34,F,PC,NO,2006-01-01,
Y1-3,ED3-8,Y20-34,F,PC,NO,2007-01-01,
Y1-3,ED3-8,Y20-34,F,PC,NO,2008-01-01,
Y1-3,ED3-8,Y20-34,F,PC,NO,2009-01-01,
Y1-3,ED3-8,Y20-34,F,PC,NO,2010-01-01,
Y1-3,ED3-8,Y20-34,F,PC,NO,2011-01-01,
Y1-3,ED3-8,Y20-34,F,PC,NO,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,NO,2013-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,NO,2014-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,NO,2015-01-01,93
Y1-3,ED3-8,Y20-34,F,PC,NO,2016-01-01,90
Y1-3,ED3-8,Y20-34,F,PC,NO,2017-01-01,89
Y1-3,ED3-8,Y20-34,F,PC,PL,2006-01-01,69
Y1-3,ED3-8,Y20-34,F,PC,PL,2007-01-01,71
Y1-3,ED3-8,Y20-34,F,PC,PL,2008-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,PL,2009-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,PL,2010-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,PL,2011-01-01,70
Y1-3,ED3-8,Y20-34,F,PC,PL,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,PL,2013-01-01,68
Y1-3,ED3-8,Y20-34,F,PC,PL,2014-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,PL,2015-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,PL,2016-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,PL,2017-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,PT,2006-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,PT,2007-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,PT,2008-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,PT,2009-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,PT,2010-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,PT,2011-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,PT,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,PT,2013-01-01,66
Y1-3,ED3-8,Y20-34,F,PC,PT,2014-01-01,69
Y1-3,ED3-8,Y20-34,F,PC,PT,2015-01-01,70
Y1-3,ED3-8,Y20-34,F,PC,PT,2016-01-01,71
Y1-3,ED3-8,Y20-34,F,PC,PT,2017-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,RO,2006-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,RO,2007-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,RO,2008-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,RO,2009-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,RO,2010-01-01,70
Y1-3,ED3-8,Y20-34,F,PC,RO,2011-01-01,68
Y1-3,ED3-8,Y20-34,F,PC,RO,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,RO,2013-01-01,65
Y1-3,ED3-8,Y20-34,F,PC,RO,2014-01-01,61
Y1-3,ED3-8,Y20-34,F,PC,RO,2015-01-01,62
Y1-3,ED3-8,Y20-34,F,PC,RO,2016-01-01,63
Y1-3,ED3-8,Y20-34,F,PC,RO,2017-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,SE,2006-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,SE,2007-01-01,82
