stk_flow,geo\time,date,value
LOSS_CUM_EUR_HAB,IT,1980-01-01,: 
LOSS_CUM_EUR_HAB,IT,1981-01-01,: 
LOSS_CUM_EUR_HAB,IT,1982-01-01,: 
LOSS_CUM_EUR_HAB,IT,1983-01-01,: 
LOSS_CUM_EUR_HAB,IT,1984-01-01,: 
LOSS_CUM_EUR_HAB,IT,1985-01-01,: 
LOSS_CUM_EUR_HAB,IT,1986-01-01,: 
LOSS_CUM_EUR_HAB,IT,1987-01-01,: 
LOSS_CUM_EUR_HAB,IT,1988-01-01,: 
LOSS_CUM_EUR_HAB,IT,1989-01-01,: 
LOSS_CUM_EUR_HAB,IT,1990-01-01,: 
LOSS_CUM_EUR_HAB,IT,1991-01-01,: 
LOSS_CUM_EUR_HAB,IT,1992-01-01,: 
LOSS_CUM_EUR_HAB,IT,1993-01-01,: 
LOSS_CUM_EUR_HAB,IT,1994-01-01,: 
LOSS_CUM_EUR_HAB,IT,1995-01-01,: 
LOSS_CUM_EUR_HAB,IT,1996-01-01,: 
LOSS_CUM_EUR_HAB,IT,1997-01-01,: 
LOSS_CUM_EUR_HAB,IT,1998-01-01,: 
LOSS_CUM_EUR_HAB,IT,1999-01-01,: 
LOSS_CUM_EUR_HAB,IT,2000-01-01,: 
LOSS_CUM_EUR_HAB,IT,2001-01-01,: 
LOSS_CUM_EUR_HAB,IT,2002-01-01,: 
LOSS_CUM_EUR_HAB,IT,2003-01-01,: 
LOSS_CUM_EUR_HAB,IT,2004-01-01,: 
LOSS_CUM_EUR_HAB,IT,2005-01-01,: 
LOSS_CUM_EUR_HAB,IT,2006-01-01,: 
LOSS_CUM_EUR_HAB,IT,2007-01-01,: 
LOSS_CUM_EUR_HAB,IT,2008-01-01,: 
LOSS_CUM_EUR_HAB,IT,2009-01-01,: 
LOSS_CUM_EUR_HAB,IT,2010-01-01,: 
LOSS_CUM_EUR_HAB,IT,2011-01-01,: 
LOSS_CUM_EUR_HAB,IT,2012-01-01,: 
LOSS_CUM_EUR_HAB,IT,2013-01-01,: 
LOSS_CUM_EUR_HAB,IT,2014-01-01,: 
LOSS_CUM_EUR_HAB,IT,2015-01-01,: 
LOSS_CUM_EUR_HAB,IT,2016-01-01,1072
LOSS_CUM_EUR_HAB,LI,1980-01-01,: 
LOSS_CUM_EUR_HAB,LI,1981-01-01,: 
LOSS_CUM_EUR_HAB,LI,1982-01-01,: 
LOSS_CUM_EUR_HAB,LI,1983-01-01,: 
LOSS_CUM_EUR_HAB,LI,1984-01-01,: 
LOSS_CUM_EUR_HAB,LI,1985-01-01,: 
LOSS_CUM_EUR_HAB,LI,1986-01-01,: 
LOSS_CUM_EUR_HAB,LI,1987-01-01,: 
LOSS_CUM_EUR_HAB,LI,1988-01-01,: 
LOSS_CUM_EUR_HAB,LI,1989-01-01,: 
LOSS_CUM_EUR_HAB,LI,1990-01-01,: 
LOSS_CUM_EUR_HAB,LI,1991-01-01,: 
LOSS_CUM_EUR_HAB,LI,1992-01-01,: 
LOSS_CUM_EUR_HAB,LI,1993-01-01,: 
LOSS_CUM_EUR_HAB,LI,1994-01-01,: 
LOSS_CUM_EUR_HAB,LI,1995-01-01,: 
LOSS_CUM_EUR_HAB,LI,1996-01-01,: 
LOSS_CUM_EUR_HAB,LI,1997-01-01,: 
LOSS_CUM_EUR_HAB,LI,1998-01-01,: 
LOSS_CUM_EUR_HAB,LI,1999-01-01,: 
LOSS_CUM_EUR_HAB,LI,2000-01-01,: 
LOSS_CUM_EUR_HAB,LI,2001-01-01,: 
LOSS_CUM_EUR_HAB,LI,2002-01-01,: 
LOSS_CUM_EUR_HAB,LI,2003-01-01,: 
LOSS_CUM_EUR_HAB,LI,2004-01-01,: 
LOSS_CUM_EUR_HAB,LI,2005-01-01,: 
LOSS_CUM_EUR_HAB,LI,2006-01-01,: 
LOSS_CUM_EUR_HAB,LI,2007-01-01,: 
LOSS_CUM_EUR_HAB,LI,2008-01-01,: 
LOSS_CUM_EUR_HAB,LI,2009-01-01,: 
LOSS_CUM_EUR_HAB,LI,2010-01-01,: 
LOSS_CUM_EUR_HAB,LI,2011-01-01,: 
LOSS_CUM_EUR_HAB,LI,2012-01-01,: 
LOSS_CUM_EUR_HAB,LI,2013-01-01,: 
LOSS_CUM_EUR_HAB,LI,2014-01-01,: 
LOSS_CUM_EUR_HAB,LI,2015-01-01,: 
LOSS_CUM_EUR_HAB,LI,2016-01-01,186
LOSS_CUM_EUR_HAB,LT,1980-01-01,: 
LOSS_CUM_EUR_HAB,LT,1981-01-01,: 
LOSS_CUM_EUR_HAB,LT,1982-01-01,: 
LOSS_CUM_EUR_HAB,LT,1983-01-01,: 
LOSS_CUM_EUR_HAB,LT,1984-01-01,: 
LOSS_CUM_EUR_HAB,LT,1985-01-01,: 
LOSS_CUM_EUR_HAB,LT,1986-01-01,: 
LOSS_CUM_EUR_HAB,LT,1987-01-01,: 
LOSS_CUM_EUR_HAB,LT,1988-01-01,: 
LOSS_CUM_EUR_HAB,LT,1989-01-01,: 
LOSS_CUM_EUR_HAB,LT,1990-01-01,: 
LOSS_CUM_EUR_HAB,LT,1991-01-01,: 
LOSS_CUM_EUR_HAB,LT,1992-01-01,: 
LOSS_CUM_EUR_HAB,LT,1993-01-01,: 
LOSS_CUM_EUR_HAB,LT,1994-01-01,: 
LOSS_CUM_EUR_HAB,LT,1995-01-01,: 
LOSS_CUM_EUR_HAB,LT,1996-01-01,: 
LOSS_CUM_EUR_HAB,LT,1997-01-01,: 
LOSS_CUM_EUR_HAB,LT,1998-01-01,: 
LOSS_CUM_EUR_HAB,LT,1999-01-01,: 
LOSS_CUM_EUR_HAB,LT,2000-01-01,: 
LOSS_CUM_EUR_HAB,LT,2001-01-01,: 
LOSS_CUM_EUR_HAB,LT,2002-01-01,: 
LOSS_CUM_EUR_HAB,LT,2003-01-01,: 
LOSS_CUM_EUR_HAB,LT,2004-01-01,: 
LOSS_CUM_EUR_HAB,LT,2005-01-01,: 
LOSS_CUM_EUR_HAB,LT,2006-01-01,: 
LOSS_CUM_EUR_HAB,LT,2007-01-01,: 
LOSS_CUM_EUR_HAB,LT,2008-01-01,: 
LOSS_CUM_EUR_HAB,LT,2009-01-01,: 
LOSS_CUM_EUR_HAB,LT,2010-01-01,: 
LOSS_CUM_EUR_HAB,LT,2011-01-01,: 
LOSS_CUM_EUR_HAB,LT,2012-01-01,: 
LOSS_CUM_EUR_HAB,LT,2013-01-01,: 
LOSS_CUM_EUR_HAB,LT,2014-01-01,: 
LOSS_CUM_EUR_HAB,LT,2015-01-01,: 
LOSS_CUM_EUR_HAB,LT,2016-01-01,274
LOSS_CUM_EUR_HAB,LU,1980-01-01,: 
LOSS_CUM_EUR_HAB,LU,1981-01-01,: 
LOSS_CUM_EUR_HAB,LU,1982-01-01,: 
LOSS_CUM_EUR_HAB,LU,1983-01-01,: 
LOSS_CUM_EUR_HAB,LU,1984-01-01,: 
LOSS_CUM_EUR_HAB,LU,1985-01-01,: 
LOSS_CUM_EUR_HAB,LU,1986-01-01,: 
LOSS_CUM_EUR_HAB,LU,1987-01-01,: 
LOSS_CUM_EUR_HAB,LU,1988-01-01,: 
LOSS_CUM_EUR_HAB,LU,1989-01-01,: 
LOSS_CUM_EUR_HAB,LU,1990-01-01,: 
LOSS_CUM_EUR_HAB,LU,1991-01-01,: 
LOSS_CUM_EUR_HAB,LU,1992-01-01,: 
LOSS_CUM_EUR_HAB,LU,1993-01-01,: 
LOSS_CUM_EUR_HAB,LU,1994-01-01,: 
LOSS_CUM_EUR_HAB,LU,1995-01-01,: 
LOSS_CUM_EUR_HAB,LU,1996-01-01,: 
LOSS_CUM_EUR_HAB,LU,1997-01-01,: 
LOSS_CUM_EUR_HAB,LU,1998-01-01,: 
LOSS_CUM_EUR_HAB,LU,1999-01-01,: 
LOSS_CUM_EUR_HAB,LU,2000-01-01,: 
LOSS_CUM_EUR_HAB,LU,2001-01-01,: 
