na_item,s_adj,unit,nace_r2,geotime,date,value
D1,SCA,CP_MEUR,B-E,CZ,2017-01-01,5901.6 
D1,SCA,CP_MEUR,B-E,CZ,2017-04-01,6215.3 
D1,SCA,CP_MEUR,B-E,CZ,2017-07-01,6397.2 
D1,SCA,CP_MEUR,B-E,CZ,2017-10-01,6606.7 
D1,SCA,CP_MEUR,B-E,CZ,2018-01-01,6849.6 
D1,SCA,CP_MEUR,B-E,CZ,2018-04-01,7017.0 
D1,SCA,CP_MEUR,B-E,DK,2015-07-01,4887.9 
D1,SCA,CP_MEUR,B-E,DK,2015-10-01,4928.6 
D1,SCA,CP_MEUR,B-E,DK,2016-01-01,5028.9 
D1,SCA,CP_MEUR,B-E,DK,2016-04-01,5039.8 
D1,SCA,CP_MEUR,B-E,DK,2016-07-01,5042.2 
D1,SCA,CP_MEUR,B-E,DK,2016-10-01,5143.2 
D1,SCA,CP_MEUR,B-E,DK,2017-01-01,5156.1 
D1,SCA,CP_MEUR,B-E,DK,2017-04-01,5307.5 
D1,SCA,CP_MEUR,B-E,DK,2017-07-01,5224.1 
D1,SCA,CP_MEUR,B-E,DK,2017-10-01,5318.6 
D1,SCA,CP_MEUR,B-E,DK,2018-01-01,5357.0 
D1,SCA,CP_MEUR,B-E,DK,2018-04-01,5517.1 
D1,SCA,CP_MEUR,B-E,EA,2015-07-01,249266.8 
D1,SCA,CP_MEUR,B-E,EA,2015-10-01,250459.6 
D1,SCA,CP_MEUR,B-E,EA,2016-01-01,252509.1 
