indic_il,sex,age,geotime,date,value
LI_GAP_MD60,T,TOTAL,EA18,2009-01-01,21.8
LI_GAP_MD60,T,TOTAL,EA18,2010-01-01,22.4
LI_GAP_MD60,T,TOTAL,EA18,2011-01-01,22.8
LI_GAP_MD60,T,TOTAL,EA18,2012-01-01,23.3
LI_GAP_MD60,T,TOTAL,EA18,2013-01-01,24.0
LI_GAP_MD60,T,TOTAL,EA18,2014-01-01,24.8
LI_GAP_MD60,T,TOTAL,EA18,2015-01-01,24.9
LI_GAP_MD60,T,TOTAL,EA18,2016-01-01,24.8
LI_GAP_MD60,T,TOTAL,EA18,2017-01-01,24.3
LI_GAP_MD60,T,TOTAL,EA19,2000-01-01,
LI_GAP_MD60,T,TOTAL,EA19,2001-01-01,
LI_GAP_MD60,T,TOTAL,EA19,2002-01-01,
LI_GAP_MD60,T,TOTAL,EA19,2003-01-01,
LI_GAP_MD60,T,TOTAL,EA19,2004-01-01,
LI_GAP_MD60,T,TOTAL,EA19,2005-01-01,21.5
LI_GAP_MD60,T,TOTAL,EA19,2006-01-01,22.1
LI_GAP_MD60,T,TOTAL,EA19,2007-01-01,22.2
LI_GAP_MD60,T,TOTAL,EA19,2008-01-01,21.4
LI_GAP_MD60,T,TOTAL,EA19,2009-01-01,21.9
LI_GAP_MD60,T,TOTAL,EA19,2010-01-01,22.5
LI_GAP_MD60,T,TOTAL,EA19,2011-01-01,22.8
LI_GAP_MD60,T,TOTAL,EA19,2012-01-01,23.2
LI_GAP_MD60,T,TOTAL,EA19,2013-01-01,24.0
LI_GAP_MD60,T,TOTAL,EA19,2014-01-01,24.8
LI_GAP_MD60,T,TOTAL,EA19,2015-01-01,24.9
LI_GAP_MD60,T,TOTAL,EA19,2016-01-01,24.8
LI_GAP_MD60,T,TOTAL,EA19,2017-01-01,24.4
LI_GAP_MD60,T,TOTAL,EE,2000-01-01,25.0
LI_GAP_MD60,T,TOTAL,EE,2001-01-01,24.0
LI_GAP_MD60,T,TOTAL,EE,2002-01-01,24.0
LI_GAP_MD60,T,TOTAL,EE,2003-01-01,
LI_GAP_MD60,T,TOTAL,EE,2004-01-01,26.3
LI_GAP_MD60,T,TOTAL,EE,2005-01-01,24.0
LI_GAP_MD60,T,TOTAL,EE,2006-01-01,22.0
LI_GAP_MD60,T,TOTAL,EE,2007-01-01,20.2
LI_GAP_MD60,T,TOTAL,EE,2008-01-01,20.3
LI_GAP_MD60,T,TOTAL,EE,2009-01-01,17.0
LI_GAP_MD60,T,TOTAL,EE,2010-01-01,23.2
LI_GAP_MD60,T,TOTAL,EE,2011-01-01,26.0
LI_GAP_MD60,T,TOTAL,EE,2012-01-01,23.8
LI_GAP_MD60,T,TOTAL,EE,2013-01-01,21.5
LI_GAP_MD60,T,TOTAL,EE,2014-01-01,22.0
LI_GAP_MD60,T,TOTAL,EE,2015-01-01,21.0
LI_GAP_MD60,T,TOTAL,EE,2016-01-01,20.5
LI_GAP_MD60,T,TOTAL,EE,2017-01-01,20.7
LI_GAP_MD60,T,TOTAL,EL,2000-01-01,30.0
LI_GAP_MD60,T,TOTAL,EL,2001-01-01,28.0
LI_GAP_MD60,T,TOTAL,EL,2002-01-01,
LI_GAP_MD60,T,TOTAL,EL,2003-01-01,29.2
LI_GAP_MD60,T,TOTAL,EL,2004-01-01,24.6
LI_GAP_MD60,T,TOTAL,EL,2005-01-01,23.9
LI_GAP_MD60,T,TOTAL,EL,2006-01-01,25.8
LI_GAP_MD60,T,TOTAL,EL,2007-01-01,26.0
LI_GAP_MD60,T,TOTAL,EL,2008-01-01,24.7
LI_GAP_MD60,T,TOTAL,EL,2009-01-01,24.1
LI_GAP_MD60,T,TOTAL,EL,2010-01-01,23.4
LI_GAP_MD60,T,TOTAL,EL,2011-01-01,26.1
LI_GAP_MD60,T,TOTAL,EL,2012-01-01,29.9
LI_GAP_MD60,T,TOTAL,EL,2013-01-01,32.7
LI_GAP_MD60,T,TOTAL,EL,2014-01-01,31.3
LI_GAP_MD60,T,TOTAL,EL,2015-01-01,30.6
LI_GAP_MD60,T,TOTAL,EL,2016-01-01,31.9
LI_GAP_MD60,T,TOTAL,EL,2017-01-01,30.3
LI_GAP_MD60,T,TOTAL,ES,2000-01-01,22.0
LI_GAP_MD60,T,TOTAL,ES,2001-01-01,24.0
LI_GAP_MD60,T,TOTAL,ES,2002-01-01,22.0
LI_GAP_MD60,T,TOTAL,ES,2003-01-01,
LI_GAP_MD60,T,TOTAL,ES,2004-01-01,24.8
LI_GAP_MD60,T,TOTAL,ES,2005-01-01,25.6
LI_GAP_MD60,T,TOTAL,ES,2006-01-01,26.4
LI_GAP_MD60,T,TOTAL,ES,2007-01-01,25.9
LI_GAP_MD60,T,TOTAL,ES,2008-01-01,25.6
LI_GAP_MD60,T,TOTAL,ES,2009-01-01,25.7
LI_GAP_MD60,T,TOTAL,ES,2010-01-01,26.8
LI_GAP_MD60,T,TOTAL,ES,2011-01-01,27.4
LI_GAP_MD60,T,TOTAL,ES,2012-01-01,30.6
LI_GAP_MD60,T,TOTAL,ES,2013-01-01,30.9
LI_GAP_MD60,T,TOTAL,ES,2014-01-01,31.6
LI_GAP_MD60,T,TOTAL,ES,2015-01-01,33.8
LI_GAP_MD60,T,TOTAL,ES,2016-01-01,31.4
LI_GAP_MD60,T,TOTAL,ES,2017-01-01,32.4
LI_GAP_MD60,T,TOTAL,EU,2000-01-01,
LI_GAP_MD60,T,TOTAL,EU,2001-01-01,
LI_GAP_MD60,T,TOTAL,EU,2002-01-01,
LI_GAP_MD60,T,TOTAL,EU,2003-01-01,
LI_GAP_MD60,T,TOTAL,EU,2004-01-01,
LI_GAP_MD60,T,TOTAL,EU,2005-01-01,
LI_GAP_MD60,T,TOTAL,EU,2006-01-01,
LI_GAP_MD60,T,TOTAL,EU,2007-01-01,
LI_GAP_MD60,T,TOTAL,EU,2008-01-01,21.9
LI_GAP_MD60,T,TOTAL,EU,2009-01-01,22.2
LI_GAP_MD60,T,TOTAL,EU,2010-01-01,22.9
LI_GAP_MD60,T,TOTAL,EU,2011-01-01,23.0
LI_GAP_MD60,T,TOTAL,EU,2012-01-01,23.4
LI_GAP_MD60,T,TOTAL,EU,2013-01-01,23.8
LI_GAP_MD60,T,TOTAL,EU,2014-01-01,24.6
LI_GAP_MD60,T,TOTAL,EU,2015-01-01,24.8
LI_GAP_MD60,T,TOTAL,EU,2016-01-01,25.0
LI_GAP_MD60,T,TOTAL,EU,2017-01-01,24.7
LI_GAP_MD60,T,TOTAL,EU27,2000-01-01,
LI_GAP_MD60,T,TOTAL,EU27,2001-01-01,
LI_GAP_MD60,T,TOTAL,EU27,2002-01-01,
LI_GAP_MD60,T,TOTAL,EU27,2003-01-01,
LI_GAP_MD60,T,TOTAL,EU27,2004-01-01,
LI_GAP_MD60,T,TOTAL,EU27,2005-01-01,23.3
