indic,unit,geotime,date,value
TOTAL,I15_NSA,EU,2017-10-01,110.69
TOTAL,I15_NSA,EU,2018-01-01,111.38
TOTAL,I15_NSA,EU,2018-04-01,112.99
TOTAL,I15_NSA,EU28,2015-07-01,101.01
TOTAL,I15_NSA,EU28,2015-10-01,101.35
TOTAL,I15_NSA,EU28,2016-01-01,102.16
TOTAL,I15_NSA,EU28,2016-04-01,103.86
TOTAL,I15_NSA,EU28,2016-07-01,105.42
TOTAL,I15_NSA,EU28,2016-10-01,105.94
TOTAL,I15_NSA,EU28,2017-01-01,106.41
TOTAL,I15_NSA,EU28,2017-04-01,108.32
TOTAL,I15_NSA,EU28,2017-07-01,110.03
TOTAL,I15_NSA,EU28,2017-10-01,110.69
TOTAL,I15_NSA,EU28,2018-01-01,111.38
TOTAL,I15_NSA,EU28,2018-04-01,112.99
TOTAL,I15_NSA,FI,2015-07-01,100.12
TOTAL,I15_NSA,FI,2015-10-01,99.9
TOTAL,I15_NSA,FI,2016-01-01,99.8
TOTAL,I15_NSA,FI,2016-04-01,100.98
TOTAL,I15_NSA,FI,2016-07-01,100.58
TOTAL,I15_NSA,FI,2016-10-01,100.4
TOTAL,I15_NSA,FI,2017-01-01,101.75
TOTAL,I15_NSA,FI,2017-04-01,102.68
TOTAL,I15_NSA,FI,2017-07-01,102.05
TOTAL,I15_NSA,FI,2017-10-01,101.56
TOTAL,I15_NSA,FI,2018-01-01,101.71
TOTAL,I15_NSA,FI,2018-04-01,103.42
TOTAL,I15_NSA,FR,2015-07-01,100.94
TOTAL,I15_NSA,FR,2015-10-01,100.14
TOTAL,I15_NSA,FR,2016-01-01,99.71
TOTAL,I15_NSA,FR,2016-04-01,100.2
TOTAL,I15_NSA,FR,2016-07-01,102.35
TOTAL,I15_NSA,FR,2016-10-01,101.78
TOTAL,I15_NSA,FR,2017-01-01,102.39
TOTAL,I15_NSA,FR,2017-04-01,103.4
TOTAL,I15_NSA,FR,2017-07-01,105.69
TOTAL,I15_NSA,FR,2017-10-01,105.14
TOTAL,I15_NSA,FR,2018-01-01,105.4
TOTAL,I15_NSA,FR,2018-04-01,106.31
TOTAL,I15_NSA,HR,2015-07-01,99.86
TOTAL,I15_NSA,HR,2015-10-01,99.96
TOTAL,I15_NSA,HR,2016-01-01,101.21
TOTAL,I15_NSA,HR,2016-04-01,100.28
TOTAL,I15_NSA,HR,2016-07-01,101.31
TOTAL,I15_NSA,HR,2016-10-01,100.75
TOTAL,I15_NSA,HR,2017-01-01,100.85
TOTAL,I15_NSA,HR,2017-04-01,104.55
TOTAL,I15_NSA,HR,2017-07-01,105.13
TOTAL,I15_NSA,HR,2017-10-01,108.45
TOTAL,I15_NSA,HR,2018-01-01,109.44
TOTAL,I15_NSA,HR,2018-04-01,109.26
TOTAL,I15_NSA,HU,2015-07-01,103.06
TOTAL,I15_NSA,HU,2015-10-01,104.65
TOTAL,I15_NSA,HU,2016-01-01,109.39
TOTAL,I15_NSA,HU,2016-04-01,111.97
TOTAL,I15_NSA,HU,2016-07-01,115.2
TOTAL,I15_NSA,HU,2016-10-01,116.95
TOTAL,I15_NSA,HU,2017-01-01,115.21
TOTAL,I15_NSA,HU,2017-04-01,118.67
TOTAL,I15_NSA,HU,2017-07-01,122.31
TOTAL,I15_NSA,HU,2017-10-01,124.33
TOTAL,I15_NSA,HU,2018-01-01,129.24
TOTAL,I15_NSA,HU,2018-04-01,131.01
TOTAL,I15_NSA,IE,2015-07-01,101.73
TOTAL,I15_NSA,IE,2015-10-01,103.25
TOTAL,I15_NSA,IE,2016-01-01,103.67
TOTAL,I15_NSA,IE,2016-04-01,104.79
TOTAL,I15_NSA,IE,2016-07-01,109.33
TOTAL,I15_NSA,IE,2016-10-01,112.06
TOTAL,I15_NSA,IE,2017-01-01,113.36
TOTAL,I15_NSA,IE,2017-04-01,115.86
TOTAL,I15_NSA,IE,2017-07-01,122.18
TOTAL,I15_NSA,IE,2017-10-01,125.31
TOTAL,I15_NSA,IE,2018-01-01,127.34
TOTAL,I15_NSA,IE,2018-04-01,130.45
TOTAL,I15_NSA,IS,2015-07-01,100.54
TOTAL,I15_NSA,IS,2015-10-01,102.78
TOTAL,I15_NSA,IS,2016-01-01,104.94
TOTAL,I15_NSA,IS,2016-04-01,106.65
TOTAL,I15_NSA,IS,2016-07-01,110.76
TOTAL,I15_NSA,IS,2016-10-01,116.73
TOTAL,I15_NSA,IS,2017-01-01,122.09
TOTAL,I15_NSA,IS,2017-04-01,130.12
TOTAL,I15_NSA,IS,2017-07-01,135.65
TOTAL,I15_NSA,IS,2017-10-01,136.94
TOTAL,I15_NSA,IS,2018-01-01,138.82
TOTAL,I15_NSA,IS,2018-04-01,140.52
TOTAL,I15_NSA,IT,2015-07-01,100.7
TOTAL,I15_NSA,IT,2015-10-01,99.8
TOTAL,I15_NSA,IT,2016-01-01,99.8
TOTAL,I15_NSA,IT,2016-04-01,100.5
TOTAL,I15_NSA,IT,2016-07-01,100.7
TOTAL,I15_NSA,IT,2016-10-01,99.0
TOTAL,I15_NSA,IT,2017-01-01,99.1
TOTAL,I15_NSA,IT,2017-04-01,99.6
TOTAL,I15_NSA,IT,2017-07-01,99.2
TOTAL,I15_NSA,IT,2017-10-01,98.8
TOTAL,I15_NSA,IT,2018-01-01,98.6
TOTAL,I15_NSA,IT,2018-04-01,99.4
TOTAL,I15_NSA,LT,2015-07-01,102.07
TOTAL,I15_NSA,LT,2015-10-01,99.95
TOTAL,I15_NSA,LT,2016-01-01,100.78
TOTAL,I15_NSA,LT,2016-04-01,103.91
TOTAL,I15_NSA,LT,2016-07-01,107.48
TOTAL,I15_NSA,LT,2016-10-01,109.43
TOTAL,I15_NSA,LT,2017-01-01,111.07
TOTAL,I15_NSA,LT,2017-04-01,114.52
TOTAL,I15_NSA,LT,2017-07-01,116.66
TOTAL,I15_NSA,LT,2017-10-01,116.94
TOTAL,I15_NSA,LT,2018-01-01,119.78
TOTAL,I15_NSA,LT,2018-04-01,123.0
TOTAL,I15_NSA,LU,2015-07-01,101.27
TOTAL,I15_NSA,LU,2015-10-01,101.06
TOTAL,I15_NSA,LU,2016-01-01,102.64
TOTAL,I15_NSA,LU,2016-04-01,105.44
TOTAL,I15_NSA,LU,2016-07-01,107.02
TOTAL,I15_NSA,LU,2016-10-01,108.92
TOTAL,I15_NSA,LU,2017-01-01,109.84
TOTAL,I15_NSA,LU,2017-04-01,112.21
TOTAL,I15_NSA,LU,2017-07-01,112.28
TOTAL,I15_NSA,LU,2017-10-01,113.5
TOTAL,I15_NSA,LU,2018-01-01,116.84
TOTAL,I15_NSA,LU,2018-04-01,117.93
TOTAL,I15_NSA,LV,2015-07-01,100.4
TOTAL,I15_NSA,LV,2015-10-01,102.91
TOTAL,I15_NSA,LV,2016-01-01,103.49
TOTAL,I15_NSA,LV,2016-04-01,109.52
TOTAL,I15_NSA,LV,2016-07-01,110.04
TOTAL,I15_NSA,LV,2016-10-01,110.9
TOTAL,I15_NSA,LV,2017-01-01,113.11
TOTAL,I15_NSA,LV,2017-04-01,119.53
TOTAL,I15_NSA,LV,2017-07-01,119.72
TOTAL,I15_NSA,LV,2017-10-01,119.69
TOTAL,I15_NSA,LV,2018-01-01,126.02
TOTAL,I15_NSA,LV,2018-04-01,129.91
TOTAL,I15_NSA,MT,2015-07-01,102.72
TOTAL,I15_NSA,MT,2015-10-01,105.92
TOTAL,I15_NSA,MT,2016-01-01,100.29
TOTAL,I15_NSA,MT,2016-04-01,102.78
TOTAL,I15_NSA,MT,2016-07-01,107.62
TOTAL,I15_NSA,MT,2016-10-01,111.12
TOTAL,I15_NSA,MT,2017-01-01,105.61
TOTAL,I15_NSA,MT,2017-04-01,108.88
TOTAL,I15_NSA,MT,2017-07-01,113.09
TOTAL,I15_NSA,MT,2017-10-01,116.53
TOTAL,I15_NSA,MT,2018-01-01,111.51
TOTAL,I15_NSA,MT,2018-04-01,115.05
TOTAL,I15_NSA,NL,2015-07-01,101.14
TOTAL,I15_NSA,NL,2015-10-01,101.45
TOTAL,I15_NSA,NL,2016-01-01,102.81
TOTAL,I15_NSA,NL,2016-04-01,103.58
TOTAL,I15_NSA,NL,2016-07-01,106.16
TOTAL,I15_NSA,NL,2016-10-01,107.52
TOTAL,I15_NSA,NL,2017-01-01,109.67
TOTAL,I15_NSA,NL,2017-04-01,111.39
TOTAL,I15_NSA,NL,2017-07-01,114.02
TOTAL,I15_NSA,NL,2017-10-01,116.65
TOTAL,I15_NSA,NL,2018-01-01,119.9
TOTAL,I15_NSA,NL,2018-04-01,121.79
TOTAL,I15_NSA,NO,2015-07-01,100.93
TOTAL,I15_NSA,NO,2015-10-01,100.12
TOTAL,I15_NSA,NO,2016-01-01,102.86
TOTAL,I15_NSA,NO,2016-04-01,107.18
TOTAL,I15_NSA,NO,2016-07-01,109.87
TOTAL,I15_NSA,NO,2016-10-01,111.61
TOTAL,I15_NSA,NO,2017-01-01,114.86
TOTAL,I15_NSA,NO,2017-04-01,115.54
TOTAL,I15_NSA,NO,2017-07-01,112.35
TOTAL,I15_NSA,NO,2017-10-01,112.23
TOTAL,I15_NSA,NO,2018-01-01,113.57
TOTAL,I15_NSA,NO,2018-04-01,116.08
TOTAL,I15_NSA,PL,2015-07-01,100.63
TOTAL,I15_NSA,PL,2015-10-01,99.88
TOTAL,I15_NSA,PL,2016-01-01,100.0
TOTAL,I15_NSA,PL,2016-04-01,100.84
TOTAL,I15_NSA,PL,2016-07-01,102.73
TOTAL,I15_NSA,PL,2016-10-01,103.86
TOTAL,I15_NSA,PL,2017-01-01,103.33
TOTAL,I15_NSA,PL,2017-04-01,105.44
TOTAL,I15_NSA,PL,2017-07-01,106.5
TOTAL,I15_NSA,PL,2017-10-01,107.86
TOTAL,I15_NSA,PL,2018-01-01,109.48
TOTAL,I15_NSA,PL,2018-04-01,111.95
TOTAL,I15_NSA,PT,2015-07-01,100.65
TOTAL,I15_NSA,PT,2015-10-01,101.84
TOTAL,I15_NSA,PT,2016-01-01,103.67
TOTAL,I15_NSA,PT,2016-04-01,106.91
TOTAL,I15_NSA,PT,2016-07-01,108.31
TOTAL,I15_NSA,PT,2016-10-01,109.57
TOTAL,I15_NSA,PT,2017-01-01,111.89
TOTAL,I15_NSA,PT,2017-04-01,115.51
TOTAL,I15_NSA,PT,2017-07-01,119.6
TOTAL,I15_NSA,PT,2017-10-01,121.06
TOTAL,I15_NSA,PT,2018-01-01,125.58
TOTAL,I15_NSA,PT,2018-04-01,128.49
TOTAL,I15_NSA,RO,2015-07-01,98.87
TOTAL,I15_NSA,RO,2015-10-01,100.36
TOTAL,I15_NSA,RO,2016-01-01,103.65
TOTAL,I15_NSA,RO,2016-04-01,106.59
TOTAL,I15_NSA,RO,2016-07-01,105.86
TOTAL,I15_NSA,RO,2016-10-01,107.7
TOTAL,I15_NSA,RO,2017-01-01,108.96
TOTAL,I15_NSA,RO,2017-04-01,114.27
TOTAL,I15_NSA,RO,2017-07-01,112.44
TOTAL,I15_NSA,RO,2017-10-01,113.75
TOTAL,I15_NSA,RO,2018-01-01,116.1
TOTAL,I15_NSA,RO,2018-04-01,119.66
TOTAL,I15_NSA,SE,2015-07-01,102.26
TOTAL,I15_NSA,SE,2015-10-01,104.35
TOTAL,I15_NSA,SE,2016-01-01,106.85
TOTAL,I15_NSA,SE,2016-04-01,106.98
TOTAL,I15_NSA,SE,2016-07-01,109.54
TOTAL,I15_NSA,SE,2016-10-01,111.15
TOTAL,I15_NSA,SE,2017-01-01,113.95
TOTAL,I15_NSA,SE,2017-04-01,116.15
TOTAL,I15_NSA,SE,2017-07-01,117.76
TOTAL,I15_NSA,SE,2017-10-01,114.44
TOTAL,I15_NSA,SE,2018-01-01,113.49
TOTAL,I15_NSA,SE,2018-04-01,114.14
TOTAL,I15_NSA,SI,2015-07-01,98.77
TOTAL,I15_NSA,SI,2015-10-01,98.74
TOTAL,I15_NSA,SI,2016-01-01,100.94
TOTAL,I15_NSA,SI,2016-04-01,102.84
TOTAL,I15_NSA,SI,2016-07-01,103.69
TOTAL,I15_NSA,SI,2016-10-01,105.54
TOTAL,I15_NSA,SI,2017-01-01,106.87
TOTAL,I15_NSA,SI,2017-04-01,111.42
TOTAL,I15_NSA,SI,2017-07-01,111.89
TOTAL,I15_NSA,SI,2017-10-01,116.07
TOTAL,I15_NSA,SI,2018-01-01,121.19
TOTAL,I15_NSA,SI,2018-04-01,126.34
TOTAL,I15_NSA,SK,2015-07-01,100.22
TOTAL,I15_NSA,SK,2015-10-01,101.34
TOTAL,I15_NSA,SK,2016-01-01,103.18
TOTAL,I15_NSA,SK,2016-04-01,106.1
TOTAL,I15_NSA,SK,2016-07-01,107.77
TOTAL,I15_NSA,SK,2016-10-01,109.75
TOTAL,I15_NSA,SK,2017-01-01,107.08
TOTAL,I15_NSA,SK,2017-04-01,113.09
TOTAL,I15_NSA,SK,2017-07-01,115.62
TOTAL,I15_NSA,SK,2017-10-01,116.16
TOTAL,I15_NSA,SK,2018-01-01,119.57
TOTAL,I15_NSA,SK,2018-04-01,120.99
TOTAL,I15_NSA,UK,2015-07-01,101.82
TOTAL,I15_NSA,UK,2015-10-01,103.05
TOTAL,I15_NSA,UK,2016-01-01,104.16
TOTAL,I15_NSA,UK,2016-04-01,106.49
TOTAL,I15_NSA,UK,2016-07-01,108.66
TOTAL,I15_NSA,UK,2016-10-01,108.6
TOTAL,I15_NSA,UK,2017-01-01,108.78
TOTAL,I15_NSA,UK,2017-04-01,111.16
TOTAL,I15_NSA,UK,2017-07-01,113.69
TOTAL,I15_NSA,UK,2017-10-01,113.61
TOTAL,I15_NSA,UK,2018-01-01,113.47
TOTAL,I15_NSA,UK,2018-04-01,114.92
TOTAL,PCH_Q1_NSA,AT,2015-07-01,4.1
TOTAL,PCH_Q1_NSA,AT,2015-10-01,-1.7
TOTAL,PCH_Q1_NSA,AT,2016-01-01,4.2
TOTAL,PCH_Q1_NSA,AT,2016-04-01,2.2
TOTAL,PCH_Q1_NSA,AT,2016-07-01,0.5
TOTAL,PCH_Q1_NSA,AT,2016-10-01,-0.1
TOTAL,PCH_Q1_NSA,AT,2017-01-01,2.0
TOTAL,PCH_Q1_NSA,AT,2017-04-01,2.4
TOTAL,PCH_Q1_NSA,AT,2017-07-01,0.4
TOTAL,PCH_Q1_NSA,AT,2017-10-01,1.5
TOTAL,PCH_Q1_NSA,AT,2018-01-01,0.8
TOTAL,PCH_Q1_NSA,AT,2018-04-01,0.9
TOTAL,PCH_Q1_NSA,BE,2015-07-01,2.2
TOTAL,PCH_Q1_NSA,BE,2015-10-01,-0.5
TOTAL,PCH_Q1_NSA,BE,2016-01-01,-0.7
TOTAL,PCH_Q1_NSA,BE,2016-04-01,1.2
TOTAL,PCH_Q1_NSA,BE,2016-07-01,2.5
TOTAL,PCH_Q1_NSA,BE,2016-10-01,-0.4
TOTAL,PCH_Q1_NSA,BE,2017-01-01,1.0
TOTAL,PCH_Q1_NSA,BE,2017-04-01,-0.3
TOTAL,PCH_Q1_NSA,BE,2017-07-01,3.4
TOTAL,PCH_Q1_NSA,BE,2017-10-01,-0.5
TOTAL,PCH_Q1_NSA,BE,2018-01-01,0.0
TOTAL,PCH_Q1_NSA,BE,2018-04-01,1.0
TOTAL,PCH_Q1_NSA,BG,2015-07-01,-0.5
TOTAL,PCH_Q1_NSA,BG,2015-10-01,3.0
TOTAL,PCH_Q1_NSA,BG,2016-01-01,1.1
TOTAL,PCH_Q1_NSA,BG,2016-04-01,2.8
TOTAL,PCH_Q1_NSA,BG,2016-07-01,1.6
TOTAL,PCH_Q1_NSA,BG,2016-10-01,2.4
TOTAL,PCH_Q1_NSA,BG,2017-01-01,1.9
TOTAL,PCH_Q1_NSA,BG,2017-04-01,2.4
TOTAL,PCH_Q1_NSA,BG,2017-07-01,2.0
TOTAL,PCH_Q1_NSA,BG,2017-10-01,1.6
TOTAL,PCH_Q1_NSA,BG,2018-01-01,0.9
TOTAL,PCH_Q1_NSA,BG,2018-04-01,2.8
TOTAL,PCH_Q1_NSA,CY,2015-07-01,1.9
TOTAL,PCH_Q1_NSA,CY,2015-10-01,-3.0
TOTAL,PCH_Q1_NSA,CY,2016-01-01,-2.1
TOTAL,PCH_Q1_NSA,CY,2016-04-01,1.9
TOTAL,PCH_Q1_NSA,CY,2016-07-01,2.7
TOTAL,PCH_Q1_NSA,CY,2016-10-01,0.8
TOTAL,PCH_Q1_NSA,CY,2017-01-01,-3.0
TOTAL,PCH_Q1_NSA,CY,2017-04-01,3.1
TOTAL,PCH_Q1_NSA,CY,2017-07-01,-0.3
TOTAL,PCH_Q1_NSA,CY,2017-10-01,2.7
TOTAL,PCH_Q1_NSA,CY,2018-01-01,-1.8
TOTAL,PCH_Q1_NSA,CY,2018-04-01,0.6
TOTAL,PCH_Q1_NSA,CZ,2015-07-01,1.2
TOTAL,PCH_Q1_NSA,CZ,2015-10-01,1.1
TOTAL,PCH_Q1_NSA,CZ,2016-01-01,1.3
TOTAL,PCH_Q1_NSA,CZ,2016-04-01,2.0
TOTAL,PCH_Q1_NSA,CZ,2016-07-01,2.5
TOTAL,PCH_Q1_NSA,CZ,2016-10-01,4.7
TOTAL,PCH_Q1_NSA,CZ,2017-01-01,3.0
TOTAL,PCH_Q1_NSA,CZ,2017-04-01,2.5
TOTAL,PCH_Q1_NSA,CZ,2017-07-01,1.8
TOTAL,PCH_Q1_NSA,CZ,2017-10-01,0.9
TOTAL,PCH_Q1_NSA,CZ,2018-01-01,2.2
TOTAL,PCH_Q1_NSA,CZ,2018-04-01,2.4
TOTAL,PCH_Q1_NSA,DE,2015-07-01,0.5
TOTAL,PCH_Q1_NSA,DE,2015-10-01,1.4
TOTAL,PCH_Q1_NSA,DE,2016-01-01,0.7
TOTAL,PCH_Q1_NSA,DE,2016-04-01,2.9
TOTAL,PCH_Q1_NSA,DE,2016-07-01,1.4
TOTAL,PCH_Q1_NSA,DE,2016-10-01,1.7
TOTAL,PCH_Q1_NSA,DE,2017-01-01,-1.0
TOTAL,PCH_Q1_NSA,DE,2017-04-01,2.0
TOTAL,PCH_Q1_NSA,DE,2017-07-01,1.6
TOTAL,PCH_Q1_NSA,DE,2017-10-01,1.9
TOTAL,PCH_Q1_NSA,DE,2018-01-01,-0.2
TOTAL,PCH_Q1_NSA,DE,2018-04-01,1.3
TOTAL,PCH_Q1_NSA,DK,2015-07-01,0.4
TOTAL,PCH_Q1_NSA,DK,2015-10-01,0.0
TOTAL,PCH_Q1_NSA,DK,2016-01-01,1.9
TOTAL,PCH_Q1_NSA,DK,2016-04-01,2.5
TOTAL,PCH_Q1_NSA,DK,2016-07-01,1.3
TOTAL,PCH_Q1_NSA,DK,2016-10-01,-1.6
TOTAL,PCH_Q1_NSA,DK,2017-01-01,2.2
TOTAL,PCH_Q1_NSA,DK,2017-04-01,2.7
TOTAL,PCH_Q1_NSA,DK,2017-07-01,1.3
TOTAL,PCH_Q1_NSA,DK,2017-10-01,-1.9
TOTAL,PCH_Q1_NSA,DK,2018-01-01,3.7
TOTAL,PCH_Q1_NSA,DK,2018-04-01,1.6
TOTAL,PCH_Q1_NSA,EA,2015-07-01,1.0
TOTAL,PCH_Q1_NSA,EA,2015-10-01,0.1
TOTAL,PCH_Q1_NSA,EA,2016-01-01,0.5
TOTAL,PCH_Q1_NSA,EA,2016-04-01,1.6
TOTAL,PCH_Q1_NSA,EA,2016-07-01,1.4
TOTAL,PCH_Q1_NSA,EA,2016-10-01,0.4
TOTAL,PCH_Q1_NSA,EA,2017-01-01,0.4
TOTAL,PCH_Q1_NSA,EA,2017-04-01,1.5
TOTAL,PCH_Q1_NSA,EA,2017-07-01,1.6
TOTAL,PCH_Q1_NSA,EA,2017-10-01,0.8
TOTAL,PCH_Q1_NSA,EA,2018-01-01,0.5
TOTAL,PCH_Q1_NSA,EA,2018-04-01,1.4
TOTAL,PCH_Q1_NSA,EE,2015-07-01,-1.9
TOTAL,PCH_Q1_NSA,EE,2015-10-01,0.8
TOTAL,PCH_Q1_NSA,EE,2016-01-01,-0.1
TOTAL,PCH_Q1_NSA,EE,2016-04-01,3.1
TOTAL,PCH_Q1_NSA,EE,2016-07-01,3.4
TOTAL,PCH_Q1_NSA,EE,2016-10-01,1.1
TOTAL,PCH_Q1_NSA,EE,2017-01-01,-0.1
TOTAL,PCH_Q1_NSA,EE,2017-04-01,0.3
TOTAL,PCH_Q1_NSA,EE,2017-07-01,3.4
TOTAL,PCH_Q1_NSA,EE,2017-10-01,1.3
TOTAL,PCH_Q1_NSA,EE,2018-01-01,1.5
TOTAL,PCH_Q1_NSA,EE,2018-04-01,1.1
TOTAL,PCH_Q1_NSA,ES,2015-07-01,0.7
TOTAL,PCH_Q1_NSA,ES,2015-10-01,0.0
