currency,partner,sector10,sectpart,stk_flow,bop_item,geotime,date,value
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,AT,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,AT,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,AT,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,AT,2016-10-01,22158
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,AT,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,AT,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,AT,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,AT,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,AT,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,AT,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2016-10-01,22353
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BE,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2016-10-01,23898
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,BG,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2016-10-01,642980
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CH,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2016-10-01,775
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CY,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2016-10-01,81341
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,CZ,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2016-10-01,175765
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DE,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2016-10-01,60339
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA__R__F,DK,2018-04-01,
