unit,indic_eu,geotime,date,value
PC,T2020_31,BG,2013-01-01,19.0
PC,T2020_31,BG,2014-01-01,18.0
PC,T2020_31,BG,2015-01-01,18.2
PC,T2020_31,BG,2016-01-01,18.8
PC,T2020_31,CY,2004-01-01,3.1
PC,T2020_31,CY,2005-01-01,3.1
PC,T2020_31,CY,2006-01-01,3.3
PC,T2020_31,CY,2007-01-01,4.0
PC,T2020_31,CY,2008-01-01,5.1
PC,T2020_31,CY,2009-01-01,5.6
PC,T2020_31,CY,2010-01-01,6.0
PC,T2020_31,CY,2011-01-01,6.0
PC,T2020_31,CY,2012-01-01,6.8
PC,T2020_31,CY,2013-01-01,8.1
PC,T2020_31,CY,2014-01-01,8.9
PC,T2020_31,CY,2015-01-01,9.4
PC,T2020_31,CY,2016-01-01,9.3
PC,T2020_31,CZ,2004-01-01,6.8
PC,T2020_31,CZ,2005-01-01,7.1
PC,T2020_31,CZ,2006-01-01,7.4
PC,T2020_31,CZ,2007-01-01,8.0
PC,T2020_31,CZ,2008-01-01,8.6
PC,T2020_31,CZ,2009-01-01,9.9
PC,T2020_31,CZ,2010-01-01,10.5
PC,T2020_31,CZ,2011-01-01,10.9
PC,T2020_31,CZ,2012-01-01,12.8
PC,T2020_31,CZ,2013-01-01,13.8
PC,T2020_31,CZ,2014-01-01,15.0
PC,T2020_31,CZ,2015-01-01,15.0
PC,T2020_31,CZ,2016-01-01,14.9
PC,T2020_31,DE,2004-01-01,5.8
PC,T2020_31,DE,2005-01-01,6.7
PC,T2020_31,DE,2006-01-01,7.7
PC,T2020_31,DE,2007-01-01,9.1
PC,T2020_31,DE,2008-01-01,8.6
PC,T2020_31,DE,2009-01-01,9.9
PC,T2020_31,DE,2010-01-01,10.5
PC,T2020_31,DE,2011-01-01,11.4
PC,T2020_31,DE,2012-01-01,12.1
PC,T2020_31,DE,2013-01-01,12.4
PC,T2020_31,DE,2014-01-01,13.8
PC,T2020_31,DE,2015-01-01,14.6
PC,T2020_31,DE,2016-01-01,14.8
PC,T2020_31,DK,2004-01-01,14.9
PC,T2020_31,DK,2005-01-01,16.0
PC,T2020_31,DK,2006-01-01,16.3
PC,T2020_31,DK,2007-01-01,17.8
PC,T2020_31,DK,2008-01-01,18.6
PC,T2020_31,DK,2009-01-01,20.0
PC,T2020_31,DK,2010-01-01,22.1
PC,T2020_31,DK,2011-01-01,23.5
PC,T2020_31,DK,2012-01-01,25.7
PC,T2020_31,DK,2013-01-01,27.4
PC,T2020_31,DK,2014-01-01,29.6
PC,T2020_31,DK,2015-01-01,31.0
PC,T2020_31,DK,2016-01-01,32.2
PC,T2020_31,EE,2004-01-01,18.4
PC,T2020_31,EE,2005-01-01,17.5
PC,T2020_31,EE,2006-01-01,16.1
PC,T2020_31,EE,2007-01-01,17.1
PC,T2020_31,EE,2008-01-01,18.9
PC,T2020_31,EE,2009-01-01,23.0
PC,T2020_31,EE,2010-01-01,24.6
PC,T2020_31,EE,2011-01-01,25.5
PC,T2020_31,EE,2012-01-01,25.8
PC,T2020_31,EE,2013-01-01,25.6
PC,T2020_31,EE,2014-01-01,26.3
PC,T2020_31,EE,2015-01-01,28.6
PC,T2020_31,EE,2016-01-01,28.8
PC,T2020_31,EL,2004-01-01,6.9
PC,T2020_31,EL,2005-01-01,7.0
PC,T2020_31,EL,2006-01-01,7.2
PC,T2020_31,EL,2007-01-01,8.2
PC,T2020_31,EL,2008-01-01,8.0
PC,T2020_31,EL,2009-01-01,8.5
PC,T2020_31,EL,2010-01-01,9.8
PC,T2020_31,EL,2011-01-01,10.9
PC,T2020_31,EL,2012-01-01,13.5
PC,T2020_31,EL,2013-01-01,15.0
PC,T2020_31,EL,2014-01-01,15.3
PC,T2020_31,EL,2015-01-01,15.3
PC,T2020_31,EL,2016-01-01,15.2
PC,T2020_31,ES,2004-01-01,8.4
PC,T2020_31,ES,2005-01-01,8.5
PC,T2020_31,ES,2006-01-01,9.2
PC,T2020_31,ES,2007-01-01,9.7
PC,T2020_31,ES,2008-01-01,10.8
PC,T2020_31,ES,2009-01-01,13.0
PC,T2020_31,ES,2010-01-01,13.8
PC,T2020_31,ES,2011-01-01,13.2
PC,T2020_31,ES,2012-01-01,14.3
PC,T2020_31,ES,2013-01-01,15.3
PC,T2020_31,ES,2014-01-01,16.1
PC,T2020_31,ES,2015-01-01,16.2
PC,T2020_31,ES,2016-01-01,17.3
PC,T2020_31,EU27,2004-01-01,
PC,T2020_31,EU27,2005-01-01,
PC,T2020_31,EU27,2006-01-01,
PC,T2020_31,EU27,2007-01-01,
PC,T2020_31,EU27,2008-01-01,
PC,T2020_31,EU27,2009-01-01,
PC,T2020_31,EU27,2010-01-01,
PC,T2020_31,EU27,2011-01-01,
PC,T2020_31,EU27,2012-01-01,
PC,T2020_31,EU27,2013-01-01,
PC,T2020_31,EU27,2014-01-01,
PC,T2020_31,EU27,2015-01-01,
PC,T2020_31,EU27,2016-01-01,
PC,T2020_31,EU28,2004-01-01,8.5
PC,T2020_31,EU28,2005-01-01,9.0
PC,T2020_31,EU28,2006-01-01,9.5
PC,T2020_31,EU28,2007-01-01,10.5
PC,T2020_31,EU28,2008-01-01,11.1
PC,T2020_31,EU28,2009-01-01,12.4
PC,T2020_31,EU28,2010-01-01,12.9
PC,T2020_31,EU28,2011-01-01,13.2
PC,T2020_31,EU28,2012-01-01,14.4
PC,T2020_31,EU28,2013-01-01,15.2
PC,T2020_31,EU28,2014-01-01,16.1
PC,T2020_31,EU28,2015-01-01,16.7
PC,T2020_31,EU28,2016-01-01,17.0
PC,T2020_31,FI,2004-01-01,29.2
PC,T2020_31,FI,2005-01-01,28.8
PC,T2020_31,FI,2006-01-01,30.0
PC,T2020_31,FI,2007-01-01,29.6
PC,T2020_31,FI,2008-01-01,31.3
PC,T2020_31,FI,2009-01-01,31.3
PC,T2020_31,FI,2010-01-01,32.4
PC,T2020_31,FI,2011-01-01,32.8
PC,T2020_31,FI,2012-01-01,34.4
PC,T2020_31,FI,2013-01-01,36.7
PC,T2020_31,FI,2014-01-01,38.7
PC,T2020_31,FI,2015-01-01,39.2
PC,T2020_31,FI,2016-01-01,38.7
PC,T2020_31,FR,2004-01-01,9.5
PC,T2020_31,FR,2005-01-01,9.6
PC,T2020_31,FR,2006-01-01,9.3
PC,T2020_31,FR,2007-01-01,10.3
PC,T2020_31,FR,2008-01-01,11.3
PC,T2020_31,FR,2009-01-01,12.3
PC,T2020_31,FR,2010-01-01,12.7
PC,T2020_31,FR,2011-01-01,11.1
PC,T2020_31,FR,2012-01-01,13.4
PC,T2020_31,FR,2013-01-01,14.1
PC,T2020_31,FR,2014-01-01,14.7
PC,T2020_31,FR,2015-01-01,15.1
PC,T2020_31,FR,2016-01-01,16.0
PC,T2020_31,HR,2004-01-01,23.5
PC,T2020_31,HR,2005-01-01,23.8
PC,T2020_31,HR,2006-01-01,22.7
PC,T2020_31,HR,2007-01-01,22.2
PC,T2020_31,HR,2008-01-01,22.0
PC,T2020_31,HR,2009-01-01,23.6
PC,T2020_31,HR,2010-01-01,25.1
PC,T2020_31,HR,2011-01-01,25.4
PC,T2020_31,HR,2012-01-01,26.8
PC,T2020_31,HR,2013-01-01,28.0
PC,T2020_31,HR,2014-01-01,27.8
PC,T2020_31,HR,2015-01-01,29.0
PC,T2020_31,HR,2016-01-01,28.3
PC,T2020_31,HU,2004-01-01,4.4
PC,T2020_31,HU,2005-01-01,6.9
PC,T2020_31,HU,2006-01-01,7.4
PC,T2020_31,HU,2007-01-01,8.6
PC,T2020_31,HU,2008-01-01,8.6
PC,T2020_31,HU,2009-01-01,11.7
PC,T2020_31,HU,2010-01-01,12.7
PC,T2020_31,HU,2011-01-01,14.0
PC,T2020_31,HU,2012-01-01,15.5
PC,T2020_31,HU,2013-01-01,16.2
PC,T2020_31,HU,2014-01-01,14.6
PC,T2020_31,HU,2015-01-01,14.4
PC,T2020_31,HU,2016-01-01,14.2
PC,T2020_31,IE,2004-01-01,2.4
PC,T2020_31,IE,2005-01-01,2.9
PC,T2020_31,IE,2006-01-01,3.2
PC,T2020_31,IE,2007-01-01,3.7
PC,T2020_31,IE,2008-01-01,4.1
PC,T2020_31,IE,2009-01-01,5.1
PC,T2020_31,IE,2010-01-01,5.7
PC,T2020_31,IE,2011-01-01,6.5
PC,T2020_31,IE,2012-01-01,7.1
PC,T2020_31,IE,2013-01-01,7.7
PC,T2020_31,IE,2014-01-01,8.7
PC,T2020_31,IE,2015-01-01,9.2
PC,T2020_31,IE,2016-01-01,9.5
PC,T2020_31,IS,2004-01-01,58.9
PC,T2020_31,IS,2005-01-01,60.1
PC,T2020_31,IS,2006-01-01,60.8
PC,T2020_31,IS,2007-01-01,71.4
PC,T2020_31,IS,2008-01-01,67.4
PC,T2020_31,IS,2009-01-01,69.6
PC,T2020_31,IS,2010-01-01,70.3
PC,T2020_31,IS,2011-01-01,71.5
PC,T2020_31,IS,2012-01-01,72.4
PC,T2020_31,IS,2013-01-01,71.6
PC,T2020_31,IS,2014-01-01,70.4
PC,T2020_31,IS,2015-01-01,70.2
PC,T2020_31,IS,2016-01-01,72.6
PC,T2020_31,IT,2004-01-01,6.3
PC,T2020_31,IT,2005-01-01,7.5
PC,T2020_31,IT,2006-01-01,8.3
PC,T2020_31,IT,2007-01-01,9.8
PC,T2020_31,IT,2008-01-01,11.5
PC,T2020_31,IT,2009-01-01,12.8
PC,T2020_31,IT,2010-01-01,13.0
PC,T2020_31,IT,2011-01-01,12.9
PC,T2020_31,IT,2012-01-01,15.4
PC,T2020_31,IT,2013-01-01,16.7
PC,T2020_31,IT,2014-01-01,17.1
PC,T2020_31,IT,2015-01-01,17.5
PC,T2020_31,IT,2016-01-01,17.4
PC,T2020_31,LT,2004-01-01,17.2
PC,T2020_31,LT,2005-01-01,16.8
PC,T2020_31,LT,2006-01-01,16.9
PC,T2020_31,LT,2007-01-01,16.5
PC,T2020_31,LT,2008-01-01,17.8
PC,T2020_31,LT,2009-01-01,19.8
PC,T2020_31,LT,2010-01-01,19.6
PC,T2020_31,LT,2011-01-01,19.9
PC,T2020_31,LT,2012-01-01,21.4
PC,T2020_31,LT,2013-01-01,22.7
PC,T2020_31,LT,2014-01-01,23.6
PC,T2020_31,LT,2015-01-01,25.8
PC,T2020_31,LT,2016-01-01,25.6
PC,T2020_31,LU,2004-01-01,0.9
PC,T2020_31,LU,2005-01-01,1.4
PC,T2020_31,LU,2006-01-01,1.5
PC,T2020_31,LU,2007-01-01,2.7
PC,T2020_31,LU,2008-01-01,2.8
PC,T2020_31,LU,2009-01-01,2.9
PC,T2020_31,LU,2010-01-01,2.9
PC,T2020_31,LU,2011-01-01,2.9
PC,T2020_31,LU,2012-01-01,3.1
PC,T2020_31,LU,2013-01-01,3.5
PC,T2020_31,LU,2014-01-01,4.5
PC,T2020_31,LU,2015-01-01,5.0
PC,T2020_31,LU,2016-01-01,5.4
PC,T2020_31,LV,2004-01-01,32.8
PC,T2020_31,LV,2005-01-01,32.3
PC,T2020_31,LV,2006-01-01,31.1
PC,T2020_31,LV,2007-01-01,29.6
PC,T2020_31,LV,2008-01-01,29.8
PC,T2020_31,LV,2009-01-01,34.3
PC,T2020_31,LV,2010-01-01,30.4
PC,T2020_31,LV,2011-01-01,33.5
PC,T2020_31,LV,2012-01-01,35.7
PC,T2020_31,LV,2013-01-01,37.1
PC,T2020_31,LV,2014-01-01,38.7
PC,T2020_31,LV,2015-01-01,37.6
PC,T2020_31,LV,2016-01-01,37.2
PC,T2020_31,ME,2004-01-01,
PC,T2020_31,ME,2005-01-01,35.7
PC,T2020_31,ME,2006-01-01,34.8
PC,T2020_31,ME,2007-01-01,32.9
PC,T2020_31,ME,2008-01-01,32.3
PC,T2020_31,ME,2009-01-01,39.4
PC,T2020_31,ME,2010-01-01,40.6
PC,T2020_31,ME,2011-01-01,40.6
PC,T2020_31,ME,2012-01-01,41.5
PC,T2020_31,ME,2013-01-01,43.7
PC,T2020_31,ME,2014-01-01,44.1
PC,T2020_31,ME,2015-01-01,43.1
PC,T2020_31,ME,2016-01-01,41.5
PC,T2020_31,MK,2004-01-01,15.7
PC,T2020_31,MK,2005-01-01,16.5
PC,T2020_31,MK,2006-01-01,16.5
PC,T2020_31,MK,2007-01-01,15.0
PC,T2020_31,MK,2008-01-01,15.6
PC,T2020_31,MK,2009-01-01,17.2
PC,T2020_31,MK,2010-01-01,16.5
PC,T2020_31,MK,2011-01-01,16.4
PC,T2020_31,MK,2012-01-01,18.1
PC,T2020_31,MK,2013-01-01,18.5
PC,T2020_31,MK,2014-01-01,19.6
PC,T2020_31,MK,2015-01-01,19.5
PC,T2020_31,MK,2016-01-01,18.2
PC,T2020_31,MT,2004-01-01,0.1
PC,T2020_31,MT,2005-01-01,0.1
PC,T2020_31,MT,2006-01-01,0.1
PC,T2020_31,MT,2007-01-01,0.2
PC,T2020_31,MT,2008-01-01,0.2
PC,T2020_31,MT,2009-01-01,0.2
PC,T2020_31,MT,2010-01-01,1.0
PC,T2020_31,MT,2011-01-01,1.9
PC,T2020_31,MT,2012-01-01,2.8
PC,T2020_31,MT,2013-01-01,3.7
PC,T2020_31,MT,2014-01-01,4.7
PC,T2020_31,MT,2015-01-01,5.0
PC,T2020_31,MT,2016-01-01,6.0
PC,T2020_31,NL,2004-01-01,2.0
PC,T2020_31,NL,2005-01-01,2.5
PC,T2020_31,NL,2006-01-01,2.8
PC,T2020_31,NL,2007-01-01,3.3
PC,T2020_31,NL,2008-01-01,3.6
PC,T2020_31,NL,2009-01-01,4.3
PC,T2020_31,NL,2010-01-01,3.9
PC,T2020_31,NL,2011-01-01,4.5
PC,T2020_31,NL,2012-01-01,4.7
PC,T2020_31,NL,2013-01-01,4.8
PC,T2020_31,NL,2014-01-01,5.5
PC,T2020_31,NL,2015-01-01,5.8
PC,T2020_31,NL,2016-01-01,6.0
PC,T2020_31,NO,2004-01-01,58.1
PC,T2020_31,NO,2005-01-01,59.8
PC,T2020_31,NO,2006-01-01,60.2
PC,T2020_31,NO,2007-01-01,60.1
PC,T2020_31,NO,2008-01-01,61.7
PC,T2020_31,NO,2009-01-01,64.8
PC,T2020_31,NO,2010-01-01,61.1
PC,T2020_31,NO,2011-01-01,63.7
PC,T2020_31,NO,2012-01-01,64.0
PC,T2020_31,NO,2013-01-01,65.9
PC,T2020_31,NO,2014-01-01,68.6
PC,T2020_31,NO,2015-01-01,68.4
PC,T2020_31,NO,2016-01-01,69.4
PC,T2020_31,PL,2004-01-01,6.9
PC,T2020_31,PL,2005-01-01,6.9
PC,T2020_31,PL,2006-01-01,6.9
PC,T2020_31,PL,2007-01-01,6.9
PC,T2020_31,PL,2008-01-01,7.7
PC,T2020_31,PL,2009-01-01,8.7
PC,T2020_31,PL,2010-01-01,9.3
PC,T2020_31,PL,2011-01-01,10.3
PC,T2020_31,PL,2012-01-01,10.9
PC,T2020_31,PL,2013-01-01,11.4
PC,T2020_31,PL,2014-01-01,11.5
PC,T2020_31,PL,2015-01-01,11.7
PC,T2020_31,PL,2016-01-01,11.3
PC,T2020_31,PT,2004-01-01,19.2
PC,T2020_31,PT,2005-01-01,19.5
PC,T2020_31,PT,2006-01-01,20.8
PC,T2020_31,PT,2007-01-01,21.9
PC,T2020_31,PT,2008-01-01,23.0
PC,T2020_31,PT,2009-01-01,24.4
PC,T2020_31,PT,2010-01-01,24.2
PC,T2020_31,PT,2011-01-01,24.6
PC,T2020_31,PT,2012-01-01,24.6
PC,T2020_31,PT,2013-01-01,25.7
PC,T2020_31,PT,2014-01-01,27.0
PC,T2020_31,PT,2015-01-01,28.0
PC,T2020_31,PT,2016-01-01,28.5
PC,T2020_31,RO,2004-01-01,16.3
PC,T2020_31,RO,2005-01-01,17.3
PC,T2020_31,RO,2006-01-01,17.1
PC,T2020_31,RO,2007-01-01,18.3
PC,T2020_31,RO,2008-01-01,20.5
PC,T2020_31,RO,2009-01-01,22.7
PC,T2020_31,RO,2010-01-01,23.4
PC,T2020_31,RO,2011-01-01,21.4
PC,T2020_31,RO,2012-01-01,22.8
PC,T2020_31,RO,2013-01-01,23.9
PC,T2020_31,RO,2014-01-01,24.8
PC,T2020_31,RO,2015-01-01,24.8
PC,T2020_31,RO,2016-01-01,25.0
PC,T2020_31,RS,2004-01-01,12.9
PC,T2020_31,RS,2005-01-01,14.4
PC,T2020_31,RS,2006-01-01,14.6
PC,T2020_31,RS,2007-01-01,14.4
PC,T2020_31,RS,2008-01-01,16.0
PC,T2020_31,RS,2009-01-01,21.2
PC,T2020_31,RS,2010-01-01,19.9
PC,T2020_31,RS,2011-01-01,19.2
PC,T2020_31,RS,2012-01-01,20.9
PC,T2020_31,RS,2013-01-01,21.4
PC,T2020_31,RS,2014-01-01,22.7
PC,T2020_31,RS,2015-01-01,21.8
PC,T2020_31,RS,2016-01-01,20.9
PC,T2020_31,SE,2004-01-01,38.7
PC,T2020_31,SE,2005-01-01,40.6
PC,T2020_31,SE,2006-01-01,42.7
PC,T2020_31,SE,2007-01-01,44.2
PC,T2020_31,SE,2008-01-01,45.3
PC,T2020_31,SE,2009-01-01,48.2
PC,T2020_31,SE,2010-01-01,47.2
PC,T2020_31,SE,2011-01-01,48.8
PC,T2020_31,SE,2012-01-01,51.1
PC,T2020_31,SE,2013-01-01,52.0
PC,T2020_31,SE,2014-01-01,52.5
PC,T2020_31,SE,2015-01-01,53.8
PC,T2020_31,SE,2016-01-01,53.8
PC,T2020_31,SI,2004-01-01,16.1
PC,T2020_31,SI,2005-01-01,16.0
PC,T2020_31,SI,2006-01-01,15.6
PC,T2020_31,SI,2007-01-01,15.6
PC,T2020_31,SI,2008-01-01,15.0
PC,T2020_31,SI,2009-01-01,20.1
PC,T2020_31,SI,2010-01-01,20.4
PC,T2020_31,SI,2011-01-01,20.3
PC,T2020_31,SI,2012-01-01,20.8
PC,T2020_31,SI,2013-01-01,22.4
PC,T2020_31,SI,2014-01-01,21.5
PC,T2020_31,SI,2015-01-01,21.9
PC,T2020_31,SI,2016-01-01,21.3
PC,T2020_31,SK,2004-01-01,6.4
PC,T2020_31,SK,2005-01-01,6.4
PC,T2020_31,SK,2006-01-01,6.6
PC,T2020_31,SK,2007-01-01,7.8
PC,T2020_31,SK,2008-01-01,7.7
PC,T2020_31,SK,2009-01-01,9.4
PC,T2020_31,SK,2010-01-01,9.1
PC,T2020_31,SK,2011-01-01,10.3
PC,T2020_31,SK,2012-01-01,10.4
PC,T2020_31,SK,2013-01-01,10.1
PC,T2020_31,SK,2014-01-01,11.7
PC,T2020_31,SK,2015-01-01,12.9
PC,T2020_31,SK,2016-01-01,12.0
PC,T2020_31,UK,2004-01-01,1.1
PC,T2020_31,UK,2005-01-01,1.3
PC,T2020_31,UK,2006-01-01,1.5
PC,T2020_31,UK,2007-01-01,1.8
PC,T2020_31,UK,2008-01-01,2.7
PC,T2020_31,UK,2009-01-01,3.3
PC,T2020_31,UK,2010-01-01,3.7
PC,T2020_31,UK,2011-01-01,4.2
PC,T2020_31,UK,2012-01-01,4.6
PC,T2020_31,UK,2013-01-01,5.7
PC,T2020_31,UK,2014-01-01,7.0
PC,T2020_31,UK,2015-01-01,8.5
PC,T2020_31,UK,2016-01-01,9.3
