na_item,nace_r2,unit,geotime,date,value
B1G,K,MIO_EUR_NSA,ES,2018-04-01,12107
B1G,K,MIO_EUR_NSA,EU28,2015-07-01,171402
B1G,K,MIO_EUR_NSA,EU28,2015-10-01,179276
B1G,K,MIO_EUR_NSA,EU28,2016-01-01,173259
B1G,K,MIO_EUR_NSA,EU28,2016-04-01,177114
B1G,K,MIO_EUR_NSA,EU28,2016-07-01,170183
B1G,K,MIO_EUR_NSA,EU28,2016-10-01,170450
B1G,K,MIO_EUR_NSA,EU28,2017-01-01,168555
B1G,K,MIO_EUR_NSA,EU28,2017-04-01,172706
B1G,K,MIO_EUR_NSA,EU28,2017-07-01,164508
B1G,K,MIO_EUR_NSA,EU28,2017-10-01,168630
B1G,K,MIO_EUR_NSA,EU28,2018-01-01,169118
B1G,K,MIO_EUR_NSA,EU28,2018-04-01,173107
B1G,K,MIO_EUR_NSA,FI,2015-07-01,1317
B1G,K,MIO_EUR_NSA,FI,2015-10-01,1269
B1G,K,MIO_EUR_NSA,FI,2016-01-01,1340
B1G,K,MIO_EUR_NSA,FI,2016-04-01,1433
B1G,K,MIO_EUR_NSA,FI,2016-07-01,1446
B1G,K,MIO_EUR_NSA,FI,2016-10-01,1230
B1G,K,MIO_EUR_NSA,FI,2017-01-01,1475
B1G,K,MIO_EUR_NSA,FI,2017-04-01,1394
B1G,K,MIO_EUR_NSA,FI,2017-07-01,1403
B1G,K,MIO_EUR_NSA,FI,2017-10-01,1362
B1G,K,MIO_EUR_NSA,FI,2018-01-01,1437
B1G,K,MIO_EUR_NSA,FI,2018-04-01,1287
B1G,K,MIO_EUR_NSA,FR,2015-07-01,21780
B1G,K,MIO_EUR_NSA,FR,2015-10-01,21682
B1G,K,MIO_EUR_NSA,FR,2016-01-01,21147
B1G,K,MIO_EUR_NSA,FR,2016-04-01,20539
B1G,K,MIO_EUR_NSA,FR,2016-07-01,19543
B1G,K,MIO_EUR_NSA,FR,2016-10-01,19081
B1G,K,MIO_EUR_NSA,FR,2017-01-01,18466
B1G,K,MIO_EUR_NSA,FR,2017-04-01,18077
B1G,K,MIO_EUR_NSA,FR,2017-07-01,17609
B1G,K,MIO_EUR_NSA,FR,2017-10-01,17754
B1G,K,MIO_EUR_NSA,FR,2018-01-01,17818
B1G,K,MIO_EUR_NSA,FR,2018-04-01,18085
B1G,K,MIO_EUR_NSA,HR,2015-07-01,590
B1G,K,MIO_EUR_NSA,HR,2015-10-01,600
B1G,K,MIO_EUR_NSA,HR,2016-01-01,600
B1G,K,MIO_EUR_NSA,HR,2016-04-01,618
B1G,K,MIO_EUR_NSA,HR,2016-07-01,613
B1G,K,MIO_EUR_NSA,HR,2016-10-01,606
B1G,K,MIO_EUR_NSA,HR,2017-01-01,625
B1G,K,MIO_EUR_NSA,HR,2017-04-01,635
B1G,K,MIO_EUR_NSA,HR,2017-07-01,620
B1G,K,MIO_EUR_NSA,HR,2017-10-01,619
B1G,K,MIO_EUR_NSA,HR,2018-01-01,628
B1G,K,MIO_EUR_NSA,HR,2018-04-01,647
B1G,K,MIO_EUR_NSA,HU,2015-07-01,794
B1G,K,MIO_EUR_NSA,HU,2015-10-01,786
B1G,K,MIO_EUR_NSA,HU,2016-01-01,853
B1G,K,MIO_EUR_NSA,HU,2016-04-01,843
B1G,K,MIO_EUR_NSA,HU,2016-07-01,844
B1G,K,MIO_EUR_NSA,HU,2016-10-01,841
B1G,K,MIO_EUR_NSA,HU,2017-01-01,946
B1G,K,MIO_EUR_NSA,HU,2017-04-01,950
B1G,K,MIO_EUR_NSA,HU,2017-07-01,950
B1G,K,MIO_EUR_NSA,HU,2017-10-01,927
B1G,K,MIO_EUR_NSA,HU,2018-01-01,977
B1G,K,MIO_EUR_NSA,HU,2018-04-01,980
B1G,K,MIO_EUR_NSA,IE,2015-07-01,4529
B1G,K,MIO_EUR_NSA,IE,2015-10-01,4919
B1G,K,MIO_EUR_NSA,IE,2016-01-01,4847
B1G,K,MIO_EUR_NSA,IE,2016-04-01,4866
B1G,K,MIO_EUR_NSA,IE,2016-07-01,5100
B1G,K,MIO_EUR_NSA,IE,2016-10-01,5329
B1G,K,MIO_EUR_NSA,IE,2017-01-01,4606
