s_adj,bop_item,sector10,sectpart,stk_flow,partner,currency,geo\time,date,value
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2017-12-01,-2001.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2018-01-01,-419.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2018-02-01,-562.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2018-03-01,-697.6 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2018-04-01,-925.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2018-05-01,-955.4 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2018-06-01,-1073.9 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2018-07-01,-854.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2018-08-01,-823.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2017-09-01,16.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2017-10-01,17.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2017-11-01,17.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2017-12-01,16.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2018-01-01,15.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2018-02-01,15.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2018-03-01,15.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2018-04-01,14.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2018-05-01,14.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2018-06-01,15.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2018-07-01,15.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FI,2018-08-01,14.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2017-09-01,10.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2017-10-01,-25.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2017-11-01,-98.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2017-12-01,863.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2018-01-01,47.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2018-02-01,10.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2018-03-01,812.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2018-04-01,-97.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2018-05-01,32.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2018-06-01,347.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2018-07-01,28.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,FR,2018-08-01,179.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2017-09-01,-1.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2017-10-01,18.1 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2017-11-01,18.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2017-12-01,18.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2018-01-01,16.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2018-02-01,16.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2018-03-01,16.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2018-04-01,61.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2018-05-01,61.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2018-06-01,61.4 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2018-07-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HR,2018-08-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2017-09-01,-32.8 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2017-10-01,18.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2017-11-01,88.4 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2017-12-01,142.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2018-01-01,690.4 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2018-02-01,318.4 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2018-03-01,118.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2018-04-01,283.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2018-05-01,71.8 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2018-06-01,64.6 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2018-07-01,230.5 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,HU,2018-08-01,283.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2017-09-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2017-10-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2017-11-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2017-12-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2018-01-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2018-02-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2018-03-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2018-04-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2018-05-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2018-06-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2018-07-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IE,2018-08-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2017-09-01,-156.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2017-10-01,278.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2017-11-01,224.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2017-12-01,-135.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2018-01-01,-138.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2018-02-01,-138.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2018-03-01,-326.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2018-04-01,-261.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2018-05-01,-272.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2018-06-01,-290.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2018-07-01,-109.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,IT,2018-08-01,-95.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2017-09-01,28.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2017-10-01,40.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2017-11-01,45.1 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2017-12-01,142.1 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2018-01-01,13.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2018-02-01,21.9 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2018-03-01,29.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2018-04-01,31.9 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2018-05-01,42.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2018-06-01,48.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2018-07-01,38.5 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LT,2018-08-01,91.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2017-09-01,-23.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2017-10-01,-16.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2017-11-01,-6.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2017-12-01,31.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2018-01-01,3.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2018-02-01,-16.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2018-03-01,-17.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2018-04-01,-15.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2018-05-01,-14.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2018-06-01,-16.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2018-07-01,-5.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LU,2018-08-01,-10.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2017-09-01,2.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2017-10-01,44.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2017-11-01,1.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2017-12-01,14.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2018-01-01,26.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2018-02-01,1.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2018-03-01,-2.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2018-04-01,85.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2018-05-01,2.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2018-06-01,25.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2018-07-01,229.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,LV,2018-08-01,52.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2017-09-01,1.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2017-10-01,0.9 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2017-11-01,0.9 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2017-12-01,4.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2018-01-01,0.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2018-02-01,0.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2018-03-01,0.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2018-04-01,0.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2018-05-01,0.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2018-06-01,0.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2018-07-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MK,2018-08-01,: 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2017-09-01,6.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2017-10-01,0.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2017-11-01,0.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2017-12-01,23.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2018-01-01,20.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2018-02-01,0.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,MT,2018-03-01,0.2 
