indic_il,sex,geo\time,date,value
R_GE65_LT65,T,EA18,2006-01-01,0.86 
R_GE65_LT65,T,EA18,2007-01-01,0.85 
R_GE65_LT65,T,EA18,2008-01-01,0.87 
R_GE65_LT65,T,EA18,2009-01-01,0.88 
R_GE65_LT65,T,EA18,2010-01-01,0.89 
R_GE65_LT65,T,EA18,2011-01-01,0.91 
R_GE65_LT65,T,EA18,2012-01-01,0.93 
R_GE65_LT65,T,EA18,2013-01-01,0.95
R_GE65_LT65,T,EA18,2014-01-01,0.95 
R_GE65_LT65,T,EA18,2015-01-01,0.95
R_GE65_LT65,T,EA18,2016-01-01,0.94 
R_GE65_LT65,T,EA18,2017-01-01,0.94 
R_GE65_LT65,T,EA19,2006-01-01,0.86 
R_GE65_LT65,T,EA19,2007-01-01,0.85 
R_GE65_LT65,T,EA19,2008-01-01,0.86 
R_GE65_LT65,T,EA19,2009-01-01,0.88 
R_GE65_LT65,T,EA19,2010-01-01,0.90 
R_GE65_LT65,T,EA19,2011-01-01,0.91 
R_GE65_LT65,T,EA19,2012-01-01,0.93 
R_GE65_LT65,T,EA19,2013-01-01,0.95
R_GE65_LT65,T,EA19,2014-01-01,0.95 
R_GE65_LT65,T,EA19,2015-01-01,0.95
R_GE65_LT65,T,EA19,2016-01-01,0.94 
R_GE65_LT65,T,EA19,2017-01-01,0.94 
R_GE65_LT65,T,EE,2006-01-01,0.69 
R_GE65_LT65,T,EE,2007-01-01,0.65 
R_GE65_LT65,T,EE,2008-01-01,0.62 
R_GE65_LT65,T,EE,2009-01-01,0.66 
R_GE65_LT65,T,EE,2010-01-01,0.73 
R_GE65_LT65,T,EE,2011-01-01,0.75 
R_GE65_LT65,T,EE,2012-01-01,0.72 
R_GE65_LT65,T,EE,2013-01-01,0.69
R_GE65_LT65,T,EE,2014-01-01,0.63 b
R_GE65_LT65,T,EE,2015-01-01,0.62
R_GE65_LT65,T,EE,2016-01-01,0.60 
R_GE65_LT65,T,EE,2017-01-01,0.59 
R_GE65_LT65,T,EL,2006-01-01,0.82 
R_GE65_LT65,T,EL,2007-01-01,0.83 
R_GE65_LT65,T,EL,2008-01-01,0.86 
R_GE65_LT65,T,EL,2009-01-01,0.86 
R_GE65_LT65,T,EL,2010-01-01,0.84 
R_GE65_LT65,T,EL,2011-01-01,0.81 
R_GE65_LT65,T,EL,2012-01-01,1.01 
R_GE65_LT65,T,EL,2013-01-01,1.04
R_GE65_LT65,T,EL,2014-01-01,1.00 
R_GE65_LT65,T,EL,2015-01-01,1.04
R_GE65_LT65,T,EL,2016-01-01,1.07 
R_GE65_LT65,T,EL,2017-01-01,1.04 
R_GE65_LT65,T,ES,2006-01-01,0.75 
R_GE65_LT65,T,ES,2007-01-01,0.79 
R_GE65_LT65,T,ES,2008-01-01,0.83 b
R_GE65_LT65,T,ES,2009-01-01,0.87 
R_GE65_LT65,T,ES,2010-01-01,0.88 
R_GE65_LT65,T,ES,2011-01-01,0.91 
R_GE65_LT65,T,ES,2012-01-01,0.96 
R_GE65_LT65,T,ES,2013-01-01,1.0
R_GE65_LT65,T,ES,2014-01-01,1.03 
R_GE65_LT65,T,ES,2015-01-01,1.01
R_GE65_LT65,T,ES,2016-01-01,1.01 
R_GE65_LT65,T,ES,2017-01-01,0.98 
R_GE65_LT65,T,EU27,2006-01-01,0.85 s
R_GE65_LT65,T,EU27,2007-01-01,0.84 
R_GE65_LT65,T,EU27,2008-01-01,0.85 
R_GE65_LT65,T,EU27,2009-01-01,0.87 
R_GE65_LT65,T,EU27,2010-01-01,0.88 
R_GE65_LT65,T,EU27,2011-01-01,0.90 
R_GE65_LT65,T,EU27,2012-01-01,0.92 
R_GE65_LT65,T,EU27,2013-01-01,0.93
R_GE65_LT65,T,EU27,2014-01-01,0.94 
R_GE65_LT65,T,EU27,2015-01-01,0.93
R_GE65_LT65,T,EU27,2016-01-01,0.93 
R_GE65_LT65,T,EU27,2017-01-01,0.93 
R_GE65_LT65,T,EU28,2006-01-01,: 
R_GE65_LT65,T,EU28,2007-01-01,: 
R_GE65_LT65,T,EU28,2008-01-01,: 
R_GE65_LT65,T,EU28,2009-01-01,: 
R_GE65_LT65,T,EU28,2010-01-01,0.88 
R_GE65_LT65,T,EU28,2011-01-01,0.90 
R_GE65_LT65,T,EU28,2012-01-01,0.92 
R_GE65_LT65,T,EU28,2013-01-01,0.93
R_GE65_LT65,T,EU28,2014-01-01,0.94 
R_GE65_LT65,T,EU28,2015-01-01,0.93
R_GE65_LT65,T,EU28,2016-01-01,0.93 
R_GE65_LT65,T,EU28,2017-01-01,0.93 
R_GE65_LT65,T,FI,2006-01-01,0.73 
R_GE65_LT65,T,FI,2007-01-01,0.74 
R_GE65_LT65,T,FI,2008-01-01,0.72 
R_GE65_LT65,T,FI,2009-01-01,0.73 
R_GE65_LT65,T,FI,2010-01-01,0.78 
R_GE65_LT65,T,FI,2011-01-01,0.78 
R_GE65_LT65,T,FI,2012-01-01,0.78 
R_GE65_LT65,T,FI,2013-01-01,0.78
R_GE65_LT65,T,FI,2014-01-01,0.79 
R_GE65_LT65,T,FI,2015-01-01,0.81
R_GE65_LT65,T,FI,2016-01-01,0.83 
R_GE65_LT65,T,FI,2017-01-01,0.84 
R_GE65_LT65,T,FR,2006-01-01,0.88 
R_GE65_LT65,T,FR,2007-01-01,0.91 
R_GE65_LT65,T,FR,2008-01-01,0.95 b
R_GE65_LT65,T,FR,2009-01-01,0.96 
R_GE65_LT65,T,FR,2010-01-01,0.98 
R_GE65_LT65,T,FR,2011-01-01,1.01 
R_GE65_LT65,T,FR,2012-01-01,1.00 
R_GE65_LT65,T,FR,2013-01-01,1.03
R_GE65_LT65,T,FR,2014-01-01,1.02 
R_GE65_LT65,T,FR,2015-01-01,1.04
R_GE65_LT65,T,FR,2016-01-01,1.02 
R_GE65_LT65,T,FR,2017-01-01,1.05 
R_GE65_LT65,T,HR,2006-01-01,: 
R_GE65_LT65,T,HR,2007-01-01,: 
R_GE65_LT65,T,HR,2008-01-01,: 
R_GE65_LT65,T,HR,2009-01-01,: 
R_GE65_LT65,T,HR,2010-01-01,0.78 b
R_GE65_LT65,T,HR,2011-01-01,0.82 
R_GE65_LT65,T,HR,2012-01-01,0.84 
R_GE65_LT65,T,HR,2013-01-01,0.88
R_GE65_LT65,T,HR,2014-01-01,0.88 
R_GE65_LT65,T,HR,2015-01-01,0.85
R_GE65_LT65,T,HR,2016-01-01,0.84 
R_GE65_LT65,T,HR,2017-01-01,: 
R_GE65_LT65,T,HU,2006-01-01,0.94 
R_GE65_LT65,T,HU,2007-01-01,0.97 
R_GE65_LT65,T,HU,2008-01-01,1.00 
R_GE65_LT65,T,HU,2009-01-01,1.02 
R_GE65_LT65,T,HU,2010-01-01,1.01 
R_GE65_LT65,T,HU,2011-01-01,0.99 
R_GE65_LT65,T,HU,2012-01-01,0.96 
R_GE65_LT65,T,HU,2013-01-01,1.03
R_GE65_LT65,T,HU,2014-01-01,1.05 
R_GE65_LT65,T,HU,2015-01-01,1.01
R_GE65_LT65,T,HU,2016-01-01,1.01 
R_GE65_LT65,T,HU,2017-01-01,0.98 
R_GE65_LT65,T,IE,2006-01-01,0.70 
R_GE65_LT65,T,IE,2007-01-01,0.69 
R_GE65_LT65,T,IE,2008-01-01,0.74 
R_GE65_LT65,T,IE,2009-01-01,0.78 
R_GE65_LT65,T,IE,2010-01-01,0.85 
