s_adj,unit,nace_r2,lcstruct,geotime,date,value
SCA,I12,B-E,D1_D4_MD5,FR,2018-01-01,108
SCA,I12,B-E,D1_D4_MD5,FR,2018-04-01,109
SCA,I12,B-E,D1_D4_MD5,HR,2015-07-01,105
SCA,I12,B-E,D1_D4_MD5,HR,2015-10-01,107
SCA,I12,B-E,D1_D4_MD5,HR,2016-01-01,107
SCA,I12,B-E,D1_D4_MD5,HR,2016-04-01,107
SCA,I12,B-E,D1_D4_MD5,HR,2016-07-01,109
SCA,I12,B-E,D1_D4_MD5,HR,2016-10-01,112
SCA,I12,B-E,D1_D4_MD5,HR,2017-01-01,113
SCA,I12,B-E,D1_D4_MD5,HR,2017-04-01,112
SCA,I12,B-E,D1_D4_MD5,HR,2017-07-01,114
SCA,I12,B-E,D1_D4_MD5,HR,2017-10-01,116
SCA,I12,B-E,D1_D4_MD5,HR,2018-01-01,120
SCA,I12,B-E,D1_D4_MD5,HR,2018-04-01,125
SCA,I12,B-E,D1_D4_MD5,HU,2015-07-01,110
SCA,I12,B-E,D1_D4_MD5,HU,2015-10-01,112
SCA,I12,B-E,D1_D4_MD5,HU,2016-01-01,113
SCA,I12,B-E,D1_D4_MD5,HU,2016-04-01,114
SCA,I12,B-E,D1_D4_MD5,HU,2016-07-01,117
SCA,I12,B-E,D1_D4_MD5,HU,2016-10-01,120
SCA,I12,B-E,D1_D4_MD5,HU,2017-01-01,121
SCA,I12,B-E,D1_D4_MD5,HU,2017-04-01,124
SCA,I12,B-E,D1_D4_MD5,HU,2017-07-01,127
SCA,I12,B-E,D1_D4_MD5,HU,2017-10-01,130
SCA,I12,B-E,D1_D4_MD5,HU,2018-01-01,132
SCA,I12,B-E,D1_D4_MD5,HU,2018-04-01,135
SCA,I12,B-E,D1_D4_MD5,IE,2015-07-01,101
SCA,I12,B-E,D1_D4_MD5,IE,2015-10-01,102
SCA,I12,B-E,D1_D4_MD5,IE,2016-01-01,103
SCA,I12,B-E,D1_D4_MD5,IE,2016-04-01,102
SCA,I12,B-E,D1_D4_MD5,IE,2016-07-01,103
SCA,I12,B-E,D1_D4_MD5,IE,2016-10-01,104
