unit,deg_urb,geotime,date,value
PC,DEG1,IE,2008-01-01,9.9 
PC,DEG1,IE,2009-01-01,10.0 
PC,DEG1,IE,2010-01-01,10.3 
PC,DEG1,IE,2011-01-01,11.4 
PC,DEG1,IE,2012-01-01,12.0 b
PC,DEG1,IE,2013-01-01,7.6 
PC,DEG1,IE,2014-01-01,13.7 
PC,DEG1,IE,2015-01-01,13.9 
PC,DEG1,IE,2016-01-01,12.6 
PC,DEG1,IE,2017-01-01,
PC,DEG1,IS,2006-01-01,19.2 
PC,DEG1,IS,2007-01-01,16.8 
PC,DEG1,IS,2008-01-01,16.4 
PC,DEG1,IS,2009-01-01,16.7 
PC,DEG1,IS,2010-01-01,18.0 
PC,DEG1,IS,2011-01-01,18.6 
PC,DEG1,IS,2012-01-01,17.0 b
PC,DEG1,IS,2013-01-01,17.3 
PC,DEG1,IS,2014-01-01,17.3 
PC,DEG1,IS,2015-01-01,17.0 
PC,DEG1,IS,2016-01-01,16.0 p
PC,DEG1,IS,2017-01-01,
PC,DEG1,IT,2006-01-01,15.4 
PC,DEG1,IT,2007-01-01,12.9 
PC,DEG1,IT,2008-01-01,13.3 
PC,DEG1,IT,2009-01-01,12.1 
PC,DEG1,IT,2010-01-01,12.0 
PC,DEG1,IT,2011-01-01,12.3 
PC,DEG1,IT,2012-01-01,12.3 b
PC,DEG1,IT,2013-01-01,13.1 
PC,DEG1,IT,2014-01-01,12.7 
PC,DEG1,IT,2015-01-01,12.8 
PC,DEG1,IT,2016-01-01,12.9 
PC,DEG1,IT,2017-01-01,11.5 
PC,DEG1,LT,2006-01-01,13.8 
PC,DEG1,LT,2007-01-01,12.0 
PC,DEG1,LT,2008-01-01,10.9 
PC,DEG1,LT,2009-01-01,12.0 
PC,DEG1,LT,2010-01-01,14.7 
PC,DEG1,LT,2011-01-01,17.9 
PC,DEG1,LT,2012-01-01,16.2 b
PC,DEG1,LT,2013-01-01,16.6 
PC,DEG1,LT,2014-01-01,15.7 
PC,DEG1,LT,2015-01-01,14.4 
PC,DEG1,LT,2016-01-01,13.0 
PC,DEG1,LT,2017-01-01,11.0 
PC,DEG1,LU,2006-01-01,10.3 
PC,DEG1,LU,2007-01-01,11.7 
PC,DEG1,LU,2008-01-01,9.7 
PC,DEG1,LU,2009-01-01,11.4 
PC,DEG1,LU,2010-01-01,11.3 
PC,DEG1,LU,2011-01-01,10.4 
PC,DEG1,LU,2012-01-01,13.3 b
PC,DEG1,LU,2013-01-01,13.0 
PC,DEG1,LU,2014-01-01,13.0 
PC,DEG1,LU,2015-01-01,10.4 
PC,DEG1,LU,2016-01-01,9.1 b
PC,DEG1,LU,2017-01-01,12.7 
PC,DEG1,LV,2006-01-01,15.0 
PC,DEG1,LV,2007-01-01,14.0 
PC,DEG1,LV,2008-01-01,13.7 
PC,DEG1,LV,2009-01-01,15.2 
PC,DEG1,LV,2010-01-01,16.5 
PC,DEG1,LV,2011-01-01,18.5 
PC,DEG1,LV,2012-01-01,18.0 b
PC,DEG1,LV,2013-01-01,17.4 
PC,DEG1,LV,2014-01-01,15.5 
PC,DEG1,LV,2015-01-01,14.8 
PC,DEG1,LV,2016-01-01,14.1 
PC,DEG1,LV,2017-01-01,13.4 
PC,DEG1,MK,2006-01-01,
PC,DEG1,MK,2007-01-01,
PC,DEG1,MK,2008-01-01,
PC,DEG1,MK,2009-01-01,
PC,DEG1,MK,2010-01-01,
PC,DEG1,MK,2011-01-01,
PC,DEG1,MK,2012-01-01,
PC,DEG1,MK,2013-01-01,
PC,DEG1,MK,2014-01-01,
PC,DEG1,MK,2015-01-01,
PC,DEG1,MK,2016-01-01,17.0 
PC,DEG1,MK,2017-01-01,
PC,DEG1,MT,2006-01-01,6.5 
PC,DEG1,MT,2007-01-01,6.3 
PC,DEG1,MT,2008-01-01,5.7 
PC,DEG1,MT,2009-01-01,6.4 
PC,DEG1,MT,2010-01-01,6.1 
PC,DEG1,MT,2011-01-01,7.2 
PC,DEG1,MT,2012-01-01,7.0 b
PC,DEG1,MT,2013-01-01,6.6 
PC,DEG1,MT,2014-01-01,5.3 
PC,DEG1,MT,2015-01-01,4.4 
PC,DEG1,MT,2016-01-01,4.6 
PC,DEG1,MT,2017-01-01,3.7 
PC,DEG1,NL,2006-01-01,28.5 
PC,DEG1,NL,2007-01-01,27.7 
PC,DEG1,NL,2008-01-01,26.7 
PC,DEG1,NL,2009-01-01,25.9 
PC,DEG1,NL,2010-01-01,26.6 
PC,DEG1,NL,2011-01-01,27.1 
PC,DEG1,NL,2012-01-01,27.6 b
PC,DEG1,NL,2013-01-01,28.9 
PC,DEG1,NL,2014-01-01,28.5 
PC,DEG1,NL,2015-01-01,28.8 
PC,DEG1,NL,2016-01-01,21.2 b
PC,DEG1,NL,2017-01-01,19.4 
PC,DEG1,NO,2006-01-01,
PC,DEG1,NO,2007-01-01,19.1 
PC,DEG1,NO,2008-01-01,20.0 
PC,DEG1,NO,2009-01-01,19.1 
PC,DEG1,NO,2010-01-01,16.7 
PC,DEG1,NO,2011-01-01,18.0 
PC,DEG1,NO,2012-01-01,17.2 b
PC,DEG1,NO,2013-01-01,17.0 
PC,DEG1,NO,2014-01-01,13.0 
PC,DEG1,NO,2015-01-01,13.9 
PC,DEG1,NO,2016-01-01,12.7 
PC,DEG1,NO,2017-01-01,13.3 
PC,DEG1,PL,2006-01-01,21.4 
PC,DEG1,PL,2007-01-01,20.2 
PC,DEG1,PL,2008-01-01,19.1 
PC,DEG1,PL,2009-01-01,18.3 
PC,DEG1,PL,2010-01-01,18.4 
PC,DEG1,PL,2011-01-01,19.1 
PC,DEG1,PL,2012-01-01,19.8 b
PC,DEG1,PL,2013-01-01,20.0 
PC,DEG1,PL,2014-01-01,20.4 
PC,DEG1,PL,2015-01-01,19.0 
PC,DEG1,PL,2016-01-01,18.0 
PC,DEG1,PL,2017-01-01,17.2 
PC,DEG1,PT,2006-01-01,10.0 
PC,DEG1,PT,2007-01-01,13.7 
PC,DEG1,PT,2008-01-01,12.6 
PC,DEG1,PT,2009-01-01,12.1 
PC,DEG1,PT,2010-01-01,11.4 
PC,DEG1,PT,2011-01-01,12.5 
PC,DEG1,PT,2012-01-01,13.6 b
PC,DEG1,PT,2013-01-01,13.2 
PC,DEG1,PT,2014-01-01,13.9 
PC,DEG1,PT,2015-01-01,13.8 
PC,DEG1,PT,2016-01-01,12.7 
PC,DEG1,PT,2017-01-01,12.5 
PC,DEG1,RO,2006-01-01,
PC,DEG1,RO,2007-01-01,21.8 
PC,DEG1,RO,2008-01-01,23.0 
PC,DEG1,RO,2009-01-01,20.4 
PC,DEG1,RO,2010-01-01,20.4 
PC,DEG1,RO,2011-01-01,11.5 
PC,DEG1,RO,2012-01-01,20.8 b
PC,DEG1,RO,2013-01-01,20.5 
PC,DEG1,RO,2014-01-01,19.7 
PC,DEG1,RO,2015-01-01,18.1 
PC,DEG1,RO,2016-01-01,17.2 
PC,DEG1,RO,2017-01-01,16.3 
PC,DEG1,RS,2006-01-01,
PC,DEG1,RS,2007-01-01,
PC,DEG1,RS,2008-01-01,
PC,DEG1,RS,2009-01-01,
PC,DEG1,RS,2010-01-01,
PC,DEG1,RS,2011-01-01,
PC,DEG1,RS,2012-01-01,
PC,DEG1,RS,2013-01-01,26.1 
PC,DEG1,RS,2014-01-01,28.6 
PC,DEG1,RS,2015-01-01,26.3 
PC,DEG1,RS,2016-01-01,27.1 
PC,DEG1,RS,2017-01-01,
PC,DEG1,SE,2006-01-01,17.2 
PC,DEG1,SE,2007-01-01,17.1 
PC,DEG1,SE,2008-01-01,21.3 b
PC,DEG1,SE,2009-01-01,21.0 
PC,DEG1,SE,2010-01-01,18.3 
PC,DEG1,SE,2011-01-01,19.4 
PC,DEG1,SE,2012-01-01,19.3 b
PC,DEG1,SE,2013-01-01,19.4 
PC,DEG1,SE,2014-01-01,18.8 
