unit,material,indic_env,geotime,date,value
T_HAB,TOTAL,DMC,EL,1991-01-01,
T_HAB,TOTAL,DMC,EL,1992-01-01,
T_HAB,TOTAL,DMC,EL,1993-01-01,
T_HAB,TOTAL,DMC,EL,1994-01-01,
T_HAB,TOTAL,DMC,EL,1995-01-01,
T_HAB,TOTAL,DMC,EL,1996-01-01,
T_HAB,TOTAL,DMC,EL,1997-01-01,
T_HAB,TOTAL,DMC,EL,1998-01-01,
T_HAB,TOTAL,DMC,EL,1999-01-01,
T_HAB,TOTAL,DMC,EL,2000-01-01,14
T_HAB,TOTAL,DMC,EL,2001-01-01,14
T_HAB,TOTAL,DMC,EL,2002-01-01,15
T_HAB,TOTAL,DMC,EL,2003-01-01,16
T_HAB,TOTAL,DMC,EL,2004-01-01,16
T_HAB,TOTAL,DMC,EL,2005-01-01,16
T_HAB,TOTAL,DMC,EL,2006-01-01,16
T_HAB,TOTAL,DMC,EL,2007-01-01,22
T_HAB,TOTAL,DMC,EL,2008-01-01,21
T_HAB,TOTAL,DMC,EL,2009-01-01,17
T_HAB,TOTAL,DMC,EL,2010-01-01,15
T_HAB,TOTAL,DMC,EL,2011-01-01,14
T_HAB,TOTAL,DMC,EL,2012-01-01,13
T_HAB,TOTAL,DMC,EL,2013-01-01,12
T_HAB,TOTAL,DMC,EL,2014-01-01,12
T_HAB,TOTAL,DMC,EL,2015-01-01,12
T_HAB,TOTAL,DMC,EL,2016-01-01,11
T_HAB,TOTAL,DMC,EL,2017-01-01,11
T_HAB,TOTAL,DMC,ES,1990-01-01,
T_HAB,TOTAL,DMC,ES,1991-01-01,
T_HAB,TOTAL,DMC,ES,1992-01-01,
T_HAB,TOTAL,DMC,ES,1993-01-01,
T_HAB,TOTAL,DMC,ES,1994-01-01,
T_HAB,TOTAL,DMC,ES,1995-01-01,
T_HAB,TOTAL,DMC,ES,1996-01-01,
T_HAB,TOTAL,DMC,ES,1997-01-01,
T_HAB,TOTAL,DMC,ES,1998-01-01,
T_HAB,TOTAL,DMC,ES,1999-01-01,
T_HAB,TOTAL,DMC,ES,2000-01-01,17
T_HAB,TOTAL,DMC,ES,2001-01-01,17
T_HAB,TOTAL,DMC,ES,2002-01-01,18
T_HAB,TOTAL,DMC,ES,2003-01-01,19
