nutrient,indic_ag,geo,unittime,date,value
N,BAL_UAA,FR,KG,2011-01-01,52.0
N,BAL_UAA,FR,KG,2012-01-01,40.0
N,BAL_UAA,FR,KG,2013-01-01,45.0
N,BAL_UAA,FR,KG,2014-01-01,45.0
N,BAL_UAA,FR,KG,2015-01-01,42.0
N,BAL_UAA,FR,KG,2016-01-01,52.0
N,BAL_UAA,HR,KG,2000-01-01,122.0
N,BAL_UAA,HR,KG,2001-01-01,123.0
N,BAL_UAA,HR,KG,2002-01-01,109.0
N,BAL_UAA,HR,KG,2003-01-01,121.0
N,BAL_UAA,HR,KG,2004-01-01,110.0
N,BAL_UAA,HR,KG,2005-01-01,110.0
N,BAL_UAA,HR,KG,2006-01-01,112.0
N,BAL_UAA,HR,KG,2007-01-01,120.0
N,BAL_UAA,HR,KG,2008-01-01,117.0
N,BAL_UAA,HR,KG,2009-01-01,63.0
N,BAL_UAA,HR,KG,2010-01-01,81.0
N,BAL_UAA,HR,KG,2011-01-01,94.0
N,BAL_UAA,HR,KG,2012-01-01,88.0
N,BAL_UAA,HR,KG,2013-01-01,51.0
N,BAL_UAA,HR,KG,2014-01-01,58.0
N,BAL_UAA,HR,KG,2015-01-01,65.0
N,BAL_UAA,HR,KG,2016-01-01,43.0
N,BAL_UAA,HU,KG,2000-01-01,40.0
N,BAL_UAA,HU,KG,2001-01-01,26.0
N,BAL_UAA,HU,KG,2002-01-01,44.0
N,BAL_UAA,HU,KG,2003-01-01,45.0
N,BAL_UAA,HU,KG,2004-01-01,22.0
N,BAL_UAA,HU,KG,2005-01-01,19.0
N,BAL_UAA,HU,KG,2006-01-01,27.0
N,BAL_UAA,HU,KG,2007-01-01,47.0
N,BAL_UAA,HU,KG,2008-01-01,20.0
N,BAL_UAA,HU,KG,2009-01-01,26.0
N,BAL_UAA,HU,KG,2010-01-01,38.0
N,BAL_UAA,HU,KG,2011-01-01,31.0
N,BAL_UAA,HU,KG,2012-01-01,42.0
N,BAL_UAA,HU,KG,2013-01-01,38.0
N,BAL_UAA,HU,KG,2014-01-01,27.0
N,BAL_UAA,HU,KG,2015-01-01,39.0
N,BAL_UAA,HU,KG,2016-01-01,28.0
N,BAL_UAA,IE,KG,2000-01-01,64.0
N,BAL_UAA,IE,KG,2001-01-01,57.0
N,BAL_UAA,IE,KG,2002-01-01,58.0
N,BAL_UAA,IE,KG,2003-01-01,64.0
N,BAL_UAA,IE,KG,2004-01-01,59.0
N,BAL_UAA,IE,KG,2005-01-01,57.0
N,BAL_UAA,IE,KG,2006-01-01,55.0
N,BAL_UAA,IE,KG,2007-01-01,47.0
N,BAL_UAA,IE,KG,2008-01-01,27.0
N,BAL_UAA,IE,KG,2009-01-01,29.0
N,BAL_UAA,IE,KG,2010-01-01,34.0
N,BAL_UAA,IE,KG,2011-01-01,23.0
N,BAL_UAA,IE,KG,2012-01-01,29.0
N,BAL_UAA,IE,KG,2013-01-01,44.0
N,BAL_UAA,IE,KG,2014-01-01,40.0
N,BAL_UAA,IE,KG,2015-01-01,42.0
N,BAL_UAA,IE,KG,2016-01-01,
N,BAL_UAA,IT,KG,2000-01-01,71.0
N,BAL_UAA,IT,KG,2001-01-01,72.0
N,BAL_UAA,IT,KG,2002-01-01,72.0
N,BAL_UAA,IT,KG,2003-01-01,79.0
N,BAL_UAA,IT,KG,2004-01-01,64.0
N,BAL_UAA,IT,KG,2005-01-01,63.0
N,BAL_UAA,IT,KG,2006-01-01,74.0
N,BAL_UAA,IT,KG,2007-01-01,68.0
N,BAL_UAA,IT,KG,2008-01-01,65.0
N,BAL_UAA,IT,KG,2009-01-01,60.0
