unit,age,sex,indic_il,geotime,date,value
PC,TOTAL,T,LI_R_MD40,EA18,2016-01-01,6
PC,TOTAL,T,LI_R_MD40,EA18,2017-01-01,6
PC,TOTAL,T,LI_R_MD40,EA19,2006-01-01,5
PC,TOTAL,T,LI_R_MD40,EA19,2007-01-01,5
PC,TOTAL,T,LI_R_MD40,EA19,2008-01-01,5
PC,TOTAL,T,LI_R_MD40,EA19,2009-01-01,5
PC,TOTAL,T,LI_R_MD40,EA19,2010-01-01,5
PC,TOTAL,T,LI_R_MD40,EA19,2011-01-01,5
PC,TOTAL,T,LI_R_MD40,EA19,2012-01-01,5
PC,TOTAL,T,LI_R_MD40,EA19,2013-01-01,
PC,TOTAL,T,LI_R_MD40,EA19,2014-01-01,
PC,TOTAL,T,LI_R_MD40,EA19,2015-01-01,
PC,TOTAL,T,LI_R_MD40,EA19,2016-01-01,6
PC,TOTAL,T,LI_R_MD40,EA19,2017-01-01,6
PC,TOTAL,T,LI_R_MD40,EE,2006-01-01,5
PC,TOTAL,T,LI_R_MD40,EE,2007-01-01,6
PC,TOTAL,T,LI_R_MD40,EE,2008-01-01,5
PC,TOTAL,T,LI_R_MD40,EE,2009-01-01,5
PC,TOTAL,T,LI_R_MD40,EE,2010-01-01,5
PC,TOTAL,T,LI_R_MD40,EE,2011-01-01,6
PC,TOTAL,T,LI_R_MD40,EE,2012-01-01,6
PC,TOTAL,T,LI_R_MD40,EE,2013-01-01,
PC,TOTAL,T,LI_R_MD40,EE,2014-01-01,
PC,TOTAL,T,LI_R_MD40,EE,2015-01-01,
PC,TOTAL,T,LI_R_MD40,EE,2016-01-01,6
PC,TOTAL,T,LI_R_MD40,EE,2017-01-01,6
PC,TOTAL,T,LI_R_MD40,EL,2006-01-01,8
PC,TOTAL,T,LI_R_MD40,EL,2007-01-01,7
PC,TOTAL,T,LI_R_MD40,EL,2008-01-01,6
PC,TOTAL,T,LI_R_MD40,EL,2009-01-01,6
PC,TOTAL,T,LI_R_MD40,EL,2010-01-01,7
PC,TOTAL,T,LI_R_MD40,EL,2011-01-01,8
PC,TOTAL,T,LI_R_MD40,EL,2012-01-01,10
PC,TOTAL,T,LI_R_MD40,EL,2013-01-01,
PC,TOTAL,T,LI_R_MD40,EL,2014-01-01,
PC,TOTAL,T,LI_R_MD40,EL,2015-01-01,
PC,TOTAL,T,LI_R_MD40,EL,2016-01-01,10
PC,TOTAL,T,LI_R_MD40,EL,2017-01-01,9
PC,TOTAL,T,LI_R_MD40,ES,2006-01-01,8
PC,TOTAL,T,LI_R_MD40,ES,2007-01-01,8
PC,TOTAL,T,LI_R_MD40,ES,2008-01-01,7
PC,TOTAL,T,LI_R_MD40,ES,2009-01-01,8
PC,TOTAL,T,LI_R_MD40,ES,2010-01-01,8
PC,TOTAL,T,LI_R_MD40,ES,2011-01-01,8
PC,TOTAL,T,LI_R_MD40,ES,2012-01-01,9
PC,TOTAL,T,LI_R_MD40,ES,2013-01-01,
PC,TOTAL,T,LI_R_MD40,ES,2014-01-01,
PC,TOTAL,T,LI_R_MD40,ES,2015-01-01,
PC,TOTAL,T,LI_R_MD40,ES,2016-01-01,10
PC,TOTAL,T,LI_R_MD40,ES,2017-01-01,10
PC,TOTAL,T,LI_R_MD40,EU27,2006-01-01,5
PC,TOTAL,T,LI_R_MD40,EU27,2007-01-01,5
PC,TOTAL,T,LI_R_MD40,EU27,2008-01-01,5
PC,TOTAL,T,LI_R_MD40,EU27,2009-01-01,5
PC,TOTAL,T,LI_R_MD40,EU27,2010-01-01,5
PC,TOTAL,T,LI_R_MD40,EU27,2011-01-01,5
PC,TOTAL,T,LI_R_MD40,EU27,2012-01-01,5
PC,TOTAL,T,LI_R_MD40,EU27,2013-01-01,
PC,TOTAL,T,LI_R_MD40,EU27,2014-01-01,
PC,TOTAL,T,LI_R_MD40,EU27,2015-01-01,
PC,TOTAL,T,LI_R_MD40,EU27,2016-01-01,6
PC,TOTAL,T,LI_R_MD40,EU27,2017-01-01,6
PC,TOTAL,T,LI_R_MD40,EU28,2006-01-01,
PC,TOTAL,T,LI_R_MD40,EU28,2007-01-01,
PC,TOTAL,T,LI_R_MD40,EU28,2008-01-01,
PC,TOTAL,T,LI_R_MD40,EU28,2009-01-01,
PC,TOTAL,T,LI_R_MD40,EU28,2010-01-01,5
PC,TOTAL,T,LI_R_MD40,EU28,2011-01-01,5
PC,TOTAL,T,LI_R_MD40,EU28,2012-01-01,5
PC,TOTAL,T,LI_R_MD40,EU28,2013-01-01,
PC,TOTAL,T,LI_R_MD40,EU28,2014-01-01,
PC,TOTAL,T,LI_R_MD40,EU28,2015-01-01,
PC,TOTAL,T,LI_R_MD40,EU28,2016-01-01,6
PC,TOTAL,T,LI_R_MD40,EU28,2017-01-01,6
PC,TOTAL,T,LI_R_MD40,FI,2006-01-01,2
PC,TOTAL,T,LI_R_MD40,FI,2007-01-01,2
PC,TOTAL,T,LI_R_MD40,FI,2008-01-01,2
PC,TOTAL,T,LI_R_MD40,FI,2009-01-01,2
PC,TOTAL,T,LI_R_MD40,FI,2010-01-01,2
PC,TOTAL,T,LI_R_MD40,FI,2011-01-01,2
PC,TOTAL,T,LI_R_MD40,FI,2012-01-01,2
PC,TOTAL,T,LI_R_MD40,FI,2013-01-01,
PC,TOTAL,T,LI_R_MD40,FI,2014-01-01,
PC,TOTAL,T,LI_R_MD40,FI,2015-01-01,
PC,TOTAL,T,LI_R_MD40,FI,2016-01-01,2
PC,TOTAL,T,LI_R_MD40,FI,2017-01-01,1
PC,TOTAL,T,LI_R_MD40,FR,2006-01-01,3
PC,TOTAL,T,LI_R_MD40,FR,2007-01-01,3
PC,TOTAL,T,LI_R_MD40,FR,2008-01-01,2
PC,TOTAL,T,LI_R_MD40,FR,2009-01-01,3
PC,TOTAL,T,LI_R_MD40,FR,2010-01-01,3
PC,TOTAL,T,LI_R_MD40,FR,2011-01-01,3
PC,TOTAL,T,LI_R_MD40,FR,2012-01-01,3
PC,TOTAL,T,LI_R_MD40,FR,2013-01-01,
PC,TOTAL,T,LI_R_MD40,FR,2014-01-01,
PC,TOTAL,T,LI_R_MD40,FR,2015-01-01,
PC,TOTAL,T,LI_R_MD40,FR,2016-01-01,3
PC,TOTAL,T,LI_R_MD40,FR,2017-01-01,3
PC,TOTAL,T,LI_R_MD40,HR,2006-01-01,
PC,TOTAL,T,LI_R_MD40,HR,2007-01-01,
PC,TOTAL,T,LI_R_MD40,HR,2008-01-01,
PC,TOTAL,T,LI_R_MD40,HR,2009-01-01,
PC,TOTAL,T,LI_R_MD40,HR,2010-01-01,8
PC,TOTAL,T,LI_R_MD40,HR,2011-01-01,8
PC,TOTAL,T,LI_R_MD40,HR,2012-01-01,9
PC,TOTAL,T,LI_R_MD40,HR,2013-01-01,
PC,TOTAL,T,LI_R_MD40,HR,2014-01-01,
PC,TOTAL,T,LI_R_MD40,HR,2015-01-01,
PC,TOTAL,T,LI_R_MD40,HR,2016-01-01,8
PC,TOTAL,T,LI_R_MD40,HR,2017-01-01,
PC,TOTAL,T,LI_R_MD40,HU,2006-01-01,5
PC,TOTAL,T,LI_R_MD40,HU,2007-01-01,3
PC,TOTAL,T,LI_R_MD40,HU,2008-01-01,2
PC,TOTAL,T,LI_R_MD40,HU,2009-01-01,2
PC,TOTAL,T,LI_R_MD40,HU,2010-01-01,2
PC,TOTAL,T,LI_R_MD40,HU,2011-01-01,2
PC,TOTAL,T,LI_R_MD40,HU,2012-01-01,3
PC,TOTAL,T,LI_R_MD40,HU,2013-01-01,
PC,TOTAL,T,LI_R_MD40,HU,2014-01-01,
PC,TOTAL,T,LI_R_MD40,HU,2015-01-01,
PC,TOTAL,T,LI_R_MD40,HU,2016-01-01,4
PC,TOTAL,T,LI_R_MD40,HU,2017-01-01,4
PC,TOTAL,T,LI_R_MD40,IE,2006-01-01,3
PC,TOTAL,T,LI_R_MD40,IE,2007-01-01,3
PC,TOTAL,T,LI_R_MD40,IE,2008-01-01,2
PC,TOTAL,T,LI_R_MD40,IE,2009-01-01,3
PC,TOTAL,T,LI_R_MD40,IE,2010-01-01,3
PC,TOTAL,T,LI_R_MD40,IE,2011-01-01,4
PC,TOTAL,T,LI_R_MD40,IE,2012-01-01,5
PC,TOTAL,T,LI_R_MD40,IE,2013-01-01,
PC,TOTAL,T,LI_R_MD40,IE,2014-01-01,
PC,TOTAL,T,LI_R_MD40,IE,2015-01-01,
PC,TOTAL,T,LI_R_MD40,IE,2016-01-01,3
PC,TOTAL,T,LI_R_MD40,IE,2017-01-01,
PC,TOTAL,T,LI_R_MD40,IS,2006-01-01,2
PC,TOTAL,T,LI_R_MD40,IS,2007-01-01,2
PC,TOTAL,T,LI_R_MD40,IS,2008-01-01,2
PC,TOTAL,T,LI_R_MD40,IS,2009-01-01,2
PC,TOTAL,T,LI_R_MD40,IS,2010-01-01,3
PC,TOTAL,T,LI_R_MD40,IS,2011-01-01,3
PC,TOTAL,T,LI_R_MD40,IS,2012-01-01,3
PC,TOTAL,T,LI_R_MD40,IS,2013-01-01,
PC,TOTAL,T,LI_R_MD40,IS,2014-01-01,
PC,TOTAL,T,LI_R_MD40,IS,2015-01-01,
PC,TOTAL,T,LI_R_MD40,IS,2016-01-01,2
PC,TOTAL,T,LI_R_MD40,IS,2017-01-01,
PC,TOTAL,T,LI_R_MD40,IT,2006-01-01,7
PC,TOTAL,T,LI_R_MD40,IT,2007-01-01,6
PC,TOTAL,T,LI_R_MD40,IT,2008-01-01,6
PC,TOTAL,T,LI_R_MD40,IT,2009-01-01,6
PC,TOTAL,T,LI_R_MD40,IT,2010-01-01,7
PC,TOTAL,T,LI_R_MD40,IT,2011-01-01,8
PC,TOTAL,T,LI_R_MD40,IT,2012-01-01,7
PC,TOTAL,T,LI_R_MD40,IT,2013-01-01,
PC,TOTAL,T,LI_R_MD40,IT,2014-01-01,
PC,TOTAL,T,LI_R_MD40,IT,2015-01-01,
PC,TOTAL,T,LI_R_MD40,IT,2016-01-01,9
PC,TOTAL,T,LI_R_MD40,IT,2017-01-01,8
PC,TOTAL,T,LI_R_MD40,LT,2006-01-01,8
PC,TOTAL,T,LI_R_MD40,LT,2007-01-01,7
PC,TOTAL,T,LI_R_MD40,LT,2008-01-01,6
PC,TOTAL,T,LI_R_MD40,LT,2009-01-01,6
PC,TOTAL,T,LI_R_MD40,LT,2010-01-01,10
PC,TOTAL,T,LI_R_MD40,LT,2011-01-01,8
PC,TOTAL,T,LI_R_MD40,LT,2012-01-01,6
PC,TOTAL,T,LI_R_MD40,LT,2013-01-01,
PC,TOTAL,T,LI_R_MD40,LT,2014-01-01,
PC,TOTAL,T,LI_R_MD40,LT,2015-01-01,
PC,TOTAL,T,LI_R_MD40,LT,2016-01-01,8
PC,TOTAL,T,LI_R_MD40,LT,2017-01-01,9
PC,TOTAL,T,LI_R_MD40,LU,2006-01-01,3
PC,TOTAL,T,LI_R_MD40,LU,2007-01-01,2
PC,TOTAL,T,LI_R_MD40,LU,2008-01-01,2
PC,TOTAL,T,LI_R_MD40,LU,2009-01-01,3
