worktime,geotime,date,value
FT,LV,2014-01-01,6.8
FT,LV,2015-01-01,8.2
FT,LV,2016-01-01,7.0
FT,LV,2017-01-01,7.4
FT,MK,2006-01-01,
FT,MK,2007-01-01,
FT,MK,2008-01-01,
FT,MK,2009-01-01,
FT,MK,2010-01-01,
FT,MK,2011-01-01,
FT,MK,2012-01-01,10.4
FT,MK,2013-01-01,10.9
FT,MK,2014-01-01,9.0
FT,MK,2015-01-01,8.3
FT,MK,2016-01-01,8.5
FT,MK,2017-01-01,
FT,MT,2006-01-01,3.6
FT,MT,2007-01-01,4.1
FT,MT,2008-01-01,4.5
FT,MT,2009-01-01,5.0
FT,MT,2010-01-01,5.3
FT,MT,2011-01-01,5.3
FT,MT,2012-01-01,4.4
FT,MT,2013-01-01,5.3
FT,MT,2014-01-01,5.1
FT,MT,2015-01-01,4.7
FT,MT,2016-01-01,5.1
FT,MT,2017-01-01,5.0
FT,NL,2006-01-01,3.8
FT,NL,2007-01-01,4.3
FT,NL,2008-01-01,4.1
FT,NL,2009-01-01,4.0
FT,NL,2010-01-01,5.1
FT,NL,2011-01-01,4.6
FT,NL,2012-01-01,4.1
FT,NL,2013-01-01,3.4
FT,NL,2014-01-01,4.6
FT,NL,2015-01-01,4.4
FT,NL,2016-01-01,4.8
FT,NL,2017-01-01,4.3
FT,NO,2006-01-01,5.3
FT,NO,2007-01-01,4.4
FT,NO,2008-01-01,4.6
FT,NO,2009-01-01,4.4
FT,NO,2010-01-01,3.7
FT,NO,2011-01-01,4.6
FT,NO,2012-01-01,4.0
FT,NO,2013-01-01,4.6
FT,NO,2014-01-01,3.7
FT,NO,2015-01-01,4.4
FT,NO,2016-01-01,4.3
FT,NO,2017-01-01,5.8
FT,PL,2006-01-01,11.4
FT,PL,2007-01-01,10.7
FT,PL,2008-01-01,10.5
FT,PL,2009-01-01,10.0
FT,PL,2010-01-01,10.5
FT,PL,2011-01-01,10.4
FT,PL,2012-01-01,9.6
FT,PL,2013-01-01,9.7
FT,PL,2014-01-01,10.0
FT,PL,2015-01-01,10.7
FT,PL,2016-01-01,10.2
FT,PL,2017-01-01,9.0
FT,PT,2006-01-01,9.4
FT,PT,2007-01-01,7.7
FT,PT,2008-01-01,9.6
FT,PT,2009-01-01,8.5
FT,PT,2010-01-01,8.1
FT,PT,2011-01-01,8.6
FT,PT,2012-01-01,8.5
FT,PT,2013-01-01,8.8
FT,PT,2014-01-01,9.1
FT,PT,2015-01-01,9.6
FT,PT,2016-01-01,9.5
FT,PT,2017-01-01,9.1
FT,RO,2006-01-01,
FT,RO,2007-01-01,14.1
FT,RO,2008-01-01,14.2
FT,RO,2009-01-01,13.5
FT,RO,2010-01-01,15.7
FT,RO,2011-01-01,15.4
FT,RO,2012-01-01,15.9
FT,RO,2013-01-01,13.6
FT,RO,2014-01-01,15.0
FT,RO,2015-01-01,14.7
FT,RO,2016-01-01,14.3
FT,RO,2017-01-01,13.3
FT,RS,2006-01-01,
FT,RS,2007-01-01,
FT,RS,2008-01-01,
FT,RS,2009-01-01,
