age,indic_il,sex,indic_eu,unit,geotime,date,value
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2004-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2005-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2006-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2007-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2008-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2009-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2010-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2011-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2012-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2013-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2014-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2015-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2016-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2017-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,1995-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,1997-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,1999-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2000-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2001-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2004-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2005-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2006-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2007-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2008-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2009-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2010-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2011-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2012-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2013-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2014-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2015-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2016-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,CY,2017-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,1995-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,1997-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,1999-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2000-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2001-01-01,8
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2004-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2005-01-01,10
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2006-01-01,9
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2007-01-01,9
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2008-01-01,9
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2009-01-01,8
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2010-01-01,9
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2011-01-01,9
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2012-01-01,9
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2013-01-01,8
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2014-01-01,9
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2015-01-01,9
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2016-01-01,9
TOTAL,LI_R_MD60,T,T2020_52,PC,CZ,2017-01-01,9
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,1995-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,1996-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,1997-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,1998-01-01,11
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,1999-01-01,11
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2000-01-01,10
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2001-01-01,11
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2004-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2005-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2006-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2007-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2008-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2009-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2010-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2011-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2012-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2013-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2014-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2015-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2016-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,DE,2017-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,1995-01-01,10
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,1997-01-01,10
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,1999-01-01,10
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2000-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2001-01-01,10
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2003-01-01,11
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2004-01-01,10
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2005-01-01,11
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2006-01-01,11
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2007-01-01,11
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2008-01-01,11
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2009-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2010-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2011-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2012-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2013-01-01,11
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2014-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2015-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2016-01-01,11
TOTAL,LI_R_MD60,T,T2020_52,PC,DK,2017-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,1995-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,1997-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,1999-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2000-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2001-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2004-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2005-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2006-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2007-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2008-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2009-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2010-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2011-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2012-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2013-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2014-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2015-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2016-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EA18,2017-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,1995-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,1997-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,1999-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2000-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2001-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2004-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2005-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2006-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2007-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2008-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2009-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2010-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2011-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2012-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2013-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2014-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2015-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2016-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EA19,2017-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,1995-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,1997-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,1999-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2000-01-01,18
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2001-01-01,18
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2002-01-01,18
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2004-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2005-01-01,18
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2006-01-01,18
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2007-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2008-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2009-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2010-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2011-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2012-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2013-01-01,18
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2014-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2015-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2016-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EE,2017-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,1995-01-01,22
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,1996-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,1997-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,1998-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,1999-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2000-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2001-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2003-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2004-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2005-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2006-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2007-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2008-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2009-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2010-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2011-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2012-01-01,23
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2013-01-01,23
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2014-01-01,22
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2015-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2016-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EL,2017-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,1995-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,1996-01-01,18
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,1997-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,1998-01-01,18
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,1999-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2000-01-01,18
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2001-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2002-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2004-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2005-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2006-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2007-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2008-01-01,19
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2009-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2010-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2011-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2012-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2013-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2014-01-01,22
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2015-01-01,22
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2016-01-01,22
TOTAL,LI_R_MD60,T,T2020_52,PC,ES,2017-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,1995-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,1997-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,1999-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2000-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2001-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2004-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2005-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2006-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2007-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2008-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2009-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2010-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2011-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2012-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2013-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2014-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2015-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2016-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EU,2017-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,1995-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,1997-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,1999-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2000-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2001-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2004-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2005-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2006-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2007-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2008-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2009-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2010-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2011-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2012-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2013-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2014-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2015-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2016-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EU27,2017-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,1995-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,1997-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,1999-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2000-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2001-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2004-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2005-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2006-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2007-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2008-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2009-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2010-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2011-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2012-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2013-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2014-01-01,17
TOTAL,LI_R_MD60,T,T2020_52,PC,EU28,2015-01-01,17
