s_adj,age,sex,unit,geotime,date,value
SA,Y_LT25,F,THS_PER,NL,2017-10-01,55.0
SA,Y_LT25,F,THS_PER,NL,2017-11-01,52.0
SA,Y_LT25,F,THS_PER,NL,2017-12-01,54.0
SA,Y_LT25,F,THS_PER,NL,2018-01-01,49.0
SA,Y_LT25,F,THS_PER,NL,2018-02-01,47.0
SA,Y_LT25,F,THS_PER,NL,2018-03-01,45.0
SA,Y_LT25,F,THS_PER,NL,2018-04-01,43.0
SA,Y_LT25,F,THS_PER,NL,2018-05-01,45.0
SA,Y_LT25,F,THS_PER,NL,2018-06-01,48.0
SA,Y_LT25,F,THS_PER,NL,2018-07-01,49.0
SA,Y_LT25,F,THS_PER,NL,2018-08-01,53.0
SA,Y_LT25,F,THS_PER,NL,2018-09-01,52.0
SA,Y_LT25,F,THS_PER,NO,2017-10-01,16.0
SA,Y_LT25,F,THS_PER,NO,2017-11-01,16.0
SA,Y_LT25,F,THS_PER,NO,2017-12-01,15.0
SA,Y_LT25,F,THS_PER,NO,2018-01-01,14.0
SA,Y_LT25,F,THS_PER,NO,2018-02-01,12.0
SA,Y_LT25,F,THS_PER,NO,2018-03-01,13.0
SA,Y_LT25,F,THS_PER,NO,2018-04-01,13.0
SA,Y_LT25,F,THS_PER,NO,2018-05-01,14.0
SA,Y_LT25,F,THS_PER,NO,2018-06-01,15.0
SA,Y_LT25,F,THS_PER,NO,2018-07-01,15.0
SA,Y_LT25,F,THS_PER,NO,2018-08-01,
SA,Y_LT25,F,THS_PER,NO,2018-09-01,
SA,Y_LT25,F,THS_PER,PL,2017-10-01,85.0
SA,Y_LT25,F,THS_PER,PL,2017-11-01,84.0
SA,Y_LT25,F,THS_PER,PL,2017-12-01,77.0
SA,Y_LT25,F,THS_PER,PL,2018-01-01,68.0
SA,Y_LT25,F,THS_PER,PL,2018-02-01,63.0
SA,Y_LT25,F,THS_PER,PL,2018-03-01,62.0
SA,Y_LT25,F,THS_PER,PL,2018-04-01,64.0
SA,Y_LT25,F,THS_PER,PL,2018-05-01,62.0
SA,Y_LT25,F,THS_PER,PL,2018-06-01,58.0
SA,Y_LT25,F,THS_PER,PL,2018-07-01,51.0
SA,Y_LT25,F,THS_PER,PL,2018-08-01,46.0
SA,Y_LT25,F,THS_PER,PL,2018-09-01,
SA,Y_LT25,F,THS_PER,PT,2017-10-01,48.0
SA,Y_LT25,F,THS_PER,PT,2017-11-01,44.0
SA,Y_LT25,F,THS_PER,PT,2017-12-01,39.0
SA,Y_LT25,F,THS_PER,PT,2018-01-01,37.0
SA,Y_LT25,F,THS_PER,PT,2018-02-01,32.0
SA,Y_LT25,F,THS_PER,PT,2018-03-01,36.0
SA,Y_LT25,F,THS_PER,PT,2018-04-01,33.0
SA,Y_LT25,F,THS_PER,PT,2018-05-01,39.0
SA,Y_LT25,F,THS_PER,PT,2018-06-01,35.0
SA,Y_LT25,F,THS_PER,PT,2018-07-01,36.0
SA,Y_LT25,F,THS_PER,PT,2018-08-01,36.0
SA,Y_LT25,F,THS_PER,PT,2018-09-01,
SA,Y_LT25,F,THS_PER,RO,2017-10-01,53.0
SA,Y_LT25,F,THS_PER,RO,2017-11-01,53.0
SA,Y_LT25,F,THS_PER,RO,2017-12-01,53.0
SA,Y_LT25,F,THS_PER,RO,2018-01-01,42.0
SA,Y_LT25,F,THS_PER,RO,2018-02-01,42.0
SA,Y_LT25,F,THS_PER,RO,2018-03-01,42.0
SA,Y_LT25,F,THS_PER,RO,2018-04-01,39.0
SA,Y_LT25,F,THS_PER,RO,2018-05-01,39.0
SA,Y_LT25,F,THS_PER,RO,2018-06-01,39.0
SA,Y_LT25,F,THS_PER,RO,2018-07-01,
SA,Y_LT25,F,THS_PER,RO,2018-08-01,
SA,Y_LT25,F,THS_PER,RO,2018-09-01,
SA,Y_LT25,F,THS_PER,SE,2017-10-01,44.0
SA,Y_LT25,F,THS_PER,SE,2017-11-01,52.0
SA,Y_LT25,F,THS_PER,SE,2017-12-01,52.0
SA,Y_LT25,F,THS_PER,SE,2018-01-01,49.0
SA,Y_LT25,F,THS_PER,SE,2018-02-01,42.0
SA,Y_LT25,F,THS_PER,SE,2018-03-01,45.0
SA,Y_LT25,F,THS_PER,SE,2018-04-01,43.0
SA,Y_LT25,F,THS_PER,SE,2018-05-01,36.0
SA,Y_LT25,F,THS_PER,SE,2018-06-01,50.0
SA,Y_LT25,F,THS_PER,SE,2018-07-01,53.0
SA,Y_LT25,F,THS_PER,SE,2018-08-01,52.0
SA,Y_LT25,F,THS_PER,SE,2018-09-01,
SA,Y_LT25,F,THS_PER,SI,2017-10-01,4.0
SA,Y_LT25,F,THS_PER,SI,2017-11-01,4.0
SA,Y_LT25,F,THS_PER,SI,2017-12-01,4.0
SA,Y_LT25,F,THS_PER,SI,2018-01-01,4.0
SA,Y_LT25,F,THS_PER,SI,2018-02-01,4.0
SA,Y_LT25,F,THS_PER,SI,2018-03-01,4.0
SA,Y_LT25,F,THS_PER,SI,2018-04-01,3.0
SA,Y_LT25,F,THS_PER,SI,2018-05-01,3.0
SA,Y_LT25,F,THS_PER,SI,2018-06-01,3.0
SA,Y_LT25,F,THS_PER,SI,2018-07-01,
SA,Y_LT25,F,THS_PER,SI,2018-08-01,
SA,Y_LT25,F,THS_PER,SI,2018-09-01,
SA,Y_LT25,F,THS_PER,SK,2017-10-01,16.0
SA,Y_LT25,F,THS_PER,SK,2017-11-01,16.0
