unit,bop_item,stk_flow,partner,geotime,date,value
PC_WRL,G,CRE,WRL_REST,DE,2002-01-01,9.04
PC_WRL,G,CRE,WRL_REST,DE,2003-01-01,9.39
PC_WRL,G,CRE,WRL_REST,DE,2004-01-01,9.41
PC_WRL,G,CRE,WRL_REST,DE,2005-01-01,8.87
PC_WRL,G,CRE,WRL_REST,DE,2006-01-01,8.8
PC_WRL,G,CRE,WRL_REST,DE,2007-01-01,9.3
PC_WRL,G,CRE,WRL_REST,DE,2008-01-01,8.91
PC_WRL,G,CRE,WRL_REST,DE,2009-01-01,8.78
PC_WRL,G,CRE,WRL_REST,DE,2010-01-01,8.17
PC_WRL,G,CRE,WRL_REST,DE,2011-01-01,8.0
PC_WRL,G,CRE,WRL_REST,DE,2012-01-01,7.59
PC_WRL,G,CRE,WRL_REST,DE,2013-01-01,7.74
PC_WRL,G,CRE,WRL_REST,DE,2014-01-01,7.95
PC_WRL,G,CRE,WRL_REST,DE,2015-01-01,8.08
PC_WRL,G,CRE,WRL_REST,DE,2016-01-01,8.39
PC_WRL,G,CRE,WRL_REST,DE,2017-01-01,8.25
PC_WRL,G,CRE,WRL_REST,DK,1995-01-01,
PC_WRL,G,CRE,WRL_REST,DK,1996-01-01,
PC_WRL,G,CRE,WRL_REST,DK,1997-01-01,
PC_WRL,G,CRE,WRL_REST,DK,1998-01-01,
PC_WRL,G,CRE,WRL_REST,DK,1999-01-01,
PC_WRL,G,CRE,WRL_REST,DK,2000-01-01,
PC_WRL,G,CRE,WRL_REST,DK,2001-01-01,
PC_WRL,G,CRE,WRL_REST,DK,2002-01-01,
PC_WRL,G,CRE,WRL_REST,DK,2003-01-01,
PC_WRL,G,CRE,WRL_REST,DK,2004-01-01,
PC_WRL,G,CRE,WRL_REST,DK,2005-01-01,0.79
PC_WRL,G,CRE,WRL_REST,DK,2006-01-01,0.75
PC_WRL,G,CRE,WRL_REST,DK,2007-01-01,0.74
PC_WRL,G,CRE,WRL_REST,DK,2008-01-01,0.75
PC_WRL,G,CRE,WRL_REST,DK,2009-01-01,0.77
PC_WRL,G,CRE,WRL_REST,DK,2010-01-01,0.68
PC_WRL,G,CRE,WRL_REST,DK,2011-01-01,0.66
PC_WRL,G,CRE,WRL_REST,DK,2012-01-01,0.61
PC_WRL,G,CRE,WRL_REST,DK,2013-01-01,0.63
PC_WRL,G,CRE,WRL_REST,DK,2014-01-01,0.64
PC_WRL,G,CRE,WRL_REST,DK,2015-01-01,0.64
PC_WRL,G,CRE,WRL_REST,DK,2016-01-01,0.66
PC_WRL,G,CRE,WRL_REST,DK,2017-01-01,0.65
PC_WRL,G,CRE,WRL_REST,EE,1995-01-01,0.03
PC_WRL,G,CRE,WRL_REST,EE,1996-01-01,0.03
PC_WRL,G,CRE,WRL_REST,EE,1997-01-01,0.04
PC_WRL,G,CRE,WRL_REST,EE,1998-01-01,0.05
PC_WRL,G,CRE,WRL_REST,EE,1999-01-01,0.04
PC_WRL,G,CRE,WRL_REST,EE,2000-01-01,0.03
PC_WRL,G,CRE,WRL_REST,EE,2001-01-01,0.03
PC_WRL,G,CRE,WRL_REST,EE,2002-01-01,0.04
PC_WRL,G,CRE,WRL_REST,EE,2003-01-01,0.04
PC_WRL,G,CRE,WRL_REST,EE,2004-01-01,0.05
PC_WRL,G,CRE,WRL_REST,EE,2005-01-01,0.06
PC_WRL,G,CRE,WRL_REST,EE,2006-01-01,0.06
PC_WRL,G,CRE,WRL_REST,EE,2007-01-01,0.07
PC_WRL,G,CRE,WRL_REST,EE,2008-01-01,0.07
PC_WRL,G,CRE,WRL_REST,EE,2009-01-01,0.06
PC_WRL,G,CRE,WRL_REST,EE,2010-01-01,0.07
PC_WRL,G,CRE,WRL_REST,EE,2011-01-01,0.08
PC_WRL,G,CRE,WRL_REST,EE,2012-01-01,0.08
PC_WRL,G,CRE,WRL_REST,EE,2013-01-01,0.08
PC_WRL,G,CRE,WRL_REST,EE,2014-01-01,0.08
PC_WRL,G,CRE,WRL_REST,EE,2015-01-01,0.07
PC_WRL,G,CRE,WRL_REST,EE,2016-01-01,0.08
PC_WRL,G,CRE,WRL_REST,EE,2017-01-01,0.08
PC_WRL,G,CRE,WRL_REST,EL,1995-01-01,
PC_WRL,G,CRE,WRL_REST,EL,1996-01-01,
PC_WRL,G,CRE,WRL_REST,EL,1997-01-01,
PC_WRL,G,CRE,WRL_REST,EL,1998-01-01,
PC_WRL,G,CRE,WRL_REST,EL,1999-01-01,
PC_WRL,G,CRE,WRL_REST,EL,2000-01-01,
PC_WRL,G,CRE,WRL_REST,EL,2001-01-01,
PC_WRL,G,CRE,WRL_REST,EL,2002-01-01,0.17
PC_WRL,G,CRE,WRL_REST,EL,2003-01-01,0.18
PC_WRL,G,CRE,WRL_REST,EL,2004-01-01,0.19
PC_WRL,G,CRE,WRL_REST,EL,2005-01-01,0.18
PC_WRL,G,CRE,WRL_REST,EL,2006-01-01,0.19
PC_WRL,G,CRE,WRL_REST,EL,2007-01-01,0.21
PC_WRL,G,CRE,WRL_REST,EL,2008-01-01,0.21
PC_WRL,G,CRE,WRL_REST,EL,2009-01-01,0.2
PC_WRL,G,CRE,WRL_REST,EL,2010-01-01,0.19
PC_WRL,G,CRE,WRL_REST,EL,2011-01-01,0.19
PC_WRL,G,CRE,WRL_REST,EL,2012-01-01,0.19
PC_WRL,G,CRE,WRL_REST,EL,2013-01-01,0.19
PC_WRL,G,CRE,WRL_REST,EL,2014-01-01,0.19
PC_WRL,G,CRE,WRL_REST,EL,2015-01-01,0.17
