wstatus,indic_il,age,sex,geotime,date,value
RET,LI_R_MD60,Y_GE18,F,EU27,2006-01-01,16.8
RET,LI_R_MD60,Y_GE18,F,EU27,2007-01-01,17.7
RET,LI_R_MD60,Y_GE18,F,EU27,2008-01-01,17.7
RET,LI_R_MD60,Y_GE18,F,EU27,2009-01-01,17.0
RET,LI_R_MD60,Y_GE18,F,EU27,2010-01-01,15.3
RET,LI_R_MD60,Y_GE18,F,EU27,2011-01-01,15.3
RET,LI_R_MD60,Y_GE18,F,EU27,2012-01-01,14.1
RET,LI_R_MD60,Y_GE18,F,EU27,2013-01-01,14.0
RET,LI_R_MD60,Y_GE18,F,EU27,2014-01-01,14.1
RET,LI_R_MD60,Y_GE18,F,EU27,2015-01-01,14.5
RET,LI_R_MD60,Y_GE18,F,EU27,2016-01-01,15.3
RET,LI_R_MD60,Y_GE18,F,EU27,2017-01-01,15.0
RET,LI_R_MD60,Y_GE18,F,EU28,2006-01-01,
RET,LI_R_MD60,Y_GE18,F,EU28,2007-01-01,
RET,LI_R_MD60,Y_GE18,F,EU28,2008-01-01,
RET,LI_R_MD60,Y_GE18,F,EU28,2009-01-01,
RET,LI_R_MD60,Y_GE18,F,EU28,2010-01-01,15.4
RET,LI_R_MD60,Y_GE18,F,EU28,2011-01-01,15.4
RET,LI_R_MD60,Y_GE18,F,EU28,2012-01-01,14.2
RET,LI_R_MD60,Y_GE18,F,EU28,2013-01-01,14.0
RET,LI_R_MD60,Y_GE18,F,EU28,2014-01-01,14.1
RET,LI_R_MD60,Y_GE18,F,EU28,2015-01-01,14.6
RET,LI_R_MD60,Y_GE18,F,EU28,2016-01-01,15.4
RET,LI_R_MD60,Y_GE18,F,EU28,2017-01-01,15.0
RET,LI_R_MD60,Y_GE18,F,FI,2006-01-01,22.5
RET,LI_R_MD60,Y_GE18,F,FI,2007-01-01,22.8
RET,LI_R_MD60,Y_GE18,F,FI,2008-01-01,25.4
RET,LI_R_MD60,Y_GE18,F,FI,2009-01-01,26.3
RET,LI_R_MD60,Y_GE18,F,FI,2010-01-01,21.1
RET,LI_R_MD60,Y_GE18,F,FI,2011-01-01,22.2
RET,LI_R_MD60,Y_GE18,F,FI,2012-01-01,22.0
RET,LI_R_MD60,Y_GE18,F,FI,2013-01-01,19.0
RET,LI_R_MD60,Y_GE18,F,FI,2014-01-01,19.0
RET,LI_R_MD60,Y_GE18,F,FI,2015-01-01,16.9
RET,LI_R_MD60,Y_GE18,F,FI,2016-01-01,15.0
RET,LI_R_MD60,Y_GE18,F,FI,2017-01-01,15.1
RET,LI_R_MD60,Y_GE18,F,FR,2006-01-01,14.0
RET,LI_R_MD60,Y_GE18,F,FR,2007-01-01,10.3
RET,LI_R_MD60,Y_GE18,F,FR,2008-01-01,11.2
RET,LI_R_MD60,Y_GE18,F,FR,2009-01-01,10.8
RET,LI_R_MD60,Y_GE18,F,FR,2010-01-01,8.2
RET,LI_R_MD60,Y_GE18,F,FR,2011-01-01,9.7
RET,LI_R_MD60,Y_GE18,F,FR,2012-01-01,9.9
RET,LI_R_MD60,Y_GE18,F,FR,2013-01-01,9.6
RET,LI_R_MD60,Y_GE18,F,FR,2014-01-01,8.4
RET,LI_R_MD60,Y_GE18,F,FR,2015-01-01,7.9
RET,LI_R_MD60,Y_GE18,F,FR,2016-01-01,8.3
RET,LI_R_MD60,Y_GE18,F,FR,2017-01-01,7.8
RET,LI_R_MD60,Y_GE18,F,HR,2006-01-01,
RET,LI_R_MD60,Y_GE18,F,HR,2007-01-01,
RET,LI_R_MD60,Y_GE18,F,HR,2008-01-01,
RET,LI_R_MD60,Y_GE18,F,HR,2009-01-01,
RET,LI_R_MD60,Y_GE18,F,HR,2010-01-01,25.7
RET,LI_R_MD60,Y_GE18,F,HR,2011-01-01,25.9
RET,LI_R_MD60,Y_GE18,F,HR,2012-01-01,21.9
RET,LI_R_MD60,Y_GE18,F,HR,2013-01-01,20.0
RET,LI_R_MD60,Y_GE18,F,HR,2014-01-01,19.9
RET,LI_R_MD60,Y_GE18,F,HR,2015-01-01,23.4
RET,LI_R_MD60,Y_GE18,F,HR,2016-01-01,23.9
RET,LI_R_MD60,Y_GE18,F,HR,2017-01-01,
RET,LI_R_MD60,Y_GE18,F,HU,2006-01-01,11.7
RET,LI_R_MD60,Y_GE18,F,HU,2007-01-01,8.3
RET,LI_R_MD60,Y_GE18,F,HU,2008-01-01,6.6
RET,LI_R_MD60,Y_GE18,F,HU,2009-01-01,4.6
RET,LI_R_MD60,Y_GE18,F,HU,2010-01-01,4.5
RET,LI_R_MD60,Y_GE18,F,HU,2011-01-01,5.0
RET,LI_R_MD60,Y_GE18,F,HU,2012-01-01,6.0
RET,LI_R_MD60,Y_GE18,F,HU,2013-01-01,6.2
RET,LI_R_MD60,Y_GE18,F,HU,2014-01-01,4.9
RET,LI_R_MD60,Y_GE18,F,HU,2015-01-01,5.2
RET,LI_R_MD60,Y_GE18,F,HU,2016-01-01,7.9
RET,LI_R_MD60,Y_GE18,F,HU,2017-01-01,9.8
RET,LI_R_MD60,Y_GE18,F,IE,2006-01-01,31.5
RET,LI_R_MD60,Y_GE18,F,IE,2007-01-01,26.4
RET,LI_R_MD60,Y_GE18,F,IE,2008-01-01,17.4
RET,LI_R_MD60,Y_GE18,F,IE,2009-01-01,15.2
RET,LI_R_MD60,Y_GE18,F,IE,2010-01-01,9.1
RET,LI_R_MD60,Y_GE18,F,IE,2011-01-01,7.1
RET,LI_R_MD60,Y_GE18,F,IE,2012-01-01,12.9
RET,LI_R_MD60,Y_GE18,F,IE,2013-01-01,10.8
RET,LI_R_MD60,Y_GE18,F,IE,2014-01-01,13.3
RET,LI_R_MD60,Y_GE18,F,IE,2015-01-01,16.6
RET,LI_R_MD60,Y_GE18,F,IE,2016-01-01,15.8
RET,LI_R_MD60,Y_GE18,F,IE,2017-01-01,
RET,LI_R_MD60,Y_GE18,F,IS,2006-01-01,15.4
RET,LI_R_MD60,Y_GE18,F,IS,2007-01-01,23.2
RET,LI_R_MD60,Y_GE18,F,IS,2008-01-01,22.6
RET,LI_R_MD60,Y_GE18,F,IS,2009-01-01,20.7
RET,LI_R_MD60,Y_GE18,F,IS,2010-01-01,10.0
RET,LI_R_MD60,Y_GE18,F,IS,2011-01-01,7.4
RET,LI_R_MD60,Y_GE18,F,IS,2012-01-01,4.7
RET,LI_R_MD60,Y_GE18,F,IS,2013-01-01,3.6
RET,LI_R_MD60,Y_GE18,F,IS,2014-01-01,10.1
RET,LI_R_MD60,Y_GE18,F,IS,2015-01-01,9.1
RET,LI_R_MD60,Y_GE18,F,IS,2016-01-01,13.4
RET,LI_R_MD60,Y_GE18,F,IS,2017-01-01,
RET,LI_R_MD60,Y_GE18,F,IT,2006-01-01,16.5
RET,LI_R_MD60,Y_GE18,F,IT,2007-01-01,16.1
RET,LI_R_MD60,Y_GE18,F,IT,2008-01-01,15.2
RET,LI_R_MD60,Y_GE18,F,IT,2009-01-01,14.0
RET,LI_R_MD60,Y_GE18,F,IT,2010-01-01,12.8
RET,LI_R_MD60,Y_GE18,F,IT,2011-01-01,12.7
RET,LI_R_MD60,Y_GE18,F,IT,2012-01-01,12.4
RET,LI_R_MD60,Y_GE18,F,IT,2013-01-01,11.7
RET,LI_R_MD60,Y_GE18,F,IT,2014-01-01,10.3
RET,LI_R_MD60,Y_GE18,F,IT,2015-01-01,10.9
RET,LI_R_MD60,Y_GE18,F,IT,2016-01-01,13.1
RET,LI_R_MD60,Y_GE18,F,IT,2017-01-01,12.1
RET,LI_R_MD60,Y_GE18,F,LT,2006-01-01,28.3
RET,LI_R_MD60,Y_GE18,F,LT,2007-01-01,36.1
RET,LI_R_MD60,Y_GE18,F,LT,2008-01-01,37.8
RET,LI_R_MD60,Y_GE18,F,LT,2009-01-01,31.2
RET,LI_R_MD60,Y_GE18,F,LT,2010-01-01,13.2
RET,LI_R_MD60,Y_GE18,F,LT,2011-01-01,12.8
RET,LI_R_MD60,Y_GE18,F,LT,2012-01-01,23.4
RET,LI_R_MD60,Y_GE18,F,LT,2013-01-01,26.5
RET,LI_R_MD60,Y_GE18,F,LT,2014-01-01,25.2
RET,LI_R_MD60,Y_GE18,F,LT,2015-01-01,31.4
RET,LI_R_MD60,Y_GE18,F,LT,2016-01-01,35.4
RET,LI_R_MD60,Y_GE18,F,LT,2017-01-01,42.1
RET,LI_R_MD60,Y_GE18,F,LU,2006-01-01,6.1
RET,LI_R_MD60,Y_GE18,F,LU,2007-01-01,10.9
RET,LI_R_MD60,Y_GE18,F,LU,2008-01-01,3.9
RET,LI_R_MD60,Y_GE18,F,LU,2009-01-01,8.0
RET,LI_R_MD60,Y_GE18,F,LU,2010-01-01,4.9
RET,LI_R_MD60,Y_GE18,F,LU,2011-01-01,3.2
RET,LI_R_MD60,Y_GE18,F,LU,2012-01-01,6.5
RET,LI_R_MD60,Y_GE18,F,LU,2013-01-01,5.9
RET,LI_R_MD60,Y_GE18,F,LU,2014-01-01,3.2
RET,LI_R_MD60,Y_GE18,F,LU,2015-01-01,6.4
RET,LI_R_MD60,Y_GE18,F,LU,2016-01-01,9.8
RET,LI_R_MD60,Y_GE18,F,LU,2017-01-01,9.8
RET,LI_R_MD60,Y_GE18,F,LV,2006-01-01,39.6
RET,LI_R_MD60,Y_GE18,F,LV,2007-01-01,43.5
RET,LI_R_MD60,Y_GE18,F,LV,2008-01-01,57.4
RET,LI_R_MD60,Y_GE18,F,LV,2009-01-01,54.2
RET,LI_R_MD60,Y_GE18,F,LV,2010-01-01,21.4
RET,LI_R_MD60,Y_GE18,F,LV,2011-01-01,11.5
RET,LI_R_MD60,Y_GE18,F,LV,2012-01-01,17.7
RET,LI_R_MD60,Y_GE18,F,LV,2013-01-01,21.3
RET,LI_R_MD60,Y_GE18,F,LV,2014-01-01,34.5
RET,LI_R_MD60,Y_GE18,F,LV,2015-01-01,41.8
RET,LI_R_MD60,Y_GE18,F,LV,2016-01-01,46.2
RET,LI_R_MD60,Y_GE18,F,LV,2017-01-01,48.5
RET,LI_R_MD60,Y_GE18,F,MK,2006-01-01,
RET,LI_R_MD60,Y_GE18,F,MK,2007-01-01,
RET,LI_R_MD60,Y_GE18,F,MK,2008-01-01,
RET,LI_R_MD60,Y_GE18,F,MK,2009-01-01,
RET,LI_R_MD60,Y_GE18,F,MK,2010-01-01,
RET,LI_R_MD60,Y_GE18,F,MK,2011-01-01,
RET,LI_R_MD60,Y_GE18,F,MK,2012-01-01,5.0
RET,LI_R_MD60,Y_GE18,F,MK,2013-01-01,3.2
RET,LI_R_MD60,Y_GE18,F,MK,2014-01-01,2.6
RET,LI_R_MD60,Y_GE18,F,MK,2015-01-01,2.7
RET,LI_R_MD60,Y_GE18,F,MK,2016-01-01,2.2
RET,LI_R_MD60,Y_GE18,F,MK,2017-01-01,
RET,LI_R_MD60,Y_GE18,F,MT,2006-01-01,20.0
RET,LI_R_MD60,Y_GE18,F,MT,2007-01-01,16.5
RET,LI_R_MD60,Y_GE18,F,MT,2008-01-01,16.5
RET,LI_R_MD60,Y_GE18,F,MT,2009-01-01,13.9
RET,LI_R_MD60,Y_GE18,F,MT,2010-01-01,10.5
RET,LI_R_MD60,Y_GE18,F,MT,2011-01-01,10.9
RET,LI_R_MD60,Y_GE18,F,MT,2012-01-01,11.3
RET,LI_R_MD60,Y_GE18,F,MT,2013-01-01,9.6
RET,LI_R_MD60,Y_GE18,F,MT,2014-01-01,8.7
RET,LI_R_MD60,Y_GE18,F,MT,2015-01-01,11.5
RET,LI_R_MD60,Y_GE18,F,MT,2016-01-01,16.8
RET,LI_R_MD60,Y_GE18,F,MT,2017-01-01,18.4
RET,LI_R_MD60,Y_GE18,F,NL,2006-01-01,5.3
RET,LI_R_MD60,Y_GE18,F,NL,2007-01-01,10.2
RET,LI_R_MD60,Y_GE18,F,NL,2008-01-01,9.0
RET,LI_R_MD60,Y_GE18,F,NL,2009-01-01,6.9
RET,LI_R_MD60,Y_GE18,F,NL,2010-01-01,6.3
RET,LI_R_MD60,Y_GE18,F,NL,2011-01-01,6.3
RET,LI_R_MD60,Y_GE18,F,NL,2012-01-01,5.6
RET,LI_R_MD60,Y_GE18,F,NL,2013-01-01,6.7
RET,LI_R_MD60,Y_GE18,F,NL,2014-01-01,8.5
RET,LI_R_MD60,Y_GE18,F,NL,2015-01-01,6.4
RET,LI_R_MD60,Y_GE18,F,NL,2016-01-01,10.1
RET,LI_R_MD60,Y_GE18,F,NL,2017-01-01,11.2
RET,LI_R_MD60,Y_GE18,F,NO,2006-01-01,22.4
RET,LI_R_MD60,Y_GE18,F,NO,2007-01-01,18.8
RET,LI_R_MD60,Y_GE18,F,NO,2008-01-01,19.0
RET,LI_R_MD60,Y_GE18,F,NO,2009-01-01,19.8
RET,LI_R_MD60,Y_GE18,F,NO,2010-01-01,19.9
RET,LI_R_MD60,Y_GE18,F,NO,2011-01-01,18.5
RET,LI_R_MD60,Y_GE18,F,NO,2012-01-01,14.7
RET,LI_R_MD60,Y_GE18,F,NO,2013-01-01,16.5
RET,LI_R_MD60,Y_GE18,F,NO,2014-01-01,16.0
RET,LI_R_MD60,Y_GE18,F,NO,2015-01-01,15.1
RET,LI_R_MD60,Y_GE18,F,NO,2016-01-01,14.9
RET,LI_R_MD60,Y_GE18,F,NO,2017-01-01,17.8
RET,LI_R_MD60,Y_GE18,F,PL,2006-01-01,7.7
RET,LI_R_MD60,Y_GE18,F,PL,2007-01-01,7.6
RET,LI_R_MD60,Y_GE18,F,PL,2008-01-01,11.1
RET,LI_R_MD60,Y_GE18,F,PL,2009-01-01,14.6
RET,LI_R_MD60,Y_GE18,F,PL,2010-01-01,15.5
RET,LI_R_MD60,Y_GE18,F,PL,2011-01-01,16.0
RET,LI_R_MD60,Y_GE18,F,PL,2012-01-01,15.3
RET,LI_R_MD60,Y_GE18,F,PL,2013-01-01,13.4
RET,LI_R_MD60,Y_GE18,F,PL,2014-01-01,12.7
RET,LI_R_MD60,Y_GE18,F,PL,2015-01-01,12.9
RET,LI_R_MD60,Y_GE18,F,PL,2016-01-01,14.5
RET,LI_R_MD60,Y_GE18,F,PL,2017-01-01,15.2
RET,LI_R_MD60,Y_GE18,F,PT,2006-01-01,22.7
RET,LI_R_MD60,Y_GE18,F,PT,2007-01-01,23.3
RET,LI_R_MD60,Y_GE18,F,PT,2008-01-01,22.0
RET,LI_R_MD60,Y_GE18,F,PT,2009-01-01,18.6
RET,LI_R_MD60,Y_GE18,F,PT,2010-01-01,20.3
RET,LI_R_MD60,Y_GE18,F,PT,2011-01-01,19.0
RET,LI_R_MD60,Y_GE18,F,PT,2012-01-01,16.3
RET,LI_R_MD60,Y_GE18,F,PT,2013-01-01,13.2
RET,LI_R_MD60,Y_GE18,F,PT,2014-01-01,13.4
RET,LI_R_MD60,Y_GE18,F,PT,2015-01-01,15.2
RET,LI_R_MD60,Y_GE18,F,PT,2016-01-01,16.3
RET,LI_R_MD60,Y_GE18,F,PT,2017-01-01,15.6
RET,LI_R_MD60,Y_GE18,F,RO,2006-01-01,
RET,LI_R_MD60,Y_GE18,F,RO,2007-01-01,24.0
RET,LI_R_MD60,Y_GE18,F,RO,2008-01-01,21.0
RET,LI_R_MD60,Y_GE18,F,RO,2009-01-01,18.1
RET,LI_R_MD60,Y_GE18,F,RO,2010-01-01,15.3
RET,LI_R_MD60,Y_GE18,F,RO,2011-01-01,12.6
RET,LI_R_MD60,Y_GE18,F,RO,2012-01-01,12.6
RET,LI_R_MD60,Y_GE18,F,RO,2013-01-01,13.2
RET,LI_R_MD60,Y_GE18,F,RO,2014-01-01,14.8
RET,LI_R_MD60,Y_GE18,F,RO,2015-01-01,17.8
RET,LI_R_MD60,Y_GE18,F,RO,2016-01-01,18.9
RET,LI_R_MD60,Y_GE18,F,RO,2017-01-01,18.8
RET,LI_R_MD60,Y_GE18,F,RS,2006-01-01,
RET,LI_R_MD60,Y_GE18,F,RS,2007-01-01,
RET,LI_R_MD60,Y_GE18,F,RS,2008-01-01,
RET,LI_R_MD60,Y_GE18,F,RS,2009-01-01,
RET,LI_R_MD60,Y_GE18,F,RS,2010-01-01,
RET,LI_R_MD60,Y_GE18,F,RS,2011-01-01,
RET,LI_R_MD60,Y_GE18,F,RS,2012-01-01,
RET,LI_R_MD60,Y_GE18,F,RS,2013-01-01,15.1
RET,LI_R_MD60,Y_GE18,F,RS,2014-01-01,15.4
RET,LI_R_MD60,Y_GE18,F,RS,2015-01-01,15.7
RET,LI_R_MD60,Y_GE18,F,RS,2016-01-01,16.9
RET,LI_R_MD60,Y_GE18,F,RS,2017-01-01,
RET,LI_R_MD60,Y_GE18,F,SE,2006-01-01,13.7
RET,LI_R_MD60,Y_GE18,F,SE,2007-01-01,11.5
RET,LI_R_MD60,Y_GE18,F,SE,2008-01-01,18.6
