sex,wstatus,age,unit,geotime,date,value
T,POP,Y18-24,PC,EA18,2014-01-01,11
T,POP,Y18-24,PC,EA18,2015-01-01,11
T,POP,Y18-24,PC,EA18,2016-01-01,11
T,POP,Y18-24,PC,EA18,2017-01-01,11
T,POP,Y18-24,PC,EA19,2005-01-01,17
T,POP,Y18-24,PC,EA19,2006-01-01,17
T,POP,Y18-24,PC,EA19,2007-01-01,16
T,POP,Y18-24,PC,EA19,2008-01-01,16
T,POP,Y18-24,PC,EA19,2009-01-01,15
T,POP,Y18-24,PC,EA19,2010-01-01,15
T,POP,Y18-24,PC,EA19,2011-01-01,14
T,POP,Y18-24,PC,EA19,2012-01-01,
T,POP,Y18-24,PC,EA19,2013-01-01,12
T,POP,Y18-24,PC,EA19,2014-01-01,11
T,POP,Y18-24,PC,EA19,2015-01-01,11
T,POP,Y18-24,PC,EA19,2016-01-01,11
T,POP,Y18-24,PC,EA19,2017-01-01,11
T,POP,Y18-24,PC,EE,2005-01-01,14
T,POP,Y18-24,PC,EE,2006-01-01,13
T,POP,Y18-24,PC,EE,2007-01-01,14
T,POP,Y18-24,PC,EE,2008-01-01,14
T,POP,Y18-24,PC,EE,2009-01-01,13
T,POP,Y18-24,PC,EE,2010-01-01,11
T,POP,Y18-24,PC,EE,2011-01-01,10
T,POP,Y18-24,PC,EE,2012-01-01,
T,POP,Y18-24,PC,EE,2013-01-01,9
T,POP,Y18-24,PC,EE,2014-01-01,12
T,POP,Y18-24,PC,EE,2015-01-01,12
T,POP,Y18-24,PC,EE,2016-01-01,10
T,POP,Y18-24,PC,EE,2017-01-01,10
T,POP,Y18-24,PC,EL,2005-01-01,13
T,POP,Y18-24,PC,EL,2006-01-01,15
T,POP,Y18-24,PC,EL,2007-01-01,14
T,POP,Y18-24,PC,EL,2008-01-01,14
T,POP,Y18-24,PC,EL,2009-01-01,14
T,POP,Y18-24,PC,EL,2010-01-01,13
T,POP,Y18-24,PC,EL,2011-01-01,12
T,POP,Y18-24,PC,EL,2012-01-01,
T,POP,Y18-24,PC,EL,2013-01-01,10
