indic_il,age,sex,tenure,geo\time,date,value
LI_R_MD60,Y_GE65,T,RENT,RS,2011-01-01,: 
LI_R_MD60,Y_GE65,T,RENT,RS,2012-01-01,: 
LI_R_MD60,Y_GE65,T,RENT,RS,2013-01-01,14.9 u
LI_R_MD60,Y_GE65,T,RENT,RS,2014-01-01,25.4 u
LI_R_MD60,Y_GE65,T,RENT,RS,2015-01-01,5.8 u
LI_R_MD60,Y_GE65,T,RENT,RS,2016-01-01,19.4 u
LI_R_MD60,Y_GE65,T,RENT,RS,2017-01-01,: 
LI_R_MD60,Y_GE65,T,RENT,SE,2006-01-01,12.4 
LI_R_MD60,Y_GE65,T,RENT,SE,2007-01-01,10.0 
LI_R_MD60,Y_GE65,T,RENT,SE,2008-01-01,17.6 b
LI_R_MD60,Y_GE65,T,RENT,SE,2009-01-01,20.2 
LI_R_MD60,Y_GE65,T,RENT,SE,2010-01-01,17.6 
LI_R_MD60,Y_GE65,T,RENT,SE,2011-01-01,18.9 
LI_R_MD60,Y_GE65,T,RENT,SE,2012-01-01,19.9 
LI_R_MD60,Y_GE65,T,RENT,SE,2013-01-01,18.7 
LI_R_MD60,Y_GE65,T,RENT,SE,2014-01-01,19.0 
LI_R_MD60,Y_GE65,T,RENT,SE,2015-01-01,23.1 
LI_R_MD60,Y_GE65,T,RENT,SE,2016-01-01,24.1 
LI_R_MD60,Y_GE65,T,RENT,SE,2017-01-01,23.1 
LI_R_MD60,Y_GE65,T,RENT,SI,2006-01-01,32.3 
LI_R_MD60,Y_GE65,T,RENT,SI,2007-01-01,: 
LI_R_MD60,Y_GE65,T,RENT,SI,2008-01-01,49.4 
LI_R_MD60,Y_GE65,T,RENT,SI,2009-01-01,48.7 
LI_R_MD60,Y_GE65,T,RENT,SI,2010-01-01,35.4 
LI_R_MD60,Y_GE65,T,RENT,SI,2011-01-01,45.1 
LI_R_MD60,Y_GE65,T,RENT,SI,2012-01-01,44.6 
LI_R_MD60,Y_GE65,T,RENT,SI,2013-01-01,45.2 
LI_R_MD60,Y_GE65,T,RENT,SI,2014-01-01,43.6 
LI_R_MD60,Y_GE65,T,RENT,SI,2015-01-01,48.5 
LI_R_MD60,Y_GE65,T,RENT,SI,2016-01-01,55.2 
LI_R_MD60,Y_GE65,T,RENT,SI,2017-01-01,44.7 
LI_R_MD60,Y_GE65,T,RENT,SK,2006-01-01,16.1 
LI_R_MD60,Y_GE65,T,RENT,SK,2007-01-01,12.4 
LI_R_MD60,Y_GE65,T,RENT,SK,2008-01-01,13.2 
LI_R_MD60,Y_GE65,T,RENT,SK,2009-01-01,14.0 
LI_R_MD60,Y_GE65,T,RENT,SK,2010-01-01,12.7 
LI_R_MD60,Y_GE65,T,RENT,SK,2011-01-01,12.2 
LI_R_MD60,Y_GE65,T,RENT,SK,2012-01-01,8.7 
LI_R_MD60,Y_GE65,T,RENT,SK,2013-01-01,3.5 u
LI_R_MD60,Y_GE65,T,RENT,SK,2014-01-01,3.5 
LI_R_MD60,Y_GE65,T,RENT,SK,2015-01-01,3.5 
LI_R_MD60,Y_GE65,T,RENT,SK,2016-01-01,4.6 
LI_R_MD60,Y_GE65,T,RENT,SK,2017-01-01,6.5 
LI_R_MD60,Y_GE65,T,RENT,TR,2006-01-01,13.5 
LI_R_MD60,Y_GE65,T,RENT,TR,2007-01-01,15.7 
LI_R_MD60,Y_GE65,T,RENT,TR,2008-01-01,14.4 
LI_R_MD60,Y_GE65,T,RENT,TR,2009-01-01,11.6 
LI_R_MD60,Y_GE65,T,RENT,TR,2010-01-01,10.6 
LI_R_MD60,Y_GE65,T,RENT,TR,2011-01-01,12.4 
LI_R_MD60,Y_GE65,T,RENT,TR,2012-01-01,13.7 
LI_R_MD60,Y_GE65,T,RENT,TR,2013-01-01,11.9 
LI_R_MD60,Y_GE65,T,RENT,TR,2014-01-01,12.0 
LI_R_MD60,Y_GE65,T,RENT,TR,2015-01-01,9.6 
LI_R_MD60,Y_GE65,T,RENT,TR,2016-01-01,: 
LI_R_MD60,Y_GE65,T,RENT,TR,2017-01-01,: 
LI_R_MD60,Y_GE65,T,RENT,UK,2006-01-01,24.0 
LI_R_MD60,Y_GE65,T,RENT,UK,2007-01-01,24.3 
LI_R_MD60,Y_GE65,T,RENT,UK,2008-01-01,22.1 
LI_R_MD60,Y_GE65,T,RENT,UK,2009-01-01,18.0 
LI_R_MD60,Y_GE65,T,RENT,UK,2010-01-01,16.3 
LI_R_MD60,Y_GE65,T,RENT,UK,2011-01-01,16.4 
LI_R_MD60,Y_GE65,T,RENT,UK,2012-01-01,10.6 b
LI_R_MD60,Y_GE65,T,RENT,UK,2013-01-01,10.7 
LI_R_MD60,Y_GE65,T,RENT,UK,2014-01-01,11.6 
LI_R_MD60,Y_GE65,T,RENT,UK,2015-01-01,13.9 
LI_R_MD60,Y_GE65,T,RENT,UK,2016-01-01,15.0 
LI_R_MD60,Y_GE65,T,RENT,UK,2017-01-01,: 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2006-01-01,16.2 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2007-01-01,14.0 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2008-01-01,18.9 b
LI_R_MD60,Y_GE65,T,TOTAL,AT,2009-01-01,17.4 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2010-01-01,16.8 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2011-01-01,16.2 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2012-01-01,15.1 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2013-01-01,15.4 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2014-01-01,14.2 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2015-01-01,13.2 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2016-01-01,13.2 
LI_R_MD60,Y_GE65,T,TOTAL,AT,2017-01-01,12.9 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2006-01-01,23.2 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2007-01-01,23.0 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2008-01-01,21.2 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2009-01-01,21.6 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2010-01-01,19.4 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2011-01-01,20.2 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2012-01-01,19.4 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2013-01-01,18.4 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2014-01-01,16.1 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2015-01-01,15.2 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2016-01-01,15.4 
LI_R_MD60,Y_GE65,T,TOTAL,BE,2017-01-01,16.0 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2006-01-01,19.8 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2007-01-01,24.1 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2008-01-01,33.8 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2009-01-01,39.3 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2010-01-01,32.2 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2011-01-01,31.2 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2012-01-01,28.2 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2013-01-01,27.9 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2014-01-01,22.6 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2015-01-01,31.7 
LI_R_MD60,Y_GE65,T,TOTAL,BG,2016-01-01,24.3 b
LI_R_MD60,Y_GE65,T,TOTAL,BG,2017-01-01,32.0 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2006-01-01,: 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2007-01-01,26.0 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2008-01-01,27.1 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2009-01-01,30.1 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2010-01-01,27.5 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2011-01-01,28.1 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2012-01-01,30.0 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2013-01-01,29.5 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2014-01-01,25.7 b
LI_R_MD60,Y_GE65,T,TOTAL,CH,2015-01-01,26.5 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2016-01-01,25.2 
LI_R_MD60,Y_GE65,T,TOTAL,CH,2017-01-01,: 
LI_R_MD60,Y_GE65,T,TOTAL,CY,2006-01-01,51.9 
