indic_bt,nace_r2,unit,geotime,date,value
TOVT,G473,I2015_SCA,IT,2018-09-01,
TOVT,G473,I2015_SCA,LT,2017-10-01,128
TOVT,G473,I2015_SCA,LT,2017-11-01,134
TOVT,G473,I2015_SCA,LT,2017-12-01,137
TOVT,G473,I2015_SCA,LT,2018-01-01,142
TOVT,G473,I2015_SCA,LT,2018-02-01,142
TOVT,G473,I2015_SCA,LT,2018-03-01,141
TOVT,G473,I2015_SCA,LT,2018-04-01,149
TOVT,G473,I2015_SCA,LT,2018-05-01,155
TOVT,G473,I2015_SCA,LT,2018-06-01,156
TOVT,G473,I2015_SCA,LT,2018-07-01,160
TOVT,G473,I2015_SCA,LT,2018-08-01,158
TOVT,G473,I2015_SCA,LT,2018-09-01,
TOVT,G473,I2015_SCA,LV,2017-10-01,103
TOVT,G473,I2015_SCA,LV,2017-11-01,111
TOVT,G473,I2015_SCA,LV,2017-12-01,116
TOVT,G473,I2015_SCA,LV,2018-01-01,118
TOVT,G473,I2015_SCA,LV,2018-02-01,122
TOVT,G473,I2015_SCA,LV,2018-03-01,120
TOVT,G473,I2015_SCA,LV,2018-04-01,118
TOVT,G473,I2015_SCA,LV,2018-05-01,123
TOVT,G473,I2015_SCA,LV,2018-06-01,122
TOVT,G473,I2015_SCA,LV,2018-07-01,125
TOVT,G473,I2015_SCA,LV,2018-08-01,118
TOVT,G473,I2015_SCA,LV,2018-09-01,
TOVT,G473,I2015_SCA,MT,2017-10-01,113
TOVT,G473,I2015_SCA,MT,2017-11-01,116
TOVT,G473,I2015_SCA,MT,2017-12-01,114
TOVT,G473,I2015_SCA,MT,2018-01-01,111
TOVT,G473,I2015_SCA,MT,2018-02-01,112
TOVT,G473,I2015_SCA,MT,2018-03-01,109
TOVT,G473,I2015_SCA,MT,2018-04-01,109
TOVT,G473,I2015_SCA,MT,2018-05-01,106
TOVT,G473,I2015_SCA,MT,2018-06-01,107
TOVT,G473,I2015_SCA,MT,2018-07-01,104
TOVT,G473,I2015_SCA,MT,2018-08-01,103
TOVT,G473,I2015_SCA,MT,2018-09-01,
TOVT,G473,I2015_SCA,NL,2017-10-01,
TOVT,G473,I2015_SCA,NL,2017-11-01,
TOVT,G473,I2015_SCA,NL,2017-12-01,
TOVT,G473,I2015_SCA,NL,2018-01-01,
TOVT,G473,I2015_SCA,NL,2018-02-01,
TOVT,G473,I2015_SCA,NL,2018-03-01,
TOVT,G473,I2015_SCA,NL,2018-04-01,
TOVT,G473,I2015_SCA,NL,2018-05-01,
TOVT,G473,I2015_SCA,NL,2018-06-01,
TOVT,G473,I2015_SCA,NL,2018-07-01,
TOVT,G473,I2015_SCA,NL,2018-08-01,
TOVT,G473,I2015_SCA,NL,2018-09-01,
TOVT,G473,I2015_SCA,NO,2017-10-01,105
TOVT,G473,I2015_SCA,NO,2017-11-01,107
TOVT,G473,I2015_SCA,NO,2017-12-01,104
TOVT,G473,I2015_SCA,NO,2018-01-01,109
TOVT,G473,I2015_SCA,NO,2018-02-01,109
TOVT,G473,I2015_SCA,NO,2018-03-01,108
TOVT,G473,I2015_SCA,NO,2018-04-01,107
TOVT,G473,I2015_SCA,NO,2018-05-01,109
TOVT,G473,I2015_SCA,NO,2018-06-01,111
TOVT,G473,I2015_SCA,NO,2018-07-01,112
TOVT,G473,I2015_SCA,NO,2018-08-01,111
TOVT,G473,I2015_SCA,NO,2018-09-01,
TOVT,G473,I2015_SCA,PL,2017-10-01,112
TOVT,G473,I2015_SCA,PL,2017-11-01,115
TOVT,G473,I2015_SCA,PL,2017-12-01,115
TOVT,G473,I2015_SCA,PL,2018-01-01,126
TOVT,G473,I2015_SCA,PL,2018-02-01,129
TOVT,G473,I2015_SCA,PL,2018-03-01,126
TOVT,G473,I2015_SCA,PL,2018-04-01,131
TOVT,G473,I2015_SCA,PL,2018-05-01,133
TOVT,G473,I2015_SCA,PL,2018-06-01,134
TOVT,G473,I2015_SCA,PL,2018-07-01,132
TOVT,G473,I2015_SCA,PL,2018-08-01,127
TOVT,G473,I2015_SCA,PL,2018-09-01,
TOVT,G473,I2015_SCA,PT,2017-10-01,116
TOVT,G473,I2015_SCA,PT,2017-11-01,119
TOVT,G473,I2015_SCA,PT,2017-12-01,119
TOVT,G473,I2015_SCA,PT,2018-01-01,121
TOVT,G473,I2015_SCA,PT,2018-02-01,121
TOVT,G473,I2015_SCA,PT,2018-03-01,116
TOVT,G473,I2015_SCA,PT,2018-04-01,114
TOVT,G473,I2015_SCA,PT,2018-05-01,122
TOVT,G473,I2015_SCA,PT,2018-06-01,120
TOVT,G473,I2015_SCA,PT,2018-07-01,120
TOVT,G473,I2015_SCA,PT,2018-08-01,
TOVT,G473,I2015_SCA,PT,2018-09-01,
TOVT,G473,I2015_SCA,RO,2017-10-01,110
TOVT,G473,I2015_SCA,RO,2017-11-01,120
TOVT,G473,I2015_SCA,RO,2017-12-01,130
TOVT,G473,I2015_SCA,RO,2018-01-01,135
TOVT,G473,I2015_SCA,RO,2018-02-01,121
TOVT,G473,I2015_SCA,RO,2018-03-01,117
TOVT,G473,I2015_SCA,RO,2018-04-01,135
TOVT,G473,I2015_SCA,RO,2018-05-01,139
TOVT,G473,I2015_SCA,RO,2018-06-01,135
TOVT,G473,I2015_SCA,RO,2018-07-01,129
TOVT,G473,I2015_SCA,RO,2018-08-01,123
TOVT,G473,I2015_SCA,RO,2018-09-01,
TOVT,G473,I2015_SCA,SE,2017-10-01,102
TOVT,G473,I2015_SCA,SE,2017-11-01,103
TOVT,G473,I2015_SCA,SE,2017-12-01,108
TOVT,G473,I2015_SCA,SE,2018-01-01,103
TOVT,G473,I2015_SCA,SE,2018-02-01,104
TOVT,G473,I2015_SCA,SE,2018-03-01,105
TOVT,G473,I2015_SCA,SE,2018-04-01,108
TOVT,G473,I2015_SCA,SE,2018-05-01,112
TOVT,G473,I2015_SCA,SE,2018-06-01,106
TOVT,G473,I2015_SCA,SE,2018-07-01,107
TOVT,G473,I2015_SCA,SE,2018-08-01,110
TOVT,G473,I2015_SCA,SE,2018-09-01,
TOVT,G473,I2015_SCA,SI,2017-10-01,122
TOVT,G473,I2015_SCA,SI,2017-11-01,134
TOVT,G473,I2015_SCA,SI,2017-12-01,129
TOVT,G473,I2015_SCA,SI,2018-01-01,133
TOVT,G473,I2015_SCA,SI,2018-02-01,130
TOVT,G473,I2015_SCA,SI,2018-03-01,132
TOVT,G473,I2015_SCA,SI,2018-04-01,126
TOVT,G473,I2015_SCA,SI,2018-05-01,143
TOVT,G473,I2015_SCA,SI,2018-06-01,151
TOVT,G473,I2015_SCA,SI,2018-07-01,144
TOVT,G473,I2015_SCA,SI,2018-08-01,144
TOVT,G473,I2015_SCA,SI,2018-09-01,
TOVT,G473,I2015_SCA,SK,2017-10-01,114
TOVT,G473,I2015_SCA,SK,2017-11-01,117
TOVT,G473,I2015_SCA,SK,2017-12-01,117
TOVT,G473,I2015_SCA,SK,2018-01-01,120
TOVT,G473,I2015_SCA,SK,2018-02-01,121
TOVT,G473,I2015_SCA,SK,2018-03-01,122
TOVT,G473,I2015_SCA,SK,2018-04-01,125
TOVT,G473,I2015_SCA,SK,2018-05-01,129
TOVT,G473,I2015_SCA,SK,2018-06-01,134
TOVT,G473,I2015_SCA,SK,2018-07-01,136
TOVT,G473,I2015_SCA,SK,2018-08-01,136
TOVT,G473,I2015_SCA,SK,2018-09-01,
TOVT,G473,I2015_SCA,TR,2017-10-01,141
TOVT,G473,I2015_SCA,TR,2017-11-01,145
TOVT,G473,I2015_SCA,TR,2017-12-01,149
TOVT,G473,I2015_SCA,TR,2018-01-01,153
TOVT,G473,I2015_SCA,TR,2018-02-01,150
TOVT,G473,I2015_SCA,TR,2018-03-01,154
TOVT,G473,I2015_SCA,TR,2018-04-01,162
TOVT,G473,I2015_SCA,TR,2018-05-01,163
TOVT,G473,I2015_SCA,TR,2018-06-01,165
TOVT,G473,I2015_SCA,TR,2018-07-01,171
TOVT,G473,I2015_SCA,TR,2018-08-01,174
TOVT,G473,I2015_SCA,TR,2018-09-01,
TOVT,G473,I2015_SCA,UK,2017-10-01,113
TOVT,G473,I2015_SCA,UK,2017-11-01,117
TOVT,G473,I2015_SCA,UK,2017-12-01,120
TOVT,G473,I2015_SCA,UK,2018-01-01,122
TOVT,G473,I2015_SCA,UK,2018-02-01,126
TOVT,G473,I2015_SCA,UK,2018-03-01,116
TOVT,G473,I2015_SCA,UK,2018-04-01,123
TOVT,G473,I2015_SCA,UK,2018-05-01,126
TOVT,G473,I2015_SCA,UK,2018-06-01,130
TOVT,G473,I2015_SCA,UK,2018-07-01,128
TOVT,G473,I2015_SCA,UK,2018-08-01,130
TOVT,G473,I2015_SCA,UK,2018-09-01,130
TOVT,G473,PCH_M12_CA,AT,2017-10-01,6
TOVT,G473,PCH_M12_CA,AT,2017-11-01,10
TOVT,G473,PCH_M12_CA,AT,2017-12-01,7
TOVT,G473,PCH_M12_CA,AT,2018-01-01,5
TOVT,G473,PCH_M12_CA,AT,2018-02-01,4
TOVT,G473,PCH_M12_CA,AT,2018-03-01,7
TOVT,G473,PCH_M12_CA,AT,2018-04-01,7
TOVT,G473,PCH_M12_CA,AT,2018-05-01,10
TOVT,G473,PCH_M12_CA,AT,2018-06-01,11
TOVT,G473,PCH_M12_CA,AT,2018-07-01,14
TOVT,G473,PCH_M12_CA,AT,2018-08-01,13
TOVT,G473,PCH_M12_CA,AT,2018-09-01,
TOVT,G473,PCH_M12_CA,BE,2017-10-01,1
TOVT,G473,PCH_M12_CA,BE,2017-11-01,4
TOVT,G473,PCH_M12_CA,BE,2017-12-01,6
TOVT,G473,PCH_M12_CA,BE,2018-01-01,2
TOVT,G473,PCH_M12_CA,BE,2018-02-01,3
TOVT,G473,PCH_M12_CA,BE,2018-03-01,1
TOVT,G473,PCH_M12_CA,BE,2018-04-01,2
TOVT,G473,PCH_M12_CA,BE,2018-05-01,7
TOVT,G473,PCH_M12_CA,BE,2018-06-01,12
TOVT,G473,PCH_M12_CA,BE,2018-07-01,12
TOVT,G473,PCH_M12_CA,BE,2018-08-01,14
TOVT,G473,PCH_M12_CA,BE,2018-09-01,
TOVT,G473,PCH_M12_CA,BG,2017-10-01,2
TOVT,G473,PCH_M12_CA,BG,2017-11-01,0
TOVT,G473,PCH_M12_CA,BG,2017-12-01,1
TOVT,G473,PCH_M12_CA,BG,2018-01-01,7
TOVT,G473,PCH_M12_CA,BG,2018-02-01,4
