hhtyp,indic_il,currency,geotime,date,value
A1,LI_C_MD60,PPS,IE,2017-01-01,
A1,LI_C_MD60,PPS,IS,2006-01-01,11136
A1,LI_C_MD60,PPS,IS,2007-01-01,11937
A1,LI_C_MD60,PPS,IS,2008-01-01,12978
A1,LI_C_MD60,PPS,IS,2009-01-01,12958
A1,LI_C_MD60,PPS,IS,2010-01-01,10963
A1,LI_C_MD60,PPS,IS,2011-01-01,10826
A1,LI_C_MD60,PPS,IS,2012-01-01,10826
A1,LI_C_MD60,PPS,IS,2013-01-01,
A1,LI_C_MD60,PPS,IS,2014-01-01,12080
A1,LI_C_MD60,PPS,IS,2015-01-01,
A1,LI_C_MD60,PPS,IS,2016-01-01,13309
A1,LI_C_MD60,PPS,IS,2017-01-01,
A1,LI_C_MD60,PPS,IT,2006-01-01,8344
A1,LI_C_MD60,PPS,IT,2007-01-01,8698
A1,LI_C_MD60,PPS,IT,2008-01-01,9158
A1,LI_C_MD60,PPS,IT,2009-01-01,9140
A1,LI_C_MD60,PPS,IT,2010-01-01,9135
A1,LI_C_MD60,PPS,IT,2011-01-01,9466
A1,LI_C_MD60,PPS,IT,2012-01-01,9297
A1,LI_C_MD60,PPS,IT,2013-01-01,
A1,LI_C_MD60,PPS,IT,2014-01-01,9152
A1,LI_C_MD60,PPS,IT,2015-01-01,
A1,LI_C_MD60,PPS,IT,2016-01-01,9728
A1,LI_C_MD60,PPS,IT,2017-01-01,9875
A1,LI_C_MD60,PPS,LT,2006-01-01,2772
A1,LI_C_MD60,PPS,LT,2007-01-01,3428
A1,LI_C_MD60,PPS,LT,2008-01-01,4111
A1,LI_C_MD60,PPS,LT,2009-01-01,4289
A1,LI_C_MD60,PPS,LT,2010-01-01,3611
A1,LI_C_MD60,PPS,LT,2011-01-01,3641
A1,LI_C_MD60,PPS,LT,2012-01-01,4034
A1,LI_C_MD60,PPS,LT,2013-01-01,
A1,LI_C_MD60,PPS,LT,2014-01-01,4557
A1,LI_C_MD60,PPS,LT,2015-01-01,
A1,LI_C_MD60,PPS,LT,2016-01-01,5616
A1,LI_C_MD60,PPS,LT,2017-01-01,5854
A1,LI_C_MD60,PPS,LU,2006-01-01,15851
A1,LI_C_MD60,PPS,LU,2007-01-01,16108
A1,LI_C_MD60,PPS,LU,2008-01-01,16166
A1,LI_C_MD60,PPS,LU,2009-01-01,16265
A1,LI_C_MD60,PPS,LU,2010-01-01,15961
A1,LI_C_MD60,PPS,LU,2011-01-01,15961
A1,LI_C_MD60,PPS,LU,2012-01-01,15948
A1,LI_C_MD60,PPS,LU,2013-01-01,
A1,LI_C_MD60,PPS,LU,2014-01-01,16962
A1,LI_C_MD60,PPS,LU,2015-01-01,
A1,LI_C_MD60,PPS,LU,2016-01-01,16784
A1,LI_C_MD60,PPS,LU,2017-01-01,17292
A1,LI_C_MD60,PPS,LV,2006-01-01,2686
A1,LI_C_MD60,PPS,LV,2007-01-01,3352
A1,LI_C_MD60,PPS,LV,2008-01-01,4283
A1,LI_C_MD60,PPS,LV,2009-01-01,4279
A1,LI_C_MD60,PPS,LV,2010-01-01,3525
A1,LI_C_MD60,PPS,LV,2011-01-01,3566
A1,LI_C_MD60,PPS,LV,2012-01-01,3661
A1,LI_C_MD60,PPS,LV,2013-01-01,
A1,LI_C_MD60,PPS,LV,2014-01-01,4392
A1,LI_C_MD60,PPS,LV,2015-01-01,
A1,LI_C_MD60,PPS,LV,2016-01-01,5540
A1,LI_C_MD60,PPS,LV,2017-01-01,5569
A1,LI_C_MD60,PPS,MK,2006-01-01,
A1,LI_C_MD60,PPS,MK,2007-01-01,
A1,LI_C_MD60,PPS,MK,2008-01-01,
A1,LI_C_MD60,PPS,MK,2009-01-01,
A1,LI_C_MD60,PPS,MK,2010-01-01,
A1,LI_C_MD60,PPS,MK,2011-01-01,
A1,LI_C_MD60,PPS,MK,2012-01-01,2350
A1,LI_C_MD60,PPS,MK,2013-01-01,
A1,LI_C_MD60,PPS,MK,2014-01-01,2458
A1,LI_C_MD60,PPS,MK,2015-01-01,
A1,LI_C_MD60,PPS,MK,2016-01-01,2964
A1,LI_C_MD60,PPS,MK,2017-01-01,
A1,LI_C_MD60,PPS,MT,2006-01-01,7246
A1,LI_C_MD60,PPS,MT,2007-01-01,7465
A1,LI_C_MD60,PPS,MT,2008-01-01,7958
