sectperf,unit,geotime,date,value
TOTAL,MIO_NAC,BE,2011-01-01,8171.0
TOTAL,MIO_NAC,BE,2012-01-01,8809.188
TOTAL,MIO_NAC,BE,2013-01-01,9156.953
TOTAL,MIO_NAC,BE,2014-01-01,9551.244
TOTAL,MIO_NAC,BE,2015-01-01,10118.2
TOTAL,MIO_NAC,BE,2016-01-01,10517.682
TOTAL,MIO_NAC,BG,1995-01-01,5.447
TOTAL,MIO_NAC,BG,1996-01-01,9.148
TOTAL,MIO_NAC,BG,1997-01-01,88.591
TOTAL,MIO_NAC,BG,1998-01-01,127.598
TOTAL,MIO_NAC,BG,1999-01-01,134.45
TOTAL,MIO_NAC,BG,2000-01-01,139.265
TOTAL,MIO_NAC,BG,2001-01-01,138.539
TOTAL,MIO_NAC,BG,2002-01-01,158.327
TOTAL,MIO_NAC,BG,2003-01-01,173.01
TOTAL,MIO_NAC,BG,2004-01-01,194.0
TOTAL,MIO_NAC,BG,2005-01-01,208.142
TOTAL,MIO_NAC,BG,2006-01-01,237.036
TOTAL,MIO_NAC,BG,2007-01-01,273.047
TOTAL,MIO_NAC,BG,2008-01-01,325.855
TOTAL,MIO_NAC,BG,2009-01-01,361.06
TOTAL,MIO_NAC,BG,2010-01-01,421.612
TOTAL,MIO_NAC,BG,2011-01-01,429.566
TOTAL,MIO_NAC,BG,2012-01-01,496.176
TOTAL,MIO_NAC,BG,2013-01-01,521.682
TOTAL,MIO_NAC,BG,2014-01-01,664.829
TOTAL,MIO_NAC,BG,2015-01-01,850.457
TOTAL,MIO_NAC,BG,2016-01-01,734.274
TOTAL,MIO_NAC,CY,1995-01-01,
TOTAL,MIO_NAC,CY,1996-01-01,
TOTAL,MIO_NAC,CY,1997-01-01,
TOTAL,MIO_NAC,CY,1998-01-01,18.419
TOTAL,MIO_NAC,CY,1999-01-01,21.221
TOTAL,MIO_NAC,CY,2000-01-01,24.04
TOTAL,MIO_NAC,CY,2001-01-01,27.051
TOTAL,MIO_NAC,CY,2002-01-01,33.217
TOTAL,MIO_NAC,CY,2003-01-01,40.892
TOTAL,MIO_NAC,CY,2004-01-01,46.508
TOTAL,MIO_NAC,CY,2005-01-01,54.438
TOTAL,MIO_NAC,CY,2006-01-01,61.353
TOTAL,MIO_NAC,CY,2007-01-01,70.058
TOTAL,MIO_NAC,CY,2008-01-01,73.365
TOTAL,MIO_NAC,CY,2009-01-01,82.988
TOTAL,MIO_NAC,CY,2010-01-01,86.198
TOTAL,MIO_NAC,CY,2011-01-01,89.883
TOTAL,MIO_NAC,CY,2012-01-01,85.322
TOTAL,MIO_NAC,CY,2013-01-01,87.469
TOTAL,MIO_NAC,CY,2014-01-01,89.521
TOTAL,MIO_NAC,CY,2015-01-01,85.286
TOTAL,MIO_NAC,CY,2016-01-01,91.4
TOTAL,MIO_NAC,CZ,1995-01-01,13982.6
TOTAL,MIO_NAC,CZ,1996-01-01,16264.3
TOTAL,MIO_NAC,CZ,1997-01-01,19477.4
TOTAL,MIO_NAC,CZ,1998-01-01,22865.0
TOTAL,MIO_NAC,CZ,1999-01-01,23646.7
TOTAL,MIO_NAC,CZ,2000-01-01,26487.2
TOTAL,MIO_NAC,CZ,2001-01-01,28337.0
TOTAL,MIO_NAC,CZ,2002-01-01,29552.2
TOTAL,MIO_NAC,CZ,2003-01-01,32246.596
TOTAL,MIO_NAC,CZ,2004-01-01,35083.039
TOTAL,MIO_NAC,CZ,2005-01-01,38145.745
TOTAL,MIO_NAC,CZ,2006-01-01,43268.254
TOTAL,MIO_NAC,CZ,2007-01-01,50008.888
TOTAL,MIO_NAC,CZ,2008-01-01,49871.977
TOTAL,MIO_NAC,CZ,2009-01-01,50874.619
TOTAL,MIO_NAC,CZ,2010-01-01,52973.568
TOTAL,MIO_NAC,CZ,2011-01-01,62753.403
TOTAL,MIO_NAC,CZ,2012-01-01,72360.307
TOTAL,MIO_NAC,CZ,2013-01-01,77853.386
TOTAL,MIO_NAC,CZ,2014-01-01,85104.467
TOTAL,MIO_NAC,CZ,2015-01-01,88663.39
TOTAL,MIO_NAC,CZ,2016-01-01,80109.157
TOTAL,MIO_NAC,DE,1995-01-01,40460.2
TOTAL,MIO_NAC,DE,1996-01-01,41168.45
TOTAL,MIO_NAC,DE,1997-01-01,42858.9
TOTAL,MIO_NAC,DE,1998-01-01,44649.33
TOTAL,MIO_NAC,DE,1999-01-01,48190.74
TOTAL,MIO_NAC,DE,2000-01-01,50619.0
TOTAL,MIO_NAC,DE,2001-01-01,52002.0
TOTAL,MIO_NAC,DE,2002-01-01,53363.751
TOTAL,MIO_NAC,DE,2003-01-01,54538.5
TOTAL,MIO_NAC,DE,2004-01-01,54966.9
TOTAL,MIO_NAC,DE,2005-01-01,55739.038
TOTAL,MIO_NAC,DE,2006-01-01,58779.1
TOTAL,MIO_NAC,DE,2007-01-01,61481.981
TOTAL,MIO_NAC,DE,2008-01-01,66531.54
TOTAL,MIO_NAC,DE,2009-01-01,67014.884
TOTAL,MIO_NAC,DE,2010-01-01,70014.208
TOTAL,MIO_NAC,DE,2011-01-01,75569.073
TOTAL,MIO_NAC,DE,2012-01-01,79110.378
TOTAL,MIO_NAC,DE,2013-01-01,79729.508
TOTAL,MIO_NAC,DE,2014-01-01,84246.766
TOTAL,MIO_NAC,DE,2015-01-01,88781.819
TOTAL,MIO_NAC,DE,2016-01-01,92419.184
TOTAL,MIO_NAC,DK,1995-01-01,18543.0
TOTAL,MIO_NAC,DK,1996-01-01,19657.0
TOTAL,MIO_NAC,DK,1997-01-01,21652.0
TOTAL,MIO_NAC,DK,1998-01-01,23793.14
TOTAL,MIO_NAC,DK,1999-01-01,26415.11
TOTAL,MIO_NAC,DK,2000-01-01,29009.0
TOTAL,MIO_NAC,DK,2001-01-01,31883.38
TOTAL,MIO_NAC,DK,2002-01-01,34431.0
TOTAL,MIO_NAC,DK,2003-01-01,36074.597
TOTAL,MIO_NAC,DK,2004-01-01,36432.619
TOTAL,MIO_NAC,DK,2005-01-01,37958.515
TOTAL,MIO_NAC,DK,2006-01-01,40424.757
TOTAL,MIO_NAC,DK,2007-01-01,43739.13
TOTAL,MIO_NAC,DK,2008-01-01,49963.0
TOTAL,MIO_NAC,DK,2009-01-01,52613.9
TOTAL,MIO_NAC,DK,2010-01-01,52825.9
TOTAL,MIO_NAC,DK,2011-01-01,54383.4
TOTAL,MIO_NAC,DK,2012-01-01,56494.7
TOTAL,MIO_NAC,DK,2013-01-01,57320.7
TOTAL,MIO_NAC,DK,2014-01-01,57732.0
TOTAL,MIO_NAC,DK,2015-01-01,59950.0
TOTAL,MIO_NAC,DK,2016-01-01,59319.0
TOTAL,MIO_NAC,EE,1995-01-01,
TOTAL,MIO_NAC,EE,1996-01-01,
TOTAL,MIO_NAC,EE,1997-01-01,
TOTAL,MIO_NAC,EE,1998-01-01,28.818
TOTAL,MIO_NAC,EE,1999-01-01,36.609
TOTAL,MIO_NAC,EE,2000-01-01,37.03
TOTAL,MIO_NAC,EE,2001-01-01,48.797
TOTAL,MIO_NAC,EE,2002-01-01,55.699
TOTAL,MIO_NAC,EE,2003-01-01,66.864
TOTAL,MIO_NAC,EE,2004-01-01,82.702
TOTAL,MIO_NAC,EE,2005-01-01,104.023
TOTAL,MIO_NAC,EE,2006-01-01,150.991
TOTAL,MIO_NAC,EE,2007-01-01,173.648
TOTAL,MIO_NAC,EE,2008-01-01,208.039
TOTAL,MIO_NAC,EE,2009-01-01,197.393
TOTAL,MIO_NAC,EE,2010-01-01,232.76
TOTAL,MIO_NAC,EE,2011-01-01,384.447
TOTAL,MIO_NAC,EE,2012-01-01,380.695
TOTAL,MIO_NAC,EE,2013-01-01,326.045
TOTAL,MIO_NAC,EE,2014-01-01,286.736
TOTAL,MIO_NAC,EE,2015-01-01,302.82
TOTAL,MIO_NAC,EE,2016-01-01,270.33
TOTAL,MIO_NAC,EL,1995-01-01,388.56
TOTAL,MIO_NAC,EL,1996-01-01,
TOTAL,MIO_NAC,EL,1997-01-01,492.23
TOTAL,MIO_NAC,EL,1998-01-01,
TOTAL,MIO_NAC,EL,1999-01-01,760.23
TOTAL,MIO_NAC,EL,2000-01-01,
TOTAL,MIO_NAC,EL,2001-01-01,851.5
TOTAL,MIO_NAC,EL,2002-01-01,
TOTAL,MIO_NAC,EL,2003-01-01,977.78
TOTAL,MIO_NAC,EL,2004-01-01,1021.47
TOTAL,MIO_NAC,EL,2005-01-01,1153.526
TOTAL,MIO_NAC,EL,2006-01-01,1222.6
TOTAL,MIO_NAC,EL,2007-01-01,1341.6
TOTAL,MIO_NAC,EL,2008-01-01,1601.57
TOTAL,MIO_NAC,EL,2009-01-01,1485.94
TOTAL,MIO_NAC,EL,2010-01-01,1352.52
TOTAL,MIO_NAC,EL,2011-01-01,1391.156
TOTAL,MIO_NAC,EL,2012-01-01,1337.6
TOTAL,MIO_NAC,EL,2013-01-01,1465.67
TOTAL,MIO_NAC,EL,2014-01-01,1488.74
TOTAL,MIO_NAC,EL,2015-01-01,1703.82
TOTAL,MIO_NAC,EL,2016-01-01,1754.18
TOTAL,MIO_NAC,ES,1995-01-01,3550.108
TOTAL,MIO_NAC,ES,1996-01-01,3852.634
TOTAL,MIO_NAC,ES,1997-01-01,4038.901
TOTAL,MIO_NAC,ES,1998-01-01,4715.016
TOTAL,MIO_NAC,ES,1999-01-01,4995.358
TOTAL,MIO_NAC,ES,2000-01-01,5718.99
TOTAL,MIO_NAC,ES,2001-01-01,6227.157
TOTAL,MIO_NAC,ES,2002-01-01,7193.538
TOTAL,MIO_NAC,ES,2003-01-01,8213.036
TOTAL,MIO_NAC,ES,2004-01-01,8945.761
TOTAL,MIO_NAC,ES,2005-01-01,10196.871
TOTAL,MIO_NAC,ES,2006-01-01,11815.218
TOTAL,MIO_NAC,ES,2007-01-01,13342.371
TOTAL,MIO_NAC,ES,2008-01-01,14701.393
TOTAL,MIO_NAC,ES,2009-01-01,14581.676
TOTAL,MIO_NAC,ES,2010-01-01,14588.455
TOTAL,MIO_NAC,ES,2011-01-01,14184.295
TOTAL,MIO_NAC,ES,2012-01-01,13391.607
TOTAL,MIO_NAC,ES,2013-01-01,13011.798
TOTAL,MIO_NAC,ES,2014-01-01,12820.756
TOTAL,MIO_NAC,ES,2015-01-01,13172.0
TOTAL,MIO_NAC,ES,2016-01-01,13260.0
TOTAL,MIO_NAC,FI,1995-01-01,2172.383
TOTAL,MIO_NAC,FI,1996-01-01,2503.645
TOTAL,MIO_NAC,FI,1997-01-01,2904.891
TOTAL,MIO_NAC,FI,1998-01-01,3354.508
TOTAL,MIO_NAC,FI,1999-01-01,3878.8
TOTAL,MIO_NAC,FI,2000-01-01,4422.61
TOTAL,MIO_NAC,FI,2001-01-01,4619.018
TOTAL,MIO_NAC,FI,2002-01-01,4830.365
TOTAL,MIO_NAC,FI,2003-01-01,5005.018
TOTAL,MIO_NAC,FI,2004-01-01,5253.417
TOTAL,MIO_NAC,FI,2005-01-01,5473.7
TOTAL,MIO_NAC,FI,2006-01-01,5761.196
TOTAL,MIO_NAC,FI,2007-01-01,6242.67
TOTAL,MIO_NAC,FI,2008-01-01,6871.092
TOTAL,MIO_NAC,FI,2009-01-01,6786.472
TOTAL,MIO_NAC,FI,2010-01-01,6971.301
TOTAL,MIO_NAC,FI,2011-01-01,7163.692
TOTAL,MIO_NAC,FI,2012-01-01,6831.888
TOTAL,MIO_NAC,FI,2013-01-01,6684.1
TOTAL,MIO_NAC,FI,2014-01-01,6512.1
TOTAL,MIO_NAC,FI,2015-01-01,6070.9
TOTAL,MIO_NAC,FI,2016-01-01,5926.1
TOTAL,MIO_NAC,FR,1995-01-01,27302.462
TOTAL,MIO_NAC,FR,1996-01-01,27835.361
TOTAL,MIO_NAC,FR,1997-01-01,27755.783
TOTAL,MIO_NAC,FR,1998-01-01,28318.945
TOTAL,MIO_NAC,FR,1999-01-01,29528.399
TOTAL,MIO_NAC,FR,2000-01-01,30953.6
TOTAL,MIO_NAC,FR,2001-01-01,32887.37
TOTAL,MIO_NAC,FR,2002-01-01,34527.255
TOTAL,MIO_NAC,FR,2003-01-01,34569.095
TOTAL,MIO_NAC,FR,2004-01-01,35692.601
TOTAL,MIO_NAC,FR,2005-01-01,36227.644
TOTAL,MIO_NAC,FR,2006-01-01,37904.431
TOTAL,MIO_NAC,FR,2007-01-01,39303.086
TOTAL,MIO_NAC,FR,2008-01-01,41066.323
TOTAL,MIO_NAC,FR,2009-01-01,42834.917
TOTAL,MIO_NAC,FR,2010-01-01,43468.832
TOTAL,MIO_NAC,FR,2011-01-01,45111.514
TOTAL,MIO_NAC,FR,2012-01-01,46519.037
TOTAL,MIO_NAC,FR,2013-01-01,47362.045
TOTAL,MIO_NAC,FR,2014-01-01,47918.737
TOTAL,MIO_NAC,FR,2015-01-01,49839.13
TOTAL,MIO_NAC,FR,2016-01-01,50099.33
TOTAL,MIO_NAC,HR,1995-01-01,
TOTAL,MIO_NAC,HR,1996-01-01,
TOTAL,MIO_NAC,HR,1997-01-01,
TOTAL,MIO_NAC,HR,1998-01-01,
TOTAL,MIO_NAC,HR,1999-01-01,
TOTAL,MIO_NAC,HR,2000-01-01,
TOTAL,MIO_NAC,HR,2001-01-01,
TOTAL,MIO_NAC,HR,2002-01-01,2006.0
TOTAL,MIO_NAC,HR,2003-01-01,2209.0
TOTAL,MIO_NAC,HR,2004-01-01,2586.0
TOTAL,MIO_NAC,HR,2005-01-01,2311.7
TOTAL,MIO_NAC,HR,2006-01-01,2179.1
TOTAL,MIO_NAC,HR,2007-01-01,2553.5
TOTAL,MIO_NAC,HR,2008-01-01,3074.0
TOTAL,MIO_NAC,HR,2009-01-01,2794.17
TOTAL,MIO_NAC,HR,2010-01-01,2442.901
TOTAL,MIO_NAC,HR,2011-01-01,2502.276
TOTAL,MIO_NAC,HR,2012-01-01,2482.157
TOTAL,MIO_NAC,HR,2013-01-01,2688.004
TOTAL,MIO_NAC,HR,2014-01-01,2594.604
TOTAL,MIO_NAC,HR,2015-01-01,2853.68
TOTAL,MIO_NAC,HR,2016-01-01,2955.332
TOTAL,MIO_NAC,HU,1995-01-01,41201.0
TOTAL,MIO_NAC,HU,1996-01-01,44889.4
TOTAL,MIO_NAC,HU,1997-01-01,61749.3
TOTAL,MIO_NAC,HU,1998-01-01,68620.4
TOTAL,MIO_NAC,HU,1999-01-01,78187.9
TOTAL,MIO_NAC,HU,2000-01-01,105387.6
TOTAL,MIO_NAC,HU,2001-01-01,140605.2
TOTAL,MIO_NAC,HU,2002-01-01,171470.2
TOTAL,MIO_NAC,HU,2003-01-01,175772.9
TOTAL,MIO_NAC,HU,2004-01-01,181525.4
TOTAL,MIO_NAC,HU,2005-01-01,207764.0
TOTAL,MIO_NAC,HU,2006-01-01,237953.2
TOTAL,MIO_NAC,HU,2007-01-01,245692.8
TOTAL,MIO_NAC,HU,2008-01-01,266388.0
TOTAL,MIO_NAC,HU,2009-01-01,299158.7
TOTAL,MIO_NAC,HU,2010-01-01,310210.5
TOTAL,MIO_NAC,HU,2011-01-01,336537.3
TOTAL,MIO_NAC,HU,2012-01-01,363683.4
TOTAL,MIO_NAC,HU,2013-01-01,420100.3
TOTAL,MIO_NAC,HU,2014-01-01,441092.1
TOTAL,MIO_NAC,HU,2015-01-01,468389.7
TOTAL,MIO_NAC,HU,2016-01-01,427191.8
TOTAL,MIO_NAC,IE,1995-01-01,671.0
TOTAL,MIO_NAC,IE,1996-01-01,764.815
TOTAL,MIO_NAC,IE,1997-01-01,862.448
TOTAL,MIO_NAC,IE,1998-01-01,971.611
TOTAL,MIO_NAC,IE,1999-01-01,1068.4
TOTAL,MIO_NAC,IE,2000-01-01,1175.9
TOTAL,MIO_NAC,IE,2001-01-01,1284.3
TOTAL,MIO_NAC,IE,2002-01-01,1435.8
TOTAL,MIO_NAC,IE,2003-01-01,1636.8
TOTAL,MIO_NAC,IE,2004-01-01,1840.4
TOTAL,MIO_NAC,IE,2005-01-01,2030.0
TOTAL,MIO_NAC,IE,2006-01-01,2216.9
TOTAL,MIO_NAC,IE,2007-01-01,2432.0
TOTAL,MIO_NAC,IE,2008-01-01,2605.6
TOTAL,MIO_NAC,IE,2009-01-01,2735.556
TOTAL,MIO_NAC,IE,2010-01-01,2669.505
TOTAL,MIO_NAC,IE,2011-01-01,2665.9
TOTAL,MIO_NAC,IE,2012-01-01,2733.892
TOTAL,MIO_NAC,IE,2013-01-01,2813.14
TOTAL,MIO_NAC,IE,2014-01-01,2921.4
TOTAL,MIO_NAC,IE,2015-01-01,3133.0
TOTAL,MIO_NAC,IE,2016-01-01,3242.9
TOTAL,MIO_NAC,IT,1995-01-01,9225.94
TOTAL,MIO_NAC,IT,1996-01-01,9892.95
TOTAL,MIO_NAC,IT,1997-01-01,10789.1
TOTAL,MIO_NAC,IT,1998-01-01,11444.0
TOTAL,MIO_NAC,IT,1999-01-01,11524.1
TOTAL,MIO_NAC,IT,2000-01-01,12460.3
TOTAL,MIO_NAC,IT,2001-01-01,13572.2
TOTAL,MIO_NAC,IT,2002-01-01,14599.5
TOTAL,MIO_NAC,IT,2003-01-01,14769.0
TOTAL,MIO_NAC,IT,2004-01-01,15253.0
TOTAL,MIO_NAC,IT,2005-01-01,15598.8
TOTAL,MIO_NAC,IT,2006-01-01,16831.3
TOTAL,MIO_NAC,IT,2007-01-01,18231.4
TOTAL,MIO_NAC,IT,2008-01-01,18992.8
TOTAL,MIO_NAC,IT,2009-01-01,19209.0
TOTAL,MIO_NAC,IT,2010-01-01,19624.9
TOTAL,MIO_NAC,IT,2011-01-01,19810.6
TOTAL,MIO_NAC,IT,2012-01-01,20502.5
TOTAL,MIO_NAC,IT,2013-01-01,20983.1
TOTAL,MIO_NAC,IT,2014-01-01,21781.275
TOTAL,MIO_NAC,IT,2015-01-01,22157.0
TOTAL,MIO_NAC,IT,2016-01-01,21611.266
TOTAL,MIO_NAC,LT,1995-01-01,33.283
TOTAL,MIO_NAC,LT,1996-01-01,47.75
TOTAL,MIO_NAC,LT,1997-01-01,62.911
TOTAL,MIO_NAC,LT,1998-01-01,70.809
TOTAL,MIO_NAC,LT,1999-01-01,63.815
TOTAL,MIO_NAC,LT,2000-01-01,78.177
TOTAL,MIO_NAC,LT,2001-01-01,94.648
TOTAL,MIO_NAC,LT,2002-01-01,99.832
TOTAL,MIO_NAC,LT,2003-01-01,110.577
TOTAL,MIO_NAC,LT,2004-01-01,136.903
TOTAL,MIO_NAC,LT,2005-01-01,156.974
TOTAL,MIO_NAC,LT,2006-01-01,190.512
TOTAL,MIO_NAC,LT,2007-01-01,232.594
TOTAL,MIO_NAC,LT,2008-01-01,257.791
TOTAL,MIO_NAC,LT,2009-01-01,223.471
TOTAL,MIO_NAC,LT,2010-01-01,219.59
TOTAL,MIO_NAC,LT,2011-01-01,282.698
TOTAL,MIO_NAC,LT,2012-01-01,298.367
TOTAL,MIO_NAC,LT,2013-01-01,332.426
TOTAL,MIO_NAC,LT,2014-01-01,376.827
TOTAL,MIO_NAC,LT,2015-01-01,389.67
TOTAL,MIO_NAC,LT,2016-01-01,327.612
TOTAL,MIO_NAC,LU,1995-01-01,
TOTAL,MIO_NAC,LU,1996-01-01,
TOTAL,MIO_NAC,LU,1997-01-01,
TOTAL,MIO_NAC,LU,1998-01-01,
TOTAL,MIO_NAC,LU,1999-01-01,
TOTAL,MIO_NAC,LU,2000-01-01,363.9
TOTAL,MIO_NAC,LU,2001-01-01,
TOTAL,MIO_NAC,LU,2002-01-01,
TOTAL,MIO_NAC,LU,2003-01-01,425.8
TOTAL,MIO_NAC,LU,2004-01-01,447.7
TOTAL,MIO_NAC,LU,2005-01-01,472.0
TOTAL,MIO_NAC,LU,2006-01-01,563.5
TOTAL,MIO_NAC,LU,2007-01-01,591.6
TOTAL,MIO_NAC,LU,2008-01-01,618.8
TOTAL,MIO_NAC,LU,2009-01-01,620.28
TOTAL,MIO_NAC,LU,2010-01-01,603.7
TOTAL,MIO_NAC,LU,2011-01-01,631.4
TOTAL,MIO_NAC,LU,2012-01-01,561.403
TOTAL,MIO_NAC,LU,2013-01-01,605.731
TOTAL,MIO_NAC,LU,2014-01-01,629.8
TOTAL,MIO_NAC,LU,2015-01-01,662.3
TOTAL,MIO_NAC,LU,2016-01-01,659.2
TOTAL,MIO_NAC,LV,1995-01-01,17.516
TOTAL,MIO_NAC,LV,1996-01-01,18.583
TOTAL,MIO_NAC,LV,1997-01-01,19.764
TOTAL,MIO_NAC,LV,1998-01-01,22.809
TOTAL,MIO_NAC,LV,1999-01-01,22.069
TOTAL,MIO_NAC,LV,2000-01-01,29.866
TOTAL,MIO_NAC,LV,2001-01-01,30.08
TOTAL,MIO_NAC,LV,2002-01-01,34.334
TOTAL,MIO_NAC,LV,2003-01-01,34.391
TOTAL,MIO_NAC,LV,2004-01-01,44.209
TOTAL,MIO_NAC,LV,2005-01-01,72.01
TOTAL,MIO_NAC,LV,2006-01-01,111.269
TOTAL,MIO_NAC,LV,2007-01-01,125.113
TOTAL,MIO_NAC,LV,2008-01-01,141.576
TOTAL,MIO_NAC,LV,2009-01-01,85.23
TOTAL,MIO_NAC,LV,2010-01-01,109.561
TOTAL,MIO_NAC,LV,2011-01-01,141.434
TOTAL,MIO_NAC,LV,2012-01-01,145.374
TOTAL,MIO_NAC,LV,2013-01-01,139.5
TOTAL,MIO_NAC,LV,2014-01-01,162.8
TOTAL,MIO_NAC,LV,2015-01-01,152.2
TOTAL,MIO_NAC,LV,2016-01-01,110.4
TOTAL,MIO_NAC,MT,1995-01-01,
TOTAL,MIO_NAC,MT,1996-01-01,
TOTAL,MIO_NAC,MT,1997-01-01,
TOTAL,MIO_NAC,MT,1998-01-01,
TOTAL,MIO_NAC,MT,1999-01-01,
TOTAL,MIO_NAC,MT,2000-01-01,
TOTAL,MIO_NAC,MT,2001-01-01,
TOTAL,MIO_NAC,MT,2002-01-01,11.298
TOTAL,MIO_NAC,MT,2003-01-01,11.367
TOTAL,MIO_NAC,MT,2004-01-01,23.974
TOTAL,MIO_NAC,MT,2005-01-01,27.251
TOTAL,MIO_NAC,MT,2006-01-01,31.253
TOTAL,MIO_NAC,MT,2007-01-01,31.58
TOTAL,MIO_NAC,MT,2008-01-01,32.685
TOTAL,MIO_NAC,MT,2009-01-01,31.761
TOTAL,MIO_NAC,MT,2010-01-01,40.037
TOTAL,MIO_NAC,MT,2011-01-01,46.053
TOTAL,MIO_NAC,MT,2012-01-01,59.234
TOTAL,MIO_NAC,MT,2013-01-01,59.055
TOTAL,MIO_NAC,MT,2014-01-01,60.539
TOTAL,MIO_NAC,MT,2015-01-01,71.491
TOTAL,MIO_NAC,MT,2016-01-01,60.871
TOTAL,MIO_NAC,NL,1995-01-01,6006.689
TOTAL,MIO_NAC,NL,1996-01-01,6344.301
TOTAL,MIO_NAC,NL,1997-01-01,6808.065
TOTAL,MIO_NAC,NL,1998-01-01,6868.871
TOTAL,MIO_NAC,NL,1999-01-01,7646.0
TOTAL,MIO_NAC,NL,2000-01-01,8090.0
TOTAL,MIO_NAC,NL,2001-01-01,8655.0
TOTAL,MIO_NAC,NL,2002-01-01,8747.0
TOTAL,MIO_NAC,NL,2003-01-01,9148.0
TOTAL,MIO_NAC,NL,2004-01-01,9469.0
TOTAL,MIO_NAC,NL,2005-01-01,9772.0
TOTAL,MIO_NAC,NL,2006-01-01,10175.0
TOTAL,MIO_NAC,NL,2007-01-01,10342.0
TOTAL,MIO_NAC,NL,2008-01-01,10502.0
TOTAL,MIO_NAC,NL,2009-01-01,10408.0
TOTAL,MIO_NAC,NL,2010-01-01,10892.0
TOTAL,MIO_NAC,NL,2011-01-01,12235.3
TOTAL,MIO_NAC,NL,2012-01-01,12512.616
TOTAL,MIO_NAC,NL,2013-01-01,12746.047
TOTAL,MIO_NAC,NL,2014-01-01,13267.86
TOTAL,MIO_NAC,NL,2015-01-01,13695.788
TOTAL,MIO_NAC,NL,2016-01-01,14281.0
TOTAL,MIO_NAC,PL,1995-01-01,2132.8
TOTAL,MIO_NAC,PL,1996-01-01,2761.4
TOTAL,MIO_NAC,PL,1997-01-01,3361.0
TOTAL,MIO_NAC,PL,1998-01-01,4005.1
TOTAL,MIO_NAC,PL,1999-01-01,4590.5
TOTAL,MIO_NAC,PL,2000-01-01,4796.1
TOTAL,MIO_NAC,PL,2001-01-01,4858.0
TOTAL,MIO_NAC,PL,2002-01-01,4522.0
TOTAL,MIO_NAC,PL,2003-01-01,4558.2
TOTAL,MIO_NAC,PL,2004-01-01,5155.3
TOTAL,MIO_NAC,PL,2005-01-01,5574.5
TOTAL,MIO_NAC,PL,2006-01-01,5892.8
TOTAL,MIO_NAC,PL,2007-01-01,6673.0
TOTAL,MIO_NAC,PL,2008-01-01,7706.2
TOTAL,MIO_NAC,PL,2009-01-01,9069.9
TOTAL,MIO_NAC,PL,2010-01-01,10416.2
TOTAL,MIO_NAC,PL,2011-01-01,11686.7
TOTAL,MIO_NAC,PL,2012-01-01,14352.9
TOTAL,MIO_NAC,PL,2013-01-01,14423.8
TOTAL,MIO_NAC,PL,2014-01-01,16168.2
TOTAL,MIO_NAC,PL,2015-01-01,18060.7
TOTAL,MIO_NAC,PL,2016-01-01,17943.0
TOTAL,MIO_NAC,PT,1995-01-01,460.04
TOTAL,MIO_NAC,PT,1996-01-01,518.46
TOTAL,MIO_NAC,PT,1997-01-01,576.88
TOTAL,MIO_NAC,PT,1998-01-01,695.8
TOTAL,MIO_NAC,PT,1999-01-01,814.75
TOTAL,MIO_NAC,PT,2000-01-01,926.59
