unit,hhtyp,incgrp,sex,age,geotime,date,value
PC,TOTAL,A_MD60,T,TOTAL,ES,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,ES,2004-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2009-01-01,
PC,TOTAL,A_MD60,T,TOTAL,ES,2010-01-01,
PC,TOTAL,A_MD60,T,TOTAL,ES,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,ES,2017-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,EU,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2005-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2006-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2007-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2008-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2009-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2010-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2011-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2012-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2013-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU,2014-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU,2015-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU,2016-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU,2017-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU27,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU27,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU27,2005-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU27,2006-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU27,2007-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,EU27,2008-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU27,2009-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU27,2010-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU27,2011-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU27,2012-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU27,2013-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU27,2014-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU27,2015-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU27,2016-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU27,2017-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU28,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU28,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU28,2005-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU28,2006-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU28,2007-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU28,2008-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU28,2009-01-01,
PC,TOTAL,A_MD60,T,TOTAL,EU28,2010-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU28,2011-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU28,2012-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU28,2013-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU28,2014-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU28,2015-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU28,2016-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,EU28,2017-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,FI,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,FI,2004-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2009-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FI,2017-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,FR,2004-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2009-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,FR,2017-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,HR,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,HR,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,HR,2005-01-01,
PC,TOTAL,A_MD60,T,TOTAL,HR,2006-01-01,
PC,TOTAL,A_MD60,T,TOTAL,HR,2007-01-01,
PC,TOTAL,A_MD60,T,TOTAL,HR,2008-01-01,
PC,TOTAL,A_MD60,T,TOTAL,HR,2009-01-01,
PC,TOTAL,A_MD60,T,TOTAL,HR,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,HR,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,HR,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,HR,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,HR,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,HR,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,HR,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,HR,2017-01-01,
PC,TOTAL,A_MD60,T,TOTAL,HU,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,HU,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,HU,2005-01-01,4
PC,TOTAL,A_MD60,T,TOTAL,HU,2006-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,HU,2007-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,HU,2008-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,HU,2009-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,HU,2010-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,HU,2011-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,HU,2012-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,HU,2013-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,HU,2014-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,HU,2015-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,HU,2016-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,HU,2017-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,IE,2003-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2004-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2009-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2011-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,IE,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IE,2017-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2004-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IS,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IS,2006-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2007-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2008-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2009-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2010-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2011-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2012-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2013-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2014-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2015-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2016-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IS,2017-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IT,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,IT,2004-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2009-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,IT,2017-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LT,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,LT,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,LT,2005-01-01,15
PC,TOTAL,A_MD60,T,TOTAL,LT,2006-01-01,14
PC,TOTAL,A_MD60,T,TOTAL,LT,2007-01-01,11
PC,TOTAL,A_MD60,T,TOTAL,LT,2008-01-01,11
PC,TOTAL,A_MD60,T,TOTAL,LT,2009-01-01,10
PC,TOTAL,A_MD60,T,TOTAL,LT,2010-01-01,10
PC,TOTAL,A_MD60,T,TOTAL,LT,2011-01-01,11
PC,TOTAL,A_MD60,T,TOTAL,LT,2012-01-01,9
PC,TOTAL,A_MD60,T,TOTAL,LT,2013-01-01,7
PC,TOTAL,A_MD60,T,TOTAL,LT,2014-01-01,7
PC,TOTAL,A_MD60,T,TOTAL,LT,2015-01-01,5
PC,TOTAL,A_MD60,T,TOTAL,LT,2016-01-01,5
PC,TOTAL,A_MD60,T,TOTAL,LT,2017-01-01,5
PC,TOTAL,A_MD60,T,TOTAL,LU,2003-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2004-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,LU,2007-01-01,0
