sex,age,unit,geo\time,date,value
T,Y25-74,PC_ACT,BE,2010-01-01,7.0 
T,Y25-74,PC_ACT,BE,2011-01-01,6.0 
T,Y25-74,PC_ACT,BE,2012-01-01,6.4
T,Y25-74,PC_ACT,BE,2013-01-01,7.1
T,Y25-74,PC_ACT,BE,2014-01-01,7.3
T,Y25-74,PC_ACT,BE,2015-01-01,7.3
T,Y25-74,PC_ACT,BE,2016-01-01,6.8
T,Y25-74,PC_ACT,BE,2017-01-01,6.1 b
T,Y25-74,PC_ACT,BG,1995-01-01,: 
T,Y25-74,PC_ACT,BG,1996-01-01,: 
T,Y25-74,PC_ACT,BG,1997-01-01,: 
T,Y25-74,PC_ACT,BG,1998-01-01,: 
T,Y25-74,PC_ACT,BG,1999-01-01,: 
T,Y25-74,PC_ACT,BG,2000-01-01,14.5 
T,Y25-74,PC_ACT,BG,2001-01-01,17.4 
T,Y25-74,PC_ACT,BG,2002-01-01,16.3 
T,Y25-74,PC_ACT,BG,2003-01-01,12.4 
T,Y25-74,PC_ACT,BG,2004-01-01,10.8 
T,Y25-74,PC_ACT,BG,2005-01-01,9.0 
T,Y25-74,PC_ACT,BG,2006-01-01,8.1 
T,Y25-74,PC_ACT,BG,2007-01-01,6.2
T,Y25-74,PC_ACT,BG,2008-01-01,5.0 
T,Y25-74,PC_ACT,BG,2009-01-01,6.1 
T,Y25-74,PC_ACT,BG,2010-01-01,9.2 d
T,Y25-74,PC_ACT,BG,2011-01-01,10.1 
T,Y25-74,PC_ACT,BG,2012-01-01,11.0
T,Y25-74,PC_ACT,BG,2013-01-01,11.8
T,Y25-74,PC_ACT,BG,2014-01-01,10.7
T,Y25-74,PC_ACT,BG,2015-01-01,8.4
T,Y25-74,PC_ACT,BG,2016-01-01,7.1
T,Y25-74,PC_ACT,BG,2017-01-01,5.8 
T,Y25-74,PC_ACT,CY,1995-01-01,: 
T,Y25-74,PC_ACT,CY,1996-01-01,: 
T,Y25-74,PC_ACT,CY,1997-01-01,: 
T,Y25-74,PC_ACT,CY,1998-01-01,: 
T,Y25-74,PC_ACT,CY,1999-01-01,: 
T,Y25-74,PC_ACT,CY,2000-01-01,4.2 
T,Y25-74,PC_ACT,CY,2001-01-01,3.4 
T,Y25-74,PC_ACT,CY,2002-01-01,3.0 
T,Y25-74,PC_ACT,CY,2003-01-01,3.6 
T,Y25-74,PC_ACT,CY,2004-01-01,4.0 d
T,Y25-74,PC_ACT,CY,2005-01-01,4.3 
T,Y25-74,PC_ACT,CY,2006-01-01,3.9 
T,Y25-74,PC_ACT,CY,2007-01-01,3.3
T,Y25-74,PC_ACT,CY,2008-01-01,3.1 
T,Y25-74,PC_ACT,CY,2009-01-01,4.4 
T,Y25-74,PC_ACT,CY,2010-01-01,5.1 
T,Y25-74,PC_ACT,CY,2011-01-01,6.4 
T,Y25-74,PC_ACT,CY,2012-01-01,10.2
T,Y25-74,PC_ACT,CY,2013-01-01,13.6
T,Y25-74,PC_ACT,CY,2014-01-01,14.0
T,Y25-74,PC_ACT,CY,2015-01-01,13.2
T,Y25-74,PC_ACT,CY,2016-01-01,11.5
T,Y25-74,PC_ACT,CY,2017-01-01,9.9 
T,Y25-74,PC_ACT,CZ,1995-01-01,3.3 
T,Y25-74,PC_ACT,CZ,1996-01-01,3.2 
T,Y25-74,PC_ACT,CZ,1997-01-01,4.1 
T,Y25-74,PC_ACT,CZ,1998-01-01,5.3 
T,Y25-74,PC_ACT,CZ,1999-01-01,7.2 
T,Y25-74,PC_ACT,CZ,2000-01-01,7.4 
T,Y25-74,PC_ACT,CZ,2001-01-01,6.9 
T,Y25-74,PC_ACT,CZ,2002-01-01,6.2 
T,Y25-74,PC_ACT,CZ,2003-01-01,6.6 
T,Y25-74,PC_ACT,CZ,2004-01-01,7.0 
T,Y25-74,PC_ACT,CZ,2005-01-01,6.8 
T,Y25-74,PC_ACT,CZ,2006-01-01,6.2 
T,Y25-74,PC_ACT,CZ,2007-01-01,4.8
T,Y25-74,PC_ACT,CZ,2008-01-01,3.9 
T,Y25-74,PC_ACT,CZ,2009-01-01,5.8 
T,Y25-74,PC_ACT,CZ,2010-01-01,6.4 
T,Y25-74,PC_ACT,CZ,2011-01-01,5.9 
T,Y25-74,PC_ACT,CZ,2012-01-01,6.0
T,Y25-74,PC_ACT,CZ,2013-01-01,6.1
T,Y25-74,PC_ACT,CZ,2014-01-01,5.4
T,Y25-74,PC_ACT,CZ,2015-01-01,4.5
T,Y25-74,PC_ACT,CZ,2016-01-01,3.5
T,Y25-74,PC_ACT,CZ,2017-01-01,2.6 
T,Y25-74,PC_ACT,DE,1995-01-01,8.1 
T,Y25-74,PC_ACT,DE,1996-01-01,8.8 
T,Y25-74,PC_ACT,DE,1997-01-01,9.5 
T,Y25-74,PC_ACT,DE,1998-01-01,9.3 
T,Y25-74,PC_ACT,DE,1999-01-01,8.5 
T,Y25-74,PC_ACT,DE,2000-01-01,7.9 
T,Y25-74,PC_ACT,DE,2001-01-01,7.7 
T,Y25-74,PC_ACT,DE,2002-01-01,8.5 
T,Y25-74,PC_ACT,DE,2003-01-01,9.5 
T,Y25-74,PC_ACT,DE,2004-01-01,10.0 
T,Y25-74,PC_ACT,DE,2005-01-01,10.6 d
T,Y25-74,PC_ACT,DE,2006-01-01,9.7 
T,Y25-74,PC_ACT,DE,2007-01-01,8.1
T,Y25-74,PC_ACT,DE,2008-01-01,7.0 
T,Y25-74,PC_ACT,DE,2009-01-01,7.2 
T,Y25-74,PC_ACT,DE,2010-01-01,6.6 
T,Y25-74,PC_ACT,DE,2011-01-01,5.5 
