unit,indic_env,sourcetime,date,value
DEGC,TD_EUR,HADCRUT4,1910-01-01,0.42
DEGC,TD_EUR,HADCRUT4,1920-01-01,0.6
DEGC,TD_EUR,HADCRUT4,1930-01-01,0.99
DEGC,TD_EUR,HADCRUT4,1940-01-01,-0.13
DEGC,TD_EUR,HADCRUT4,1950-01-01,0.81
DEGC,TD_EUR,HADCRUT4,1960-01-01,0.9
DEGC,TD_EUR,HADCRUT4,1970-01-01,0.34
DEGC,TD_EUR,HADCRUT4,1980-01-01,0.1
DEGC,TD_EUR,HADCRUT4,1990-01-01,1.39
DEGC,TD_EUR,HADCRUT4,2000-01-01,1.53
DEGC,TD_EUR,HADCRUT4,2001-01-01,1.29
DEGC,TD_EUR,HADCRUT4,2002-01-01,1.53
DEGC,TD_EUR,HADCRUT4,2003-01-01,1.47
DEGC,TD_EUR,HADCRUT4,2004-01-01,1.3
DEGC,TD_EUR,HADCRUT4,2005-01-01,1.18
DEGC,TD_EUR,HADCRUT4,2006-01-01,1.57
DEGC,TD_EUR,HADCRUT4,2007-01-01,1.64
DEGC,TD_EUR,HADCRUT4,2008-01-01,1.56
DEGC,TD_EUR,HADCRUT4,2009-01-01,1.49
DEGC,TD_EUR,HADCRUT4,2010-01-01,1.07
DEGC,TD_EUR,HADCRUT4,2011-01-01,1.56
DEGC,TD_EUR,HADCRUT4,2012-01-01,1.38
DEGC,TD_EUR,HADCRUT4,2013-01-01,1.41
DEGC,TD_EUR,HADCRUT4,2014-01-01,2.2
DEGC,TD_EUR,HADCRUT4,2015-01-01,1.88
DEGC,TD_EUR,HADCRUT4,2016-01-01,1.86
DEGC,TD_EUR,HADCRUT4,2017-01-01,1.73
DEGC,TD_EUR,NOAAGLOBALTEMP,1850-01-01,
DEGC,TD_EUR,NOAAGLOBALTEMP,1860-01-01,
DEGC,TD_EUR,NOAAGLOBALTEMP,1870-01-01,
DEGC,TD_EUR,NOAAGLOBALTEMP,1880-01-01,-0.01
DEGC,TD_EUR,NOAAGLOBALTEMP,1890-01-01,-0.06
DEGC,TD_EUR,NOAAGLOBALTEMP,1900-01-01,0.27
DEGC,TD_EUR,NOAAGLOBALTEMP,1910-01-01,0.22
DEGC,TD_EUR,NOAAGLOBALTEMP,1920-01-01,0.5
DEGC,TD_EUR,NOAAGLOBALTEMP,1930-01-01,0.9
DEGC,TD_EUR,NOAAGLOBALTEMP,1940-01-01,-0.3
DEGC,TD_EUR,NOAAGLOBALTEMP,1950-01-01,0.77
DEGC,TD_EUR,NOAAGLOBALTEMP,1960-01-01,0.78
DEGC,TD_EUR,NOAAGLOBALTEMP,1970-01-01,0.37
DEGC,TD_EUR,NOAAGLOBALTEMP,1980-01-01,0.12
DEGC,TD_EUR,NOAAGLOBALTEMP,1990-01-01,1.36
DEGC,TD_EUR,NOAAGLOBALTEMP,2000-01-01,1.54
DEGC,TD_EUR,NOAAGLOBALTEMP,2001-01-01,1.33
DEGC,TD_EUR,NOAAGLOBALTEMP,2002-01-01,1.49
DEGC,TD_EUR,NOAAGLOBALTEMP,2003-01-01,1.46
DEGC,TD_EUR,NOAAGLOBALTEMP,2004-01-01,1.26
DEGC,TD_EUR,NOAAGLOBALTEMP,2005-01-01,1.17
DEGC,TD_EUR,NOAAGLOBALTEMP,2006-01-01,1.55
DEGC,TD_EUR,NOAAGLOBALTEMP,2007-01-01,1.69
DEGC,TD_EUR,NOAAGLOBALTEMP,2008-01-01,1.56
DEGC,TD_EUR,NOAAGLOBALTEMP,2009-01-01,1.52
DEGC,TD_EUR,NOAAGLOBALTEMP,2010-01-01,1.16
DEGC,TD_EUR,NOAAGLOBALTEMP,2011-01-01,1.56
DEGC,TD_EUR,NOAAGLOBALTEMP,2012-01-01,1.42
DEGC,TD_EUR,NOAAGLOBALTEMP,2013-01-01,1.4
DEGC,TD_EUR,NOAAGLOBALTEMP,2014-01-01,2.16
DEGC,TD_EUR,NOAAGLOBALTEMP,2015-01-01,1.94
DEGC,TD_EUR,NOAAGLOBALTEMP,2016-01-01,1.82
DEGC,TD_EUR,NOAAGLOBALTEMP,2017-01-01,1.73
DEGC,TD_GLB,GISTEMP,1850-01-01,
DEGC,TD_GLB,GISTEMP,1860-01-01,
DEGC,TD_GLB,GISTEMP,1870-01-01,
DEGC,TD_GLB,GISTEMP,1880-01-01,0.03
DEGC,TD_GLB,GISTEMP,1890-01-01,-0.15
DEGC,TD_GLB,GISTEMP,1900-01-01,0.13
DEGC,TD_GLB,GISTEMP,1910-01-01,-0.22
DEGC,TD_GLB,GISTEMP,1920-01-01,-0.03
DEGC,TD_GLB,GISTEMP,1930-01-01,0.07
DEGC,TD_GLB,GISTEMP,1940-01-01,0.33
DEGC,TD_GLB,GISTEMP,1950-01-01,0.03
DEGC,TD_GLB,GISTEMP,1960-01-01,0.2
DEGC,TD_GLB,GISTEMP,1970-01-01,0.25
DEGC,TD_GLB,GISTEMP,1980-01-01,0.49
DEGC,TD_GLB,GISTEMP,1990-01-01,0.66
DEGC,TD_GLB,GISTEMP,2000-01-01,0.62
DEGC,TD_GLB,GISTEMP,2001-01-01,0.76
DEGC,TD_GLB,GISTEMP,2002-01-01,0.84
DEGC,TD_GLB,GISTEMP,2003-01-01,0.83
DEGC,TD_GLB,GISTEMP,2004-01-01,0.75
DEGC,TD_GLB,GISTEMP,2005-01-01,0.89
DEGC,TD_GLB,GISTEMP,2006-01-01,0.84
DEGC,TD_GLB,GISTEMP,2007-01-01,0.86
DEGC,TD_GLB,GISTEMP,2008-01-01,0.74
DEGC,TD_GLB,GISTEMP,2009-01-01,0.85
DEGC,TD_GLB,GISTEMP,2010-01-01,0.92
DEGC,TD_GLB,GISTEMP,2011-01-01,0.8
DEGC,TD_GLB,GISTEMP,2012-01-01,0.83
DEGC,TD_GLB,GISTEMP,2013-01-01,0.86
DEGC,TD_GLB,GISTEMP,2014-01-01,0.95
DEGC,TD_GLB,GISTEMP,2015-01-01,1.08
DEGC,TD_GLB,GISTEMP,2016-01-01,1.21
DEGC,TD_GLB,GISTEMP,2017-01-01,1.12
DEGC,TD_GLB,HADCRUT4,1850-01-01,-0.06
DEGC,TD_GLB,HADCRUT4,1860-01-01,-0.03
DEGC,TD_GLB,HADCRUT4,1870-01-01,0.04
DEGC,TD_GLB,HADCRUT4,1880-01-01,0.09
DEGC,TD_GLB,HADCRUT4,1890-01-01,-0.1
DEGC,TD_GLB,HADCRUT4,1900-01-01,0.11
DEGC,TD_GLB,HADCRUT4,1910-01-01,-0.17
DEGC,TD_GLB,HADCRUT4,1920-01-01,0.07
DEGC,TD_GLB,HADCRUT4,1930-01-01,0.18
DEGC,TD_GLB,HADCRUT4,1940-01-01,0.33
DEGC,TD_GLB,HADCRUT4,1950-01-01,0.14
DEGC,TD_GLB,HADCRUT4,1960-01-01,0.27
DEGC,TD_GLB,HADCRUT4,1970-01-01,0.29
DEGC,TD_GLB,HADCRUT4,1980-01-01,0.41
DEGC,TD_GLB,HADCRUT4,1990-01-01,0.61
DEGC,TD_GLB,HADCRUT4,2000-01-01,0.61
DEGC,TD_GLB,HADCRUT4,2001-01-01,0.76
DEGC,TD_GLB,HADCRUT4,2002-01-01,0.81
DEGC,TD_GLB,HADCRUT4,2003-01-01,0.82
DEGC,TD_GLB,HADCRUT4,2004-01-01,0.76
DEGC,TD_GLB,HADCRUT4,2005-01-01,0.86
DEGC,TD_GLB,HADCRUT4,2006-01-01,0.82
DEGC,TD_GLB,HADCRUT4,2007-01-01,0.81
DEGC,TD_GLB,HADCRUT4,2008-01-01,0.71
DEGC,TD_GLB,HADCRUT4,2009-01-01,0.82
DEGC,TD_GLB,HADCRUT4,2010-01-01,0.88
DEGC,TD_GLB,HADCRUT4,2011-01-01,0.74
DEGC,TD_GLB,HADCRUT4,2012-01-01,0.79
DEGC,TD_GLB,HADCRUT4,2013-01-01,0.83
DEGC,TD_GLB,HADCRUT4,2014-01-01,0.9
DEGC,TD_GLB,HADCRUT4,2015-01-01,1.08
DEGC,TD_GLB,HADCRUT4,2016-01-01,1.11
DEGC,TD_GLB,HADCRUT4,2017-01-01,0.99
DEGC,TD_GLB,NOAAGLOBALTEMP,1850-01-01,
DEGC,TD_GLB,NOAAGLOBALTEMP,1860-01-01,
DEGC,TD_GLB,NOAAGLOBALTEMP,1870-01-01,
DEGC,TD_GLB,NOAAGLOBALTEMP,1880-01-01,0.08
DEGC,TD_GLB,NOAAGLOBALTEMP,1890-01-01,-0.13
DEGC,TD_GLB,NOAAGLOBALTEMP,1900-01-01,0.14
DEGC,TD_GLB,NOAAGLOBALTEMP,1910-01-01,-0.18
DEGC,TD_GLB,NOAAGLOBALTEMP,1920-01-01,-0.01
DEGC,TD_GLB,NOAAGLOBALTEMP,1930-01-01,0.11
DEGC,TD_GLB,NOAAGLOBALTEMP,1940-01-01,0.29
DEGC,TD_GLB,NOAAGLOBALTEMP,1950-01-01,0.03
DEGC,TD_GLB,NOAAGLOBALTEMP,1960-01-01,0.21
DEGC,TD_GLB,NOAAGLOBALTEMP,1970-01-01,0.23
DEGC,TD_GLB,NOAAGLOBALTEMP,1980-01-01,0.46
DEGC,TD_GLB,NOAAGLOBALTEMP,1990-01-01,0.63
DEGC,TD_GLB,NOAAGLOBALTEMP,2000-01-01,0.62
DEGC,TD_GLB,NOAAGLOBALTEMP,2001-01-01,0.74
DEGC,TD_GLB,NOAAGLOBALTEMP,2002-01-01,0.8
DEGC,TD_GLB,NOAAGLOBALTEMP,2003-01-01,0.81
DEGC,TD_GLB,NOAAGLOBALTEMP,2004-01-01,0.77
DEGC,TD_GLB,NOAAGLOBALTEMP,2005-01-01,0.85
DEGC,TD_GLB,NOAAGLOBALTEMP,2006-01-01,0.81
DEGC,TD_GLB,NOAAGLOBALTEMP,2007-01-01,0.81
DEGC,TD_GLB,NOAAGLOBALTEMP,2008-01-01,0.74
DEGC,TD_GLB,NOAAGLOBALTEMP,2009-01-01,0.83
DEGC,TD_GLB,NOAAGLOBALTEMP,2010-01-01,0.9
DEGC,TD_GLB,NOAAGLOBALTEMP,2011-01-01,0.78
DEGC,TD_GLB,NOAAGLOBALTEMP,2012-01-01,0.82
DEGC,TD_GLB,NOAAGLOBALTEMP,2013-01-01,0.86
DEGC,TD_GLB,NOAAGLOBALTEMP,2014-01-01,0.94
DEGC,TD_GLB,NOAAGLOBALTEMP,2015-01-01,1.1
DEGC,TD_GLB,NOAAGLOBALTEMP,2016-01-01,1.14
DEGC,TD_GLB,NOAAGLOBALTEMP,2017-01-01,1.04
