sex,indic_em,geotime,date,value
T,EMP_PCH,EE,2009-01-01,-10.2
T,EMP_PCH,EE,2010-01-01,-5.0
T,EMP_PCH,EE,2011-01-01,6.5
T,EMP_PCH,EE,2012-01-01,1.7
T,EMP_PCH,EE,2013-01-01,1.2
T,EMP_PCH,EE,2014-01-01,0.8
T,EMP_PCH,EL,2005-01-01,0.9
T,EMP_PCH,EL,2006-01-01,1.8
T,EMP_PCH,EL,2007-01-01,1.3
T,EMP_PCH,EL,2008-01-01,1.3
T,EMP_PCH,EL,2009-01-01,-0.6
T,EMP_PCH,EL,2010-01-01,-2.6
T,EMP_PCH,EL,2011-01-01,-6.9
T,EMP_PCH,EL,2012-01-01,-6.3
T,EMP_PCH,EL,2013-01-01,-3.6
T,EMP_PCH,EL,2014-01-01,0.1
T,EMP_PCH,ES,2005-01-01,4.3
T,EMP_PCH,ES,2006-01-01,4.2
T,EMP_PCH,ES,2007-01-01,3.3
T,EMP_PCH,ES,2008-01-01,0.2
T,EMP_PCH,ES,2009-01-01,-6.3
T,EMP_PCH,ES,2010-01-01,-1.7
T,EMP_PCH,ES,2011-01-01,-2.7
T,EMP_PCH,ES,2012-01-01,-4.1
T,EMP_PCH,ES,2013-01-01,-2.9
T,EMP_PCH,ES,2014-01-01,0.9
T,EMP_PCH,EU28,2005-01-01,1.0
T,EMP_PCH,EU28,2006-01-01,1.7
T,EMP_PCH,EU28,2007-01-01,1.9
T,EMP_PCH,EU28,2008-01-01,1.0
T,EMP_PCH,EU28,2009-01-01,-1.7
T,EMP_PCH,EU28,2010-01-01,-0.7
T,EMP_PCH,EU28,2011-01-01,0.1
T,EMP_PCH,EU28,2012-01-01,-0.4
T,EMP_PCH,EU28,2013-01-01,-0.3
T,EMP_PCH,EU28,2014-01-01,1.0
T,EMP_PCH,FI,2005-01-01,1.6
T,EMP_PCH,FI,2006-01-01,1.8
T,EMP_PCH,FI,2007-01-01,2.1
T,EMP_PCH,FI,2008-01-01,2.2
T,EMP_PCH,FI,2009-01-01,-2.4
T,EMP_PCH,FI,2010-01-01,-0.7
T,EMP_PCH,FI,2011-01-01,1.3
T,EMP_PCH,FI,2012-01-01,0.9
T,EMP_PCH,FI,2013-01-01,-0.7
T,EMP_PCH,FI,2014-01-01,-0.8
T,EMP_PCH,FR,2005-01-01,0.7
T,EMP_PCH,FR,2006-01-01,1.1
T,EMP_PCH,FR,2007-01-01,1.4
T,EMP_PCH,FR,2008-01-01,0.5
T,EMP_PCH,FR,2009-01-01,-1.1
T,EMP_PCH,FR,2010-01-01,0.1
T,EMP_PCH,FR,2011-01-01,0.8
T,EMP_PCH,FR,2012-01-01,0.3
T,EMP_PCH,FR,2013-01-01,0.0
T,EMP_PCH,FR,2014-01-01,0.4
T,EMP_PCH,HR,2005-01-01,0.7
T,EMP_PCH,HR,2006-01-01,3.9
T,EMP_PCH,HR,2007-01-01,9.7
T,EMP_PCH,HR,2008-01-01,3.8
T,EMP_PCH,HR,2009-01-01,-0.7
T,EMP_PCH,HR,2010-01-01,-3.8
T,EMP_PCH,HR,2011-01-01,-3.9
T,EMP_PCH,HR,2012-01-01,-3.6
T,EMP_PCH,HR,2013-01-01,-2.6
T,EMP_PCH,HR,2014-01-01,2.7
T,EMP_PCH,HU,2005-01-01,-0.3
T,EMP_PCH,HU,2006-01-01,0.4
T,EMP_PCH,HU,2007-01-01,0.1
T,EMP_PCH,HU,2008-01-01,-2.0
T,EMP_PCH,HU,2009-01-01,-2.5
T,EMP_PCH,HU,2010-01-01,-0.3
T,EMP_PCH,HU,2011-01-01,0.0
T,EMP_PCH,HU,2012-01-01,0.1
T,EMP_PCH,HU,2013-01-01,0.9
T,EMP_PCH,HU,2014-01-01,4.8
T,EMP_PCH,IE,2005-01-01,4.9
T,EMP_PCH,IE,2006-01-01,4.6
T,EMP_PCH,IE,2007-01-01,4.4
T,EMP_PCH,IE,2008-01-01,-0.6
T,EMP_PCH,IE,2009-01-01,-7.8
T,EMP_PCH,IE,2010-01-01,-4.1
T,EMP_PCH,IE,2011-01-01,-1.8
T,EMP_PCH,IE,2012-01-01,-0.6
T,EMP_PCH,IE,2013-01-01,2.4
T,EMP_PCH,IE,2014-01-01,1.7
T,EMP_PCH,IT,2005-01-01,0.6
T,EMP_PCH,IT,2006-01-01,2.0
T,EMP_PCH,IT,2007-01-01,1.2
T,EMP_PCH,IT,2008-01-01,0.2
T,EMP_PCH,IT,2009-01-01,-1.7
T,EMP_PCH,IT,2010-01-01,-0.6
T,EMP_PCH,IT,2011-01-01,0.3
T,EMP_PCH,IT,2012-01-01,-0.3
T,EMP_PCH,IT,2013-01-01,-1.8
T,EMP_PCH,IT,2014-01-01,0.1
T,EMP_PCH,LT,2005-01-01,0.8
T,EMP_PCH,LT,2006-01-01,-0.3
T,EMP_PCH,LT,2007-01-01,2.0
T,EMP_PCH,LT,2008-01-01,-1.3
T,EMP_PCH,LT,2009-01-01,-7.7
T,EMP_PCH,LT,2010-01-01,-5.3
T,EMP_PCH,LT,2011-01-01,0.5
T,EMP_PCH,LT,2012-01-01,1.8
T,EMP_PCH,LT,2013-01-01,1.3
T,EMP_PCH,LT,2014-01-01,2.0
T,EMP_PCH,LU,2005-01-01,2.8
T,EMP_PCH,LU,2006-01-01,3.8
T,EMP_PCH,LU,2007-01-01,4.4
T,EMP_PCH,LU,2008-01-01,4.8
T,EMP_PCH,LU,2009-01-01,1.0
T,EMP_PCH,LU,2010-01-01,1.8
T,EMP_PCH,LU,2011-01-01,3.0
T,EMP_PCH,LU,2012-01-01,2.4
T,EMP_PCH,LU,2013-01-01,1.8
T,EMP_PCH,LU,2014-01-01,2.5
T,EMP_PCH,LV,2005-01-01,0.9
T,EMP_PCH,LV,2006-01-01,5.8
T,EMP_PCH,LV,2007-01-01,3.8
T,EMP_PCH,LV,2008-01-01,-0.8
T,EMP_PCH,LV,2009-01-01,-14.3
T,EMP_PCH,LV,2010-01-01,-6.7
T,EMP_PCH,LV,2011-01-01,1.5
T,EMP_PCH,LV,2012-01-01,1.4
T,EMP_PCH,LV,2013-01-01,2.3
T,EMP_PCH,LV,2014-01-01,-1.3
T,EMP_PCH,MT,2005-01-01,1.3
T,EMP_PCH,MT,2006-01-01,1.5
T,EMP_PCH,MT,2007-01-01,2.2
T,EMP_PCH,MT,2008-01-01,2.5
T,EMP_PCH,MT,2009-01-01,0.0
T,EMP_PCH,MT,2010-01-01,1.7
T,EMP_PCH,MT,2011-01-01,3.0
T,EMP_PCH,MT,2012-01-01,2.5
T,EMP_PCH,MT,2013-01-01,3.7
T,EMP_PCH,MT,2014-01-01,5.0
T,EMP_PCH,NL,2005-01-01,0.7
T,EMP_PCH,NL,2006-01-01,2.2
T,EMP_PCH,NL,2007-01-01,2.9
T,EMP_PCH,NL,2008-01-01,1.6
T,EMP_PCH,NL,2009-01-01,-0.9
T,EMP_PCH,NL,2010-01-01,-0.7
T,EMP_PCH,NL,2011-01-01,0.9
T,EMP_PCH,NL,2012-01-01,-0.2
T,EMP_PCH,NL,2013-01-01,-0.9
T,EMP_PCH,NL,2014-01-01,-0.2
T,EMP_PCH,NO,2005-01-01,1.3
T,EMP_PCH,NO,2006-01-01,3.4
T,EMP_PCH,NO,2007-01-01,4.1
T,EMP_PCH,NO,2008-01-01,3.3
T,EMP_PCH,NO,2009-01-01,-0.5
T,EMP_PCH,NO,2010-01-01,-0.5
T,EMP_PCH,NO,2011-01-01,1.5
T,EMP_PCH,NO,2012-01-01,2.1
T,EMP_PCH,NO,2013-01-01,1.1
T,EMP_PCH,NO,2014-01-01,1.1
T,EMP_PCH,PL,2005-01-01,2.2
T,EMP_PCH,PL,2006-01-01,3.2
T,EMP_PCH,PL,2007-01-01,4.5
T,EMP_PCH,PL,2008-01-01,3.8
T,EMP_PCH,PL,2009-01-01,0.4
T,EMP_PCH,PL,2010-01-01,-2.7
T,EMP_PCH,PL,2011-01-01,0.6
T,EMP_PCH,PL,2012-01-01,0.1
T,EMP_PCH,PL,2013-01-01,-0.1
T,EMP_PCH,PL,2014-01-01,1.7
T,EMP_PCH,PT,2005-01-01,-0.5
T,EMP_PCH,PT,2006-01-01,0.4
T,EMP_PCH,PT,2007-01-01,0.0
T,EMP_PCH,PT,2008-01-01,0.4
T,EMP_PCH,PT,2009-01-01,-2.7
T,EMP_PCH,PT,2010-01-01,-1.4
T,EMP_PCH,PT,2011-01-01,-1.9
T,EMP_PCH,PT,2012-01-01,-4.1
T,EMP_PCH,PT,2013-01-01,-2.9
T,EMP_PCH,PT,2014-01-01,1.4
T,EMP_PCH,RO,2005-01-01,-1.5
T,EMP_PCH,RO,2006-01-01,0.7
T,EMP_PCH,RO,2007-01-01,0.4
T,EMP_PCH,RO,2008-01-01,0.0
T,EMP_PCH,RO,2009-01-01,-2.0
T,EMP_PCH,RO,2010-01-01,-0.3
T,EMP_PCH,RO,2011-01-01,-0.8
T,EMP_PCH,RO,2012-01-01,-4.8
T,EMP_PCH,RO,2013-01-01,-0.9
T,EMP_PCH,RO,2014-01-01,0.8
T,EMP_PCH,SE,2005-01-01,0.3
T,EMP_PCH,SE,2006-01-01,1.7
T,EMP_PCH,SE,2007-01-01,2.3
T,EMP_PCH,SE,2008-01-01,0.9
T,EMP_PCH,SE,2009-01-01,-2.4
T,EMP_PCH,SE,2010-01-01,1.0
T,EMP_PCH,SE,2011-01-01,2.1
T,EMP_PCH,SE,2012-01-01,0.7
T,EMP_PCH,SE,2013-01-01,0.9
T,EMP_PCH,SE,2014-01-01,1.4
T,EMP_PCH,SI,2005-01-01,-0.5
T,EMP_PCH,SI,2006-01-01,1.6
T,EMP_PCH,SI,2007-01-01,3.4
T,EMP_PCH,SI,2008-01-01,2.6
T,EMP_PCH,SI,2009-01-01,-1.8
T,EMP_PCH,SI,2010-01-01,-2.1
T,EMP_PCH,SI,2011-01-01,-1.7
T,EMP_PCH,SI,2012-01-01,-0.9
T,EMP_PCH,SI,2013-01-01,-1.4
T,EMP_PCH,SI,2014-01-01,0.6
T,EMP_PCH,SK,2005-01-01,1.6
T,EMP_PCH,SK,2006-01-01,2.1
T,EMP_PCH,SK,2007-01-01,2.1
T,EMP_PCH,SK,2008-01-01,3.2
T,EMP_PCH,SK,2009-01-01,-2.0
T,EMP_PCH,SK,2010-01-01,-1.5
T,EMP_PCH,SK,2011-01-01,1.8
T,EMP_PCH,SK,2012-01-01,0.1
T,EMP_PCH,SK,2013-01-01,-0.8
T,EMP_PCH,SK,2014-01-01,1.4
T,EMP_PCH,UK,2005-01-01,1.1
T,EMP_PCH,UK,2006-01-01,1.0
T,EMP_PCH,UK,2007-01-01,0.8
T,EMP_PCH,UK,2008-01-01,0.8
T,EMP_PCH,UK,2009-01-01,-1.6
T,EMP_PCH,UK,2010-01-01,0.2
T,EMP_PCH,UK,2011-01-01,0.5
T,EMP_PCH,UK,2012-01-01,1.1
T,EMP_PCH,UK,2013-01-01,1.2
T,EMP_PCH,UK,2014-01-01,2.3
