unit,airsect,airpol,geotime,date,value
PC,SE1_RD_NRD,NMVOC,CY,2008-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2009-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2010-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2011-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2012-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2013-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2014-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2015-01-01,
PC,SE1_RD_NRD,NMVOC,CY,2016-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,1990-01-01,190
PC,SE1_RD_NRD,NMVOC,CZ,1991-01-01,174
PC,SE1_RD_NRD,NMVOC,CZ,1992-01-01,194
PC,SE1_RD_NRD,NMVOC,CZ,1993-01-01,167
PC,SE1_RD_NRD,NMVOC,CZ,1994-01-01,168
PC,SE1_RD_NRD,NMVOC,CZ,1995-01-01,147
PC,SE1_RD_NRD,NMVOC,CZ,1996-01-01,139
PC,SE1_RD_NRD,NMVOC,CZ,1997-01-01,124
PC,SE1_RD_NRD,NMVOC,CZ,1998-01-01,122
PC,SE1_RD_NRD,NMVOC,CZ,1999-01-01,113
PC,SE1_RD_NRD,NMVOC,CZ,2000-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2001-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2002-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2003-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2004-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2005-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2006-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2007-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2008-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2009-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2010-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2011-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2012-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2013-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2014-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2015-01-01,
PC,SE1_RD_NRD,NMVOC,CZ,2016-01-01,
PC,SE1_RD_NRD,NMVOC,DE,1990-01-01,397
PC,SE1_RD_NRD,NMVOC,DE,1991-01-01,307
PC,SE1_RD_NRD,NMVOC,DE,1992-01-01,282
PC,SE1_RD_NRD,NMVOC,DE,1993-01-01,246
PC,SE1_RD_NRD,NMVOC,DE,1994-01-01,195
PC,SE1_RD_NRD,NMVOC,DE,1995-01-01,182
PC,SE1_RD_NRD,NMVOC,DE,1996-01-01,165
PC,SE1_RD_NRD,NMVOC,DE,1997-01-01,147
PC,SE1_RD_NRD,NMVOC,DE,1998-01-01,133
PC,SE1_RD_NRD,NMVOC,DE,1999-01-01,117
PC,SE1_RD_NRD,NMVOC,DE,2000-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2001-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2002-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2003-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2004-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2005-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2006-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2007-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2008-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2009-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2010-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2011-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2012-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2013-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2014-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2015-01-01,
PC,SE1_RD_NRD,NMVOC,DE,2016-01-01,
PC,SE1_RD_NRD,NMVOC,DK,1990-01-01,178
PC,SE1_RD_NRD,NMVOC,DK,1991-01-01,185
PC,SE1_RD_NRD,NMVOC,DK,1992-01-01,184
PC,SE1_RD_NRD,NMVOC,DK,1993-01-01,178
PC,SE1_RD_NRD,NMVOC,DK,1994-01-01,172
PC,SE1_RD_NRD,NMVOC,DK,1995-01-01,163
PC,SE1_RD_NRD,NMVOC,DK,1996-01-01,153
PC,SE1_RD_NRD,NMVOC,DK,1997-01-01,143
PC,SE1_RD_NRD,NMVOC,DK,1998-01-01,131
PC,SE1_RD_NRD,NMVOC,DK,1999-01-01,117
PC,SE1_RD_NRD,NMVOC,DK,2000-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2001-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2002-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2003-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2004-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2005-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2006-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2007-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2008-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2009-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2010-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2011-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2012-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2013-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2014-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2015-01-01,
PC,SE1_RD_NRD,NMVOC,DK,2016-01-01,
PC,SE1_RD_NRD,NMVOC,EE,1990-01-01,170
PC,SE1_RD_NRD,NMVOC,EE,1991-01-01,164
PC,SE1_RD_NRD,NMVOC,EE,1992-01-01,85
PC,SE1_RD_NRD,NMVOC,EE,1993-01-01,89
PC,SE1_RD_NRD,NMVOC,EE,1994-01-01,113
PC,SE1_RD_NRD,NMVOC,EE,1995-01-01,105
PC,SE1_RD_NRD,NMVOC,EE,1996-01-01,110
PC,SE1_RD_NRD,NMVOC,EE,1997-01-01,118
PC,SE1_RD_NRD,NMVOC,EE,1998-01-01,110
PC,SE1_RD_NRD,NMVOC,EE,1999-01-01,101
PC,SE1_RD_NRD,NMVOC,EE,2000-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2001-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2002-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2003-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2004-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2005-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2006-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2007-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2008-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2009-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2010-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2011-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2012-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2013-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2014-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2015-01-01,
PC,SE1_RD_NRD,NMVOC,EE,2016-01-01,
PC,SE1_RD_NRD,NMVOC,EL,1990-01-01,135
PC,SE1_RD_NRD,NMVOC,EL,1991-01-01,133
PC,SE1_RD_NRD,NMVOC,EL,1992-01-01,128
PC,SE1_RD_NRD,NMVOC,EL,1993-01-01,128
PC,SE1_RD_NRD,NMVOC,EL,1994-01-01,126
PC,SE1_RD_NRD,NMVOC,EL,1995-01-01,117
PC,SE1_RD_NRD,NMVOC,EL,1996-01-01,115
PC,SE1_RD_NRD,NMVOC,EL,1997-01-01,115
PC,SE1_RD_NRD,NMVOC,EL,1998-01-01,115
PC,SE1_RD_NRD,NMVOC,EL,1999-01-01,113
PC,SE1_RD_NRD,NMVOC,EL,2000-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2001-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2002-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2003-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2004-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2005-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2006-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2007-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2008-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2009-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2010-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2011-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2012-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2013-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2014-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2015-01-01,
PC,SE1_RD_NRD,NMVOC,EL,2016-01-01,
PC,SE1_RD_NRD,NMVOC,ES,1990-01-01,159
PC,SE1_RD_NRD,NMVOC,ES,1991-01-01,167
PC,SE1_RD_NRD,NMVOC,ES,1992-01-01,178
PC,SE1_RD_NRD,NMVOC,ES,1993-01-01,165
PC,SE1_RD_NRD,NMVOC,ES,1994-01-01,164
PC,SE1_RD_NRD,NMVOC,ES,1995-01-01,148
PC,SE1_RD_NRD,NMVOC,ES,1996-01-01,148
PC,SE1_RD_NRD,NMVOC,ES,1997-01-01,137
PC,SE1_RD_NRD,NMVOC,ES,1998-01-01,133
PC,SE1_RD_NRD,NMVOC,ES,1999-01-01,118
PC,SE1_RD_NRD,NMVOC,ES,2000-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2001-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2002-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2003-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2004-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2005-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2006-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2007-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2008-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2009-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2010-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2011-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2012-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2013-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2014-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2015-01-01,
PC,SE1_RD_NRD,NMVOC,ES,2016-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,1990-01-01,198
PC,SE1_RD_NRD,NMVOC,EU28,1991-01-01,187
PC,SE1_RD_NRD,NMVOC,EU28,1992-01-01,184
PC,SE1_RD_NRD,NMVOC,EU28,1993-01-01,174
PC,SE1_RD_NRD,NMVOC,EU28,1994-01-01,162
PC,SE1_RD_NRD,NMVOC,EU28,1995-01-01,152
PC,SE1_RD_NRD,NMVOC,EU28,1996-01-01,146
PC,SE1_RD_NRD,NMVOC,EU28,1997-01-01,136
PC,SE1_RD_NRD,NMVOC,EU28,1998-01-01,127
PC,SE1_RD_NRD,NMVOC,EU28,1999-01-01,117
PC,SE1_RD_NRD,NMVOC,EU28,2000-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2001-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2002-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2003-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2004-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2005-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2006-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2007-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2008-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2009-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2010-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2011-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2012-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2013-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2014-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2015-01-01,
PC,SE1_RD_NRD,NMVOC,EU28,2016-01-01,
PC,SE1_RD_NRD,NMVOC,FI,1990-01-01,151
PC,SE1_RD_NRD,NMVOC,FI,1991-01-01,145
PC,SE1_RD_NRD,NMVOC,FI,1992-01-01,141
PC,SE1_RD_NRD,NMVOC,FI,1993-01-01,135
PC,SE1_RD_NRD,NMVOC,FI,1994-01-01,130
PC,SE1_RD_NRD,NMVOC,FI,1995-01-01,127
PC,SE1_RD_NRD,NMVOC,FI,1996-01-01,123
PC,SE1_RD_NRD,NMVOC,FI,1997-01-01,120
PC,SE1_RD_NRD,NMVOC,FI,1998-01-01,114
PC,SE1_RD_NRD,NMVOC,FI,1999-01-01,109
PC,SE1_RD_NRD,NMVOC,FI,2000-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2001-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2002-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2003-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2004-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2005-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2006-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2007-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2008-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2009-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2010-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2011-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2012-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2013-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2014-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2015-01-01,
PC,SE1_RD_NRD,NMVOC,FI,2016-01-01,
PC,SE1_RD_NRD,NMVOC,FR,1990-01-01,199
PC,SE1_RD_NRD,NMVOC,FR,1991-01-01,195
PC,SE1_RD_NRD,NMVOC,FR,1992-01-01,193
PC,SE1_RD_NRD,NMVOC,FR,1993-01-01,182
PC,SE1_RD_NRD,NMVOC,FR,1994-01-01,166
PC,SE1_RD_NRD,NMVOC,FR,1995-01-01,152
PC,SE1_RD_NRD,NMVOC,FR,1996-01-01,139
PC,SE1_RD_NRD,NMVOC,FR,1997-01-01,131
PC,SE1_RD_NRD,NMVOC,FR,1998-01-01,122
PC,SE1_RD_NRD,NMVOC,FR,1999-01-01,114
PC,SE1_RD_NRD,NMVOC,FR,2000-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2001-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2002-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2003-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2004-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2005-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2006-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2007-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2008-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2009-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2010-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2011-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2012-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2013-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2014-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2015-01-01,
PC,SE1_RD_NRD,NMVOC,FR,2016-01-01,
PC,SE1_RD_NRD,NMVOC,HR,1990-01-01,121
PC,SE1_RD_NRD,NMVOC,HR,1991-01-01,95
PC,SE1_RD_NRD,NMVOC,HR,1992-01-01,89
PC,SE1_RD_NRD,NMVOC,HR,1993-01-01,80
PC,SE1_RD_NRD,NMVOC,HR,1994-01-01,86
PC,SE1_RD_NRD,NMVOC,HR,1995-01-01,90
PC,SE1_RD_NRD,NMVOC,HR,1996-01-01,98
PC,SE1_RD_NRD,NMVOC,HR,1997-01-01,104
PC,SE1_RD_NRD,NMVOC,HR,1998-01-01,104
PC,SE1_RD_NRD,NMVOC,HR,1999-01-01,104
PC,SE1_RD_NRD,NMVOC,HR,2000-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2001-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2002-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2003-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2004-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2005-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2006-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2007-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2008-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2009-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2010-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2011-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2012-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2013-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2014-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2015-01-01,
PC,SE1_RD_NRD,NMVOC,HR,2016-01-01,
PC,SE1_RD_NRD,NMVOC,HU,1990-01-01,193
PC,SE1_RD_NRD,NMVOC,HU,1991-01-01,159
PC,SE1_RD_NRD,NMVOC,HU,1992-01-01,149
PC,SE1_RD_NRD,NMVOC,HU,1993-01-01,137
PC,SE1_RD_NRD,NMVOC,HU,1994-01-01,129
PC,SE1_RD_NRD,NMVOC,HU,1995-01-01,126
PC,SE1_RD_NRD,NMVOC,HU,1996-01-01,117
PC,SE1_RD_NRD,NMVOC,HU,1997-01-01,111
PC,SE1_RD_NRD,NMVOC,HU,1998-01-01,107
PC,SE1_RD_NRD,NMVOC,HU,1999-01-01,103
PC,SE1_RD_NRD,NMVOC,HU,2000-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2001-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2002-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2003-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2004-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2005-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2006-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2007-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2008-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2009-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2010-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2011-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2012-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2013-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2014-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2015-01-01,
PC,SE1_RD_NRD,NMVOC,HU,2016-01-01,
PC,SE1_RD_NRD,NMVOC,IE,1990-01-01,142
PC,SE1_RD_NRD,NMVOC,IE,1991-01-01,142
PC,SE1_RD_NRD,NMVOC,IE,1992-01-01,144
PC,SE1_RD_NRD,NMVOC,IE,1993-01-01,137
PC,SE1_RD_NRD,NMVOC,IE,1994-01-01,135
PC,SE1_RD_NRD,NMVOC,IE,1995-01-01,135
PC,SE1_RD_NRD,NMVOC,IE,1996-01-01,136
PC,SE1_RD_NRD,NMVOC,IE,1997-01-01,127
PC,SE1_RD_NRD,NMVOC,IE,1998-01-01,124
PC,SE1_RD_NRD,NMVOC,IE,1999-01-01,113
PC,SE1_RD_NRD,NMVOC,IE,2000-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2001-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2002-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2003-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2004-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2005-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2006-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2007-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2008-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2009-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2010-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2011-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2012-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2013-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2014-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2015-01-01,
PC,SE1_RD_NRD,NMVOC,IE,2016-01-01,
PC,SE1_RD_NRD,NMVOC,IT,1990-01-01,131
PC,SE1_RD_NRD,NMVOC,IT,1991-01-01,138
PC,SE1_RD_NRD,NMVOC,IT,1992-01-01,147
PC,SE1_RD_NRD,NMVOC,IT,1993-01-01,151
PC,SE1_RD_NRD,NMVOC,IT,1994-01-01,146
PC,SE1_RD_NRD,NMVOC,IT,1995-01-01,145
PC,SE1_RD_NRD,NMVOC,IT,1996-01-01,142
PC,SE1_RD_NRD,NMVOC,IT,1997-01-01,136
PC,SE1_RD_NRD,NMVOC,IT,1998-01-01,128
PC,SE1_RD_NRD,NMVOC,IT,1999-01-01,119
PC,SE1_RD_NRD,NMVOC,IT,2000-01-01,
