sex,age,unit,geotime,date,value
F,TOTAL,PC,NO,2012-01-01,14
F,TOTAL,PC,NO,2013-01-01,14
F,TOTAL,PC,NO,2014-01-01,14
F,TOTAL,PC,NO,2015-01-01,
F,TOTAL,PC,NO,2016-01-01,17
F,TOTAL,PC,NO,2017-01-01,17
F,TOTAL,PC,PL,2005-01-01,45
F,TOTAL,PC,PL,2006-01-01,40
F,TOTAL,PC,PL,2007-01-01,35
F,TOTAL,PC,PL,2008-01-01,31
F,TOTAL,PC,PL,2009-01-01,28
F,TOTAL,PC,PL,2010-01-01,28
F,TOTAL,PC,PL,2011-01-01,27
F,TOTAL,PC,PL,2012-01-01,27
F,TOTAL,PC,PL,2013-01-01,26
F,TOTAL,PC,PL,2014-01-01,24
F,TOTAL,PC,PL,2015-01-01,
F,TOTAL,PC,PL,2016-01-01,22
F,TOTAL,PC,PL,2017-01-01,19
F,TOTAL,PC,PT,2005-01-01,26
F,TOTAL,PC,PT,2006-01-01,26
F,TOTAL,PC,PT,2007-01-01,26
F,TOTAL,PC,PT,2008-01-01,26
F,TOTAL,PC,PT,2009-01-01,25
F,TOTAL,PC,PT,2010-01-01,25
F,TOTAL,PC,PT,2011-01-01,25
F,TOTAL,PC,PT,2012-01-01,25
F,TOTAL,PC,PT,2013-01-01,27
F,TOTAL,PC,PT,2014-01-01,28
F,TOTAL,PC,PT,2015-01-01,
F,TOTAL,PC,PT,2016-01-01,26
F,TOTAL,PC,PT,2017-01-01,24
F,TOTAL,PC,RO,2005-01-01,
F,TOTAL,PC,RO,2006-01-01,
F,TOTAL,PC,RO,2007-01-01,48
F,TOTAL,PC,RO,2008-01-01,45
F,TOTAL,PC,RO,2009-01-01,44
F,TOTAL,PC,RO,2010-01-01,42
F,TOTAL,PC,RO,2011-01-01,41
F,TOTAL,PC,RO,2012-01-01,43
F,TOTAL,PC,RO,2013-01-01,42
F,TOTAL,PC,RO,2014-01-01,40
F,TOTAL,PC,RO,2015-01-01,
F,TOTAL,PC,RO,2016-01-01,39
F,TOTAL,PC,RO,2017-01-01,36
F,TOTAL,PC,RS,2005-01-01,
F,TOTAL,PC,RS,2006-01-01,
F,TOTAL,PC,RS,2007-01-01,
F,TOTAL,PC,RS,2008-01-01,
F,TOTAL,PC,RS,2009-01-01,
F,TOTAL,PC,RS,2010-01-01,
F,TOTAL,PC,RS,2011-01-01,
F,TOTAL,PC,RS,2012-01-01,
F,TOTAL,PC,RS,2013-01-01,42
F,TOTAL,PC,RS,2014-01-01,42
F,TOTAL,PC,RS,2015-01-01,
F,TOTAL,PC,RS,2016-01-01,38
F,TOTAL,PC,RS,2017-01-01,
F,TOTAL,PC,SE,2005-01-01,15
F,TOTAL,PC,SE,2006-01-01,16
F,TOTAL,PC,SE,2007-01-01,14
F,TOTAL,PC,SE,2008-01-01,17
F,TOTAL,PC,SE,2009-01-01,19
F,TOTAL,PC,SE,2010-01-01,18
F,TOTAL,PC,SE,2011-01-01,20
F,TOTAL,PC,SE,2012-01-01,18
F,TOTAL,PC,SE,2013-01-01,19
F,TOTAL,PC,SE,2014-01-01,19
F,TOTAL,PC,SE,2015-01-01,
F,TOTAL,PC,SE,2016-01-01,19
F,TOTAL,PC,SE,2017-01-01,18
F,TOTAL,PC,SI,2005-01-01,20
F,TOTAL,PC,SI,2006-01-01,18
F,TOTAL,PC,SI,2007-01-01,19
F,TOTAL,PC,SI,2008-01-01,20
