unit,quantile,geotime,date,value
PC,QU1,NL,2013-01-01,
PC,QU1,NL,2014-01-01,39
PC,QU1,NL,2015-01-01,
PC,QU1,NL,2016-01-01,34
PC,QU1,NL,2017-01-01,32
PC,QU1,NO,2006-01-01,33
PC,QU1,NO,2007-01-01,35
PC,QU1,NO,2008-01-01,34
PC,QU1,NO,2009-01-01,29
PC,QU1,NO,2010-01-01,28
PC,QU1,NO,2011-01-01,31
PC,QU1,NO,2012-01-01,28
PC,QU1,NO,2013-01-01,
PC,QU1,NO,2014-01-01,28
PC,QU1,NO,2015-01-01,
PC,QU1,NO,2016-01-01,31
PC,QU1,NO,2017-01-01,30
PC,QU1,PL,2006-01-01,34
PC,QU1,PL,2007-01-01,31
PC,QU1,PL,2008-01-01,30
PC,QU1,PL,2009-01-01,26
PC,QU1,PL,2010-01-01,28
PC,QU1,PL,2011-01-01,33
PC,QU1,PL,2012-01-01,32
PC,QU1,PL,2013-01-01,
PC,QU1,PL,2014-01-01,28
PC,QU1,PL,2015-01-01,
PC,QU1,PL,2016-01-01,27
PC,QU1,PL,2017-01-01,24
PC,QU1,PT,2006-01-01,13
PC,QU1,PT,2007-01-01,21
PC,QU1,PT,2008-01-01,20
PC,QU1,PT,2009-01-01,20
PC,QU1,PT,2010-01-01,15
PC,QU1,PT,2011-01-01,24
PC,QU1,PT,2012-01-01,27
PC,QU1,PT,2013-01-01,
PC,QU1,PT,2014-01-01,33
PC,QU1,PT,2015-01-01,
PC,QU1,PT,2016-01-01,27
PC,QU1,PT,2017-01-01,24
PC,QU1,RO,2006-01-01,
PC,QU1,RO,2007-01-01,49
PC,QU1,RO,2008-01-01,44
PC,QU1,RO,2009-01-01,38
PC,QU1,RO,2010-01-01,41
PC,QU1,RO,2011-01-01,24
PC,QU1,RO,2012-01-01,47
PC,QU1,RO,2013-01-01,
PC,QU1,RO,2014-01-01,44
PC,QU1,RO,2015-01-01,
PC,QU1,RO,2016-01-01,44
PC,QU1,RO,2017-01-01,39
PC,QU1,RS,2006-01-01,
PC,QU1,RS,2007-01-01,
PC,QU1,RS,2008-01-01,
PC,QU1,RS,2009-01-01,
PC,QU1,RS,2010-01-01,
PC,QU1,RS,2011-01-01,
PC,QU1,RS,2012-01-01,
PC,QU1,RS,2013-01-01,
PC,QU1,RS,2014-01-01,84
PC,QU1,RS,2015-01-01,
PC,QU1,RS,2016-01-01,78
PC,QU1,RS,2017-01-01,
PC,QU1,SE,2006-01-01,38
PC,QU1,SE,2007-01-01,31
PC,QU1,SE,2008-01-01,41
PC,QU1,SE,2009-01-01,41
PC,QU1,SE,2010-01-01,33
PC,QU1,SE,2011-01-01,39
PC,QU1,SE,2012-01-01,35
PC,QU1,SE,2013-01-01,
PC,QU1,SE,2014-01-01,35
PC,QU1,SE,2015-01-01,
PC,QU1,SE,2016-01-01,34
PC,QU1,SE,2017-01-01,33
PC,QU1,SI,2006-01-01,11
PC,QU1,SI,2007-01-01,16
PC,QU1,SI,2008-01-01,14
PC,QU1,SI,2009-01-01,14
PC,QU1,SI,2010-01-01,15
PC,QU1,SI,2011-01-01,17
PC,QU1,SI,2012-01-01,20
