currency,indic_il,hhtyp,geo\time,date,value
PPS,LI_C_MD60,A1,NO,2016-01-01,17325 
PPS,LI_C_MD60,A1,NO,2017-01-01,16818 
PPS,LI_C_MD60,A1,PL,2006-01-01,3057 
PPS,LI_C_MD60,A1,PL,2007-01-01,3365 
PPS,LI_C_MD60,A1,PL,2008-01-01,4039 
PPS,LI_C_MD60,A1,PL,2009-01-01,4417 
PPS,LI_C_MD60,A1,PL,2010-01-01,4547 
PPS,LI_C_MD60,A1,PL,2011-01-01,4993 
PPS,LI_C_MD60,A1,PL,2012-01-01,5181 
PPS,LI_C_MD60,A1,PL,2013-01-01,5495
PPS,LI_C_MD60,A1,PL,2014-01-01,5736 
PPS,LI_C_MD60,A1,PL,2015-01-01,5970
PPS,LI_C_MD60,A1,PL,2016-01-01,6512 
PPS,LI_C_MD60,A1,PL,2017-01-01,6650 
PPS,LI_C_MD60,A1,PT,2006-01-01,5157 
PPS,LI_C_MD60,A1,PT,2007-01-01,5349 
PPS,LI_C_MD60,A1,PT,2008-01-01,5702 
PPS,LI_C_MD60,A1,PT,2009-01-01,5655 
PPS,LI_C_MD60,A1,PT,2010-01-01,5837 
PPS,LI_C_MD60,A1,PT,2011-01-01,5773 
PPS,LI_C_MD60,A1,PT,2012-01-01,5877 
PPS,LI_C_MD60,A1,PT,2013-01-01,5892
PPS,LI_C_MD60,A1,PT,2014-01-01,6075 
PPS,LI_C_MD60,A1,PT,2015-01-01,6190
PPS,LI_C_MD60,A1,PT,2016-01-01,6479 
PPS,LI_C_MD60,A1,PT,2017-01-01,6478 
PPS,LI_C_MD60,A1,RO,2006-01-01,: 
PPS,LI_C_MD60,A1,RO,2007-01-01,1670 
PPS,LI_C_MD60,A1,RO,2008-01-01,1837 
PPS,LI_C_MD60,A1,RO,2009-01-01,2066 
PPS,LI_C_MD60,A1,RO,2010-01-01,2122 
PPS,LI_C_MD60,A1,RO,2011-01-01,2186 
PPS,LI_C_MD60,A1,RO,2012-01-01,2226 
PPS,LI_C_MD60,A1,RO,2013-01-01,2332
PPS,LI_C_MD60,A1,RO,2014-01-01,2408 
PPS,LI_C_MD60,A1,RO,2015-01-01,2614
PPS,LI_C_MD60,A1,RO,2016-01-01,2837 
PPS,LI_C_MD60,A1,RO,2017-01-01,3143 
PPS,LI_C_MD60,A1,RS,2006-01-01,: 
PPS,LI_C_MD60,A1,RS,2007-01-01,: 
PPS,LI_C_MD60,A1,RS,2008-01-01,: 
PPS,LI_C_MD60,A1,RS,2009-01-01,: 
PPS,LI_C_MD60,A1,RS,2010-01-01,: 
PPS,LI_C_MD60,A1,RS,2011-01-01,: 
PPS,LI_C_MD60,A1,RS,2012-01-01,: 
PPS,LI_C_MD60,A1,RS,2013-01-01,2863
PPS,LI_C_MD60,A1,RS,2014-01-01,2716 
PPS,LI_C_MD60,A1,RS,2015-01-01,3025
PPS,LI_C_MD60,A1,RS,2016-01-01,3149 
PPS,LI_C_MD60,A1,RS,2017-01-01,: 
PPS,LI_C_MD60,A1,SE,2006-01-01,9068 
PPS,LI_C_MD60,A1,SE,2007-01-01,9545 
PPS,LI_C_MD60,A1,SE,2008-01-01,10495 b
PPS,LI_C_MD60,A1,SE,2009-01-01,10885 
PPS,LI_C_MD60,A1,SE,2010-01-01,10535 
PPS,LI_C_MD60,A1,SE,2011-01-01,10819 
PPS,LI_C_MD60,A1,SE,2012-01-01,11366 
PPS,LI_C_MD60,A1,SE,2013-01-01,12017
PPS,LI_C_MD60,A1,SE,2014-01-01,11718 
PPS,LI_C_MD60,A1,SE,2015-01-01,12092
PPS,LI_C_MD60,A1,SE,2016-01-01,12451 
