unit,s_adj,na_item,geotime,date,value
CLV_PCH_PRE,SCA,P311_S14,NO,2017-04-01,0.8
CLV_PCH_PRE,SCA,P311_S14,NO,2017-07-01,0.7
CLV_PCH_PRE,SCA,P311_S14,NO,2017-10-01,2.4
CLV_PCH_PRE,SCA,P311_S14,NO,2018-01-01,-3.5
CLV_PCH_PRE,SCA,P311_S14,NO,2018-04-01,4.1
CLV_PCH_PRE,SCA,P311_S14,PL,2015-07-01,0.1
CLV_PCH_PRE,SCA,P311_S14,PL,2015-10-01,5.9
CLV_PCH_PRE,SCA,P311_S14,PL,2016-01-01,-0.8
CLV_PCH_PRE,SCA,P311_S14,PL,2016-04-01,-1.4
CLV_PCH_PRE,SCA,P311_S14,PL,2016-07-01,3.6
CLV_PCH_PRE,SCA,P311_S14,PL,2016-10-01,-2.4
CLV_PCH_PRE,SCA,P311_S14,PL,2017-01-01,-1.8
CLV_PCH_PRE,SCA,P311_S14,PL,2017-04-01,3.9
CLV_PCH_PRE,SCA,P311_S14,PL,2017-07-01,3.9
CLV_PCH_PRE,SCA,P311_S14,PL,2017-10-01,9.2
CLV_PCH_PRE,SCA,P311_S14,PL,2018-01-01,12.6
CLV_PCH_PRE,SCA,P311_S14,PL,2018-04-01,6.2
CLV_PCH_PRE,SCA,P311_S14,PT,2015-07-01,0.2
CLV_PCH_PRE,SCA,P311_S14,PT,2015-10-01,1.2
CLV_PCH_PRE,SCA,P311_S14,PT,2016-01-01,6.6
CLV_PCH_PRE,SCA,P311_S14,PT,2016-04-01,1.1
CLV_PCH_PRE,SCA,P311_S14,PT,2016-07-01,-1.4
CLV_PCH_PRE,SCA,P311_S14,PT,2016-10-01,6.5
CLV_PCH_PRE,SCA,P311_S14,PT,2017-01-01,0.9
CLV_PCH_PRE,SCA,P311_S14,PT,2017-04-01,-0.9
CLV_PCH_PRE,SCA,P311_S14,PT,2017-07-01,2.2
CLV_PCH_PRE,SCA,P311_S14,PT,2017-10-01,3.4
CLV_PCH_PRE,SCA,P311_S14,PT,2018-01-01,-1.3
CLV_PCH_PRE,SCA,P311_S14,PT,2018-04-01,4.5
CLV_PCH_PRE,SCA,P311_S14,SE,2015-07-01,4.6
CLV_PCH_PRE,SCA,P311_S14,SE,2015-10-01,3.0
CLV_PCH_PRE,SCA,P311_S14,SE,2016-01-01,2.2
CLV_PCH_PRE,SCA,P311_S14,SE,2016-04-01,0.7
CLV_PCH_PRE,SCA,P311_S14,SE,2016-07-01,0.1
CLV_PCH_PRE,SCA,P311_S14,SE,2016-10-01,2.0
CLV_PCH_PRE,SCA,P311_S14,SE,2017-01-01,2.6
CLV_PCH_PRE,SCA,P311_S14,SE,2017-04-01,-1.5
CLV_PCH_PRE,SCA,P311_S14,SE,2017-07-01,0.0
CLV_PCH_PRE,SCA,P311_S14,SE,2017-10-01,1.2
CLV_PCH_PRE,SCA,P311_S14,SE,2018-01-01,0.8
CLV_PCH_PRE,SCA,P311_S14,SE,2018-04-01,8.0
CLV_PCH_PRE,SCA,P311_S14,SI,2015-07-01,6.2
CLV_PCH_PRE,SCA,P311_S14,SI,2015-10-01,1.4
CLV_PCH_PRE,SCA,P311_S14,SI,2016-01-01,4.4
CLV_PCH_PRE,SCA,P311_S14,SI,2016-04-01,1.3
CLV_PCH_PRE,SCA,P311_S14,SI,2016-07-01,1.2
