exch_rt,unit,geotime,date,value
REER_IC42_CPI,I10,IT,2018-04-01,100.53
REER_IC42_CPI,I10,IT,2018-05-01,99.72
REER_IC42_CPI,I10,IT,2018-06-01,99.6
REER_IC42_CPI,I10,IT,2018-07-01,98.74
REER_IC42_CPI,I10,IT,2018-08-01,98.86
REER_IC42_CPI,I10,JP,2017-09-01,74.7
REER_IC42_CPI,I10,JP,2017-10-01,73.8
REER_IC42_CPI,I10,JP,2017-11-01,74.05
REER_IC42_CPI,I10,JP,2017-12-01,73.84
REER_IC42_CPI,I10,JP,2018-01-01,73.85
REER_IC42_CPI,I10,JP,2018-02-01,74.94
REER_IC42_CPI,I10,JP,2018-03-01,76.13
REER_IC42_CPI,I10,JP,2018-04-01,74.95
REER_IC42_CPI,I10,JP,2018-05-01,74.66
REER_IC42_CPI,I10,JP,2018-06-01,74.82
REER_IC42_CPI,I10,JP,2018-07-01,74.71
REER_IC42_CPI,I10,JP,2018-08-01,76.18
REER_IC42_CPI,I10,LT,2017-09-01,107.64
REER_IC42_CPI,I10,LT,2017-10-01,107.33
REER_IC42_CPI,I10,LT,2017-11-01,107.96
REER_IC42_CPI,I10,LT,2017-12-01,108.04
REER_IC42_CPI,I10,LT,2018-01-01,108.34
REER_IC42_CPI,I10,LT,2018-02-01,108.31
REER_IC42_CPI,I10,LT,2018-03-01,108.64
REER_IC42_CPI,I10,LT,2018-04-01,110.27
REER_IC42_CPI,I10,LT,2018-05-01,109.83
REER_IC42_CPI,I10,LT,2018-06-01,109.27
REER_IC42_CPI,I10,LT,2018-07-01,109.1
REER_IC42_CPI,I10,LT,2018-08-01,109.76
REER_IC42_CPI,I10,LU,2017-09-01,101.71
REER_IC42_CPI,I10,LU,2017-10-01,101.67
REER_IC42_CPI,I10,LU,2017-11-01,101.67
REER_IC42_CPI,I10,LU,2017-12-01,101.51
REER_IC42_CPI,I10,LU,2018-01-01,101.28
REER_IC42_CPI,I10,LU,2018-02-01,102.26
REER_IC42_CPI,I10,LU,2018-03-01,101.86
REER_IC42_CPI,I10,LU,2018-04-01,102.1
REER_IC42_CPI,I10,LU,2018-05-01,101.93
REER_IC42_CPI,I10,LU,2018-06-01,102.02
REER_IC42_CPI,I10,LU,2018-07-01,101.48
REER_IC42_CPI,I10,LU,2018-08-01,102.9
REER_IC42_CPI,I10,LV,2017-09-01,105.03
REER_IC42_CPI,I10,LV,2017-10-01,105.08
REER_IC42_CPI,I10,LV,2017-11-01,105.49
REER_IC42_CPI,I10,LV,2017-12-01,105.45
REER_IC42_CPI,I10,LV,2018-01-01,105.59
REER_IC42_CPI,I10,LV,2018-02-01,105.84
REER_IC42_CPI,I10,LV,2018-03-01,107.18
REER_IC42_CPI,I10,LV,2018-04-01,108.08
REER_IC42_CPI,I10,LV,2018-05-01,107.79
REER_IC42_CPI,I10,LV,2018-06-01,108.19
REER_IC42_CPI,I10,LV,2018-07-01,107.7
REER_IC42_CPI,I10,LV,2018-08-01,108.88
REER_IC42_CPI,I10,MT,2017-09-01,101.28
REER_IC42_CPI,I10,MT,2017-10-01,100.28
REER_IC42_CPI,I10,MT,2017-11-01,97.9
