n_item,sex,age,unit,geotime,date,value
GE4,T,TOTAL,PC,MT,2011-01-01,6
GE4,T,TOTAL,PC,MT,2012-01-01,9
GE4,T,TOTAL,PC,MT,2013-01-01,9
GE4,T,TOTAL,PC,MT,2014-01-01,10
GE4,T,TOTAL,PC,MT,2015-01-01,8
GE4,T,TOTAL,PC,MT,2016-01-01,4
GE4,T,TOTAL,PC,MT,2017-01-01,3
GE4,T,TOTAL,PC,NL,2003-01-01,
GE4,T,TOTAL,PC,NL,2004-01-01,
GE4,T,TOTAL,PC,NL,2005-01-01,2
GE4,T,TOTAL,PC,NL,2006-01-01,2
GE4,T,TOTAL,PC,NL,2007-01-01,1
GE4,T,TOTAL,PC,NL,2008-01-01,1
GE4,T,TOTAL,PC,NL,2009-01-01,1
GE4,T,TOTAL,PC,NL,2010-01-01,2
GE4,T,TOTAL,PC,NL,2011-01-01,2
GE4,T,TOTAL,PC,NL,2012-01-01,2
GE4,T,TOTAL,PC,NL,2013-01-01,2
GE4,T,TOTAL,PC,NL,2014-01-01,3
GE4,T,TOTAL,PC,NL,2015-01-01,2
GE4,T,TOTAL,PC,NL,2016-01-01,2
GE4,T,TOTAL,PC,NL,2017-01-01,2
GE4,T,TOTAL,PC,NO,2003-01-01,3
GE4,T,TOTAL,PC,NO,2004-01-01,2
GE4,T,TOTAL,PC,NO,2005-01-01,3
GE4,T,TOTAL,PC,NO,2006-01-01,2
GE4,T,TOTAL,PC,NO,2007-01-01,2
GE4,T,TOTAL,PC,NO,2008-01-01,2
GE4,T,TOTAL,PC,NO,2009-01-01,2
GE4,T,TOTAL,PC,NO,2010-01-01,2
GE4,T,TOTAL,PC,NO,2011-01-01,2
GE4,T,TOTAL,PC,NO,2012-01-01,1
GE4,T,TOTAL,PC,NO,2013-01-01,1
GE4,T,TOTAL,PC,NO,2014-01-01,1
GE4,T,TOTAL,PC,NO,2015-01-01,1
GE4,T,TOTAL,PC,NO,2016-01-01,2
GE4,T,TOTAL,PC,NO,2017-01-01,1
GE4,T,TOTAL,PC,PL,2003-01-01,
GE4,T,TOTAL,PC,PL,2004-01-01,
GE4,T,TOTAL,PC,PL,2005-01-01,33
GE4,T,TOTAL,PC,PL,2006-01-01,27
GE4,T,TOTAL,PC,PL,2007-01-01,22
GE4,T,TOTAL,PC,PL,2008-01-01,17
GE4,T,TOTAL,PC,PL,2009-01-01,15
GE4,T,TOTAL,PC,PL,2010-01-01,14
GE4,T,TOTAL,PC,PL,2011-01-01,13
GE4,T,TOTAL,PC,PL,2012-01-01,13
GE4,T,TOTAL,PC,PL,2013-01-01,11
GE4,T,TOTAL,PC,PL,2014-01-01,10
GE4,T,TOTAL,PC,PL,2015-01-01,8
GE4,T,TOTAL,PC,PL,2016-01-01,6
GE4,T,TOTAL,PC,PL,2017-01-01,5
GE4,T,TOTAL,PC,PT,2003-01-01,
GE4,T,TOTAL,PC,PT,2004-01-01,9
GE4,T,TOTAL,PC,PT,2005-01-01,9
GE4,T,TOTAL,PC,PT,2006-01-01,9
GE4,T,TOTAL,PC,PT,2007-01-01,9
GE4,T,TOTAL,PC,PT,2008-01-01,9
GE4,T,TOTAL,PC,PT,2009-01-01,9
GE4,T,TOTAL,PC,PT,2010-01-01,9
GE4,T,TOTAL,PC,PT,2011-01-01,8
GE4,T,TOTAL,PC,PT,2012-01-01,8
GE4,T,TOTAL,PC,PT,2013-01-01,10
GE4,T,TOTAL,PC,PT,2014-01-01,10
GE4,T,TOTAL,PC,PT,2015-01-01,9
GE4,T,TOTAL,PC,PT,2016-01-01,8
GE4,T,TOTAL,PC,PT,2017-01-01,6
GE4,T,TOTAL,PC,RO,2003-01-01,
GE4,T,TOTAL,PC,RO,2004-01-01,
GE4,T,TOTAL,PC,RO,2005-01-01,
GE4,T,TOTAL,PC,RO,2006-01-01,
GE4,T,TOTAL,PC,RO,2007-01-01,38
GE4,T,TOTAL,PC,RO,2008-01-01,32
GE4,T,TOTAL,PC,RO,2009-01-01,32
GE4,T,TOTAL,PC,RO,2010-01-01,30
GE4,T,TOTAL,PC,RO,2011-01-01,29
GE4,T,TOTAL,PC,RO,2012-01-01,31
GE4,T,TOTAL,PC,RO,2013-01-01,29
GE4,T,TOTAL,PC,RO,2014-01-01,25
GE4,T,TOTAL,PC,RO,2015-01-01,22
GE4,T,TOTAL,PC,RO,2016-01-01,23
GE4,T,TOTAL,PC,RO,2017-01-01,19
GE4,T,TOTAL,PC,RS,2003-01-01,
GE4,T,TOTAL,PC,RS,2004-01-01,
GE4,T,TOTAL,PC,RS,2005-01-01,
GE4,T,TOTAL,PC,RS,2006-01-01,
GE4,T,TOTAL,PC,RS,2007-01-01,
GE4,T,TOTAL,PC,RS,2008-01-01,
GE4,T,TOTAL,PC,RS,2009-01-01,
GE4,T,TOTAL,PC,RS,2010-01-01,
GE4,T,TOTAL,PC,RS,2011-01-01,
GE4,T,TOTAL,PC,RS,2012-01-01,
GE4,T,TOTAL,PC,RS,2013-01-01,26
GE4,T,TOTAL,PC,RS,2014-01-01,26
GE4,T,TOTAL,PC,RS,2015-01-01,24
GE4,T,TOTAL,PC,RS,2016-01-01,19
GE4,T,TOTAL,PC,RS,2017-01-01,
GE4,T,TOTAL,PC,SE,2003-01-01,
GE4,T,TOTAL,PC,SE,2004-01-01,3
GE4,T,TOTAL,PC,SE,2005-01-01,2
GE4,T,TOTAL,PC,SE,2006-01-01,2
GE4,T,TOTAL,PC,SE,2007-01-01,2
GE4,T,TOTAL,PC,SE,2008-01-01,1
GE4,T,TOTAL,PC,SE,2009-01-01,2
GE4,T,TOTAL,PC,SE,2010-01-01,1
GE4,T,TOTAL,PC,SE,2011-01-01,1
GE4,T,TOTAL,PC,SE,2012-01-01,1
GE4,T,TOTAL,PC,SE,2013-01-01,1
GE4,T,TOTAL,PC,SE,2014-01-01,1
GE4,T,TOTAL,PC,SE,2015-01-01,1
GE4,T,TOTAL,PC,SE,2016-01-01,0
GE4,T,TOTAL,PC,SE,2017-01-01,1
GE4,T,TOTAL,PC,SI,2003-01-01,
GE4,T,TOTAL,PC,SI,2004-01-01,
GE4,T,TOTAL,PC,SI,2005-01-01,5
GE4,T,TOTAL,PC,SI,2006-01-01,5
GE4,T,TOTAL,PC,SI,2007-01-01,5
GE4,T,TOTAL,PC,SI,2008-01-01,6
GE4,T,TOTAL,PC,SI,2009-01-01,6
GE4,T,TOTAL,PC,SI,2010-01-01,5
GE4,T,TOTAL,PC,SI,2011-01-01,6
GE4,T,TOTAL,PC,SI,2012-01-01,6
GE4,T,TOTAL,PC,SI,2013-01-01,6
GE4,T,TOTAL,PC,SI,2014-01-01,6
GE4,T,TOTAL,PC,SI,2015-01-01,5
GE4,T,TOTAL,PC,SI,2016-01-01,5
GE4,T,TOTAL,PC,SI,2017-01-01,4
GE4,T,TOTAL,PC,SK,2003-01-01,
GE4,T,TOTAL,PC,SK,2004-01-01,
GE4,T,TOTAL,PC,SK,2005-01-01,22
GE4,T,TOTAL,PC,SK,2006-01-01,18
GE4,T,TOTAL,PC,SK,2007-01-01,13
GE4,T,TOTAL,PC,SK,2008-01-01,11
GE4,T,TOTAL,PC,SK,2009-01-01,11
GE4,T,TOTAL,PC,SK,2010-01-01,11
GE4,T,TOTAL,PC,SK,2011-01-01,10
GE4,T,TOTAL,PC,SK,2012-01-01,10
GE4,T,TOTAL,PC,SK,2013-01-01,10
GE4,T,TOTAL,PC,SK,2014-01-01,9
GE4,T,TOTAL,PC,SK,2015-01-01,9
GE4,T,TOTAL,PC,SK,2016-01-01,8
GE4,T,TOTAL,PC,SK,2017-01-01,7
GE4,T,TOTAL,PC,TR,2003-01-01,
GE4,T,TOTAL,PC,TR,2004-01-01,
GE4,T,TOTAL,PC,TR,2005-01-01,
GE4,T,TOTAL,PC,TR,2006-01-01,60
GE4,T,TOTAL,PC,TR,2007-01-01,58
GE4,T,TOTAL,PC,TR,2008-01-01,57
GE4,T,TOTAL,PC,TR,2009-01-01,56
GE4,T,TOTAL,PC,TR,2010-01-01,59
GE4,T,TOTAL,PC,TR,2011-01-01,57
GE4,T,TOTAL,PC,TR,2012-01-01,55
GE4,T,TOTAL,PC,TR,2013-01-01,43
GE4,T,TOTAL,PC,TR,2014-01-01,29
GE4,T,TOTAL,PC,TR,2015-01-01,30
GE4,T,TOTAL,PC,TR,2016-01-01,
GE4,T,TOTAL,PC,TR,2017-01-01,
GE4,T,TOTAL,PC,UK,2003-01-01,
GE4,T,TOTAL,PC,UK,2004-01-01,
GE4,T,TOTAL,PC,UK,2005-01-01,5
GE4,T,TOTAL,PC,UK,2006-01-01,4
GE4,T,TOTAL,PC,UK,2007-01-01,4
GE4,T,TOTAL,PC,UK,2008-01-01,4
GE4,T,TOTAL,PC,UK,2009-01-01,3
GE4,T,TOTAL,PC,UK,2010-01-01,4
GE4,T,TOTAL,PC,UK,2011-01-01,5
GE4,T,TOTAL,PC,UK,2012-01-01,7
GE4,T,TOTAL,PC,UK,2013-01-01,8
GE4,T,TOTAL,PC,UK,2014-01-01,7
GE4,T,TOTAL,PC,UK,2015-01-01,6
GE4,T,TOTAL,PC,UK,2016-01-01,5
GE4,T,TOTAL,PC,UK,2017-01-01,
GE4,T,TOTAL,THS_PER,AT,2003-01-01,264
GE4,T,TOTAL,THS_PER,AT,2004-01-01,308
GE4,T,TOTAL,THS_PER,AT,2005-01-01,281
GE4,T,TOTAL,THS_PER,AT,2006-01-01,293
GE4,T,TOTAL,THS_PER,AT,2007-01-01,269
GE4,T,TOTAL,THS_PER,AT,2008-01-01,485
GE4,T,TOTAL,THS_PER,AT,2009-01-01,376
GE4,T,TOTAL,THS_PER,AT,2010-01-01,353
GE4,T,TOTAL,THS_PER,AT,2011-01-01,333
GE4,T,TOTAL,THS_PER,AT,2012-01-01,335
GE4,T,TOTAL,THS_PER,AT,2013-01-01,355
GE4,T,TOTAL,THS_PER,AT,2014-01-01,336
GE4,T,TOTAL,THS_PER,AT,2015-01-01,302
GE4,T,TOTAL,THS_PER,AT,2016-01-01,257
GE4,T,TOTAL,THS_PER,AT,2017-01-01,323
GE4,T,TOTAL,THS_PER,BE,2003-01-01,460
GE4,T,TOTAL,THS_PER,BE,2004-01-01,495
GE4,T,TOTAL,THS_PER,BE,2005-01-01,673
GE4,T,TOTAL,THS_PER,BE,2006-01-01,672
GE4,T,TOTAL,THS_PER,BE,2007-01-01,602
GE4,T,TOTAL,THS_PER,BE,2008-01-01,595
GE4,T,TOTAL,THS_PER,BE,2009-01-01,555
GE4,T,TOTAL,THS_PER,BE,2010-01-01,628
GE4,T,TOTAL,THS_PER,BE,2011-01-01,615
GE4,T,TOTAL,THS_PER,BE,2012-01-01,687
GE4,T,TOTAL,THS_PER,BE,2013-01-01,561
GE4,T,TOTAL,THS_PER,BE,2014-01-01,650
GE4,T,TOTAL,THS_PER,BE,2015-01-01,640
GE4,T,TOTAL,THS_PER,BE,2016-01-01,623
GE4,T,TOTAL,THS_PER,BE,2017-01-01,577
GE4,T,TOTAL,THS_PER,BG,2003-01-01,
GE4,T,TOTAL,THS_PER,BG,2004-01-01,
GE4,T,TOTAL,THS_PER,BG,2005-01-01,
GE4,T,TOTAL,THS_PER,BG,2006-01-01,4451
GE4,T,TOTAL,THS_PER,BG,2007-01-01,4426
GE4,T,TOTAL,THS_PER,BG,2008-01-01,3151
GE4,T,TOTAL,THS_PER,BG,2009-01-01,3184
GE4,T,TOTAL,THS_PER,BG,2010-01-01,3459
GE4,T,TOTAL,THS_PER,BG,2011-01-01,3277
GE4,T,TOTAL,THS_PER,BG,2012-01-01,3242
GE4,T,TOTAL,THS_PER,BG,2013-01-01,3129
GE4,T,TOTAL,THS_PER,BG,2014-01-01,2399
GE4,T,TOTAL,THS_PER,BG,2015-01-01,2468
GE4,T,TOTAL,THS_PER,BG,2016-01-01,2285
GE4,T,TOTAL,THS_PER,BG,2017-01-01,2136
GE4,T,TOTAL,THS_PER,CH,2003-01-01,
GE4,T,TOTAL,THS_PER,CH,2004-01-01,
GE4,T,TOTAL,THS_PER,CH,2005-01-01,
GE4,T,TOTAL,THS_PER,CH,2006-01-01,
GE4,T,TOTAL,THS_PER,CH,2007-01-01,168
GE4,T,TOTAL,THS_PER,CH,2008-01-01,154
GE4,T,TOTAL,THS_PER,CH,2009-01-01,154
GE4,T,TOTAL,THS_PER,CH,2010-01-01,126
GE4,T,TOTAL,THS_PER,CH,2011-01-01,78
GE4,T,TOTAL,THS_PER,CH,2012-01-01,63
GE4,T,TOTAL,THS_PER,CH,2013-01-01,52
GE4,T,TOTAL,THS_PER,CH,2014-01-01,103
GE4,T,TOTAL,THS_PER,CH,2015-01-01,115
GE4,T,TOTAL,THS_PER,CH,2016-01-01,123
GE4,T,TOTAL,THS_PER,CH,2017-01-01,
GE4,T,TOTAL,THS_PER,CY,2003-01-01,
GE4,T,TOTAL,THS_PER,CY,2004-01-01,
GE4,T,TOTAL,THS_PER,CY,2005-01-01,90
GE4,T,TOTAL,THS_PER,CY,2006-01-01,96
GE4,T,TOTAL,THS_PER,CY,2007-01-01,103
GE4,T,TOTAL,THS_PER,CY,2008-01-01,71
GE4,T,TOTAL,THS_PER,CY,2009-01-01,76
GE4,T,TOTAL,THS_PER,CY,2010-01-01,92
GE4,T,TOTAL,THS_PER,CY,2011-01-01,98
GE4,T,TOTAL,THS_PER,CY,2012-01-01,129
GE4,T,TOTAL,THS_PER,CY,2013-01-01,139
GE4,T,TOTAL,THS_PER,CY,2014-01-01,131
GE4,T,TOTAL,THS_PER,CY,2015-01-01,130
GE4,T,TOTAL,THS_PER,CY,2016-01-01,115
GE4,T,TOTAL,THS_PER,CY,2017-01-01,98
GE4,T,TOTAL,THS_PER,CZ,2003-01-01,
GE4,T,TOTAL,THS_PER,CZ,2004-01-01,
GE4,T,TOTAL,THS_PER,CZ,2005-01-01,1190
GE4,T,TOTAL,THS_PER,CZ,2006-01-01,980
GE4,T,TOTAL,THS_PER,CZ,2007-01-01,750
GE4,T,TOTAL,THS_PER,CZ,2008-01-01,696
GE4,T,TOTAL,THS_PER,CZ,2009-01-01,635
GE4,T,TOTAL,THS_PER,CZ,2010-01-01,644
GE4,T,TOTAL,THS_PER,CZ,2011-01-01,641
GE4,T,TOTAL,THS_PER,CZ,2012-01-01,683
GE4,T,TOTAL,THS_PER,CZ,2013-01-01,679
GE4,T,TOTAL,THS_PER,CZ,2014-01-01,695
GE4,T,TOTAL,THS_PER,CZ,2015-01-01,577
GE4,T,TOTAL,THS_PER,CZ,2016-01-01,497
GE4,T,TOTAL,THS_PER,CZ,2017-01-01,387
GE4,T,TOTAL,THS_PER,DE,2003-01-01,
GE4,T,TOTAL,THS_PER,DE,2004-01-01,
GE4,T,TOTAL,THS_PER,DE,2005-01-01,3733
GE4,T,TOTAL,THS_PER,DE,2006-01-01,4138
GE4,T,TOTAL,THS_PER,DE,2007-01-01,3947
GE4,T,TOTAL,THS_PER,DE,2008-01-01,4442
GE4,T,TOTAL,THS_PER,DE,2009-01-01,4360
GE4,T,TOTAL,THS_PER,DE,2010-01-01,3672
GE4,T,TOTAL,THS_PER,DE,2011-01-01,4323
GE4,T,TOTAL,THS_PER,DE,2012-01-01,3937
GE4,T,TOTAL,THS_PER,DE,2013-01-01,4281
GE4,T,TOTAL,THS_PER,DE,2014-01-01,3974
GE4,T,TOTAL,THS_PER,DE,2015-01-01,3555
GE4,T,TOTAL,THS_PER,DE,2016-01-01,3015
GE4,T,TOTAL,THS_PER,DE,2017-01-01,2783
GE4,T,TOTAL,THS_PER,DK,2003-01-01,107
GE4,T,TOTAL,THS_PER,DK,2004-01-01,157
GE4,T,TOTAL,THS_PER,DK,2005-01-01,171
GE4,T,TOTAL,THS_PER,DK,2006-01-01,169
GE4,T,TOTAL,THS_PER,DK,2007-01-01,175
GE4,T,TOTAL,THS_PER,DK,2008-01-01,107
GE4,T,TOTAL,THS_PER,DK,2009-01-01,124
GE4,T,TOTAL,THS_PER,DK,2010-01-01,145
GE4,T,TOTAL,THS_PER,DK,2011-01-01,128
GE4,T,TOTAL,THS_PER,DK,2012-01-01,149
GE4,T,TOTAL,THS_PER,DK,2013-01-01,202
GE4,T,TOTAL,THS_PER,DK,2014-01-01,181
GE4,T,TOTAL,THS_PER,DK,2015-01-01,206
GE4,T,TOTAL,THS_PER,DK,2016-01-01,148
GE4,T,TOTAL,THS_PER,DK,2017-01-01,177
GE4,T,TOTAL,THS_PER,EA18,2003-01-01,
GE4,T,TOTAL,THS_PER,EA18,2004-01-01,
GE4,T,TOTAL,THS_PER,EA18,2005-01-01,19130
GE4,T,TOTAL,THS_PER,EA18,2006-01-01,18529
GE4,T,TOTAL,THS_PER,EA18,2007-01-01,17820
GE4,T,TOTAL,THS_PER,EA18,2008-01-01,19089
GE4,T,TOTAL,THS_PER,EA18,2009-01-01,19273
GE4,T,TOTAL,THS_PER,EA18,2010-01-01,19407
GE4,T,TOTAL,THS_PER,EA18,2011-01-01,22287
GE4,T,TOTAL,THS_PER,EA18,2012-01-01,25175
GE4,T,TOTAL,THS_PER,EA18,2013-01-01,24414
GE4,T,TOTAL,THS_PER,EA18,2014-01-01,24003
GE4,T,TOTAL,THS_PER,EA18,2015-01-01,22683
GE4,T,TOTAL,THS_PER,EA18,2016-01-01,21746
GE4,T,TOTAL,THS_PER,EA18,2017-01-01,19381
GE4,T,TOTAL,THS_PER,EA19,2003-01-01,
GE4,T,TOTAL,THS_PER,EA19,2004-01-01,
GE4,T,TOTAL,THS_PER,EA19,2005-01-01,20241
GE4,T,TOTAL,THS_PER,EA19,2006-01-01,19386
GE4,T,TOTAL,THS_PER,EA19,2007-01-01,18378
GE4,T,TOTAL,THS_PER,EA19,2008-01-01,19491
GE4,T,TOTAL,THS_PER,EA19,2009-01-01,19770
