indic_env,geotime,date,value
GHG_I90,EL,2005-01-01,
GHG_I90,EL,2006-01-01,
GHG_I90,EL,2007-01-01,
GHG_I90,EL,2008-01-01,127
GHG_I90,EL,2009-01-01,
GHG_I90,EL,2010-01-01,114
GHG_I90,EL,2011-01-01,111
GHG_I90,EL,2012-01-01,108
GHG_I90,EL,2013-01-01,99
GHG_I90,EL,2014-01-01,96
GHG_I90,EL,2015-01-01,93
GHG_I90,EL,2016-01-01,89
GHG_I90,ES,1990-01-01,100
GHG_I90,ES,1991-01-01,102
GHG_I90,ES,1992-01-01,106
GHG_I90,ES,1993-01-01,102
GHG_I90,ES,1994-01-01,108
GHG_I90,ES,1995-01-01,114
GHG_I90,ES,1996-01-01,111
GHG_I90,ES,1997-01-01,116
GHG_I90,ES,1998-01-01,120
GHG_I90,ES,1999-01-01,129
GHG_I90,ES,2000-01-01,135
GHG_I90,ES,2001-01-01,134
GHG_I90,ES,2002-01-01,
GHG_I90,ES,2003-01-01,
GHG_I90,ES,2004-01-01,
GHG_I90,ES,2005-01-01,
GHG_I90,ES,2006-01-01,
GHG_I90,ES,2007-01-01,
GHG_I90,ES,2008-01-01,144
GHG_I90,ES,2009-01-01,
GHG_I90,ES,2010-01-01,125
GHG_I90,ES,2011-01-01,126
GHG_I90,ES,2012-01-01,123
GHG_I90,ES,2013-01-01,114
GHG_I90,ES,2014-01-01,115
GHG_I90,ES,2015-01-01,119
GHG_I90,ES,2016-01-01,116
GHG_I90,EU28,1990-01-01,100
GHG_I90,EU28,1991-01-01,98
GHG_I90,EU28,1992-01-01,95
GHG_I90,EU28,1993-01-01,93
GHG_I90,EU28,1994-01-01,93
GHG_I90,EU28,1995-01-01,94
GHG_I90,EU28,1996-01-01,96
GHG_I90,EU28,1997-01-01,94
GHG_I90,EU28,1998-01-01,93
GHG_I90,EU28,1999-01-01,92
GHG_I90,EU28,2000-01-01,92
GHG_I90,EU28,2001-01-01,93
GHG_I90,EU28,2002-01-01,
GHG_I90,EU28,2003-01-01,
GHG_I90,EU28,2004-01-01,
GHG_I90,EU28,2005-01-01,
GHG_I90,EU28,2006-01-01,
GHG_I90,EU28,2007-01-01,
GHG_I90,EU28,2008-01-01,90
GHG_I90,EU28,2009-01-01,
GHG_I90,EU28,2010-01-01,85
GHG_I90,EU28,2011-01-01,83
GHG_I90,EU28,2012-01-01,82
GHG_I90,EU28,2013-01-01,80
GHG_I90,EU28,2014-01-01,77
GHG_I90,EU28,2015-01-01,78
GHG_I90,EU28,2016-01-01,77
GHG_I90,FI,1990-01-01,100
GHG_I90,FI,1991-01-01,96
GHG_I90,FI,1992-01-01,94
GHG_I90,FI,1993-01-01,97
GHG_I90,FI,1994-01-01,105
GHG_I90,FI,1995-01-01,100
GHG_I90,FI,1996-01-01,108
GHG_I90,FI,1997-01-01,107
GHG_I90,FI,1998-01-01,102
GHG_I90,FI,1999-01-01,101
GHG_I90,FI,2000-01-01,98
GHG_I90,FI,2001-01-01,105
GHG_I90,FI,2002-01-01,
GHG_I90,FI,2003-01-01,
GHG_I90,FI,2004-01-01,
